ID,AreaNumber,ContinentID,ParentAreaNum,AreaBit,Flags,SoundProviderPref,SoundProviderPrefUnderwater,MIDIAmbience,MIDIAmbienceUnderwater,ZoneMusic,IntroSound,IntroPriority,ExplorationLevel,AreaName_lang[0],AreaName_lang[1],AreaName_lang[2],AreaName_lang[3],AreaName_lang[4],AreaName_lang[5],AreaName_lang[6],AreaName_lang[7],AreaName_lang_mask
266,327694,1,327680,2,0,0,11,0,25,0,0,0,-1,Wellspring Lake,,,,,,,,6750208
267,1966080,0,0,2,0,0,11,44,25,1,0,0,-1,Hillsbrad Foothills,,,,,,,,6750210
269,2031616,0,0,2,0,0,11,38,25,0,0,0,18,Dun Algaz,,,,,,,,6750210
272,1966083,0,1966080,2,0,0,11,44,25,1,0,0,20,Tarren Mill,,,,,,,,6750210
275,1966086,0,1966080,2,0,0,11,44,25,1,0,0,21,Durnholde Keep,,,,,,,,6750210
277,1310721,0,1310720,19,0,0,11,40,25,1,0,0,-1,The Foothill Caverns,,,,,,,,6750210
278,1310722,0,1310720,19,0,0,11,40,25,1,0,0,32,Lordamere Internment Camp,,,,,,,,6750210
279,1310723,0,1310720,19,0,0,11,0,25,0,0,0,30,Dalaran,,,,,,,,6750210
280,1310724,0,1310720,19,0,0,11,40,25,1,0,0,34,Strahnbrad,,,,,,,,6750210
281,1310725,0,1310720,19,0,0,11,40,25,1,0,0,36,Ruins of Alterac,,,,,,,,6750210
282,1310726,0,1310720,19,0,0,11,40,25,0,0,0,-1,Crushridge Hold,,,,,,,,6750210
283,1310727,0,1310720,19,0,0,11,0,25,0,0,0,-1,Slaughter Hollow,,,,,,,,6750210
284,1310728,0,1310720,19,0,0,11,40,25,1,0,0,-1,The Uplands,,,,,,,,6750210
285,1966087,0,1966080,2,0,0,11,44,25,2,0,0,-1,Southpoint Tower,,,,,,,,6750210
286,1966088,0,1966080,2,0,0,11,44,25,1,0,0,22,Hillsbrad Fields,,,,,,,,6750210
287,1966089,0,1966080,2,0,0,11,44,25,1,0,0,-1,Hillsbrad,,,,,,,,6750210
288,1966090,0,1966080,2,0,0,11,44,25,1,0,0,-1,Azureload Mine,,,,,,,,6750210
289,1966091,0,1966080,2,0,0,11,44,25,1,0,0,26,Nethander Stead,,,,,,,,6750208
290,1966092,0,1966080,2,0,0,11,44,25,1,0,0,-1,Dun Garok,,,,,,,,6750210
293,2162688,0,0,2,0,0,11,44,25,1,0,0,30,Thoradin's Wall,,,,,,,,6750210
294,1966095,0,1966080,2,0,0,11,44,25,1,0,0,30,Eastern Strand,,,,,,,,6750210
296,2228224,0,0,2,0,0,11,0,25,0,0,0,-1,South Seas,,,,,,,,458754
297,720919,0,720896,10,0,0,11,0,25,0,0,0,-1,Jaguero Isle,,,,,,,,6750208
298,917509,0,917504,13,0,0,11,38,25,3,0,0,0,Baradin Bay,,,,,,,,458754
299,917510,0,917504,13,0,0,11,0,25,0,0,0,0,Menethil Bay,,,,,,,,458754
300,458757,0,458752,6,0,0,11,0,25,0,0,0,-1,Mistyreed Strand,,,,,,,,6750208
301,720920,0,720896,10,0,0,11,17,25,3,0,0,-1,The Savage Coast,,,,,,,,6750208
303,720922,0,720896,10,0,0,11,0,25,0,0,0,-1,Shell Beach,,,,,,,,6750208
305,1638419,0,1638400,2,0,0,11,0,25,0,0,0,-1,North Tide's Run,,,,,,,,458752
306,1638420,0,1638400,2,0,0,11,0,25,0,0,0,-1,South Tide's Run,,,,,,,,458752
307,786433,0,786432,11,0,0,11,44,25,1,0,0,-1,The Overlook Cliffs,,,,,,,,6750208
309,917511,0,917504,13,0,0,11,0,25,0,0,0,24,Ironbeard's Tomb,,,,,,,,6750208
310,720923,0,720896,10,0,0,11,0,25,0,0,0,-1,Crystalvein Mine,,,,,,,,6750210
312,720925,0,720896,10,0,0,11,0,25,0,0,0,-1,Janeiro's Point,,,,,,,,6750208
314,851970,0,851968,12,0,0,11,0,25,0,0,0,33,Go'Shek Farm,,,,,,,,6750210
316,851972,0,851968,12,0,0,11,0,25,0,0,0,35,Boulderfist Hall,,,,,,,,6750210
318,851974,0,851968,12,0,0,11,0,25,0,0,0,-1,Drywhisker Gorge,,,,,,,,6750210
320,851976,0,851968,12,0,0,11,0,25,0,0,0,30,Refuge Pointe,,,,,,,,6750208
321,851977,0,851968,12,0,0,11,37,25,8,0,0,30,Hammerfall,,,,,,,,6750210
323,851979,0,851968,12,0,0,11,0,25,0,0,0,-1,O'Breen's Camp,,,,,,,,6750210
324,851980,0,851968,12,0,0,11,0,25,0,0,0,36,Stromgarde Keep,,,,,,,,6750210
325,851981,0,851968,12,0,0,11,0,25,0,0,0,-1,The Tower of Arathor,,,,,,,,6750210
326,851982,0,851968,12,0,0,11,0,25,0,0,0,-1,The Sanctum,,,,,,,,6750210
327,851983,0,851968,12,0,0,11,37,25,8,0,0,-1,Faldir's Cove,,,,,,,,6750210
330,2359296,0,0,2,0,0,11,0,25,0,0,0,-1,Thandol Span,,,,,,,,6750208
331,524288,1,0,2,0,0,11,35,25,11,0,0,-1,Ashenvale,,,,,,,,458754
332,589824,1,0,2,0,0,11,10,25,9,0,0,-1,The Great Sea,,,,,,,,458752
333,851985,0,851968,12,0,0,11,0,25,0,0,0,38,Circle of East Binding,,,,,,,,6750210
334,851986,0,851968,12,0,0,11,0,25,0,0,0,38,Circle of West Binding,,,,,,,,6750210
335,851987,0,851968,12,0,0,11,0,25,0,0,0,38,Circle of Inner Binding,,,,,,,,6750210
336,851988,0,851968,12,0,0,11,0,25,0,0,0,38,Circle of Outer Binding,,,,,,,,6750210
337,1114113,0,1114112,16,0,0,11,47,25,7,0,0,-1,Apocryphan's Rest,,,,,,,,6750210
340,1114116,0,1114112,16,0,0,11,0,25,0,0,0,-1,Kargath,,,,,,,,6750210
341,1114117,0,1114112,16,0,0,11,0,25,0,0,0,-1,Camp Kosh,,,,,,,,6750210
342,1114118,0,1114112,16,0,0,11,0,25,0,0,0,-1,Camp Boff,,,,,,,,6750210
343,1114119,0,1114112,16,0,0,11,0,25,0,0,0,-1,Camp Wurg,,,,,,,,6750210
344,1114120,0,1114112,16,0,0,11,0,25,0,0,0,-1,Camp Cagg,,,,,,,,6750210
345,1114121,0,1114112,16,0,0,11,47,25,7,0,0,-1,Agmond's End,,,,,,,,6750208
346,1114122,0,1114112,16,0,0,11,0,25,0,0,0,-1,Hammertoe's Digsite,,,,,,,,6750210
347,1114123,0,1114112,16,0,0,11,0,25,0,0,0,-1,Dustbelch Grotto,,,,,,,,6750210
348,786434,0,786432,11,0,0,11,44,25,1,0,0,-1,Aerie Peak,,,,,,,,6750208
349,786435,0,786432,11,0,0,11,44,25,1,0,0,-1,Wildhammer Keep,,,,,,,,6750208
350,786436,0,786432,11,0,0,11,44,25,1,0,0,-1,Quel'Danil Lodge,,,,,,,,6750208
351,786437,0,786432,11,0,0,11,44,25,1,0,0,-1,Skulk Rock,,,,,,,,6750208
352,786438,0,786432,11,0,0,11,44,25,1,0,0,-1,Zun'watha,,,,,,,,6750210
353,786439,0,786432,11,0,0,11,44,25,1,0,0,-1,Shadra'Alor,,,,,,,,6750210
356,786442,0,786432,11,0,0,11,44,25,1,0,0,-1,Seradane,,,,,,,,6750208
357,655360,1,0,2,0,0,11,0,25,3,0,0,-1,Feralas,,,,,,,,6750208
358,458759,1,458752,2,0,0,11,45,25,9,0,0,4,Brambleblade Ravine,,,,,,,,65536
359,65537,1,65536,23,0,0,11,46,25,7,0,0,25,Bael Modan,,,,,,,,6750210
360,458760,1,458752,2,0,0,11,10,25,9,0,0,-1,The Venture Co. Mine,,,,,,,,6750208
361,720896,1,0,2,0,0,11,35,25,2,0,0,-1,Felwood,,,,,,,,6750210
362,131073,1,131072,24,0,0,11,47,25,9,0,0,5,Razor Hill,,,,,,,,6750210
363,131074,1,131072,24,0,0,11,47,25,9,0,0,-1,Valley of Trials,,,,,,,,65538
364,131075,1,131072,24,0,0,11,47,25,9,0,0,-1,The Den,,,,,,,,6750210
365,131076,1,131072,24,0,0,11,47,25,9,0,0,-1,Burning Blade Coven,,,,,,,,65538
366,131077,1,131072,24,0,0,11,47,25,9,0,0,-1,Kolkar Crag,,,,,,,,6750210
367,131078,1,131072,24,0,0,11,47,25,9,0,0,6,Sen'jin Village,,,,,,,,6750210
368,131079,1,131072,24,0,0,11,17,25,9,0,0,7,Echo Isles,,,,,,,,6750210
369,131080,1,131072,24,0,0,11,47,25,9,0,0,9,Thunder Ridge,,,,,,,,6750210
370,131081,1,131072,24,0,0,11,47,25,9,0,0,-1,Drygulch Ravine,,,,,,,,6750210
372,131083,1,131072,24,0,0,11,47,25,9,0,0,6,Tiragarde Keep,,,,,,,,6750210
373,131084,1,131072,24,0,0,11,47,25,9,0,0,6,Scuttle Coast,,,,,,,,6750208
374,131085,1,131072,24,0,0,11,93,25,9,0,0,-1,Bladefist Bay,,,,,,,,6750210
375,131086,1,131072,24,0,0,11,47,25,9,0,0,-1,Deadeye Shore,,,,,,,,6750208
377,786432,1,0,2,0,0,11,93,25,9,0,0,9,Southfury River,,,,,,,,65536
378,65538,1,65536,23,0,0,11,46,25,7,0,0,10,Camp Taurajo,,,,,,,,6750210
379,65539,1,65536,23,0,0,11,46,25,7,0,0,10,Far Watch Post,,,,,,,,6750210
380,65540,1,65536,23,0,0,11,46,25,7,0,0,15,The Crossroads,,,,,,,,6750210
381,65541,1,65536,23,0,0,11,46,25,0,0,0,-1,Boulder Load Mine,,,,,,,,6750210
383,65543,1,65536,23,0,0,11,0,25,0,0,0,14,The Dry Hills,,,,,,,,6750208
384,65544,1,65536,23,0,0,11,30,25,9,0,0,-1,Dreadmist Peak,,,,,,,,6750210
385,65545,1,65536,23,0,0,11,0,25,0,0,0,-1,Northwatch Hold,,,,,,,,6750210
386,65546,1,65536,23,0,0,11,46,25,7,0,0,12,The Forgotten Pools,,,,,,,,458752
388,65548,1,65536,23,0,0,11,46,25,7,0,0,15,The Stagnant Oasis,,,,,,,,458752
390,65550,1,65536,23,0,0,11,0,25,0,0,0,20,Field of Giants,,,,,,,,6750208
391,65551,1,65536,23,0,0,11,0,25,0,0,0,12,The Merchant Coast,,,,,,,,6750208
392,65552,1,65536,23,0,0,11,46,25,7,0,0,15,Ratchet,,,,,,,,6750208
393,131087,1,131072,24,0,0,11,47,25,9,0,0,0,Darkspear Strand,,,,,,,,6750208
394,2424832,0,0,2,0,0,11,0,25,0,0,0,-1,Darrowmere Lake,,,,,,,,6750210
395,2424833,0,2424832,2,0,0,11,0,25,0,0,0,-1,Caer Darrow,,,,,,,,6750208
396,458761,1,458752,2,0,0,11,45,25,9,0,0,6,Winterhoof Water Well,,,,,,,,6750210
397,458762,1,458752,2,0,0,11,45,25,9,0,0,7,Thunderhorn Water Well,,,,,,,,6750210
1,1048576,0,0,15,1,0,11,16,25,8,0,0,-1,Dun Morogh,,,,,,,,6750210
2,196611,0,196608,2,0,0,11,10,25,9,0,0,-1,Longshore,,,,,,,,458752
3,1114112,0,0,16,0,0,11,47,25,7,0,0,-1,Badlands,,,,,,,,6750208
4,131072,0,0,1,0,0,11,72,25,7,0,0,-1,Blasted Lands,,,,,,,,6750210
7,720897,0,720896,10,0,0,11,17,25,3,0,0,-1,Blackwater Cove,,,,,,,,6750210
8,458752,0,0,6,0,0,11,34,25,3,0,0,-1,Swamp of Sorrows,,,,,,,,6750210
9,393218,0,393216,5,0,0,11,9,25,1,0,0,0,Northshire Valley,,,,,,,,196610
12,393216,0,0,5,0,0,11,9,25,1,0,0,-1,Elwynn Forest,,,,,,,,6750210
14,131072,1,0,24,0,0,11,47,25,9,0,0,-1,Durotar,,,,,,,,65538
15,196608,1,0,25,0,0,11,34,25,3,0,0,-1,Dustwallow Marsh,,,,,,,,458754
16,262144,1,0,26,0,0,11,0,25,0,0,0,-1,Aszhara,,,,,,,,6750210
17,65536,1,0,23,0,0,11,46,25,7,0,0,-1,The Barrens,,,,,,,,65538
18,393220,0,393216,5,0,0,11,9,25,1,0,0,-1,Crystal Lake,,,,,,,,6750210
20,196610,0,196608,2,0,0,11,10,25,9,0,0,-1,Moonbrook,,,,,,,,6750210
21,1376256,0,0,20,0,0,11,0,25,0,0,0,-1,Kul Tiras,,,,,,,,6750210
23,393223,0,393216,5,0,0,11,9,25,0,0,0,-1,Northshire River,,,,,,,,6750210
24,393224,0,393216,5,0,0,11,9,25,1,0,0,0,Northshire Abbey,,,,,,,,196610
25,1179648,0,0,17,0,0,11,30,25,10,0,0,-1,Blackrock Mountain,,,,,,,,6750210
28,1245184,0,0,18,0,0,11,41,25,10,0,0,-1,Western Plaguelands,,,,,,,,6750210
30,655360,0,0,9,0,0,11,0,25,0,0,0,-1,Nine,,,,,,,,6750208
32,262147,0,262144,3,0,0,11,14,25,2,0,0,-1,The Cemetary,,,,,,,,6750210
33,720896,0,0,10,0,0,11,17,25,3,0,0,-1,Stranglethorn Vale,,,,,,,,6750210
34,393222,0,393216,5,0,0,11,9,25,1,0,0,8,Echo Ridge Mine,,,,,,,,196610
35,720901,0,720896,10,0,0,11,17,25,3,0,0,-1,Booty Bay,,,,,,,,6750210
36,1310720,0,0,19,0,0,11,40,25,1,0,0,-1,Alterac Mountains,,,,,,,,6750210
37,720899,0,720896,10,0,0,11,17,25,3,0,0,-1,Lake Nazferiti,,,,,,,,6750210
38,983040,0,0,14,0,0,11,44,25,1,0,0,-1,Loch Modan,,,,,,,,6750210
40,196608,0,0,2,0,0,11,10,25,9,0,0,-1,Westfall,,,,,,,,65538
42,262145,0,262144,3,0,0,11,14,25,2,0,0,-1,Darkshire,,,,,,,,6750210
43,720898,0,720896,10,0,0,11,17,25,3,0,0,-1,Wild Shore,,,,,,,,6750208
44,524288,0,0,7,0,0,11,15,25,1,0,0,-1,Redridge Mountains,,,,,,,,458754
45,851968,0,0,12,0,0,11,37,25,8,0,0,-1,Arathi Highlands,,,,,,,,458754
46,589824,0,0,8,0,0,11,30,25,10,0,0,-1,Burning Steppes,,,,,,,,6750210
47,786432,0,0,11,0,0,11,44,25,1,0,0,-1,The Hinterlands,,,,,,,,6750208
49,1441793,0,1441792,21,0,0,11,0,25,0,0,0,-1,Dead Man's Hole,,,,,,,,6750208
51,1507328,0,0,2,0,0,11,30,25,10,0,0,-1,Searing Gorge,,,,,,,,6750210
53,393228,0,393216,5,0,0,11,9,25,1,0,0,-1,Thieves Camp,,,,,,,,6750210
55,393230,0,393216,5,0,0,11,9,25,17,2541,1,-1,Valley of Heroes,,,,,,,,6750210
56,393231,0,393216,5,0,0,11,9,25,1,0,0,6,Hero's Vigil,,,,,,,,196610
57,393232,0,393216,5,0,0,11,9,25,1,0,0,5,Fargodeep Mine,,,,,,,,196610
59,393233,0,393216,5,0,0,11,9,25,1,0,0,-1,Northshire Vineyards,,,,,,,,6750210
61,393235,0,393216,5,0,0,11,9,25,1,0,0,-1,Thunder Falls,,,,,,,,6750210
62,393236,0,393216,5,0,0,11,9,25,1,0,0,8,Brackwell Pumpkin Patch,,,,,,,,196610
63,393237,0,393216,5,0,0,11,9,25,1,0,0,6,The Stonefield Farm,,,,,,,,196610
64,393238,0,393216,5,0,0,11,9,25,1,0,0,6,The Maclure Vineyards,,,,,,,,196610
65,0,0,0,0,0,0,11,0,25,0,0,0,-1,***On Map Dungeon***,,,,,,,,6750208
66,0,1,0,0,0,0,11,0,25,0,0,0,-1,***On Map Dungeon***,,,,,,,,6750208
67,0,17,0,0,0,0,11,0,25,0,0,0,-1,***On Map Dungeon***,,,,,,,,6750208
69,524290,0,524288,7,0,0,11,15,25,1,0,0,-1,Lakeshire,,,,,,,,6750210
70,524291,0,524288,7,0,0,11,15,25,1,0,0,-1,Stonewatch,,,,,,,,6750210
72,131073,0,131072,1,0,0,11,10,25,7,0,0,-1,Dark Portal,,,,,,,,6750210
73,131074,0,131072,1,0,0,11,0,25,7,0,0,-1,Demonic Stronghold,,,,,,,,6750210
74,458753,0,458752,6,0,0,11,34,25,0,0,0,-1,Pool of Tears,,,,,,,,6750210
75,458754,0,458752,6,0,0,11,34,25,0,0,0,-1,Stonard,,,,,,,,6750210
76,458755,0,458752,6,0,0,11,34,25,0,0,0,-1,Fallow Sanctuary,,,,,,,,6750208
77,1048577,0,1048576,15,0,0,11,55,25,8,0,0,0,Anvilmar,,,,,,,,6750210
80,393239,0,393216,5,0,0,11,49,25,17,2523,0,-1,Stormwind City,,,,,,,,6750210
82,1441797,0,1441792,21,0,0,11,1,25,0,0,0,-1,Jeff NW Quadrant,,,,,,,,6750208
83,1441798,0,1441792,21,0,0,11,2,25,0,0,0,-1,Jeff SE Quadrant,,,,,,,,6750208
84,1441799,0,1441792,21,0,0,11,0,25,0,0,0,-1,Jeff SW Quadrant,,,,,,,,6750208
85,1572864,0,0,2,0,0,11,36,25,2,1098149477,0,-1,Tirisfal Glades,,,,,,,,6750210
86,393240,0,393216,5,0,0,11,9,25,1,0,0,-1,Stone Cairn Lake,,,,,,,,6750210
88,393242,0,393216,5,0,0,11,9,25,1,0,0,6,Eastvale Logging Camp,,,,,,,,196610
89,393243,0,393216,5,0,0,11,9,25,1,0,0,-1,Mirror Lake Orchard,,,,,,,,6750210
91,393244,0,393216,5,0,0,11,9,25,1,0,0,8,Tower of Azora,,,,,,,,196610
94,262149,0,262144,3,0,0,11,14,25,2,0,0,-1,Raven Hill,,,,,,,,6750210
95,524293,0,524288,7,0,0,11,15,25,1,0,0,-1,Redridge Canyons,,,,,,,,6750210
96,524294,0,524288,7,0,0,11,15,25,1,0,0,-1,Tower of Ilgalar,,,,,,,,6750210
97,524295,0,524288,7,0,0,11,15,25,1,0,0,-1,Alther's Mill,,,,,,,,6750210
98,524296,0,524288,7,0,0,11,15,25,1,0,0,-1,Rethban Caverns,,,,,,,,6750210
99,720902,0,720896,10,0,0,11,17,25,3,0,0,-1,Rebel Camp,,,,,,,,6750210
101,720904,0,720896,10,0,0,11,17,25,3,0,0,-1,Kurzen's Compound,,,,,,,,6750208
103,720906,0,720896,10,0,0,11,17,25,3,0,0,-1,Ruins of Zul'Mamwe,,,,,,,,6750210
104,720907,0,720896,10,0,0,11,17,25,3,0,0,-1,The Vile Reef,,,,,,,,6750208
105,720908,0,720896,10,0,0,11,17,25,3,0,0,-1,Mosh'Ogg Ogre Mound,,,,,,,,6750210
106,720909,0,720896,10,0,0,11,17,25,3,0,0,-1,The Stockpile,,,,,,,,6750208
107,196612,0,196608,2,0,0,11,10,25,9,0,0,-1,Saldean's Farm,,,,,,,,6750210
108,196613,0,196608,2,0,0,11,10,25,9,0,0,-1,Sentinel Hill,,,,,,,,6750210
109,196614,0,196608,2,0,0,11,10,25,9,0,0,-1,Furlbrow's Pumpkin Farm,,,,,,,,6750210
111,196616,0,196608,2,0,0,11,10,25,9,0,0,-1,Jangolode Mine,,,,,,,,6750208
115,196620,0,196608,2,0,0,11,10,25,9,0,0,-1,Westfall Lighthouse,,,,,,,,458754
116,458756,0,458752,6,0,0,11,34,25,0,0,0,-1,Misty Valley,,,,,,,,6750210
118,917505,0,917504,13,0,0,11,38,25,3,0,0,22,Whelgar's Excavation Site,,,,,,,,6750208
121,262150,0,262144,3,0,0,11,14,25,15,0,0,-1,Tranquil Gardens Cemetery,,,,,,,,458754
122,720911,0,720896,10,0,0,11,17,25,3,0,0,-1,Zuuldaia Ruins,,,,,,,,6750210
123,720912,0,720896,10,0,0,11,17,25,3,0,0,-1,Bal'lal Ruins,,,,,,,,6750210
125,720914,0,720896,10,0,0,11,17,25,3,0,0,-1,Kal'ai Ruins,,,,,,,,6750210
126,720915,0,720896,10,0,0,11,17,25,3,0,0,-1,Tkashi Ruins,,,,,,,,6750210
127,720916,0,720896,10,0,0,11,17,25,3,0,0,-1,Balia'mah Ruins,,,,,,,,6750210
128,720917,0,720896,10,0,0,11,17,25,3,0,0,-1,Ziata'jai Ruins,,,,,,,,6750210
129,720918,0,720896,10,0,0,11,17,25,3,0,0,-1,Mizjah Ruins,,,,,,,,6750210
130,1638400,0,0,2,0,0,11,39,25,2,0,0,-1,Silverpine Forest,,,,,,,,6750210
131,1048578,0,1048576,15,0,0,11,16,25,8,0,0,5,Kharanos,,,,,,,,6750210
132,1048579,0,1048576,15,0,0,11,16,25,0,0,0,-1,Coldridge Valley,,,,,,,,6750210
133,1048580,0,1048576,15,0,0,11,16,25,8,0,0,10,Gnomeregan,,,,,,,,6750210
134,1048581,0,1048576,15,0,0,11,16,25,8,0,0,10,Gol'Bolar Quarry,,,,,,,,6750210
135,1048582,0,1048576,15,0,0,11,16,25,8,0,0,0,Frostmane Hold,,,,,,,,6750210
136,1048583,0,1048576,15,0,0,11,0,25,0,0,0,-1,The Grizzled Den,,,,,,,,6750210
137,1048584,0,1048576,15,0,0,11,16,25,8,0,0,7,Brewnall Village,,,,,,,,6750210
138,1048585,0,1048576,15,0,0,11,16,25,8,0,0,0,Misty Pine Refuge,,,,,,,,6750208
139,1703936,0,0,2,0,0,11,41,25,10,0,0,-1,Eastern Plaguelands,,,,,,,,6750210
141,327680,1,0,2,0,0,11,35,25,11,0,0,-1,Teldrassil,,,,,,,,6750210
142,983041,0,983040,14,0,0,11,44,25,1,0,0,15,Ironband's Excavation Site,,,,,,,,6750210
143,983042,0,983040,14,0,0,11,44,25,1,0,0,18,Mo'grosh Stronghold,,,,,,,,6750210
144,983043,0,983040,14,0,0,11,44,25,1,0,0,10,Thelsamar,,,,,,,,6750210
145,983044,0,983040,14,0,0,11,44,25,1,0,0,18,Algaz Gate,,,,,,,,6750210
146,983045,0,983040,14,0,0,11,44,25,1,0,0,15,Stonewrought Dam,,,,,,,,6750210
147,983046,0,983040,14,0,0,11,44,25,1,0,0,15,The Farstrider Lodge,,,,,,,,6750208
148,393216,1,0,2,0,0,11,33,25,11,0,0,-1,Darkshore,,,,,,,,196608
149,983047,0,983040,14,0,0,11,44,25,1,0,0,12,Silver Stream Mine,,,,,,,,6750208
150,917507,0,917504,13,0,0,11,38,25,3,0,0,20,Menethil Harbor,,,,,,,,458754
152,1572865,0,1572864,2,0,0,11,36,25,2,0,0,-1,The Bulwark,,,,,,,,6750208
154,1572867,0,1572864,2,0,0,11,36,25,15,0,0,-1,Deathknell,,,,,,,,6750210
155,1572868,0,1572864,2,0,0,11,36,25,2,0,0,-1,Night Web's Hollow,,,,,,,,6750210
156,1572869,0,1572864,2,0,0,11,36,25,2,0,0,6,Solliden Farmstead,,,,,,,,6750210
157,1572870,0,1572864,2,0,0,11,36,25,15,0,0,8,Agamand Mills,,,,,,,,6750210
158,1572871,0,1572864,2,0,0,11,56,25,15,0,0,-1,Agamand Family Crypt,,,,,,,,6750210
159,1572872,0,1572864,2,0,0,11,36,25,15,0,0,5,Brill,,,,,,,,6750210
160,1572873,0,1572864,2,0,0,11,36,25,2,0,0,25,Whispering Gardens,,,,,,,,6750208
161,1572874,0,1572864,2,0,0,11,36,25,2,0,0,-1,Terrace of Repose,,,,,,,,6750208
162,1572875,0,1572864,2,0,0,11,36,25,2,0,0,7,Brightwater Lake,,,,,,,,6750208
163,1572876,0,1572864,2,0,0,11,36,25,2,0,0,-1,Gunther's Retreat,,,,,,,,6750208
164,1572877,0,1572864,2,0,0,11,36,25,2,0,0,7,Garren's Haunt,,,,,,,,6750210
165,1572878,0,1572864,2,0,0,11,36,25,15,0,0,-1,Balnir Farmstead,,,,,,,,6750210
166,1572879,0,1572864,2,0,0,11,36,25,2,0,0,5,Cold Hearth Manor,,,,,,,,6750208
167,1572880,0,1572864,2,0,0,11,36,25,2,0,0,-1,Crusader Outpost,,,,,,,,6750208
168,1572881,0,1572864,2,0,0,11,36,25,2,0,0,8,The North Coast,,,,,,,,6750208
170,1835008,0,0,2,0,0,11,36,25,2,0,0,-1,Lordamere Lake,,,,,,,,6750210
172,1638401,0,1638400,2,0,0,11,39,25,2,0,0,18,Fenris Isle,,,,,,,,6750210
187,327682,1,327680,2,0,0,11,35,25,11,0,0,-1,Darnassus,,,,,,,,6750210
189,1048586,0,1048576,15,0,0,11,16,25,8,0,0,5,Steelgrill's Depot,,,,,,,,6750210
190,1245185,0,1245184,18,0,0,11,0,25,0,0,0,-1,Hearthglenn,,,,,,,,6750208
192,1245187,0,1245184,18,0,0,11,0,25,0,0,0,-1,Northridge Lumber Camp,,,,,,,,6750208
193,1245188,0,1245184,18,0,0,11,0,25,15,0,0,-1,Ruins of Anderhol,,,,,,,,6750210
195,1245190,0,1245184,18,0,0,11,0,25,0,0,0,-1,School of Necromancy,,,,,,,,6750208
197,1245192,0,1245184,18,0,0,11,0,25,15,0,0,-1,Sorrow Hill,,,,,,,,6750210
198,1245193,0,1245184,18,0,0,11,0,25,0,0,0,-1,The Weeping Cave,,,,,,,,6750208
199,1245194,0,1245184,18,0,0,11,0,25,0,0,0,-1,Felstone Field,,,,,,,,6750208
200,1245195,0,1245184,18,0,0,11,0,25,0,0,0,-1,Dalson's Tears,,,,,,,,6750208
201,1245196,0,1245184,18,0,0,11,0,25,0,0,0,-1,Gahrron's Withering,,,,,,,,6750208
202,1245197,0,1245184,18,0,0,11,41,25,10,0,0,-1,The Writhing Haunt,,,,,,,,6750208
203,1245198,0,1245184,18,0,0,11,0,25,0,0,0,-1,Mardenholde Keep,,,,,,,,6750208
204,1638402,0,1638400,2,0,0,11,39,25,2,0,0,15,Pyrewood Village,,,,,,,,6750210
205,917508,0,917504,13,0,0,11,38,25,0,0,0,28,Dun Modr,,,,,,,,6750210
206,65536,36,0,2,0,0,11,72,25,9,0,0,-1,Westfall,,,,,,,,6750210
207,131072,36,0,2,0,0,11,10,25,9,0,0,-1,The Great Sea,,,,,,,,6750208
208,196608,36,0,2,0,0,11,0,25,0,0,0,-1,Ironclad Cove,,,,,,,,6750208
209,65536,33,0,2,0,0,11,0,25,0,0,0,-1,Shadowfang,,,,,,,,6750210
