ID,TextureFilename
337,Interface\Icons\Spell_Nature_InvisibilityTotem
338,Interface\Icons\Spell_Nature_ManaRegenTotem
339,Interface\Icons\Trade_Alchemy
340,Interface\Icons\Spell_Nature_SlowingTotem
341,Interface\Icons\Trade_Tailoring
342,Interface\Icons\Trade_BrewPoison
343,Interface\Icons\INV_Misc_Key_04
344,Interface\Icons\INV_Misc_Gem_Sapphire_01
345,Interface\Icons\Trade_Herbalism
346,Interface\Icons\Trade_LeatherWorking
347,Interface\Icons\INV_Misc_Shell_03
348,Interface\Icons\INV_Potion_01
349,Interface\Icons\INV_Misc_Shell_02
350,Interface\Icons\INV_Misc_Dust_02
351,Interface\Icons\INV_Misc_Ammo_Gunpowder_02
352,Interface\Icons\INV_Orb_Arcanite_01
353,Interface\Icons\INV_Misc_Gear_01
354,Interface\Icons\INV_Cask_01
355,Interface\Icons\INV_Misc_Bomb_05
356,Interface\Icons\INV_Misc_StoneTablet_04
357,Interface\Icons\INV_Scroll_05
358,Interface\Icons\INV_Misc_Fork&Knife
359,Interface\Icons\INV_Misc_EmptyFlask_02
360,Interface\Icons\INV_Flask_02
361,Interface\Icons\INV_Flask_05
362,Interface\Icons\INV_Wine_01
363,Interface\Icons\INV_Misc_Cape_18
364,Interface\Icons\INV_Weapon_Bow_05
365,Interface\Icons\INV_Weapon_Halberd_06
366,Interface\Icons\INV_Axe_09
367,Interface\Icons\INV_Mace_01
368,Interface\Icons\INV_Sword_04
369,Interface\Icons\INV_Sword_06
370,Interface\Icons\INV_Spear_05
371,Interface\Icons\INV_Axe_17
372,Interface\Icons\INV_Gauntlets_06
373,Interface\Icons\INV_Misc_Pipe_01
374,Interface\Icons\INV_Misc_Food_09
393,Interface\Icons\INV_Weapon_Rifle_01
413,Interface\Icons\INV_Shield_05
433,Interface\Icons\INV_Banner_03
434,Interface\Icons\INV_ThrowingKnife_05
435,Interface\Icons\INV_Mace_04
436,Interface\Icons\INV_Weapon_Bow_02
437,Interface\Icons\INV_Axe_13
438,Interface\Icons\INV_Sword_26
439,Interface\Icons\INV_Hammer_03
440,Interface\Icons\INV_Shield_04
441,Interface\Icons\INV_Axe_16
442,Interface\Icons\INV_Stone_01
443,Interface\Icons\INV_Axe_11
444,Interface\Icons\INV_Chest_Plate01
453,Interface\Icons\Spell_Holy_BlessingOfProtection
454,Interface\Icons\Ability_Hunter_BeastSoothe
455,Interface\Icons\Ability_Hunter_BeastCall
456,Interface\Icons\Ability_Warrior_BattleShout
457,Interface\Icons\Ability_Warrior_Charge
458,Interface\Icons\Spell_Nature_AstralRecal
459,Interface\Icons\Spell_Nature_AstralRecalGroup
460,Interface\Icons\Spell_Shadow_SummonInfernal
473,Interface\Icons\Ability_Druid_Bash
493,Interface\Icons\Ability_Druid_CatForm
494,Interface\Icons\Ability_Druid_Disembowel
495,Interface\Icons\Ability_Druid_SupriseAttack
496,Interface\Icons\Ability_Druid_Swipe
497,Interface\Icons\Ability_Rogue_Disguise
498,Interface\Icons\Ability_Rogue_Garrote
499,Interface\Icons\Ability_Rogue_KidneyShot
500,Interface\Icons\Ability_Rogue_Rupture
501,Interface\Icons\Spell_Frost_FrostWard
502,Interface\Icons\Spell_Holy_MindVision
503,Interface\Icons\Spell_Holy_Redemption
504,Interface\Icons\Spell_Holy_SealOfSacrifice
505,Interface\Icons\Spell_Magic_FeatherFall
513,Interface\Icons\Ability_Rogue_DualWeild
514,Interface\Icons\Ability_Rogue_Eviscerate
515,Interface\Icons\Ability_Rogue_SliceDice
516,Interface\Icons\Ability_Rogue_Sprint
517,Interface\Icons\Ability_Rogue_Trip
518,Interface\Icons\INV_Poison_MindNumbing
533,Interface\Icons\Ability_DualWield
534,Interface\Icons\Ability_Hunter_BeastTraining
535,Interface\Icons\Ability_Hunter_Pathfinding
536,Interface\Icons\Ability_Hunter_Quickshot
537,Interface\Icons\Ability_Hunter_RunningShot
538,Interface\Icons\Ability_Hunter_SniperShot
539,Interface\Icons\Ability_Rogue_Feint
540,Interface\Icons\Spell_Holy_PrayerOfHealing02
541,Interface\Icons\Spell_Shadow_BloodBoil
542,Interface\Icons\Spell_Shadow_CurseOfAchimonde
543,Interface\Icons\Spell_Shadow_CurseOfMannoroth
544,Interface\Icons\Spell_Shadow_CurseOfSargeras
545,Interface\Icons\Spell_Shadow_DemonBreath
546,Interface\Icons\Spell_Shadow_LifeDrain02
547,Interface\Icons\Spell_Shadow_RainOfFire
548,Interface\Icons\Spell_Shadow_SiphonMana
553,Interface\Icons\Ability_Racial_Ultravision
554,Interface\Icons\INV_Misc_Orb_04
555,Interface\Icons\Spell_Holy_AuraOfLight
556,Interface\Icons\INV_Food_Egg_02
557,Interface\Icons\INV_Wine_03
558,Interface\Icons\Ability_Parry
559,Interface\Icons\Ability_Warrior_DecisiveStrike
560,Interface\Icons\Ability_Warrior_Disarm
561,Interface\Icons\Ability_Warrior_InnerRage
562,Interface\Icons\Ability_Warrior_Revenge
563,Interface\Icons\Ability_Warrior_Riposte
564,Interface\Icons\Ability_Warrior_SavageBlow
565,Interface\Icons\Ability_Warrior_Sunder
566,Interface\Icons\Spell_Holy_PowerWordShield
576,Interface\Icons\INV_Misc_Fish_05
577,Interface\Icons\INV_Misc_Fish_06
578,Interface\Icons\Trade_Engraving
579,Interface\Icons\INV_Staff_Goldfeathered_01
580,Interface\Icons\Trade_Fishing
596,Interface\Icons\Spell_Shadow_Curse
597,Interface\Icons\INV_Misc_MonsterHead_03
598,Interface\Icons\INV_Staff_01
599,Interface\Icons\INV_Misc_Bone_09
600,Interface\Icons\INV_Misc_Bone_06
601,Interface\Icons\INV_Misc_Foot_Kodo
616,Interface\Icons\INV_Misc_Fish_03
617,Interface\Icons\INV_Misc_Monster_MouseTail
636,Interface\Icons\Spell_Nature_Acid_01
677,Interface\Icons\Ability_ShootWand
678,Interface\Icons\Spell_Fire_FlameShock
679,Interface\Icons\Spell_Fire_FlameTounge
680,Interface\Icons\Spell_Fire_SearingTotem
681,Interface\Icons\Spell_Frost_FrostBrand
682,Interface\Icons\Spell_Holy_LesserHeal
683,Interface\Icons\Spell_Holy_LesserHeal02
684,Interface\Icons\Spell_Holy_Heal02
685,Interface\Icons\Spell_Holy_WordFortitude
686,Interface\Icons\Spell_Nature_StrengthOfEarthTotem02
687,Interface\Icons\Spell_Nature_EarthShock
696,Interface\Icons\INV_Misc_Spyglass_01
