ID,ReputationIndex,ReputationRaceMask[0],ReputationRaceMask[1],ReputationRaceMask[2],ReputationRaceMask[3],ReputationClassMask[0],ReputationClassMask[1],ReputationClassMask[2],ReputationClassMask[3],ReputationBase[0],ReputationBase[1],ReputationBase[2],ReputationBase[3],ReputationFlags[0],ReputationFlags[1],ReputationFlags[2],ReputationFlags[3],ParentFactionID,Description_lang[0]
529,13,255,0,0,0,0,0,0,0,200,0,0,0,0,818,0,0,0,
589,27,178,77,0,0,0,0,0,0,-42000,0,0,0,0,830,0,0,0,
649,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,851,0,0,0,
669,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,870,0,0,0,
671,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,891,0,0,0,
674,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,904,0,0,0,
675,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,916,0,0,0,
676,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,932,0,0,0,
677,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,952,0,0,0,
5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,967,0,0,0,
6,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,982,0,0,0,
7,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,998,0,0,0,
8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,0,0,0,
9,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1021,0,0,0,
14,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1035,0,0,0,
16,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1043,0,0,0,
17,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1059,0,0,0,
20,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1075,0,0,0,
22,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1091,0,0,0,
23,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1106,0,0,0,
24,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,0,0,0,
25,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,0,0,0,
26,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1133,0,0,0,
28,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,0,0,0,
29,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,0,0,0,
31,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1169,0,0,0,
33,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,0,0,0,
34,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1195,0,0,0,
35,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1210,0,0,0,
36,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1218,0,0,0,
37,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1225,0,0,0,
39,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1238,0,0,0,
40,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1259,0,0,0,
43,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1268,0,0,0,
44,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1277,0,0,0,
45,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1297,0,0,0,
48,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1307,0,0,0,
49,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1324,0,0,0,
51,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1343,0,0,0,
53,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1359,0,0,0,
55,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1372,0,0,0,
58,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1380,0,0,0,
59,4,255,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,
60,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1416,0,0,0,
62,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1421,0,0,0,
63,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1436,0,0,0,
64,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1445,0,0,0,
65,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1451,0,0,0,
67,12,178,77,0,0,0,0,0,0,3500,-42000,0,0,0,1459,0,0,0,
69,21,69,178,8,0,0,0,0,0,3100,-42000,4000,0,469,1465,0,0,0,
70,6,255,0,0,0,0,0,0,0,-10000,0,0,0,0,1475,0,0,0,
73,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1485,0,0,0,
74,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1491,0,0,0,
75,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1501,0,0,0,
76,14,160,77,2,16,0,0,0,0,3100,-42000,4000,500,67,1508,0,0,0,
77,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1518,0,0,0,
78,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1527,0,0,0,
83,23,255,0,0,0,0,0,0,0,2999,0,0,0,0,1543,0,0,0,
84,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1571,0,0,0,
85,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1591,0,0,0,
86,22,255,0,0,0,0,0,0,0,2999,0,0,0,0,1613,0,0,0,
87,0,255,0,0,0,0,0,0,0,-6500,0,0,0,0,1643,0,0,0,
88,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1664,0,0,0,
89,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1676,0,0,0,
90,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1684,0,0,0,
91,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1700,0,0,0,
92,2,255,0,0,0,0,0,0,0,2000,0,0,0,0,1715,0,0,0,
93,3,255,0,0,0,0,0,0,0,2000,0,0,0,0,1735,0,0,0,
94,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1755,0,0,0,
108,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1765,0,0,0,
109,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1782,0,0,0,
110,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1801,0,0,0,
111,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1823,0,0,0,
128,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1844,0,0,0,
148,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1850,0,0,0,
168,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1858,0,0,0,
169,10,255,0,0,0,0,0,0,0,500,0,0,0,0,1878,0,0,0,
189,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1898,0,0,0,
209,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1915,0,0,0,
229,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1927,0,0,0,
249,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1943,0,0,0,
269,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,0,0,0,
270,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1970,0,0,0,
289,30,255,0,0,0,0,0,0,0,0,0,0,0,0,1989,0,0,0,
4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,0,0,0,
19,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2039,0,0,0,
30,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2046,0,0,0,
47,20,73,178,4,0,0,0,0,0,3100,-42000,4000,0,469,2073,0,0,0,
57,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2083,0,0,0,
68,17,162,77,16,0,0,0,0,0,500,-42000,4000,0,67,2098,0,0,0,
79,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2108,0,0,0,
2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2136,0,0,0,
21,1,255,0,0,0,0,0,0,0,500,0,0,0,169,2148,0,0,0,
32,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2158,0,0,0,
42,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2164,0,0,0,
52,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2179,0,0,0,
66,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2194,0,0,0,
80,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2208,0,0,0,
630,38,178,77,0,0,0,0,0,0,0,-42000,0,0,0,2228,0,0,0,
673,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2246,0,0,0,
369,7,255,0,0,0,0,0,0,0,500,0,0,0,169,2260,0,0,0,
449,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2270,0,0,0,
450,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2289,0,0,0,
469,11,77,178,0,0,0,0,0,0,3300,-42000,0,0,0,2304,0,0,0,
470,9,255,0,0,0,0,0,0,0,500,0,0,0,169,2313,0,0,0,
471,8,73,178,4,0,0,0,0,0,150,-42000,500,0,0,2321,0,0,0,
489,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2337,0,0,0,
509,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2366,0,0,0,
