ID,ClassID,SexID,OutfitID,PetDisplayID,PetFamilyID,ItemID[0],ItemID[1],ItemID[2],ItemID[3],ItemID[4],ItemID[5],ItemID[6],ItemID[7],ItemID[8],ItemID[9],ItemID[10],ItemID[11],ItemID[12],ItemID[13],ItemID[14],ItemID[15],ItemID[16],ItemID[17],ItemID[18],ItemID[19],ItemID[20],ItemID[21],ItemID[22],ItemID[23],RaceID
308,9,1,0,0,0,57,6097,1396,59,2092,159,4604,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
309,4,1,0,0,0,2092,117,6136,6137,6138,0,25861,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
310,3,1,0,0,0,37,4604,2101,2512,2504,6126,127,159,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
311,5,1,0,0,0,36,4540,159,6144,53,52,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
312,7,1,0,0,0,36,117,159,6134,6135,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
314,1,1,0,0,0,38,39,40,0,25,2362,117,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
316,1,1,0,0,0,37,117,6125,139,2362,0,25861,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
317,8,0,0,0,0,6140,1395,6096,55,35,117,159,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
318,8,1,0,0,0,6140,1395,6096,55,35,117,159,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
320,4,0,0,0,0,20982,20897,20896,20898,20857,0,25861,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
321,5,0,0,0,0,20891,53,52,20981,20857,159,51,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
322,9,0,0,0,0,20892,1396,59,20983,6097,20857,159,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
323,8,0,0,0,0,20893,20894,6096,35,20895,20857,159,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
325,4,1,0,0,0,20982,20897,20896,20898,20857,0,25861,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
326,5,1,0,0,0,20891,53,52,20981,20857,159,51,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
327,8,1,0,0,0,20893,20894,6096,35,20895,20857,159,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
328,9,1,0,0,0,20892,1396,59,20983,6097,20857,159,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
329,3,0,0,0,0,20901,20899,20900,159,20982,6948,2101,20980,20857,2512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
330,3,1,0,0,0,20901,20899,20900,159,20982,6948,2101,20980,20857,2512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
331,1,0,0,0,0,23473,23474,23475,23346,6948,4540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
332,1,1,0,0,0,23473,23474,23475,23346,6948,4540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
333,2,0,0,0,0,23476,23477,2361,0,6948,4540,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
334,2,1,0,0,0,23476,23477,2361,0,6948,4540,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
335,3,0,0,0,0,23345,23344,25,23348,6948,4540,159,23347,2101,2512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
336,3,1,0,0,0,23345,23344,25,23348,6948,4540,159,23347,2101,2512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
339,5,0,0,0,0,1396,6097,36,23322,6948,4540,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
340,5,1,0,0,0,1396,6097,36,23322,6948,4540,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
341,8,0,0,0,0,23478,23479,35,23473,6948,4540,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
342,8,1,0,0,0,23478,23479,35,23473,6948,4540,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
343,2,0,0,0,0,24143,24145,24146,23346,0,20857,159,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
344,2,1,0,0,0,24143,24145,24146,23346,0,20857,159,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
345,7,0,0,0,0,23345,23344,23348,6948,36,4540,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
346,7,1,0,0,0,23345,23344,23348,6948,36,4540,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
