"ID","Directory","PVP","MapName_enUS","MapName_enGB","MapName_koKR","MapName_frFR","MapName_deDE","MapName_enCN","MapName_zhCN","MapName_enTW","MapName_Mask","MinLevel","MaxLevel","MaxPlayers","Field08","Field09","Field10","Unk ?AreaTableID?","MapDescription0_enUS","MapDescription0_enGB","MapDescription0_koKR","MapDescription0_frFR","MapDescription0_deDE","MapDescription0_enCN","MapDescription0_zhCN","MapDescription0_enTW","MapDescription0_Mask","MapDescription1_enUS","MapDescription1_enGB","MapDescription1_koKR","MapDescription1_frFR","MapDescription1_deDE","MapDescription1_enCN","MapDescription1_zhCN","MapDescription1_enTW","MapDescription1_Mask","Field_1_5_0_4442_014","Field_1_7_0_4671_015"
"42","Collin","0","Collin's Test","","","","","","","","8323102","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","0","0"
"43","WailingCaverns","0","WailingCavernsInstance","","","","","","","","8323102","0","0","0","-1","0","0","718","","","","","","","","","2031644","","","","","","","","","2031644","142","0"
"44","Monastery","0","MonasteryInterior","","","","","","","","8323102","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","42","0"
"47","RazorfenKraulInstance","0","RazorfenKraul","","","","","","","","8323102","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","25","0"
"48","Blackfathom","0","Blackfathom Instance","","","","","","","","8323102","0","0","0","-1","0","0","719","","","","","","","","","2031644","","","","","","","","","2031644","21","0"
"109","SunkenTemple","0","SunkenTempleInstance","","","","","","","","8323086","0","0","0","-1","0","0","1477","","","","","","","","","2031644","","","","","","","","","2031644","23","0"
"70","Uldaman","0","Uldaman Instance","","","","","","","","8323102","0","0","0","-1","0","0","1337","","","","","","","","","2031644","","","","","","","","","2031644","143","0"
"90","GnomeragonInstance","0","GnomeragonInstance","","","","","","","","8323102","0","0","0","-1","0","0","721","","","","","","","","","2031644","","","","","","","","","2031644","23","0"
"129","RazorfenDowns","0","RazorfenDownsInstance","","","","","","","","8323102","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","145","0"
"249","OnyxiaLairInstance","0","Onyxias Lair Instance","","","","","","","","2031630","0","0","0","-1","0","0","2159","","","","","","","","","2031644","","","","","","","","","2031644","61","0"
"289","SchoolofNecromancy","0","School of Necromancy","","","","","","","","2031646","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","102","0"
"409","MoltenCore","0","Molten Core","","","","","","","","2031646","0","0","0","-1","0","0","2717","","","","","","","","","2031644","","","","","","","","","2031644","61","0"
"469","BlackwingLair","0","Blackwing Lair","","","","","","","","2031646","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","147","0"
"189","MonasteryInstances","0","MonasteryInstances","","","","","","","","2031646","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","42","0"
"269","CavernsOfTime","0","Caverns of Time","","","","","","","","2031646","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","4","0"
"229","BlackRockSpire","0","Blackrock Upper Instance","","","","","","","","2031630","0","0","0","0","0","0","1583","","","","","","","","","2031644","","","","","","","","","2031644","21","0"
"230","BlackrockDepths","0","Blackrock Lower Instance","","","","","","","","2031630","0","0","0","0","0","0","1584","","","","","","","","","2031644","","","","","","","","","2031644","103","0"
"349","Mauradon","0","Mauradon","","","","","","","","2031646","0","0","0","-1","0","0","2100","","","","","","","","","2031644","","","","","","","","","2031644","81","0"
"449","AlliancePVPBarracks","0","Alliance PVP Barracks","","","","","","","","2031630","0","0","0","-1","0","0","2918","","","","","","","","","2031644","","","","","","","","","2031644","4","0"
"450","HordePVPBarracks","0","Horde PVP Barracks","","","","","","","","2031630","0","0","0","-1","0","0","2917","","","","","","","","","2031644","","","","","","","","","2031644","3","0"
"451","development","0","Development Land","","","","","","","","2031630","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","21","0"
"489","PVPZone03","1","Warsong Gulch","","","","","","","","983070","21","60","10","-1","0","0","3277","A valley on the border of Ashenvale Forest and the Barrens, Warsong Gulch hosts a perpetual battle between the Horde and the Alliance.  Orcs use their Warsong Mill to cut lumber reaped from Ashenvale, provoking assaults from the night elves of Silverwing Hold.  Eager to aid their allies, members of every race in Azeroth rush to the Gulch and lend sword, or spell, to the conflict.","","","","","","","","983054","A valley on the border of Ashenvale Forest and the Barrens, Warsong Gulch hosts a perpetual battle between the Horde and the Alliance.  Orcs use their Warsong Mill to cut lumber reaped from Ashenvale, provoking assaults from the night elves of Silverwing Hold.  Eager to aid their allies, members of every race in Azeroth rush to the Gulch and lend sword, or spell, to the conflict.","","","","","","","","983054","122","10"
"509","AhnQiraj","0","Ahn'Qiraj","","","","","","","","983070","0","0","0","-1","0","0","0","","","","","","","","","983052","","","","","","","","","983052","25","0"
"30","PVPZone01","1","Alterac Valley","","","","","","","","983070","51","60","40","-1","1060991140","1051595899","0","Hidden within the Alterac Mountains, Alterac Valley is the home of Thrall’s own clan of orcs – the Frostwolves.  The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches, and links to their ancestral past.  And so the territorial Frostwolves, unwilling to suffer the dwarven incursion, have rallied an army… an army eager for righteous slaughter.","","","","","","","","983054","Hidden within the Alterac Mountains, Alterac Valley is the home of Thrall’s own clan of orcs – the Frostwolves.  The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches, and links to their ancestral past.  And so the territorial Frostwolves, unwilling to suffer the dwarven incursion, have rallied an army… an army eager for righteous slaughter.","","","","","","","","983054","104","0"
