ID,FileName,SpecialID,SpecialAttachPoint,AreaEffectSize,VisualEffectNameFlags
415,Spells\Renew_Chest.mdx,-1,2359224,0,82784544
416,Spells\Strike_Impact_Chest.mdx,-1,0,1,0
417,Spells\TankardA_SpellObject.mdx,-1,1586,0,86005840
420,Spells\Flamestrike_Impact_Base.mdx,-1,0,1,8
421,Spells\Ice_Precast_Low_Hand.mdx,-1,0,1,0
422,Spells\MageArmor_Impact_Head.mdx,-1,2359184,0,83955520
423,Spells\LesserHeal_Base.mdx,-1,1586,0,85527104
424,Spells\FireShieldFinal_Impact_Head.mdx,-1,2359184,0,83758656
425,Spells\FireWard_Impact_Chest.mdx,-1,2359184,0,83264448
426,Spells\FrostWard_Impact_Chest.mdx,-1,2359184,0,83846096
427,Spells\SealOfMight_Impact_Base.mdx,-1,2359184,0,84902928
428,Spells\SealOfWrath_Impact_Base.mdx,-1,2359184,0,83945776
429,Spells\SealOfFury_Impact_Base.mdx,-1,0,1,0
430,Spells\SealOfSalvation_Impact_Base.mdx,-1,2359184,0,84200232
431,Spells\SealOfWisdom_Impact_Base.mdx,-1,2359184,0,84008064
432,Spells\SealOfProtection_Impact_Base.mdx,-1,2359184,0,83726536
433,Spells\MoltenBlast_Missile_Lvl2.mdx,-1,2359184,0,84105920
434,Spells\MoltenBlast_Missile_Lvl3.mdx,-1,2359184,0,84140928
435,Spells\HealingAura_Base.mdx,-1,2359184,1,84494784
436,Spells\MindRot_Head.mdx,-1,2359152,0,84294816
437,Spells\FarSight_Impact_Base.mdx,-1,2359184,0,84258200
438,Spells\Purify_Base.mdx,-1,2359184,0,84349512
439,Spells\TurnUndead_Impact.mdx,-1,2359184,0,83821056
440,Spells\Flare_Cast_Base.mdx,-1,89368264,0,84652776
441,Spells\ResistanceAura_Base.mdx,-1,0,1,0
442,Spells\FistOfJustice_Cast_Base.mdx,-1,2359184,0,84470016
444,Spells\FistOfJustice_Impact_Chest.mdx,-1,0,1,0
445,Spells\Exorcism_Impact_Chest.mdx,-1,2359184,0,85069944
446,Spells\Purge_New_Impact_Chest.mdx,-1,2359184,0,83981992
447,Spells\HolyWard_Impact_Chest.mdx,-1,2621328,0,83972064
448,Spells\RainOfFire_Impact_Base.mdx,-1,2621328,0,84101544
449,Spells\FireResistance_Impact_Base.mdx,-1,2621328,0,84435768
450,Spells\NatureResistance_Impact_Base.mdx,-1,0,1,0
451,Spells\ArcaneSpirit_Impact_Base.mdx,-1,2621328,0,84355696
452,Spells\Fear_Impact_Chest.mdx,-1,2621328,0,84244768
453,Spells\Fear_State_Head.mdx,-1,2621328,0,84089984
454,Spells\Clense_Base.mdx,-1,2621328,0,84385120
455,Spells\BloodBoil_Impact_Chest.mdx,-1,2621328,0,83748640
456,Spells\CurseOfTongues_Impact.mdx,-1,2621328,0,83930416
457,Spells\CurseOfTongues_State_Chest.mdx,-1,2621328,0,83930416
458,Spells\Cleave_Impact_Chest.mdx,-1,0,1,0
459,Spells\ShadowWard_Impact_Chest.mdx,-1,0,1,0
460,Spells\ShieldWall_Impact_Base.mdx,-1,2621328,0,84501376
461,Spells\SpellBreak_Cast_Base.mdx,-1,2621328,0,84168976
462,Spells\Cripple_State_Base.mdx,-1,0,1,0
463,Spells\BalanceOfNature_Impact_Base.mdx,-1,0,1,0
464,Spells\DemonBreath_Impact_Head.mdx,-1,2621368,0,83938128
465,Spells\Fireworks_Red_01.mdx,-1,89368264,0,83847912
466,Spells\Pathfind_Cast_Head.mdx,-1,0,1,0
467,Spells\ManaInfuse_Base.mdx,-1,89368264,0,85398568
468,Spells\Waterbreathing_Impact_Base.mdx,-1,89368264,0,84396344
469,Spells\BeastSoothe_State_Head.mdx,-1,89368264,0,84709128
470,Spells\Pestilence_Impact_Chest.mdx,-1,89368264,0,84237368
474,Spells\Cripple_Impact_Base.mdx,-1,0,1,0
475,Spells\MarkofWild_Impact_Head.mdx,-1,0,1,0
476,Spells\BurningSpirit_Impact_Head.mdx,-1,2621264,0,90518824
477,Spells\SpellObject_SmithingHammer.mdx,-1,2621296,0,91350288
478,Spells\Disarm_Impact_Chest.mdx,-1,2621304,0,91047376
479,Spells\Sunder_Impact_Chest.mdx,-1,2621304,0,90385192
480,Spells\SavageBlow_Impact_Chest.mdx,-1,2621304,0,90583592
481,Spells\DecisiveStrike_Impact_Chest.mdx,-1,2621304,0,90704704
482,Spells\BeastCall_Impact_Head.mdx,-1,94872456,0,90837680
502,Spells\FireBlast_Impact_Chest.mdx,-1,94806920,0,91176168
503,Spells\Fireball_Missile_High.mdx,-1,94806920,0,91671792
522,Spells\Maim_Impact_Chest.mdx,-1,2359184,0,83955520
523,Spells\FireShot_Missile.mdx,-1,94872456,0,90668768
524,Spells\FrostShot_Missile.mdx,-1,94872456,0,90668768
525,Spells\BlindingShot_Missile.mdx,-1,94937992,0,90473968
526,Spells\BlindingShot_Impact.mdx,-1,94937992,0,90463648
527,Spells\MultiShot_Impact.mdx,-1,94937992,0,90453016
528,Spells\MultiShot_Missile.mdx,-1,94937992,0,90453016
529,Spells\Maul.mdx,-1,11,1,1
534,Particles\BloodSpurts\BloodSpurt.mdx,10,10,1,0
535,Particles\BloodSpurts\BloodSpurtGreen.mdx,33,10,1,0
532,Particles\BloodSpurts\BloodSpurtBlack.mdx,38,11,1,93033136
533,Particles\BloodSpurts\BloodSpurtBlackLarge.mdx,39,11,1,93033136
536,Particles\BloodSpurts\BloodSpurtBlack.mdx,40,10,1,0
537,Particles\BloodSpurts\BloodSpurtGreenLarge.mdx,34,10,1,0
538,Particles\BloodSpurts\BloodSpurtBlackLarge.mdx,41,10,1,0
539,Spells\CurseofMannoroth_Head.mdx,-1,0,1,0
540,Spells\ShadowStrike_Impact_Chest.mdx,-1,0,1,0
542,Spells\Sap_State_Head.mdx,-1,0,1,0
543,Spells\DemoralizingShout_Impact_Head.mdx,-1,95003456,0,91910888
544,Spells\IntimidatingShout_Impact_Head.mdx,-1,95003456,0,91920680
545,Spells\RibbonTrail.mdx,-1,95003456,0,91194320
546,Spells\Sprint_Cast_Base.mdx,-1,95003456,0,92344280
547,Spells\InnerRage_Impact_Chest.mdx,-1,95003456,0,92260912
548,Spells\Shadow_ImpactDD_Med_Chest.mdx,-1,0,1,0
565,Spells\DruidMorph_Impact_Base.mdx,-1,2490240,0,91861496
585,Spells\Nightmare_Impact_Base.mdx,-1,4,1,0
586,Spells\WaterElemental_Impact_Base.mdx,-1,2490240,0,91449232
587,Spells\MoltenBlast_Missile.mdx,-1,0,1,0
588,Spells\Fire_ImpactDD_Chest.mdx,-1,94937920,0,90920128
589,Spells\Eviscerate_Impact_Chest.mdx,-1,0,1,0
590,Spells\Eviscerate_Cast_Hands.mdx,-1,0,1,0
591,Spells\Distract_Impact_Chest.mdx,-1,94937920,0,92231256
592,Spells\KidneyShot_Base_Cast.mdx,-1,95003712,0,90468888
593,Spells\RetributionAuraRed_Base.mdx,-1,95003712,0,90536256
594,Spells\Net_State.mdx,-1,95003712,0,90742168
595,Spells\Web_State.mdx,-1,95003712,0,90968136
596,Spells\SealOfSacrifice_Impact_Base.mdx,-1,95003712,0,92421240
614,Spells\FlamestrikeSmall_Impact_Base.mdx,-1,95003712,0,92255832
615,Spells\IceArmor_Low_Head.mdx,-1,2490240,0,90938544
616,Spells\FrostArmorEffect_Impact_Chest.mdx,-1,2490240,0,91459312
617,Spells\DivineBubble_Low_Base.mdx,-1,95005768,0,91659200
618,Spells\Web_Missile.mdx,-1,95005768,0,92421928
619,Spells\Bind_Impact_Base.mdx,-1,95071304,0,91805616
620,Spells\Poison_ImpactDot_Med_Base.mdx,-1,10,1,0
621,Spells\BloodyExplosionGreen.mdx,-1,95071304,0,92501048
1,Particles\FireShield_Cast_Base.mdl,-1,4,1,0
2,Spells\FireBolt_ImpactDD_Med_Chest.mdx,-1,4,1,0
3,Spells\Heal\Heal.mdl,-1,4,1,0
4,Spells\HealCast\HealCast.mdl,-1,4,1,0
6,Spells\TeleportIn\TeleportIn.mdx,-1,4,1,0
10,Spells\TeleportCast\TeleportCast.mdl,-1,4,1,0
11,Particles\FootstepSpraySnow.mdl,2,4,1,1
12,Particles\FootstepSpraySnowWalk.mdl,3,4,1,1
14,Particles\LootFX.mdl,0,0,1,5
17,Spells\Shadow_Precast_Low_Hand.mdx,-1,4,1,0
18,Spells\DeathTouchCast\DeathTouchCast.mdl,-1,4,1,0
20,Spells\HealHands\HealHands.mdl,-1,4,1,0
21,Spells\LevelUp\LevelUp.mdl,1,0,1,1
23,Particles\FreezingFinger2_Impact_Head.MDL,-1,0,1,0
24,Particles\FreezingFinger_Impact_Chest.MDL,-1,0,1,0
25,Particles\FreezingFinger_Impact_Base.MDL,-1,0,1,0
26,Particles\FrostCastConeofCold.MDL,-1,0,1,0
27,Spells\Summon03\Summon03.mdl,-1,0,1,0
28,Particles\Numb_Impact_Base.MDL,-1,0,1,0
29,Particles\FreezingCloud_Impact_Base.MDL,-1,0,1,0
30,Particles\Numb_Precast_Hand.MDL,-1,0,1,0
32,Particles\FrostBolt_Missle.mdl,-1,0,1,0
33,Particles\FrostBlast_Precast_Hand.MDL,-1,0,1,0
34,Particles\FrostBolt_Impact_Chest.mdl,-1,0,1,0
36,Particles\Freeze_Impact_Base.MDL,-1,0,1,0
37,Particles\Freeze_Impact_Chest.MDL,-1,0,1,0
38,Particles\FrostArmor_Impact_Head.MDL,-1,0,1,0
39,Particles\FrostNova_Impact_Chest.MDL,-1,0,1,0
40,Particles\FreezeNova_Impact_Chest.MDL,-1,0,1,0
41,Particles\FreezingFinger4_Impact_Head.mdl,-1,0,1,0
42,Particles\StarStun.MDL,-1,0,1,0
43,Particles\CorrodeArmor_Impact_Head.MDL,-1,0,1,0
44,Particles\Slow_Hands.mdl,-1,0,1,0
45,Spells\Fire_Precast_Low_Hand.mdx,-1,0,1,0
46,Particles\BurningBlast_Precast_Base.MDL,-1,0,1,0
47,Particles\WallofFire_area.mdl,-1,0,1,0
48,Particles\BoltofIce_Impact_Chest.mdl,-1,0,1,0
49,Particles\FrostBlast_Precast_Base.mdl,-1,0,1,0
50,Spells\StunSwirl_State_Head.mdx,-1,0,1,0
51,Particles\WalkofFire_area.mdl,-1,0,2,0
53,Particles\Frost_Precast_Base.mdl,-1,0,1,0
54,Spells\Ice_Precast_Uber_Head.mdx,-1,0,1,0
55,Particles\BloodSpurts\BloodSpurtLarge.mdx,24,10,1,0
56,Particles\BoltofFire_missle.mdl,-1,0,1,0
57,Particles\FireShield_Impact_Base.mdl,-1,0,1,0
58,Particles\Frost_Cast_Chest.mdl,-1,0,1,0
59,Particles\Frost_Precast_Chest.mdl,-1,0,1,0
60,Particles\Frost_Cast_Base.mdl,-1,0,1,0
61,Particles\Frost_Precast3_Base.mdl,-1,0,1,0
62,Particles\Frost_Cast2_Base.mdl,-1,0,1,0
63,Particles\Frost_Precast_Low_Hand.mdl,-1,0,1,0
64,Particles\Frost_Cast_Hand.mdl,-1,0,1,0
65,Particles\BurningBlast_Cast_Base.mdl,-1,0,1,0
66,Particles\FreezingFinger1_Impact_Head.mdl,-1,0,1,0
67,Particles\FrostBlast_Cast_Base.mdl,-1,0,1,0
68,Particles\FreezingFinger3_Impact_Head.mdl,-1,0,1,0
69,Particles\CircleofFlame_area.mdl,-1,0,1,0
70,Spells\Rejuvenation_Impact_Base.mdx,-1,0,1,0
71,Particles\NaturesTouch1_Impact_Chest.mdl,-1,0,1,0
72,Particles\Nature_Precast_Base.mdl,-1,0,1,0
73,Spells\Nature_Cast_Hand.mdx,-1,4,1,0
74,Spells\CallLightning_Impact.mdx,-1,4,1,0
75,Particles\FireShield_State_Base.mdl,-1,1196424,0,0
76,Particles\Engulfing_Flame_Impact.mdl,-1,1196424,0,0
77,Particles\CallStorm_PreCast_Base.mdl,-1,0,1,0
78,Particles\LightningShield_Impact_Chest.mdl,-1,0,1,0
79,Particles\EntanglingRoots_Impact_Base.mdl,-1,4,1,0
80,Spells\EntanglingRoots_State.mdx,-1,4,1,8
81,Particles\FrostCloud_Cast_Base.mdl,-1,0,1,0
82,Particles\Nature_Cast_Base.mdl,-1,0,1,0
83,Spells\Ice_ImpactDD_Low_Chest.mdx,-1,4,1,0
84,Particles\IcePrison_State.mdl,-1,4,1,0
85,Particles\Resurrection_Impact_Base.mdl,-1,4,1,0
86,Spells\DefensiveStance_Impact_Chest.mdx,-1,0,1,0
87,Particles\LightningShield_Cast_Base.mdl,-1,4,1,0
88,Spells\Lightning_PreCast_Low_Hand.mdx,-1,0,1,0
89,Spells\Immolate_Impact_Chest.mdx,-1,4,1,0
90,Spells\SliceDice_Impact_Chest.mdx,-1,4,1,0
91,Particles\BloodLust_Impact_Base.mdl,-1,4,1,0
92,Particles\Dismember_Impact_Chest.mdl,-1,0,1,0
93,Spells\ShieldBash_Impact_Chest.mdx,-1,0,1,0
94,Spells\BloodLust_State_Hand.mdx,-1,0,1,0
95,Particles\BloodLust_Precast_Base.mdl,-1,0,1,0
96,Particles\Lightning_PreCast_Base.mdl,-1,0,1,0
97,Spells\Cripple_State_Chest.mdx,-1,0,1,0
98,Particles\Impale_Impact_Chest.mdl,-1,0,1,0
99,Spells\Food_HealEffect_Base.mdx,-1,0,1,0
100,Spells\Teleport.mdx,-1,4,1,0
101,Spells\HeadSplitter_Impact_Chest.mdx,-1,0,1,0
102,Spells\BloodLust_Cast_Hand.mdx,-1,4,1,0
103,Spells\SummonPet_Impact_Base.mdx,-1,0,1,0
104,Particles\DismemberBlood_Impact_Chest.mdl,-1,0,1,0
105,Particles\FootstepSprayDirt.mdl,4,4,1,1
106,Particles\FootstepSprayDirtWalk.mdl,5,4,1,1
107,Particles\ColdBreath.mdl,6,5,1,3
108,Particles\Bubbles.mdl,7,5,1,3
109,Particles\BloodSpurts\BloodSpurt.mdl,8,11,1,1
110,Spells\Holy_ImpactDD_Uber_Chest.mdx,-1,6,1,1
117,Spells\Ice_Precast_Low_Hand.mdx,-1,6,1,1
118,Particles,-1,0,1,0
119,Spells\Holy_Precast_Uber_Hand.mdx,-1,0,1,0
120,Particles,-1,0,1,0
121,Spells\Ice_Precast_Med_Hand.mdx,-1,6,1,1
122,Spells\Ice_Precast_High_Base.mdx,-1,6,1,1
123,Spells\Holy_Precast_High_Base.mdx,-1,6,1,1
124,Spells\Holy_ImpactDD_Med_Chest.mdx,-1,6,1,1
125,Spells\Holy_ImpactDD_High_Chest.mdx,-1,6,1,1
126,Spells\Ice_Precast_High_Hand.mdx,-1,6,1,1
127,Spells\Ice_Precast_Uber_Hand.mdx,-1,6,1,1
128,Spells\Ice_Precast_Uber_Base.mdx,-1,6,1,1
129,Spells\Holy_ImpactDD_Low_Chest.mdx,-1,6,1,1
130,Spells\Holy_Precast_Med_Hand.mdx,-1,6,1,1
131,Spells\Holy_Precast_High_Hand.mdx,-1,6,1,1
134,Particles\Heal_Precast_Base.mdl,-1,0,1,0
135,Spells\Holy_Precast_Low_Hand.mdx,-1,0,1,0
136,Particles\Heal_cast_Base.mdl,-1,0,1,0
140,Particles\Heal_Impact_Base.mdl,-1,0,1,0
141,Particles\Heal_Precast_Chest.mdl,-1,0,1,0
142,Particles\HolySmite_Impact_Chest.mdl,-1,0,1,0
143,Particles\HolySmite_Precast_Base.mdl,-1,4,1,0
144,Particles\Restoration_PreCast_Chest.mdl,-1,0,1,0
145,Particles\Restoration_Precast_Base.mdl,-1,0,1,0
146,Spells\Nature_PreCast_Low_Hand.mdx,-1,0,1,0
147,Spells\Restoration_Impact_Base.mdx,-1,1196196,0,0
148,Spells\Holy_ImpactDD_Uber_Base.mdx,-1,0,1,0
149,Spells\Shadow_ImpactDD_Low_Chest.mdx,-1,0,1,0
150,Spells\Shadow_ImpactDD_Med_Base.mdx,-1,0,1,0
151,Spells\DeathCoil_Missile.mdx,-1,0,1,0
152,Particles\Bloodlust_PreCast_Hand.mdl,-1,0,1,0
153,Particles\PiercingStrike_Cast_Hand.mdl,-1,0,1,0
154,Particles\BurningBlast_Impact_Chest.mdl,-1,0,1,0
155,Particles\HealSelf_Impact_Base.mdl,-1,0,1,0
156,Particles\HealSelf_PreCast_Hand.mdl,-1,4,1,0
157,Spells\LightningBolt_Missile.mdx,-1,0,1,0
158,Spells\Slow_Impact_Base.mdx,-1,0,1,0
159,Particles\LoginFX.mdl,-1,1196120,0,0
160,Particles\CorrodeArmor_Impact_Head.mdl,-1,0,1,0
161,Particles\PWShadow_Impact.mdl,-1,0,1,0
162,Spells\Invisibility_Impact_Base.mdl,-1,0,1,0
163,Particles\Invisibility_PreCast_Hand.mdl,-1,0,1,0
164,Particles\BloodSpurts\BloodSpurtLarge.mdl,23,11,1,1
167,Particles\MoltenBlast_Impact.mdl,-1,0,1,0
168,Spells\BrillianceAura.mdl,-1,4,1,0
169,Spells\SummonPet_Cast_Impact_Base.mdx,-1,0,1,0
170,Spells\Summon_PreCast_Hand.mdx,-1,4,1,0
171,Spells\MiningPick_SpellObject.mdx,-1,4,1,0
172,Particles\FrostNova_AE_Impact.mdl,-1,4,50,0
173,Spells\LightningShield_Impact_Base.mdx,-1,4,1,0
174,Particles\Physical_Fizzle_Hand.mdl,25,6,1,1
175,Particles\Holy_Fizzle_Hand.mdl,26,6,1,1
176,Particles\Fire_Fizzle_Hand.mdl,27,6,1,1
177,Particles\Nature_Fizzle_Hand.mdl,28,6,1,1
178,Particles\Frost_Fizzle_Hand.mdl,29,6,1,1
179,Particles\Shadow_Fizzle_Hand.mdl,30,6,1,1
180,Particles\DivineSmite_Precast_Base.mdl,-1,0,1,0
181,Particles\DivineSmite_Impact_Chest.mdl,-1,0,1,0
182,Particles\DivineSmite_Impact_Base.mdl,-1,4,1,0
183,Particles\BloodSpurts\BloodSpurtGreen.mdl,31,11,1,1
184,Particles\BloodSpurts\BloodSpurtGreenLarge.mdl,32,11,1,1
187,Spells\FireShield_Impact_Head.mdx,-1,4,1,0
188,Spells\FireBolt_Missile_Low.mdx,-1,4,1,0
189,Spells\BlessingofStrength_Base.mdx,-1,0,1,0
190,Spells\BlessingofStrength_Base.mdx,-1,0,1,0
191,Spells\BlessingofAgility_Base.mdx,-1,0,1,0
192,Spells\BlessingofAgility_Base.mdx,-1,0,1,0
193,Spells\BlessingofStamina_Base.mdx,-1,0,1,0
194,Spells\BlessingofStamina_Base.mdx,-1,0,1,0
195,Spells\BlessingofProtection_Base.mdx,-1,0,1,0
196,Spells\BlessingofProtection_Base.mdx,-1,0,1,0
197,Particles\HolyLight_Impact_Base.mdl,-1,0,1,0
198,Particles\InnerFire_Impact_Base.mdl,-1,0,1,0
200,Particles\FootstepSprayWater.mdl,35,4,1,1
201,Particles\FootstepSprayWaterWalk.mdl,36,4,1,1
202,Particles\MorphFX.mdl,37,4,1,1
205,Particles\Frost_Precast_High_Hand.mdl,-1,0,1,0
206,Particles\Frost_Precast_Med_Hand.mdl,-1,0,1,0
207,Particles\Frost_Precast_Uber_Hand.mdl,-1,4,1,0
208,Particles\Frost_Precast_High_Base.mdl,-1,0,1,0
210,Particles\Frost_Precast_Uber_Base.mdl,-1,4,1,0
211,Spells\Holy_Precast_Uber_Base.mdx,-1,4,1,0
212,Spells\Fire_ImpactDD_High_Chest.mdx,-1,1194572,0,0
213,Spells\Fire_ImpactDD_High_Base.mdx,-1,0,1,0
214,Spells\Ice_ImpactDD_Med_Chest.mdx,-1,4,1,0
215,Spells\SwipeCaster.mdx,-1,4,1,0
216,Spells\Ice_ImpactDD_Uber_Chest.mdx,-1,0,1,0
217,Spells\Fire_ImpactDD_Low_Chest.mdx,-1,0,1,0
218,Spells\Fire_ImpactDD_Med_Chest.mdx,-1,0,1,0
219,Spells\Fire_ImpactDD_Uber_Base.mdx,-1,0,1,0
220,Spells\Fire_ImpactDD_Uber_Chest.mdx,-1,0,1,0
221,Spells\Ice_Precast_High_Head.mdx,-1,10,1,0
222,Spells\Holy_ImpactDD_High_Base.mdx,-1,10,1,0
223,Spells\DeathCoil_Impact_Chest.mdx,-1,0,1,0
224,Spells\Holy_Missile_Low.mdx,-1,10,1,0
225,Spells\Holy_Missile_Med.mdx,-1,10,1,0
226,Spells\Holy_Missile_High.mdx,-1,0,1,0
227,Spells\Holy_Missile_Uber.mdx,-1,10,1,0
228,Spells\BloodyExplosion.mdx,-1,10,1,0
229,Spells\FlameStrike_ImpactDD_Med_Base.mdx,-1,0,1,0
230,Spells\Poison_ImpactDot_Med_Chest.mdx,-1,10,1,0
231,Spells\Ice_Missile_Low.mdx,-1,10,1,0
232,Spells\Ice_Missile_Med.mdx,-1,0,1,0
233,Spells\Frostbolt.mdx,-1,0,1,0
234,Spells\Ice_Missile_Uber.mdx,-1,0,1,0
235,Spells\Ice_ImpactDOT_Low.mdx,-1,10,1,0
236,Spells\Poison_ImpactDot_Med_Base.mdx,-1,10,1,0
237,Spells\FireStrike_Missile_Low.mdx,-1,1194004,0,0
238,Spells\FrostArmor_Low_Head.mdx,-1,10,1,0
239,Spells\Shadow_ImpactBuff_Base.mdx,-1,10,1,0
240,Spells\Dispel_Low_Base.mdx,-1,10,1,0
241,Spells\DemonArmor_Impact_Head.mdx,-1,10,1,0
242,Spells\PotionA_SpellObject.mdx,-1,0,1,0
243,Spells\PotionB_SpellObject.mdx,-1,0,1,0
244,Spells\HolyLight_Low_Head.mdx,-1,10,1,0
245,Spells\LayonHands_Low_Chest.mdx,-1,10,1,0
246,Spells\LayonHands_Low_Head.mdx,-1,10,1,0
247,Spells\HolyWordHeal_Base.mdx,-1,10,1,0
248,Spells\GreaterHeal_Low_Base.mdx,-1,10,1,0
249,Spells\Heal_Low_Base.mdx,-1,10,1,0
251,Spells\Corruption_ImpactDot_Med_Base.mdx,-1,10,1,0
252,Spells\Fire_DOT_State_Chest.mdx,-1,10,1,0
253,Spells\Nullify_base.mdx,-1,10,1,0
254,Spells\ChainsofIce_Low_Base.mdx,-1,10,1,8
255,Spells\Sleep_State_Head.mdx,-1,10,1,0
256,Spells\DynamiteA_SpellObject.mdx,-1,10,1,0
257,Spells\Bomb_ExplosionA.mdx,-1,10,1,8
258,Spells\DynamiteA_Missile.mdx,-1,10,1,0
259,Spells\Frostbolt.mdx,-1,0,1,0
260,Spells\SealofMight_Low_Base.mdx,-1,10,1,0
261,Spells\BurningSpirit_Impact_Base.mdx,-1,0,1,0
262,Spells\DivineShield_Low_Chest.mdx,-1,10,1,0
263,Spells\DivineShield_Low_Base.mdx,-1,10,1,0
264,Spells\BurningIntellect_Impact_Base.mdx,-1,10,1,0
265,Spells\ArcaneIntellect_Impact_Base.mdx,-1,0,1,0
266,Spells\Taunt_Head.mdx,-1,0,1,0
267,Spells\ConjureItem.mdx,-1,1191944,0,0
268,Spells\DevotionAura_Base.mdx,-1,0,1,0
269,Spells\ConjureItemCast.mdx,-1,4,1,0
