ID,MapAreaID,AreaID[0],AreaID[1],AreaID[2],AreaID[3],MapPointX,MapPointY,TextureName,TextureWidth,TextureHeight,OffsetX,OffsetY,HitRectTop,HitRectLeft,HitRectBottom,HitRectRight
244,4,367,0,0,0,0,0,SENJINVILLAGE,165,200,474,384,450,525,525,600
248,4,368,0,0,0,0,0,ECHOISLES,200,240,549,427,470,600,660,710
250,4,372,0,0,0,0,0,TIRAGARDEKEEP,190,180,462,286,325,535,425,620
86,41,186,0,0,0,0,0,DOLANAAR,190,128,462,323,340,495,420,610
84,41,736,0,0,0,0,0,BANETHILHOLLOW,160,210,382,281,305,420,460,510
85,41,187,0,0,0,0,0,DARNASSUS,245,256,145,247,290,200,480,350
87,41,261,0,0,0,0,0,GNARLPINEHOLD,185,128,368,443,465,400,535,480
88,41,259,0,0,0,0,0,LAKEALAMETH,256,185,436,380,425,495,525,660
89,41,478,0,0,0,0,0,POOLSOFARLITHRIEN,128,190,335,313,380,375,470,435
90,41,702,0,0,0,0,0,RUTTHERANVILLAGE,97,97,510,559,600,550,615,565
91,41,188,0,0,0,0,0,SHADOWGLEN,225,225,491,153,205,535,330,660
101,27,133,0,0,0,0,0,GNOMERAGON,185,165,166,184,215,205,295,280
102,27,211,0,0,0,0,0,ICEFLOWLAKE,128,180,281,167,195,315,320,385
106,27,806,0,0,0,0,0,SOUTHERNGATEOUTPOST,128,120,792,279,305,825,375,885
114,27,136,0,0,0,0,0,THEGRIZZLEDDEN,200,185,314,311,350,380,425,440
123,30,60,120,0,0,0,0,FORESTSEDGE,256,341,124,327,445,200,645,300
124,30,57,63,64,0,0,0,FARGODEEPMINE,256,240,238,428,510,300,615,470
126,30,797,0,0,0,0,0,JERODSLANDING,256,237,425,431,495,460,615,615
127,30,91,54,0,0,0,0,TOWEROFAZORA,255,250,551,292,400,610,490,745
128,30,62,0,0,0,0,0,BRACKWELLPUMPKINPATCH,256,249,577,419,495,615,565,735
130,30,798,0,0,0,0,0,RIDGEPOINTTOWER,306,233,696,435,505,790,570,915
161,27,132,77,0,0,0,0,ANVILMAR,240,185,155,403,445,190,560,340
198,9,397,0,0,0,0,0,THUNDERHORNWATERWELL,128,155,379,242,270,415,340,480
222,20,812,0,0,0,0,0,VENOMWEBVALE,237,214,757,205,240,777,408,970
223,20,160,161,0,0,0,0,MONASTARY,211,189,746,125,144,766,295,933
246,4,366,0,0,0,0,0,KOLKARCRAG,160,120,413,476,500,460,560,520
252,4,362,0,0,0,0,0,RAZORHILL,220,230,432,170,245,500,325,595
254,4,816,0,0,0,0,0,RAZORMANEGROUNDS,230,230,301,189,230,350,350,475
256,4,369,0,0,0,0,0,THUNDERRIDGE,190,200,327,60,105,355,220,460
258,4,370,410,0,0,0,0,DRYGULCHRAVINE,210,160,427,78,120,475,210,575
260,4,817,0,0,0,0,0,SKULLROCK,128,110,464,33,55,500,105,575
262,4,407,0,0,0,0,0,ORGRIMMAR,185,165,370,0,25,410,100,510
