ID,Category,Sex,Race,SoundID
61,0,1,5,2776
62,1,1,5,2777
63,2,1,5,2778
64,3,1,5,2779
65,4,1,5,2780
66,5,1,5,2781
67,6,1,5,2782
68,7,1,5,2783
69,8,1,5,2784
70,9,1,5,2785
71,10,1,5,2786
72,11,1,5,2787
73,0,0,3,2716
74,1,0,3,2717
75,2,0,3,2718
76,3,0,3,2719
77,4,0,3,2720
78,5,0,3,2721
79,6,0,3,2722
80,7,0,3,2723
81,8,0,3,2724
82,9,0,3,2725
83,10,0,3,2726
84,11,0,3,2727
85,0,1,4,2752
86,1,1,4,2753
87,2,1,4,2754
88,3,1,4,2755
89,4,1,4,2756
90,5,1,4,2757
91,6,1,4,2758
92,7,1,4,2759
93,8,1,4,2760
94,9,1,4,2761
95,10,1,4,2762
96,11,1,4,2763
97,0,0,4,2740
98,1,0,4,2741
99,2,0,4,2742
100,3,0,4,2743
101,4,0,4,2744
102,5,0,4,2745
103,6,0,4,2746
104,7,0,4,2747
105,8,0,4,2748
106,9,0,4,2749
107,10,0,4,2750
108,11,0,4,2751
109,0,1,3,2728
110,1,1,3,2729
111,2,1,3,2730
112,3,1,3,2731
113,4,1,3,2732
114,5,1,3,2733
115,6,1,3,2734
116,7,1,3,2735
117,8,1,3,2736
118,9,1,3,2737
119,10,1,3,2738
120,11,1,3,2739
121,0,0,5,2764
122,1,0,5,2765
123,2,0,5,2766
124,3,0,5,2767
125,4,0,5,2768
126,5,0,5,2769
127,6,0,5,2770
128,7,0,5,2771
129,8,0,5,2772
130,9,0,5,2773
131,10,0,5,2774
132,11,0,5,2775
133,0,1,2,2704
134,1,1,2,2705
135,2,1,2,2706
136,3,1,2,2707
137,4,1,2,2708
138,5,1,2,2709
139,6,1,2,2710
140,7,1,2,2711
141,8,1,2,2712
142,9,1,2,2713
143,10,1,2,2714
144,11,1,2,2715
145,0,0,6,2788
146,1,0,6,2789
147,2,0,6,2790
148,3,0,6,2791
149,4,0,6,2792
150,5,0,6,2793
151,6,0,6,2794
152,7,0,6,2795
153,8,0,6,2796
154,9,0,6,2797
155,10,0,6,2799
156,11,0,6,2800
157,0,1,8,2862
158,1,1,8,2863
159,2,1,8,2864
160,3,1,8,2865
161,4,1,8,2866
162,5,1,8,2867
163,6,1,8,2868
164,7,1,8,2869
165,8,1,8,2870
166,9,1,8,2871
167,10,1,8,2872
168,11,1,8,2873
169,0,0,7,2826
170,1,0,7,2827
171,2,0,7,2828
172,3,0,7,2829
173,4,0,7,2830
174,5,0,7,2831
175,6,0,7,2832
176,7,0,7,2833
177,8,0,7,2834
178,9,0,7,2835
179,10,0,7,2836
180,11,0,7,2837
181,0,1,1,2680
182,1,1,1,2681
183,2,1,1,2682
184,3,1,1,2683
185,4,1,1,2684
186,5,1,1,2685
187,6,1,1,2686
188,7,1,1,2687
189,8,1,1,2688
190,9,1,1,2689
191,10,1,1,2690
192,11,1,1,2691
253,14,0,5,6416
254,14,1,5,6407
255,14,0,6,6380
256,14,1,6,6371
257,14,0,7,6127
258,14,1,7,6118
259,14,0,8,6398
260,14,1,8,6389
261,15,0,1,6165
262,15,1,1,6137
264,15,1,2,6354
265,15,0,3,6110
266,15,1,3,6100
267,15,0,4,6183
268,15,1,4,6174
269,15,0,5,6417
270,15,1,5,6408
279,16,0,2,6364
283,16,0,4,6184
288,16,1,6,6373
289,16,0,7,6129
290,16,1,7,6120
292,16,1,8,6391
293,17,0,1,6167
294,17,1,1,6139
275,15,0,8,6399
271,15,0,6,6381
274,15,1,7,6119
276,15,1,8,6390
277,16,0,1,6166
280,16,1,2,6355
291,16,0,8,6400
245,14,0,1,6164
247,14,0,2,6362
246,14,1,1,6136
248,14,1,2,6353
249,14,0,3,6109
250,14,1,3,6098
252,14,1,4,6173
272,15,1,6,6372
273,15,0,7,6128
278,16,1,1,6138
299,17,0,4,6185
300,17,1,4,6176
301,17,0,5,6419
302,17,1,5,6410
303,17,0,6,6383
304,17,1,6,6374
305,17,0,7,6130
306,17,1,7,6121
309,18,0,1,6168
310,18,1,1,6141
311,18,0,2,6366
312,18,1,2,6357
313,18,0,3,6113
314,18,1,3,6104
315,18,0,4,6186
316,18,1,4,6177
317,18,0,5,6420
322,18,0,7,6131
319,18,1,5,6411
320,18,0,6,6384
323,18,1,7,6122
325,18,1,8,6393
326,19,0,1,6169
327,19,1,1,6142
328,19,0,2,6367
330,19,0,3,6114
331,19,1,3,6105
332,19,0,4,6187
333,19,1,4,6178
334,19,0,5,6421
336,19,0,6,6385
337,19,1,6,6376
338,19,0,7,6132
339,19,1,7,6123
340,19,0,8,6403
341,19,1,8,6394
342,20,0,1,6170
343,20,1,1,6143
344,20,0,2,6368
345,20,1,2,6359
346,20,0,3,6115
347,20,1,3,6106
348,20,0,4,6188
350,20,0,5,6422
351,20,1,5,6413
352,20,0,6,6386
353,20,1,6,6377
354,20,0,7,6133
356,20,0,8,6404
357,20,1,8,6395
373,21,0,3,7636
374,21,1,3,7637
376,21,1,7,7640
377,21,0,1,7634
379,21,0,4,7643
380,21,1,4,7642
381,21,0,2,7638
383,21,0,6,7646
384,21,1,6,7647
386,21,1,8,7649
388,21,1,5,7645
