ID,Importance,Icon,FactionID,Pos[0],Pos[1],Pos[2],ContinentID,Flags,AreaID,Name_lang[0]
10,3,4,0,-9227.69,-2201.47,63.9334,0,13,69,Lakeshire
950,0,6,0,-9948.39,69.1568,33.3002,0,4,57,Maclure Vineyards
11,3,4,0,-3672.7,-828.455,9.89915,0,13,-1,Menethil Harbor
227,0,2,0,-9389.26,458.427,38.2854,0,4,-1,Mirror Lake
12,3,6,0,-11017.066,1510.168,43.16575,0,5,0,Moonbrook
1016,0,6,0,2046.11,1829.45,107.823,0,4,154,Night Web's Hollow
13,3,6,0,-8896.159,-179.32834,80.290924,0,5,0,Northshire Abbey
954,0,6,0,-9067.35,-333.965,73.4517,0,4,24,Northshire Vineyards
14,3,6,0,-10752.526,310.43338,40.16275,0,5,0,Raven Hill
24,3,6,84,-1251.05,-2526.81,20.7117,0,5,0,Refuge Pointe
956,0,6,0,-8674.12,-2290.05,157.009,0,4,996,Render's Rock
1008,0,6,0,-8970.76,-2002.7,140.756,0,4,95,Rethban Caverns
1088,0,6,0,-11077.7,-1140.53,43.7676,0,4,241,Roland's Doom
710,0,6,0,1262.19,-2579.41,126.37,0,4,-1,Scholomance
15,3,4,0,-10503.7,1027.76,55.5831,0,13,-1,Sentinel Hill
247,0,2,0,861.216,-558.217,146.61,0,4,282,Slaughter Hollow
22,3,4,0,-803.031,-531.727,15.9654,0,13,-1,Southshore
1007,0,6,0,-13751.4,-18.3165,49.2768,0,4,1737,Spirit Den
1012,0,6,0,-10803.2,-3739.01,27.5586,0,4,1797,Stagalbog Cave
947,0,6,0,-5488.04,-658.67,394.304,0,4,131,Steelgrill's Depot
788,3,4,0,-10443.7,-3277.49,20.1782,0,13,-1,Stonard
951,0,6,0,-9901.14,378.19,35.2802,0,4,57,Stonefield Farm
16,3,5,0,-9153.77,364.057,90.4829,0,29,-1,Stormwind
23,3,4,0,-27.0354,-900.562,55.9603,0,13,-1,Tarren Mill
1013,0,6,0,-10429.9,-3828.52,37.9913,0,4,74,Temple of Atal'Hakkar
1017,0,6,0,3035.33,-2773.9,102.873,0,4,2627,Terrorweb Tunnel
17,3,4,0,508.073,1619.02,125.272,0,13,-1,The Sepulcher
1014,0,6,0,-1778.21,-1513.16,64.9209,0,4,324,The Tower of Arathor
18,4,5,0,1849.69,235.699,61.6564,0,29,-1,The Undercity
19,3,4,0,-5349.27,-2959.91,323.627,0,13,-1,Thelsamar
955,0,6,0,-9281.33,-3318.81,122.249,0,4,1000,Tower of Ilgalar
1027,0,6,0,-6092.01,-3179.35,257.188,0,4,1897,Uldaman
709,0,6,0,969.176,-1825.52,99.6067,0,4,197,Uther's Tomb
1029,0,6,0,-9615.71,667.327,38.6522,0,4,60,Westbrook Garrison
1015,0,6,0,316.946,-2119.3,122.042,0,4,348,Wildhammer Keep
36,3,4,84,10462.7,805.993,1312.66,1,5,188,Aldrassil
907,0,6,0,10479.6,812.281,1322.75,1,4,188,Aldrassil
42,3,4,84,2720.43,-382.391,107.09,1,13,-1,Astranaar
798,3,4,0,6439.33,411.951,10.8632,1,13,-1,Auberdine
911,0,6,0,9864.17,1557.41,1329.3,1,4,736,Ban'ethil Barrow Den
1048,0,6,0,4619.42,25.6126,70.4946,1,4,449,Blackwood Den
28,3,6,83,-2323.92,-394.981,-9.12757,1,5,0,Bloodhoof Village
790,3,4,0,-4394.98,215.611,25.4133,1,13,-1,Camp Mojache
30,3,6,83,-2906.49,-253.607,52.9407,1,5,0,Camp Narache
787,3,4,0,-2352.52,-1926.45,95.7845,1,13,-1,Camp Taurajo
1050,0,6,0,6870.57,-662.396,86.643,1,4,456,Cliffspring Falls
38,3,5,84,9951.75,2254.5,1335.42,1,29,-1,Darnassus
37,3,4,84,9787.99,949.897,1306.73,1,1,-1,Dolanaar
794,3,4,0,6723.46,-4662.5,722.806,1,13,-1,Everlook
796,3,4,0,-4434.99,3276.74,11.7785,1,13,-1,Feathermoon
909,0,6,0,10050.6,1031.2,1329.95,1,4,186,Fel Rock
1067,0,6,0,-1668.51,-4329.2,3.26695,1,4,-1,Fray Island
46,3,4,83,-5454.07,-2445.5,90.1133,1,13,0,Freewind Post
789,3,4,0,-7139.15,-3752.11,8.5398,1,13,-1,Gadgetzan
708,0,6,0,3556.64,-6232.79,44.0086,1,4,-1,Hetaera's Clutch
799,3,4,0,202.521,1308.24,190.236,1,13,-1,Nijel's Point
33,3,5,83,1381.77,-4371.16,26.0233,1,29,-1,Orgrimmar
39,3,4,0,-951.364,-3680.07,8.04018,1,13,0,Ratchet
31,3,6,83,312.659,-4745.52,9.54726,1,5,0,Razor Hill
913,0,6,0,636.963,-4534.04,8.82065,1,4,410,Razorwind Canyon
34,3,6,83,-819.492,-4918.24,19.3401,1,5,0,Sen'jin Village
795,3,4,0,-1657.85,3097.92,30.4995,1,13,-1,Shadowprey Village
908,0,6,0,10756.2,921.301,1338.56,1,4,188,Shadowthread Cave
800,3,4,0,2312.89,-2538.96,100.169,1,13,-1,Splintertree Post
44,3,4,84,2658.78,1449.71,226.135,1,13,0,Stonetalon Peak
701,3,4,0,936.308,910.974,104.439,1,13,-1,Sun Rock Retreat
707,0,6,0,3549.15,-5359.12,204.102,1,4,-1,Temple of Zin-Malor
45,3,4,84,-4510.03,-779.474,-41.5353,1,13,0,Thalanaar
912,0,6,0,10316.4,1200.62,1458.09,1,4,266,The Cleft
35,3,4,83,-455.9,-2652.15,95.5865,1,13,-1,The Crossroads
32,3,6,83,-604.098,-4202.92,38.7281,1,5,0,The Den
791,3,4,0,-3680.17,-4388.51,10.5549,1,13,-1,Theramore Isle
29,3,5,83,-1205.41,29.4214,126.347,1,29,-1,Thunder Bluff
929,0,6,0,726.297,-4242.41,17.2915,1,4,369,Tor'kren Farm
1047,0,6,0,-1501.49,-1036.19,151.716,1,4,820,Venture Co. Mine
1068,0,6,0,-837.968,-2037,80.4679,1,4,387,Wailing Caverns
767,0,6,0,-4917.35,-1375.5,-52.3732,1,4,-1,Whitereach Post
1049,0,6,0,5056.04,220.755,22.9074,1,4,448,Wildbend River
20,0,0,0,-448.982,-1028.22,431.971,37,1,0,Alliance
21,0,0,0,-669.134,-483.289,387.273,37,1,0,Horde
