ID,EmotesTextID,RaceID,SexID,SoundID
252,327,4,1,2762
250,327,3,1,2738
246,327,1,1,2690
247,327,2,0,2702
249,327,3,0,2726
248,327,2,1,2714
389,328,1,0,6169
390,328,1,1,6142
391,328,2,0,6367
392,328,2,1,6358
393,328,3,0,6114
394,328,3,1,6105
395,328,4,0,6187
396,328,4,1,6178
397,328,5,0,6421
398,328,5,1,6412
399,328,6,0,6385
400,328,6,1,6376
401,328,7,0,6132
402,328,7,1,6123
403,328,8,0,6403
404,328,8,1,6394
405,329,1,0,6170
406,329,1,1,6143
407,329,2,0,6368
408,329,2,1,6359
409,329,3,0,6115
410,329,3,1,6106
411,329,4,0,6188
412,329,4,1,6179
413,329,5,0,6422
414,329,5,1,6413
415,329,6,0,6386
416,329,6,1,6377
417,329,7,0,6133
418,329,7,1,6124
419,329,8,0,6404
420,329,8,1,6395
