ID,TabID,TierID,ColumnIndex,SpellRank[0],SpellRank[1],SpellRank[2],SpellRank[3],SpellRank[4],SpellRank[5],SpellRank[6],SpellRank[7],SpellRank[8],PrereqTalent[0],PrereqTalent[1],PrereqTalent[2],PrereqRank[0],PrereqRank[1],PrereqRank[2],Flags,RequiredSpellID
134,161,5,1,12165,12830,12831,12832,12833,0,0,0,0,0,0,0,0,0,0,0,0
129,161,5,2,12289,12668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,161,6,1,12294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
138,163,0,1,12297,12750,12751,12752,12753,0,0,0,0,0,0,0,0,0,0,0,0
139,163,0,2,12298,12724,12725,12726,12727,0,0,0,0,0,0,0,0,0,0,0,0
142,163,1,0,12301,12819,12818,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,163,1,1,12299,12761,12762,12763,12764,0,0,0,0,0,0,0,0,0,0,0,0
141,163,1,3,12300,12959,12960,12961,12962,0,0,0,0,0,0,0,0,0,0,0,0
153,163,2,0,12975,0,0,0,0,0,0,0,0,142,0,0,2,0,0,1,0
147,163,2,1,12797,12799,12800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,163,2,3,12302,12765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,163,3,0,12308,12810,12811,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,163,3,2,12945,12307,12944,0,0,0,0,0,0,139,0,0,4,0,0,0,0
144,163,3,3,12303,12788,12789,12791,12792,0,0,0,0,143,0,0,1,0,0,0,0
149,163,4,0,12311,12958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,163,4,1,12809,0,0,0,0,0,0,0,0,147,0,0,2,0,0,1,0
150,163,4,2,12312,12803,0,0,0,0,0,0,0,145,0,0,2,0,0,0,0
151,163,5,1,12313,12804,12807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702,163,5,2,16538,16539,16540,16541,16542,0,0,0,0,0,0,0,0,0,0,0,0
148,163,6,1,12310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
154,164,0,1,12318,12857,12858,12860,12861,0,0,0,0,0,0,0,0,0,0,0,6673
157,164,0,2,12320,12852,12853,12855,12856,0,0,0,0,0,0,0,0,0,0,0,0
158,164,1,0,12321,12835,12836,12837,12838,0,0,0,0,0,0,0,0,0,0,0,0
161,164,1,1,12324,12876,12877,12878,12879,0,0,0,0,0,0,0,0,0,0,0,0
159,164,1,2,12322,12999,13000,13001,13002,0,0,0,0,0,0,0,0,0,0,0,0
160,164,2,1,12323,0,0,0,0,0,0,0,0,161,0,0,4,0,0,1,0
155,164,2,2,12317,13045,13046,13047,13048,0,0,0,0,0,0,0,0,0,0,0,0
163,164,3,1,12326,13058,13059,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,164,3,3,12325,12863,12864,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,164,4,0,12862,12330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,164,4,1,12328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
661,164,4,2,16487,16489,16492,0,0,0,0,0,0,155,0,0,4,0,0,0,0
166,164,4,3,12329,12950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,164,5,0,12327,12886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,164,5,2,12319,12971,12972,12973,12974,0,0,0,0,0,0,0,0,0,0,0,0
167,164,6,1,13078,0,0,0,0,0,0,0,0,165,0,0,0,0,0,1,0
203,181,0,0,13741,13793,13792,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,181,0,1,13732,13863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,181,0,2,13712,13788,13789,13790,13791,0,0,0,0,0,0,0,0,0,0,0,0
202,181,1,0,13733,13865,13866,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,181,1,1,13713,13853,13854,13855,13856,0,0,0,0,0,0,0,0,0,0,0,0
181,181,1,2,13705,13832,13843,13844,13845,0,0,0,0,0,0,0,0,0,0,0,0
204,181,2,0,13742,13872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,181,2,1,14251,0,0,0,0,0,0,0,0,187,0,0,4,0,0,1,0
222,181,2,3,13743,13875,13876,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,181,3,0,13754,13867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,181,3,1,13706,13804,13805,13806,13807,0,0,0,0,0,0,0,0,0,0,0,0
221,181,3,2,13715,13848,13849,13851,13852,0,0,0,0,181,0,0,4,0,0,0,0
184,181,4,0,13709,13800,13801,13802,13803,0,0,0,0,0,0,0,0,0,0,0,0
223,181,4,1,13877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
242,181,4,2,13960,13961,13962,13963,13964,0,0,0,0,0,0,0,0,0,0,0,0
183,181,4,3,13707,13966,13967,13968,13969,0,0,0,0,0,0,0,0,0,0,0,0
185,181,5,1,13710,13859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1122,181,5,2,18427,18428,18429,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,181,6,1,13750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
276,182,0,0,14162,14163,14164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,182,0,1,14144,14148,14150,14152,14154,0,0,0,0,0,0,0,0,0,0,0,0
270,182,0,2,14138,14139,14140,14141,14142,0,0,0,0,0,0,0,0,0,0,0,0
273,182,1,0,14156,14160,14161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,182,1,1,14158,14159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,182,1,3,14165,14166,14167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,182,2,0,14179,0,0,0,0,0,0,0,0,273,0,0,2,0,0,1,0
278,182,2,1,14168,14169,14170,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,182,2,2,14128,14132,14135,14136,14137,0,0,0,0,270,0,0,4,0,0,0,0
682,182,3,1,16513,16514,16515,16719,16720,0,0,0,0,0,0,0,0,0,0,0,0
268,182,3,2,14113,14114,14115,14116,14117,0,0,0,0,0,0,0,0,0,0,0,0
279,182,4,0,14174,14175,14176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,182,4,1,14177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
302,182,4,2,14255,14256,14257,14258,14259,0,0,0,0,0,0,0,0,0,0,0,0
283,182,5,1,14186,14190,14193,14194,14195,0,0,0,0,280,0,0,0,0,0,0,0
382,182,6,1,14983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,183,0,0,13974,14058,14059,14060,14061,0,0,0,0,0,0,0,0,0,0,0,0
241,183,0,1,13958,13970,13971,13972,13973,0,0,0,0,0,0,0,0,0,0,0,0
244,183,0,2,13975,14062,14063,14064,14065,0,0,0,0,0,0,0,0,0,0,0,0
247,183,1,1,13981,14066,14067,14068,14069,0,0,0,0,0,0,0,0,0,0,0,0
261,183,1,2,14057,14072,14073,14074,14075,0,0,0,0,0,0,0,0,0,0,0,0
245,183,2,0,13976,13979,13980,16503,16504,0,0,0,0,0,0,0,0,0,0,0,0
303,183,2,1,14278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
264,183,2,2,14077,14078,0,0,0,0,0,0,0,261,0,0,4,0,0,0,0
263,183,2,3,14079,14080,14081,0,0,0,0,0,0,261,0,0,4,0,0,0,0
267,183,3,0,14088,14091,14092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1123,183,3,2,14171,14172,14173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,183,3,3,14076,14094,14095,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,183,4,0,14185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
265,183,4,2,14082,14083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,183,4,3,14084,14085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,183,5,1,13983,14070,14071,0,0,0,0,0,0,303,0,0,0,0,0,0,0
681,183,5,2,16511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
381,183,6,1,14183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
342,201,0,1,14522,14788,14789,14790,14791,0,0,0,0,0,0,0,0,0,0,0,0
352,201,0,2,14523,14784,14785,14786,14787,0,0,0,0,0,0,0,0,0,0,0,0
345,201,1,0,14524,14525,14526,14527,14528,0,0,0,0,0,0,0,0,0,0,0,0
321,201,1,1,14531,14774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,201,1,2,14748,14768,14769,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,201,1,3,14749,14767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,201,2,1,14529,0,0,0,0,0,0,0,0,321,0,0,1,0,0,1,0
341,201,2,2,14520,14780,14781,14782,14783,0,0,0,0,0,0,0,0,0,0,0,0
346,201,3,0,14747,14770,14771,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,201,3,1,18551,18552,18553,18554,18555,0,0,0,0,0,0,0,0,0,0,0,0
350,201,3,3,14750,14772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,201,4,1,14521,14776,14777,14778,14779,0,0,0,0,0,0,0,0,0,0,0,0
348,201,4,2,14751,0,0,0,0,0,0,0,0,341,0,0,4,0,0,1,0
1202,201,5,2,18544,18547,18548,18549,18550,0,0,0,0,0,0,0,0,0,0,0,0
351,201,6,1,14752,0,0,0,0,0,0,0,0,347,0,0,4,0,0,1,0
401,202,0,1,14889,15008,15009,15010,15011,0,0,0,0,0,0,0,0,0,0,0,0
403,202,0,2,14909,15017,15509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,202,1,1,14898,15349,15354,15355,15356,0,0,0,0,0,0,0,0,0,0,0,0
361,202,1,2,14892,15362,15363,15364,15365,0,0,0,0,0,0,0,0,0,0,0,0
405,202,2,0,14905,15034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,202,2,1,14908,15020,17191,17192,17193,0,0,0,0,0,0,0,0,0,0,0,0
402,202,2,2,14901,15028,15029,15030,15031,0,0,0,0,0,0,0,0,0,0,0,0
407,202,2,3,14914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
408,202,3,1,14912,15013,15014,15015,15016,0,0,0,0,0,0,0,0,0,0,0,0
410,202,3,2,14913,15012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,202,4,0,15227,0,0,0,0,0,0,0,0,405,0,0,1,0,0,1,0
413,202,4,2,14911,15018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1181,202,4,3,18530,18531,18533,18534,18535,0,0,0,0,407,0,0,0,0,0,0,0
411,202,5,1,14904,15024,15025,15026,15027,0,0,0,0,408,0,0,4,0,0,0,0
442,202,6,1,15237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
465,203,0,1,15270,15335,15336,15337,15338,0,0,0,0,0,0,0,0,0,0,0,0
464,203,0,2,15268,15323,15324,15325,15326,0,0,0,0,0,0,0,0,0,0,0,0
466,203,1,0,15318,15272,15320,15321,15322,0,0,0,0,0,0,0,0,0,0,0,0
482,203,1,1,15275,15317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,203,1,2,15260,15327,15328,15329,15330,0,0,0,0,0,0,0,0,0,0,0,0
542,203,2,0,15392,15448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,203,2,1,15273,15312,15313,15314,15316,0,0,0,0,0,0,0,0,0,0,0,0
501,203,2,2,15407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
483,203,3,1,15274,15311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
881,203,3,3,17322,17323,17325,0,0,0,0,0,0,0,0,0,0,0,0,0,0
541,203,4,0,15487,0,0,0,0,0,0,0,0,542,0,0,1,0,0,1,0
461,203,4,1,15257,15331,15332,15333,15334,0,0,0,0,0,0,0,0,0,0,0,0
484,203,4,2,15286,0,0,0,0,0,0,0,0,501,0,0,0,0,0,0,0
462,203,5,1,15259,15307,15308,15309,15310,0,0,0,0,461,0,0,4,0,0,0,0
521,203,6,1,15473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
568,261,0,1,16036,16156,16157,16158,16159,0,0,0,0,0,0,0,0,0,0,0,0
563,261,0,2,16035,16105,16106,16107,16108,0,0,0,0,0,0,0,0,0,0,0,0
572,261,1,0,16043,16130,16131,16132,16133,0,0,0,0,0,0,0,0,0,0,0,0
561,261,1,1,16038,16160,16161,16162,16163,0,0,0,0,0,0,0,0,0,0,0,0
564,261,1,2,16039,16109,16110,16111,16112,0,0,0,0,563,0,0,4,0,0,0,0
571,261,1,3,16085,16127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
574,261,2,0,16164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
562,261,2,1,16041,16117,16118,16119,16120,0,0,0,0,0,0,0,0,0,0,0,0
575,261,2,2,16040,16113,16114,16115,16116,0,0,0,0,564,0,0,4,0,0,0,0
567,261,3,2,16086,16544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
565,261,4,1,16089,0,0,0,0,0,0,0,0,562,0,0,4,0,0,0,0
569,261,4,2,16088,16129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
721,261,5,0,16578,16579,16580,16581,16582,0,0,0,0,0,0,0,0,0,0,0,0
566,261,5,2,16090,16123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
573,261,6,1,16166,0,0,0,0,0,0,0,0,565,0,0,0,0,0,1,0
586,262,0,1,16182,16226,16227,16228,16229,0,0,0,0,0,0,0,0,0,0,0,0
593,262,0,2,16179,16214,16215,16216,16217,0,0,0,0,0,0,0,0,0,0,0,0
589,262,1,0,16184,16209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
581,262,1,1,16176,16235,16240,16241,16242,0,0,0,0,0,0,0,0,0,0,0,0
595,262,1,2,16173,16222,16223,16224,16225,0,0,0,0,0,0,0,0,0,0,0,0
583,262,2,1,16180,16196,16198,16199,16200,0,0,0,0,0,0,0,0,0,0,0,0
582,262,2,2,16189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
587,262,2,3,16181,16230,16232,16233,16234,0,0,0,0,0,0,0,0,0,0,0,0
585,262,3,0,16185,16201,16202,16203,16204,0,0,0,0,583,0,0,4,0,0,0,0
594,262,3,2,16194,16218,16219,16220,16221,0,0,0,0,0,0,0,0,0,0,0,0
588,262,4,1,16187,16205,16206,16207,16208,0,0,0,0,583,0,0,4,0,0,0,0
591,262,4,2,16188,0,0,0,0,0,0,0,0,594,0,0,4,0,0,1,0
592,262,5,2,16178,16210,16211,16212,16213,0,0,0,0,0,0,0,0,0,0,0,0
590,262,6,1,16190,0,0,0,0,0,0,0,0,588,0,0,4,0,0,1,0
614,263,0,1,17485,17486,17487,17488,17489,0,0,0,0,0,0,0,0,0,0,0,0
612,263,0,2,16253,16298,16299,16300,16301,0,0,0,0,0,0,0,0,0,0,0,0
609,263,1,0,16258,16293,16294,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613,263,1,1,16255,16302,16303,16304,16305,0,0,0,0,0,0,0,0,0,0,0,0
605,263,1,2,16262,16287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
607,263,1,3,16261,16290,16291,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,263,2,0,16259,16295,16296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617,263,2,2,16269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,263,2,3,16254,16271,16272,16273,16274,0,0,0,0,0,0,0,0,0,0,0,0
602,263,3,1,16256,16281,16282,16283,16284,0,0,0,0,613,0,0,4,0,0,0,0
608,263,3,2,16265,16292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
603,263,4,0,16263,16285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
616,263,4,1,16268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
604,263,4,2,16264,16286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611,263,4,3,16266,16297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615,263,5,1,16252,16306,16307,16308,16309,0,0,0,0,616,0,0,0,0,0,0,0
703,263,5,2,16546,16547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,263,6,1,17364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
606,263,6,2,16260,16288,16289,0,0,0,0,0,0,0,0,0,0,0,0,0,0
796,281,0,1,16934,16935,16936,16937,16938,0,0,0,0,0,0,0,0,0,0,0,0
795,281,0,2,16858,16859,16860,16861,16862,0,0,0,0,0,0,0,0,0,0,0,0
797,281,1,1,16940,16941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
798,281,1,2,16942,16943,16944,16945,16946,0,0,0,0,0,0,0,0,0,0,0,0
799,281,2,0,16947,16948,16949,16950,16951,0,0,0,0,0,0,0,0,0,0,0,0
804,281,2,1,16979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
800,281,2,2,16952,16954,16955,16956,16957,0,0,0,0,798,0,0,4,0,0,0,0
801,281,2,3,16958,16961,16962,16963,16964,0,0,0,0,798,0,0,4,0,0,0,0
802,281,3,0,16966,16968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
803,281,3,1,16972,16974,16975,16976,16977,0,0,0,0,0,0,0,0,0,0,0,0
1162,281,3,2,16857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1161,281,3,3,16855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
794,281,4,0,16929,16930,16931,16932,16933,0,0,0,0,0,0,0,0,0,0,0,0
807,281,4,2,17002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
808,281,5,1,17003,17004,17005,17006,0,0,0,0,0,803,0,0,4,0,0,0,0
805,281,5,2,16998,16999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
809,281,6,1,17007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
806,281,6,2,17000,17001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
821,282,0,1,17050,17051,17053,17054,17055,0,0,0,0,0,0,0,0,0,0,0,0
822,282,0,2,17056,17058,17059,17060,17061,0,0,0,0,0,0,0,0,0,0,0,0
823,282,1,0,17063,17065,17066,17067,17068,0,0,0,0,0,0,0,0,0,0,0,0
824,282,1,1,17069,17070,17071,17072,17073,0,0,0,0,0,0,0,0,0,0,0,0
826,282,1,2,17079,17082,0,0,0,0,0,0,0,822,0,0,4,0,0,0,0
843,282,2,1,17427,17428,17429,17430,17431,0,0,0,0,0,0,0,0,0,0,0,0
828,282,2,2,17104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
827,282,2,3,17098,17100,17101,17102,17103,0,0,0,0,0,0,0,0,0,0,0,0
829,282,3,1,17106,17107,17108,17109,17110,0,0,0,0,0,0,0,0,0,0,0,0
830,282,3,3,17111,17112,17113,17114,17115,0,0,0,0,0,0,0,0,0,0,0,0
831,282,4,0,17116,0,0,0,0,0,0,0,0,823,0,0,4,0,0,1,0
841,282,4,2,17118,17119,17120,17121,17122,0,0,0,0,828,0,0,0,0,0,0,0
842,282,4,3,17123,17124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
825,282,5,2,17074,17075,17076,17077,17078,0,0,0,0,0,0,0,0,0,0,0,0
844,282,6,1,18562,0,0,0,0,0,0,0,0,829,0,0,4,0,0,1,0
762,283,0,0,16814,16815,16816,16817,16818,0,0,0,0,0,0,0,0,0,0,0,0
761,283,0,1,16689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
921,283,0,2,17245,17247,17248,17249,0,0,0,0,0,761,0,0,0,0,0,0,0
787,283,1,0,16918,16919,16920,0,0,0,0,0,0,0,0,0,0,0,0,0,0
763,283,1,1,16821,16822,16823,16824,16825,0,0,0,0,0,0,0,0,0,0,0,0
764,283,1,2,16819,16820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
781,283,1,3,16833,16834,16835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
784,283,2,0,16850,16923,16924,16925,16926,0,0,0,0,0,0,0,0,0,0,0,0
788,283,2,2,16864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
782,283,3,0,16836,16839,16840,16841,16842,0,0,0,0,0,0,0,0,0,0,0,0
783,283,3,1,16845,16846,16847,16848,16849,0,0,0,0,763,0,0,4,0,0,0,0
790,283,4,0,16896,16897,16899,16900,16901,0,0,0,0,0,0,0,0,0,0,0,0
789,283,4,1,16880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791,283,4,2,16902,16903,16904,16905,16906,0,0,0,0,788,0,0,0,0,0,0,0
792,283,5,1,16909,16910,16911,16912,16913,0,0,0,0,789,0,0,0,0,0,0,0
793,283,6,1,16914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
944,301,0,1,17793,17796,17801,17802,17803,0,0,0,0,0,0,0,0,0,0,0,0
941,301,0,2,17778,17779,17780,17781,17782,0,0,0,0,0,0,0,0,0,0,0,0
943,301,1,1,17788,17789,17790,17791,17792,0,0,0,0,0,0,0,0,0,0,0,0
982,301,1,2,18119,18120,18121,18122,18123,0,0,0,0,0,0,0,0,0,0,0,0
983,301,2,0,18126,18127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
984,301,2,1,18128,18129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
981,301,2,2,18130,18131,18132,18133,18134,0,0,0,0,0,0,0,0,0,0,0,0
963,301,2,3,17877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
985,301,3,0,18135,18136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
