ID,Faction,Flags,FactionGroup,FriendGroup,EnemyGroup,Enemies[0],Enemies[1],Enemies[2],Enemies[3],Friend[0],Friend[1],Friend[2],Friend[3]
62,52,8,0,1,0,0,0,0,52,0,0,0,63
63,53,8,0,1,0,0,0,0,53,0,0,0,64
64,54,0,0,0,0,0,0,0,54,0,0,0,65
65,46,0,0,0,45,0,0,0,46,0,0,0,66
66,55,8,0,1,28,0,0,0,55,0,0,0,67
67,56,8,0,1,0,0,0,0,56,0,0,0,68
68,68,4,4,2,0,0,0,0,68,0,0,0,69
69,7,0,0,0,0,0,0,0,0,0,0,0,70
70,57,8,0,1,0,0,0,0,57,0,0,0,71
71,68,4,4,10,0,0,0,0,68,0,0,0,72
72,58,8,0,1,0,0,0,0,58,0,0,0,73
73,59,8,0,1,0,0,0,0,59,0,0,0,74
74,60,8,0,1,289,0,0,0,60,0,0,0,76
76,61,0,2,4,0,0,0,0,61,0,0,0,77
77,62,8,0,0,0,0,0,0,0,0,0,0,78
78,63,8,0,1,0,0,0,0,0,0,0,0,79
79,69,2,2,12,0,0,0,0,0,0,0,0,80
80,69,2,2,4,0,0,0,0,69,0,0,0,81
81,64,8,0,1,0,0,0,0,64,0,0,0,82
82,65,8,0,1,0,0,0,0,65,0,0,0,83
83,66,4,4,2,0,0,0,0,0,0,0,0,0
