ID,School,Category,CastUI,DispelType,Attributes,AttributesEx,AttributesExB,ShapeshiftMask,Targets,TargetCreatureType,RequiresSpellFocus,CasterAuraState,TargetAuraState,CastingTimeIndex,RecoveryTime,CategoryRecoveryTime,InterruptFlags,AuraInterruptFlags,ChannelInterruptFlags,ProcFlags,ProcChance,ProcCharges,MaxLevel,BaseLevel,SpellLevel,DurationIndex,PowerType,ManaCost,ManaCostPerLevel,ManaPerSecond,ManaPerSecondPerLevel,RangeIndex,Speed,ModalNextSpell,CumulativeAura,Totem[0],Totem[1],Reagent[0],Reagent[1],Reagent[2],Reagent[3],Reagent[4],Reagent[5],Reagent[6],Reagent[7],ReagentCount[0],ReagentCount[1],ReagentCount[2],ReagentCount[3],ReagentCount[4],ReagentCount[5],ReagentCount[6],ReagentCount[7],EquippedItemClass,EquippedItemSubclass,Effect[0],Effect[1],Effect[2],EffectDieSides[0],EffectDieSides[1],EffectDieSides[2],EffectBaseDice[0],EffectBaseDice[1],EffectBaseDice[2],EffectDicePerLevel[0],EffectDicePerLevel[1],EffectDicePerLevel[2],EffectRealPointsPerLevel[0],EffectRealPointsPerLevel[1],EffectRealPointsPerLevel[2],EffectBasePoints[0],EffectBasePoints[1],EffectBasePoints[2],ImplicitTargetA[0],ImplicitTargetA[1],ImplicitTargetA[2],ImplicitTargetB[0],ImplicitTargetB[1],ImplicitTargetB[2],EffectRadiusIndex[0],EffectRadiusIndex[1],EffectRadiusIndex[2],EffectAura[0],EffectAura[1],EffectAura[2],EffectAuraPeriod[0],EffectAuraPeriod[1],EffectAuraPeriod[2],EffectAmplitude[0],EffectAmplitude[1],EffectAmplitude[2],EffectChainTargets[0],EffectChainTargets[1],EffectChainTargets[2],EffectItemType[0],EffectItemType[1],EffectItemType[2],EffectMiscValue[0],EffectMiscValue[1],EffectMiscValue[2],EffectTriggerSpell[0],EffectTriggerSpell[1],EffectTriggerSpell[2],EffectPointsPerCombo[0],EffectPointsPerCombo[1],EffectPointsPerCombo[2],SpellVisualID[0],SpellVisualID[1],SpellIconID,ActiveIconID,SpellPriority,Name_lang,NameSubtext_lang,Description_lang,AuraDescription_lang,ManaCostPct,StartRecoveryCategory,StartRecoveryTime,MaxTargetLevel,SpellClassMask[0],SpellClassMask[1],DefenseType,PreventionType,StanceBarOrder
15,0,0,0,0,0,0,0,0,128,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,9,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,Leech (TEST),,,,0,0,0,0,7274524,0,0,0,0
16,5,0,0,1,0,0,0,0,0,0,0,0,0,14,30000,0,13,2,0,0,0,0,1,0,1,8,0,56,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,98,0,50,Fear (NYI),,,,0,0,0,0,7274526,0,0,0,0
17,1,56,0,1,329728,0,524288,134217728,0,0,0,0,0,1,0,4000,8,0,0,0,0,0,11,6,6,9,0,45,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6,0,0,1,0,0,1,0,0,0,0,0,0.8,0,0,43,0,0,21,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,784,0,566,0,50,Power Word: Shield,,,,0,0,0,0,196610,172,0,0,0
18,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,1,0,50,Heal Self (TEST),,,,0,0,0,0,7274526,0,0,0,0
19,0,0,0,0,208,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,384,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,50,SWORDSPECIAL (DND),,,,0,0,0,0,7274524,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,8,0,0,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,Super Food (TEST),,,,0,0,0,0,7274524,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,Major Heal Self (TEST),,,,0,0,0,0,7274524,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,6,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,15,0,50,Stun,,,,0,0,0,0,7274526,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,11,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,Bind Self (TEST),,,,0,0,0,0,7274526,0,0,0,0
27,0,0,0,0,0,0,0,0,32,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1,3,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,12,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,9,0,1,0,50,Goldshire Portal,,,,0,0,0,0,7274526,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,13,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,1,0,50,Teleport Goldshire,,,,0,0,0,0,7274526,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,13,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,1,0,50,Teleport Westfall,,,,0,0,0,0,7274526,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,13,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,1,0,50,Teleport Duskwood,,,,0,0,0,0,7274526,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,13,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,1,0,50,Teleport Elwynn,,,,0,0,0,0,7274526,0,0,0,0
43,0,0,0,0,262160,0,0,0,0,0,0,0,0,1,600000,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,86,0,50,Berserk,,,,0,0,0,0,7274526,794,0,0,0
45,0,32,0,0,262160,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,45,45,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6,98,0,1,37,0,1,1,0,0,0,0,0,0,0,-1,56,0,22,22,0,15,15,0,8,8,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,2355,0,50,0,50,War Stomp,,,,0,0,0,0,7274526,0,0,0,0
47,0,44,0,0,16,0,0,0,0,0,0,0,0,1,0,300000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,0,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,50,Sprint (TEST),,,,0,0,0,0,7274526,0,0,0,0
49,4,0,0,0,0,0,0,0,256,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,10,0,0,11,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,79,0,50,Healing Touch (TEST),,,,0,0,0,0,7274526,0,0,0,0
50,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,1,0,1,0,0,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,Zone Recall (OLD),,,,0,0,0,0,7274524,0,0,0,0
53,0,0,0,0,327696,134218240,1048576,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,0,3,60,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32768,17,31,80,1,1,1,1,1,1,0,0,0,0,0,0,9,149,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,243,0,50,Backstab,,,,0,0,0,0,983070,172,0,0,0
56,0,32,0,0,262144,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50,50,27,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1460,0,50,Stun,,,,0,0,0,0,983068,0,0,0,0
58,0,0,0,0,0,0,0,0,128,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2,0,0,6,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,Magic Missile (TEST),,,,0,0,0,0,7274524,0,0,0,0
59,0,0,0,0,18,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,50,Normal bow shot (TEST),,,,0,0,0,0,7274524,0,0,0,0
60,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,10,0,0,1,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,50,Long bow shot (TEST),,,,0,0,0,0,7274524,0,0,0,0
61,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,10,0,0,1,0,0,0,0,0,0,0,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,50,Really Long bow shot (TEST),,,,0,0,0,0,7274526,0,0,0,0
65,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,9,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,138,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,30,0,50,Haste,,,,0,0,0,0,7274526,0,0,0,0
66,6,0,0,6,269549568,256,0,0,0,0,0,0,0,14,0,0,15,80899,0,0,0,0,0,26,99,4,0,110,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,331,0,50,Lesser Invisibility,,,,0,0,0,0,983070,0,0,0,0
67,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,Eagle Scout (TEST),,,,0,0,0,0,7274524,0,0,0,0
68,5,1,0,0,0,0,0,0,0,0,0,0,0,2,10000,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2,0,0,12,0,0,2,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,Editor Test Spell,,,,0,0,0,0,7274524,0,0,0,0
71,0,47,0,0,151322640,268435456,0,0,0,0,0,0,0,1,0,1000,0,0,0,0,0,0,0,10,10,21,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,44,0,276,0,50,Defensive Stance,,,,0,0,0,0,983070,0,0,0,0
72,0,88,0,0,327696,134218240,0,131072,0,0,0,0,0,1,0,12000,0,0,0,0,0,0,0,12,12,32,1,100,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,64,68,2,0,1,1,0,1,1,0,0,0,0,0,0,0,-1,5,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,280,0,50,Shield Bash,,,,0,0,0,0,983070,172,0,0,0
75,0,0,0,0,327698,0,32,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,114,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,262156,58,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,122,50,Auto Shot,,,,0,0,0,0,983070,172,0,0,0
76,0,65,0,0,327700,134217728,0,65536,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,12,99,0,1,100,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,173555,58,0,0,1,0,0,1,0,0,0,0,0,0,0,0,23,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,563,0,50,zzOLDRiposte,,,,0,0,0,0,7274524,172,0,0,0
77,0,0,0,0,262160,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,Turtle's Shell,,,,0,0,0,0,7274526,0,0,0,0
78,0,0,0,0,327700,134217728,0,65536,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,150,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,173555,17,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,856,0,50,Heroic Strike,,,,0,0,0,0,983070,172,0,0,0
