ID,ContinentID,ParentAreaID,Flags,SoundProviderPref,SoundProviderPrefUnderwater,AmbienceID,ZoneMusic,IntroSound,IntroPriority,ExplorationLevel,AreaName_lang[0],AreaName_lang[1],AreaName_lang[2],AreaName_lang[3],AreaName_lang[4],AreaName_lang[5],AreaName_lang[6],AreaName_lang[7],AreaName_lang_mask,FactionGroupMask
35,0,33,0,0,11,0,3,0,0,-1,Booty Bay,,,,,,,,7274514,0
36,0,0,0,0,11,31,1,0,0,-1,Alterac Mountains,,,,,,,,7274514,0
37,0,33,0,0,11,0,3,0,0,-1,Lake Nazferiti,,,,,,,,7274514,0
38,0,0,0,0,11,31,1,0,0,-1,Loch Modan,,,,,,,,983058,2
40,0,0,0,0,11,47,9,0,0,-1,Westfall,,,,,,,,983058,2
42,0,10,0,0,11,0,2,4514,1,25,Darkshire,,,,,,,,7274514,0
43,0,33,0,0,11,0,3,0,0,-1,Wild Shore,,,,,,,,7274514,0
44,0,0,0,0,11,31,1,1512850505,0,-1,Redridge Mountains,,,,,,,,983058,0
45,0,0,0,0,11,31,8,0,0,-1,Arathi Highlands,,,,,,,,983058,0
46,0,0,0,0,11,46,10,0,0,-1,Burning Steppes,,,,,,,,7274514,0
47,0,0,0,0,11,31,1,1512850505,0,-1,The Hinterlands,,,,,,,,983058,0
49,0,22,0,0,11,0,0,0,0,-1,Dead Man's Hole,,,,,,,,7274514,0
51,0,0,0,0,11,46,10,1512850505,0,-1,Searing Gorge,,,,,,,,65538,0
53,0,12,0,0,11,35,1,0,0,-1,Thieves Camp,,,,,,,,7274514,0
55,0,12,0,0,11,35,17,2541,1,0,Valley of Heroes,,,,,,,,7274514,0
56,0,12,0,0,11,35,1,0,0,6,Heroes' Vigil,,,,,,,,983058,0
57,0,12,0,0,11,35,1,0,0,5,Fargodeep Mine,,,,,,,,983058,0
59,0,12,0,0,11,35,1,0,0,-1,Northshire Vineyards,,,,,,,,7274514,0
61,0,12,0,0,11,35,1,0,0,-1,Thunder Falls,,,,,,,,7274514,0
62,0,12,0,0,11,35,1,0,0,8,Brackwell Pumpkin Patch,,,,,,,,983058,0
63,0,12,0,0,11,35,1,0,0,6,The Stonefield Farm,,,,,,,,983058,0
64,0,12,0,0,11,35,1,0,0,6,The Maclure Vineyards,,,,,,,,983058,0
65,0,0,4,0,11,0,0,0,0,-1,***On Map Dungeon***,,,,,,,,7274512,0
66,1,0,4,0,11,0,0,0,0,-1,***On Map Dungeon***,,,,,,,,7274512,0
67,17,0,4,0,11,0,0,0,0,-1,***On Map Dungeon***,,,,,,,,7274512,0
69,0,44,0,0,11,0,1,0,0,15,Lakeshire,,,,,,,,7274514,0
70,0,44,0,0,11,0,1,0,0,24,Stonewatch,,,,,,,,7274514,0
72,0,4,0,0,11,0,7,0,0,-1,Dark Portal,,,,,,,,7274514,0
73,0,4,0,0,11,0,7,0,0,-1,The Tainted Scar,,,,,,,,589824,0
74,0,8,0,0,11,0,0,0,0,-1,Pool of Tears,,,,,,,,7274514,0
75,0,8,0,0,11,0,0,0,0,-1,Stonard,,,,,,,,7274514,0
76,0,8,0,0,11,0,0,0,0,-1,Fallow Sanctuary,,,,,,,,7274512,0
77,0,1,0,0,11,0,8,0,0,0,Anvilmar,,,,,,,,7274514,0
80,0,12,0,0,11,35,17,0,0,10,Stormwind Mountains,,,,,,,,65538,2
82,0,22,0,0,11,0,0,0,0,-1,Jeff NW Quadrant,,,,,,,,7274498,0
83,0,22,0,0,11,0,0,0,0,-1,Jeff SE Quadrant,,,,,,,,7274498,0
84,0,22,0,0,11,0,0,0,0,-1,Jeff SW Quadrant,,,,,,,,7274498,0
85,0,0,0,0,11,40,2,0,0,-1,Tirisfal Glades,,,,,,,,983058,4
86,0,12,0,0,11,35,1,0,0,0,Stone Cairn Lake,,,,,,,,7274514,0
88,0,12,0,0,11,35,1,0,0,6,Eastvale Logging Camp,,,,,,,,983058,0
89,0,12,0,0,11,35,1,0,0,-1,Mirror Lake Orchard,,,,,,,,7274514,0
91,0,12,0,0,11,35,1,0,0,8,Tower of Azora,,,,,,,,983058,0
94,0,10,0,0,11,0,2,0,0,24,Raven Hill,,,,,,,,7274514,0
95,0,44,0,0,11,0,1,0,0,20,Redridge Canyons,,,,,,,,7274514,0
96,0,44,0,0,11,0,1,0,0,25,Tower of Ilgalar,,,,,,,,7274514,0
97,0,44,0,0,11,0,1,0,0,19,Alther's Mill,,,,,,,,7274514,0
98,0,44,0,0,11,0,1,0,0,-1,Rethban Caverns,,,,,,,,7274514,0
99,0,33,0,0,11,0,3,0,0,-1,Rebel Camp,,,,,,,,7274514,0
101,0,33,0,0,11,0,3,0,0,-1,Kurzen's Compound,,,,,,,,7274514,0
103,0,33,0,0,11,0,3,0,0,-1,Ruins of Zul'Mamwe,,,,,,,,7274514,0
104,0,33,0,0,11,0,3,0,0,-1,The Vile Reef,,,,,,,,7274514,0
105,0,33,0,0,11,0,3,0,0,-1,Mosh'Ogg Ogre Mound,,,,,,,,7274514,0
106,0,33,0,0,11,0,3,0,0,-1,The Stockpile,,,,,,,,7274514,0
107,0,40,0,0,11,0,9,0,0,-1,Saldean's Farm,,,,,,,,7274514,0
108,0,40,0,0,11,0,9,0,0,-1,Sentinel Hill,,,,,,,,7274514,0
109,0,40,0,0,11,0,9,0,0,-1,Furlbrow's Pumpkin Farm,,,,,,,,7274514,0
111,0,40,0,0,11,0,9,0,0,-1,Jangolode Mine,,,,,,,,7274514,0
115,0,40,0,0,11,24,9,0,0,-1,Westfall Lighthouse,,,,,,,,983058,0
116,0,8,0,0,11,0,0,0,0,-1,Misty Valley,,,,,,,,7274514,0
118,0,11,0,0,11,0,3,0,0,22,Whelgar's Excavation Site,,,,,,,,7274514,0
121,0,10,0,0,11,0,15,0,0,28,Tranquil Gardens Cemetery,,,,,,,,983058,0
122,0,33,0,0,11,0,3,0,0,-1,Zuuldaia Ruins,,,,,,,,7274514,0
123,0,33,0,0,11,0,3,0,0,-1,Bal'lal Ruins,,,,,,,,7274514,0
125,0,33,0,0,11,0,3,0,0,-1,Kal'ai Ruins,,,,,,,,7274514,0
126,0,33,0,0,11,0,3,0,0,-1,Tkashi Ruins,,,,,,,,7274514,0
127,0,33,0,0,11,0,3,0,0,-1,Balia'mah Ruins,,,,,,,,7274514,0
128,0,33,0,0,11,0,3,0,0,-1,Ziata'jai Ruins,,,,,,,,7274514,0
129,0,33,0,0,11,0,3,0,0,-1,Mizjah Ruins,,,,,,,,7274514,0
130,0,0,0,0,11,28,2,0,0,-1,Silverpine Forest,,,,,,,,983058,4
131,0,1,0,0,11,0,8,0,0,5,Kharanos,,,,,,,,7274514,0
132,0,1,0,0,11,0,0,0,0,0,Coldridge Valley,,,,,,,,7274514,0
133,0,1,0,0,11,42,8,0,0,10,Gnomeregan,,,,,,,,7274514,0
134,0,1,0,0,11,0,8,0,0,10,Gol'Bolar Quarry,,,,,,,,7274514,0
135,0,1,0,0,11,0,8,0,0,0,Frostmane Hold,,,,,,,,7274514,0
136,0,1,0,0,11,0,0,0,0,5,The Grizzled Den,,,,,,,,7274514,0
137,0,1,0,0,11,0,8,0,0,7,Brewnall Village,,,,,,,,7274514,0
138,0,1,0,0,11,0,8,0,0,0,Misty Pine Refuge,,,,,,,,7274496,0
139,0,0,0,0,11,37,10,0,0,-1,Eastern Plaguelands,,,,,,,,7274514,0
141,1,0,0,0,11,29,11,56,0,-1,Teldrassil,,,,,,,,983058,2
142,0,38,0,0,11,0,1,0,0,15,Ironband's Excavation Site,,,,,,,,7274514,0
143,0,38,0,0,11,0,1,0,0,18,Mo'grosh Stronghold,,,,,,,,7274514,0
144,0,38,0,0,11,0,1,0,0,10,Thelsamar,,,,,,,,7274514,0
145,0,38,0,0,11,0,1,0,0,18,Algaz Gate,,,,,,,,7274514,0
146,0,38,0,0,11,0,1,0,0,15,Stonewrought Dam,,,,,,,,7274514,0
147,0,38,0,0,11,0,1,0,0,15,The Farstrider Lodge,,,,,,,,7274514,0
148,1,0,0,0,11,28,2,4517,1,-1,Darkshore,,,,,,,,983058,2
149,0,38,0,0,11,0,1,0,0,12,Silver Stream Mine,,,,,,,,7274514,0
150,0,11,0,0,11,0,3,0,0,20,Menethil Harbor,,,,,,,,983058,0
152,0,85,0,0,11,0,2,0,0,0,The Bulwark,,,,,,,,7274514,0
154,0,85,0,0,11,0,15,0,0,0,Deathknell,,,,,,,,7274514,0
155,0,85,0,0,11,0,2,0,0,-1,Night Web's Hollow,,,,,,,,65538,0
156,0,85,0,0,11,0,2,0,0,6,Solliden Farmstead,,,,,,,,7274514,0
157,0,85,0,0,11,0,15,0,0,8,Agamand Mills,,,,,,,,7274514,0
158,0,85,0,0,11,0,15,0,0,-1,Agamand Family Crypt,,,,,,,,7274514,0
159,0,85,0,0,11,0,15,0,0,5,Brill,,,,,,,,7274514,0
160,0,85,0,0,11,0,2,0,0,12,Whispering Gardens,,,,,,,,7274514,0
161,0,85,0,0,11,0,2,0,0,0,Terrace of Repose,,,,,,,,7274514,0
162,0,85,0,0,11,0,2,0,0,7,Brightwater Lake,,,,,,,,7274514,0
163,0,85,0,0,11,0,2,0,0,-1,Gunther's Retreat,,,,,,,,7274514,0
164,0,85,0,0,11,0,2,0,0,7,Garren's Haunt,,,,,,,,7274514,0
165,0,85,0,0,11,0,15,0,0,5,Balnir Farmstead,,,,,,,,7274514,0
166,0,85,0,0,11,0,2,0,0,5,Cold Hearth Manor,,,,,,,,7274514,0
167,0,85,0,0,11,0,2,0,0,8,Crusader Outpost,,,,,,,,7274514,0
168,0,85,0,0,11,0,2,0,0,8,The North Coast,,,,,,,,7274514,0
170,0,0,0,0,11,31,2,0,0,-1,Lordamere Lake,,,,,,,,7274514,0
172,0,130,0,0,11,0,2,0,0,18,Fenris Isle,,,,,,,,7274514,0
187,1,141,0,0,11,48,76,3900,1,7,Darnassus,,,,,,,,983042,0
189,0,1,0,0,11,0,8,0,0,5,Steelgrill's Depot,,,,,,,,7274498,0
190,0,28,0,0,11,0,0,0,0,-1,Hearthglenn,,,,,,,,7274514,0
192,0,28,0,0,11,0,0,0,0,-1,Northridge Lumber Camp,,,,,,,,7274514,0
193,0,28,0,0,11,0,15,0,0,-1,Ruins of Anderhol,,,,,,,,7274514,0
195,0,28,0,0,11,0,0,0,0,-1,School of Necromancy,,,,,,,,7274512,0
197,0,28,0,0,11,0,15,0,0,-1,Sorrow Hill,,,,,,,,7274514,0
198,0,28,0,0,11,0,0,0,0,-1,The Weeping Cave,,,,,,,,7274512,0
199,0,28,0,0,11,0,0,0,0,-1,Felstone Field,,,,,,,,7274512,0
200,0,28,0,0,11,0,0,0,0,-1,Dalson's Tears,,,,,,,,7274512,0
201,0,28,0,0,11,0,0,0,0,-1,Gahrron's Withering,,,,,,,,7274496,0
202,0,28,0,0,11,0,10,0,0,-1,The Writhing Haunt,,,,,,,,7274512,0
203,0,28,0,0,11,0,0,0,0,-1,Mardenholde Keep,,,,,,,,7274512,0
204,0,130,0,0,11,0,2,0,0,15,Pyrewood Village,,,,,,,,7274514,0
205,0,11,0,0,11,0,0,0,0,28,Dun Modr,,,,,,,,7274514,0
206,36,0,0,0,11,47,9,0,0,-1,Westfall,,,,,,,,7274514,0
207,36,0,0,0,11,0,9,0,0,-1,The Great Sea,,,,,,,,7274514,0
208,36,0,0,76,11,34,0,83622928,0,-1,Ironclad Cove,,,,,,,,7274512,0
209,33,0,0,0,11,28,2,0,0,-1,ShadowfangKeep,,,,,,,,0,2
210,36,0,4,0,11,0,0,0,0,-1,***On Map Dungeon***,,,,,,,,7274512,0
211,0,1,0,0,11,0,8,0,0,0,Iceflow Lake,,,,,,,,7274514,0
212,0,1,0,0,11,0,8,0,0,8,Helm's Bed Lake,,,,,,,,7274514,0
213,0,130,0,0,11,0,2,0,0,-1,Deep Elem Mine,,,,,,,,7274514,0
214,0,0,0,0,11,0,9,0,0,-1,The Great Sea,,,,,,,,983058,0
215,1,0,0,0,11,30,9,0,0,-1,Mulgore,,,,,,,,983058,4
219,0,40,0,0,11,0,9,0,0,-1,Alexston Farmstead,,,,,,,,7274514,0
221,1,215,0,0,11,0,9,0,0,0,Camp Narache,,,,,,,,983058,0
222,1,215,0,0,11,0,9,0,0,5,Bloodhoof Village,,,,,,,,7274514,0
223,1,215,0,0,11,0,9,0,0,-1,Stonebull Lake,,,,,,,,7274514,0
224,1,215,0,0,11,0,9,0,0,7,Ravaged Caravan,,,,,,,,7274514,0
225,1,215,0,0,11,0,9,0,0,9,Red Rocks,,,,,,,,983058,0
227,0,130,0,0,11,0,2,0,0,11,Valgan's Field,,,,,,,,7274514,0
228,0,130,0,0,11,0,15,0,0,10,The Sepulcher,,,,,,,,7274514,0
229,0,130,0,0,11,0,0,0,0,-1,Olsen's Farthing,,,,,,,,7274498,0
230,0,130,0,0,11,0,0,0,0,18,The Greymane Wall,,,,,,,,7274514,0
231,0,130,0,0,11,0,2,0,0,-1,Beren's Peril,,,,,,,,7274514,0
232,0,130,0,0,11,0,2,0,0,-1,The Dawning Isles,,,,,,,,7274514,0
233,0,130,0,0,11,0,2,0,0,15,Ambermill,,,,,,,,7274514,0
236,0,130,0,0,11,28,2,0,0,16,Shadowfang Keep,,,,,,,,7274514,0
249,0,46,0,0,11,0,10,0,0,-1,Dreadmaul Rock,,,,,,,,7274498,0
251,0,46,0,0,11,0,0,0,0,-1,Flame Crest,,,,,,,,7274512,0
252,0,46,0,0,11,0,10,0,0,-1,Blackrock Stronghold,,,,,,,,7274514,0
253,0,46,0,0,11,0,0,0,0,-1,The Pillar of Ash,,,,,,,,7274512,0
255,0,46,0,0,11,0,10,0,0,-1,Altar of Storms,,,,,,,,7274514,0
256,1,141,0,0,11,0,11,0,0,-1,Aldrassil,,,,,,,,7274514,0
257,1,141,0,0,11,0,11,0,0,-1,Shadowthread Cave,,,,,,,,7274514,0
258,1,141,0,0,11,0,11,0,0,-1,Fel Rock,,,,,,,,7274514,0
259,1,141,0,0,11,0,11,0,0,5,Lake Al'Ameth,,,,,,,,7274514,0
260,1,141,0,0,11,0,11,0,0,6,Starbreeze Village,,,,,,,,7274514,0
261,1,141,0,0,11,0,0,0,0,8,Gnarlpine Hold,,,,,,,,7274514,0
262,1,141,0,0,11,0,11,0,0,-1,Ban'ethil Barrow Den,,,,,,,,7274514,0
263,1,141,0,0,11,0,0,0,0,-1,The Cleft,,,,,,,,7274514,0
264,1,141,0,0,11,0,11,0,0,9,The Oracle Glade,,,,,,,,7274514,0
265,1,141,0,0,11,0,0,0,0,0,Wellspring River,,,,,,,,983058,0
266,1,141,0,0,11,0,0,0,0,9,Wellspring Lake,,,,,,,,7274514,0
267,0,0,0,0,11,31,1,0,0,-1,Hillsbrad Foothills,,,,,,,,7274514,0
269,0,0,0,0,11,31,0,14,0,18,Dun Algaz,,,,,,,,7274514,0
272,0,267,0,0,11,0,1,0,0,20,Tarren Mill,,,,,,,,7274514,0
275,0,267,0,0,11,0,1,0,0,21,Durnholde Keep,,,,,,,,7274514,0
277,0,36,0,0,11,0,1,0,0,-1,The Foothill Caverns,,,,,,,,7274514,0
278,0,36,0,0,11,0,1,0,0,32,Lordamere Internment Camp,,,,,,,,7274514,0
279,0,36,0,0,11,0,0,4517,0,30,Dalaran,,,,,,,,7274514,0
280,0,36,0,0,11,37,2,4514,1,34,Strahnbrad,,,,,,,,7274514,0
281,0,36,0,0,11,37,2,4514,1,36,Ruins of Alterac,,,,,,,,7274514,0
282,0,36,0,0,11,37,2,0,0,-1,Crushridge Hold,,,,,,,,7274514,0
283,0,36,0,0,11,37,2,0,0,-1,Slaughter Hollow,,,,,,,,7274514,0
284,0,36,0,0,11,0,1,0,0,-1,The Uplands,,,,,,,,7274514,0
285,0,267,0,0,11,0,2,0,0,-1,Southpoint Tower,,,,,,,,7274514,0
286,0,267,0,0,11,0,1,0,0,22,Hillsbrad Fields,,,,,,,,7274514,0
287,0,267,0,0,11,0,1,0,0,-1,Hillsbrad,,,,,,,,7274514,0
288,0,267,0,0,11,0,1,0,0,-1,Azurelode Mine,,,,,,,,983058,0
289,0,267,0,0,11,0,1,0,0,26,Nethander Stead,,,,,,,,7274514,0
290,0,267,0,0,11,0,1,0,0,-1,Dun Garok,,,,,,,,7274514,0
293,0,0,0,0,11,31,1,0,0,30,Thoradin's Wall,,,,,,,,7274514,0
294,0,267,0,0,11,0,1,0,0,30,Eastern Strand,,,,,,,,7274514,0
296,0,0,0,0,11,24,0,0,0,-1,South Seas,,,,,,,,983058,0
297,0,33,0,0,11,0,0,0,0,-1,Jaguero Isle,,,,,,,,7274514,0
298,0,11,0,0,11,0,3,0,0,0,Baradin Bay,,,,,,,,983058,0
299,0,11,0,0,11,0,0,0,0,0,Menethil Bay,,,,,,,,983058,0
300,0,8,0,0,11,0,0,0,0,-1,Mistyreed Strand,,,,,,,,7274512,0
301,0,33,0,0,11,0,3,0,0,-1,The Savage Coast,,,,,,,,7274514,0
303,0,33,0,0,11,0,0,0,0,-1,Shell Beach,,,,,,,,7274512,0
305,0,130,0,0,11,0,0,0,0,-1,North Tide's Run,,,,,,,,983040,0
306,0,130,0,0,11,0,0,0,0,-1,South Tide's Run,,,,,,,,983040,0
307,0,47,0,0,11,0,1,0,0,-1,The Overlook Cliffs,,,,,,,,7274498,0
309,0,11,0,0,11,0,9,0,0,24,Ironbeard's Tomb,,,,,,,,7274514,0
310,0,33,0,0,11,0,0,0,0,-1,Crystalvein Mine,,,,,,,,7274514,0
312,0,33,0,0,11,0,0,0,0,-1,Janeiro's Point,,,,,,,,7274498,0
314,0,45,0,0,11,0,2,4514,1,33,Go'Shek Farm,,,,,,,,7274498,0
316,0,45,0,75,11,46,0,0,0,35,Boulderfist Hall,,,,,,,,7274514,0
318,0,45,0,0,11,0,0,0,0,-1,Drywhisker Gorge,,,,,,,,7274498,0
320,0,45,0,0,11,0,0,0,0,30,Refuge Pointe,,,,,,,,7274514,0
321,0,45,0,0,11,0,2,4514,1,30,Hammerfall,,,,,,,,7274514,0
323,0,45,0,0,11,0,0,0,0,-1,O'Breen's Camp,,,,,,,,7274514,0
324,0,45,0,0,11,0,0,0,0,36,Stromgarde Keep,,,,,,,,7274514,0
325,0,45,0,0,11,0,0,0,0,-1,The Tower of Arathor,,,,,,,,7274514,0
326,0,45,0,0,11,0,0,0,0,-1,The Sanctum,,,,,,,,7274514,0
327,0,45,0,0,11,0,8,0,0,-1,Faldir's Cove,,,,,,,,7274514,0
330,0,0,0,0,11,44,3,0,0,-1,Thandol Span,,,,,,,,7274514,0
331,1,0,0,0,11,29,11,0,0,-1,Ashenvale,,,,,,,,983058,0
332,1,0,0,0,11,0,9,0,0,-1,The Great Sea,,,,,,,,983058,0
333,0,45,0,0,11,0,0,0,0,38,Circle of East Binding,,,,,,,,7274498,0
334,0,45,0,0,11,0,0,0,0,38,Circle of West Binding,,,,,,,,7274498,0
335,0,45,0,0,11,0,0,0,0,38,Circle of Inner Binding,,,,,,,,7274498,0
336,0,45,0,0,11,0,0,0,0,38,Circle of Outer Binding,,,,,,,,7274498,0
337,0,3,0,0,11,25,7,0,0,-1,Apocryphan's Rest,,,,,,,,7274498,0
340,0,3,0,0,11,25,0,0,0,-1,Kargath,,,,,,,,7274514,0
341,0,3,0,0,11,25,0,0,0,-1,Camp Kosh,,,,,,,,7274514,0
342,0,3,0,0,11,25,0,0,0,-1,Camp Boff,,,,,,,,7274514,0
343,0,3,0,0,11,25,0,0,0,-1,Camp Wurg,,,,,,,,7274514,0
344,0,3,0,0,11,25,0,0,0,-1,Camp Cagg,,,,,,,,7274514,0
345,0,3,0,0,11,25,7,0,0,-1,Agmond's End,,,,,,,,7274512,0
346,0,3,0,0,11,25,0,0,0,-1,Hammertoe's Digsite,,,,,,,,7274514,0
347,0,3,0,0,11,25,0,0,0,-1,Dustbelch Grotto,,,,,,,,7274514,0
348,0,47,0,0,11,0,1,0,0,-1,Aerie Peak,,,,,,,,7274514,0
349,0,47,0,0,11,0,1,0,0,-1,Wildhammer Keep,,,,,,,,7274514,0
350,0,47,0,0,11,0,1,0,0,-1,Quel'Danil Lodge,,,,,,,,7274514,0
351,0,47,0,0,11,0,1,0,0,-1,Skulk Rock,,,,,,,,7274496,0
352,0,47,0,0,11,0,1,0,0,-1,Zun'watha,,,,,,,,7274514,0
353,0,47,0,0,11,0,1,0,0,-1,Shadra'Alor,,,,,,,,7274514,0
356,0,47,0,0,11,0,1,0,0,-1,Seradane,,,,,,,,7274514,0
357,1,0,0,0,11,29,3,0,0,-1,Feralas,,,,,,,,983058,0
358,1,215,0,0,11,25,9,0,0,4,Brambleblade Ravine,,,,,,,,983058,0
359,1,17,0,0,11,0,7,0,0,25,Bael Modan,,,,,,,,7274514,0
360,1,215,0,0,11,0,9,0,0,7,The Venture Co. Mine,,,,,,,,7274514,0
361,1,0,0,0,11,28,2,0,0,-1,Felwood,,,,,,,,7274514,0
362,1,14,0,0,11,0,9,0,0,5,Razor Hill,,,,,,,,7274514,0
363,1,14,0,0,11,0,9,0,0,0,Valley of Trials,,,,,,,,983058,0
364,1,14,0,75,11,0,9,0,0,-1,The Den,,,,,,,,7274514,0
365,1,14,0,0,11,0,9,0,0,-1,Burning Blade Coven,,,,,,,,983042,0
366,1,14,0,0,11,0,9,0,0,7,Kolkar Crag,,,,,,,,7274514,0
367,1,14,0,0,11,0,9,0,0,6,Sen'jin Village,,,,,,,,7274514,0
368,1,14,0,0,11,32,3,4514,1,7,Echo Isles,,,,,,,,7274514,0
369,1,14,0,0,11,0,9,0,0,9,Thunder Ridge,,,,,,,,7274514,0
370,1,14,0,0,11,0,9,0,0,0,Drygulch Ravine,,,,,,,,7274514,0
372,1,14,0,0,11,0,9,0,0,6,Tiragarde Keep,,,,,,,,7274514,0
373,1,14,0,0,11,0,9,0,0,6,Scuttle Coast,,,,,,,,7274512,0
374,1,14,0,0,11,0,9,0,0,-1,Bladefist Bay,,,,,,,,7274514,0
375,1,14,0,0,11,0,9,0,0,-1,Deadeye Shore,,,,,,,,7274512,0
377,1,0,0,0,11,0,9,0,0,9,Southfury River,,,,,,,,983058,0
378,1,17,0,0,11,0,7,0,0,10,Camp Taurajo,,,,,,,,7274514,0
379,1,17,0,0,11,0,7,0,0,10,Far Watch Post,,,,,,,,7274514,0
380,1,17,0,0,11,0,7,0,0,15,The Crossroads,,,,,,,,983058,0
381,1,17,0,0,11,0,0,0,0,-1,Boulder Load Mine,,,,,,,,7274514,0
383,1,17,0,0,11,0,0,0,0,14,The Dry Hills,,,,,,,,7274514,0
384,1,17,0,0,11,0,9,0,0,-1,Dreadmist Peak,,,,,,,,7274514,0
385,1,17,0,0,11,0,0,0,0,-1,Northwatch Hold,,,,,,,,7274514,0
386,1,17,0,0,11,0,7,0,0,12,The Forgotten Pools,,,,,,,,983058,0
388,1,17,0,0,11,0,7,0,0,15,The Stagnant Oasis,,,,,,,,983058,0
390,1,17,0,0,11,0,0,0,0,20,Field of Giants,,,,,,,,7274514,0
391,1,17,0,0,11,0,0,0,0,12,The Merchant Coast,,,,,,,,7274514,0
392,1,17,0,0,11,0,7,0,0,15,Ratchet,,,,,,,,7274514,0
393,1,14,0,0,11,0,9,0,0,0,Darkspear Strand,,,,,,,,7274514,0
394,0,0,0,0,11,30,0,0,0,-1,Darrowmere Lake,,,,,,,,7274514,0
395,0,394,0,0,11,0,0,0,0,-1,Caer Darrow,,,,,,,,7274514,0
516,1,15,0,0,11,0,0,0,0,-1,Dustwallow Bay,,,,,,,,7274514,0
517,1,15,0,0,11,0,0,0,0,-1,Tidefury Cove,,,,,,,,7274512,0
518,1,15,0,0,11,0,0,0,0,-1,Dreadmurk Shore,,,,,,,,7274512,0
536,0,10,0,0,11,0,2,0,0,24,Addle's Stead,,,,,,,,7274498,0
537,1,490,0,0,11,0,0,0,0,-1,Fire Plume Ridge,,,,,,,,7274512,0
538,1,490,0,0,11,0,0,0,0,-1,Lik'ash Tar Pits,,,,,,,,7274512,0
539,1,490,0,0,11,0,0,0,0,-1,Terror Run,,,,,,,,7274496,0
540,1,490,0,0,11,0,0,0,0,-1,The Slithering Scar,,,,,,,,7274512,0
541,1,490,0,0,11,0,0,0,0,-1,Marshal's Refuge,,,,,,,,7274512,0
542,1,490,0,0,11,0,0,0,0,-1,Fungal Rock,,,,,,,,7274512,0
543,1,490,0,0,11,0,0,0,0,-1,Golakka Hot Springs,,,,,,,,7274512,0
556,0,38,0,0,11,0,1,0,0,0,The Loch,,,,,,,,7274514,0
576,0,10,0,0,11,0,2,0,0,-1,Beggar's Haunt,,,,,,,,7274514,0
22,0,0,0,0,11,38,2,1512850505,0,-1,Programmer Isle,,,,,,,,7274498,0
87,0,12,0,0,11,35,1,0,0,5,Goldshire,,,,,,,,7274514,0
425,1,331,0,0,11,0,0,4517,1,-1,Moonwell,,,,,,,,7274514,0
54,0,12,0,0,11,35,1,0,0,8,Jasperlode Mine,,,,,,,,983058,0
226,0,130,0,0,11,0,0,0,0,-1,The Skittering Dark,,,,,,,,7274514,0
382,1,17,0,0,11,0,7,0,0,15,The Sludge Fen,,,,,,,,7274514,0
431,1,331,0,0,11,0,0,0,0,30,Solace Glade,,,,,,,,7274514,0
