RaceID,SexID,VariationID,Geoset[0],Geoset[1],Geoset[2],Geoset[3],Geoset[4]
16,0,3,0,107673832,2118235989,4,0
16,0,4,0,107673832,2118235989,5,0
16,0,5,0,107673832,2118235989,6,0
18,1,0,0,0,0,0,0
18,0,0,0,107673832,2118235989,0,2
18,0,10,0,107673832,2118235989,0,4
18,0,1,0,107673832,2118235989,0,3
18,0,2,0,107673832,2118235989,0,4
8,0,3,0,107673832,2118235989,0,5
18,0,4,0,107673832,2118235989,0,6
18,0,5,0,107673832,2118235989,0,2
18,0,6,0,107673832,2118235989,0,3
18,0,7,0,107673832,2118235989,0,4
18,0,8,0,107673832,2118235989,0,5
18,0,9,0,107673832,2118235989,0,6
17,0,1,2361754,108042456,2015377679,3,0
17,0,2,2361754,108042456,2015377679,4,0
17,0,0,2361754,108042456,2015377679,2,0
17,0,4,2361754,108042456,2015377679,6,0
17,0,3,2361754,108042456,2015377679,5,0
17,0,5,2361754,108042456,2015377679,7,0
