ID,ModelID,SoundID,ExtendedDisplayInfoID,CreatureModelScale,CreatureModelAlpha,TextureVariation[0],TextureVariation[1],TextureVariation[2],SizeClass,BloodID
377,66,0,0,0.6,255,BoarSkinBrown,,,0,0
378,71,0,0,1.1,255,HarvestGolemSkinGrey,HarvestGolemBitsGrey,,1,0
379,71,0,0,1.15,255,HarvestGolemSkinBrown,HarvestGolemBitsBrown,,1,0
380,43,0,0,0.8,255,WolfSkinTimber,WolfSkinTimberAlpha,,1,0
381,66,0,0,0.75,255,BoarSkinBlue,,,-1,0
382,63,0,0,0.4,255,TarantulaSkinOrange,,,1,0
383,10,0,0,1.2,255,RiverPawGnollWhelpSkin,,,1,0
384,123,0,0,1.15,255,RiverPawGnollFighterSkin,,,1,0
385,31,0,0,0.9,255,Sahauginskin,,,1,0
386,31,0,0,1.2,255,Sahauginskin,,,1,0
387,6,0,0,0.9,255,DragonWhelpSkinBlack,,,-1,0
388,61,0,0,1.1,255,CarrionBirdSkin,CarrionBirdWing,,0,0
1057,210,0,0,1.1,255,LionSkinGold,,,1,0
1058,82,0,0,1.1,255,TigerSkinBrown,,,1,0
1059,82,0,0,0.95,255,TigerSkinBrown,,,1,0
1060,155,0,0,1,255,Cow,,,1,0
1061,156,0,0,1,255,FleshGolemSkin1,FleshGolemSkin2,,2,0
1062,157,0,0,1,255,Battleguard,,,1,0
389,66,0,0,0.75,255,BoarSkinIvory,,,-1,0
390,18,0,0,0.5,255,,,,1,0
391,31,0,0,1.2,255,SahauginskinBlue,,,1,0
8820,53,0,6084,1,255,,,,0,0
8823,53,0,6087,1,255,,,,0,0
8824,141,0,0,2.5,128,EntSkinDead,,,2,0
8825,53,0,6083,1,255,,,,0,0
8845,831,0,6103,1,255,Goblin,,,1,0
397,6,0,0,1.5,255,DragonWhelpSkinBlack,,,-1,0
8846,831,0,6103,1,255,Goblin,,,1,0
399,6,0,0,2.25,255,DragonWhelpSkinBlack,,,-1,0
400,6,0,0,1.75,255,DragonWhelpSkinBlack,,,-1,0
8847,831,0,6105,1,255,Goblin,,,1,0
8848,831,0,6507,1,255,Goblin,,,1,0
8849,831,0,6508,1,255,Goblin,,,1,0
8872,53,0,6124,1,255,,,,1,0
8889,52,0,6147,1,255,,,,1,0
8890,52,0,6147,1,255,,,,1,0
8891,51,0,6148,1,255,OrcNPCSkin,OrcMaleSamuHairSkin,,1,0
8892,54,0,6150,1,255,,,,0,0
8893,53,0,6149,1,255,,,,0,0
410,61,0,0,0.8,255,CarrionBirdSkinBrown,CarrionBirdWingBrown,,0,0
412,44,0,0,1.2,255,WargenSkinBlack,,,1,0
413,122,0,0,1.1,255,RiverPawGnollCasterSkin,,,1,0
414,45,0,0,1.2,255,GhoulSkinRed,,,1,0
415,32,0,0,0.9,255,OgreSkin1Green,OgreSkin2Green,,3,0
416,32,0,0,1.05,255,OgreSkin1Green,OgreSkin2Green,,3,0
418,30,0,0,0.7,255,MineSpiderSkinSteel,,,1,0
423,94,0,0,1,255,HumanFemaleFarmer_Bluedress,,,1,0
424,94,0,0,1,255,HumanFemaleFarmer_Greydress,,,1,0
425,94,0,0,0.75,255,HumanFemaleFarmer_Bluedress,,,1,0
427,96,0,0,0.8,255,HumanFemaleMerchant03,,,1,0
428,102,0,0,1,255,HumanMaleFarmerSkin01,,,1,0
429,103,0,0,1,255,HumanMaleMerchant03Skin2,,,1,0
430,102,0,0,1.15,255,HumanMaleFarmerSkin02,,,1,0
433,68,0,0,0.5,255,BalrogSkinRed,BalrogWingRed,,1,0
441,31,0,0,1,255,Sahauginskin,,,1,0
447,43,0,0,0.45,255,WolfSkinTimber,WolfSkinTimberAlpha,,1,0
448,32,0,0,1.2,255,OgreSkin1Purple,OgreSkin2Purple,,3,0
453,69,0,0,0.6,255,RockElementalSkinBrown,,,1,0
454,66,0,0,0.9,255,BoarSkinIvory,,,0,0
456,112,0,0,1.5,255,BlackRockClanOrcWarriorSkin,,,1,0
457,6,0,0,2,255,DragonWhelpSkinBlack,,,-1,0
458,33,0,0,1.3,255,OgreMageSkin1Copper,OgreMageSkin2Copper,,3,0
459,107,0,0,1.2,255,HumanMaleWarriorLight_Skin01,,,1,0
463,66,0,0,1.75,255,BoarSkinIvory,,,0,0
467,78,0,0,1,255,SatyrSkinPink,SatyrSkinPinkAlpha,,1,0
470,81,0,0,1,255,SlimeSkinAquaBlue,,,1,0
471,82,0,0,1,255,TigerSkinRed,,,1,0
472,83,0,0,0.7,255,BearSkinBrown,,,1,0
473,84,0,0,1,255,StoneGolemSkin,,,1,0
477,66,0,0,0.7,255,BoarSkinBrown,,,0,0
478,31,0,0,1.8,255,SahauginskinGray,,,1,0
479,90,0,0,1,255,HippogryphSkin01,HippogryphSkin02,,2,0
480,2,0,0,2,255,BogBeastSkinBlackGreen,BogBeastSkinBlackGreenAlpha,,1,0
481,91,0,0,1,255,SilithidTankSkinBlue,,,1,0
482,92,0,0,1,255,SilithidFlyerSkinBlue,,,1,0
483,11,0,0,1,255,GrellSkinBlanca,,,0,0
486,31,0,0,1.15,255,SahauginskinBlue,,,1,0
487,10,0,0,1,255,RedRidgeGnollWhelpSkin,,,-1,0
488,10,0,0,1.05,255,RedRidgeGnollWhelpSkin,,,1,0
489,123,0,0,1.05,255,RedRidgeGnollFighterSkin,,,1,0
490,61,0,0,0.75,255,CarrionBirdSkinRed,CarrionBirdWingRed,,0,0
491,122,0,0,1.1,255,ShadowHideGnollCasterSkin,,,1,0
492,122,0,0,1.05,255,RedRidgeGnollCasterSkin,,,1,0
493,123,0,0,1.3,255,ShadowHideGnollFighterSkin,,,1,0
494,10,0,0,1.2,255,ShadowHideGnollWhelpSkin,,,1,0
495,112,0,0,1.2,255,BlackRockClanOrcWarriorSkin,,,1,0
496,112,0,0,1.1,255,BlackRockClanOrcWarriorSkin,,,1,0
497,6,0,0,1,255,DragonWhelpSkinBlack,,,-1,0
498,63,0,0,0.5,255,TarantulaSkinOrange,,,1,0
499,66,0,0,1.1,255,BoarSkinIvory,,,0,0
500,123,0,0,1.15,255,RedRidgeGnollFighterSkin,,,1,0
501,123,0,0,1.4,255,RiverPawGnollFighterSkin,,,1,0
502,122,0,0,1.2,255,RiverPawGnollCasterSkin,,,1,0
503,66,0,0,0.6,255,BoarSkinIvory,,,-1,0
504,31,0,0,0.9,255,SahauginskinBlue,,,1,0
505,6,0,0,1.15,255,DragonWhelpSkinRed,,,-1,0
506,31,0,0,1.05,255,SahauginskinBlue,,,1,0
8894,182,0,6151,1,255,,,,0,0
507,61,0,0,2,255,CarrionBirdSkinBlue,CarrionBirdWingBlue,,0,0
508,16,0,0,1.1,255,HumanThiefSkin_var4,,,1,0
511,26,26,0,1.5,255,koboldskinNormal,,,0,0
512,123,0,0,0.9,255,RiverPawGnollFighterSkin,,,1,0
513,30,0,0,0.4,255,MineSpiderSkinOlive,,,1,0
514,71,0,0,0.9,255,HarvestGolemSkinGrey,HarvestGolemBitsGrey,,1,0
515,16,0,0,0.9,255,HumanThiefSkin_var1,,,1,0
516,113,0,0,1.05,255,BlackRockClanOrcRunnerSkin,,,1,0
517,112,0,0,1.2,255,BlackRockClanOrcWarriorSkin,,,1,0
518,70,0,0,1.2,255,SkeletonSkinDarkTeal,,,1,0
519,45,0,0,1.2,255,GhoulSkinWhite,,,1,0
520,63,0,0,0.65,255,TarantulaSkinBrown,,,1,0
522,44,0,0,1.3,255,WargenSkinBlack,,,1,0
523,44,0,0,1.75,255,WargenSkinWhite,,,-1,0
524,44,0,0,1.1,255,WargenSkinBrown,,,1,0
525,110,0,0,0.75,255,WaterElementalSkin,,,1,0
527,31,0,0,0.85,255,Sahauginskin,,,1,0
528,123,0,0,1.1,255,RiverPawGnollFighterSkin,,,1,0
529,31,0,0,1.05,255,Sahauginskin,,,1,0
531,31,0,0,0.9,255,SahauginskinGray,,,1,0
533,70,0,0,1.3,255,SkeletonSkinGreen,,,1,0
534,105,0,0,1,255,HumanMaleWarriorMediumSkinDark,,,1,0
535,70,0,0,1,255,SkeletonSkinDarkTeal,,,1,0
536,32,0,0,1.1,255,OgreSkin1Green,OgreSkin2Green,,3,0
538,30,0,0,0.5,255,MineSpiderSkinOlive,,,1,0
539,30,0,0,0.75,255,MineSpiderSkinSteel,,,1,0
540,31,0,0,1.25,255,SahauginskinGray,,,1,0
543,123,0,0,1.4,255,MossHideGnollFighterSkin,,,1,0
544,123,0,0,1.2,255,ShadowHideGnollFighterSkin,,,1,0
545,30,0,0,0.65,255,MineSpiderSkinGreen,,,1,0
546,45,0,0,1.05,255,GhoulSkinRed,,,1,0
547,45,0,0,1.2,255,GhoulSkinBlue,,,1,0
548,71,0,0,1.3,255,HarvestGolemSkinBlue,HarvestGolemBitsBlue,,1,0
549,69,0,0,0.6,255,RockElementalSkinBrown,,,1,0
550,10,0,0,0.9,255,ShadowHideGnollWhelpSkin,,,1,0
551,10,0,0,1.2,255,RedRidgeGnollWhelpSkin,,,1,0
553,112,0,0,1.3,255,BlackRockClanOrcWarriorSkin,,,1,0
555,16,0,0,1.1,255,HumanThiefSkin_var3,,,1,0
556,74,0,0,1,255,HumanMalePeasantskinblack,,,1,0
557,43,0,0,1.1,255,WolfSkinCoyote,WolfSkinCoyoteAlpha,,1,0
558,10,0,0,1.5,255,RedRidgeGnollWhelpSkin,,,1,0
559,45,0,0,1.1,255,GhoulSkinGrey,,,1,0
560,96,0,0,0.9,255,HumanFemaleMerchant01,,,1,0
561,22,0,0,0.9,255,,,,1,0
563,44,0,0,1.1,255,WargenSkinBlack,,,1,0
564,44,0,0,1.2,255,WargenSkinWhite,,,1,0
565,113,0,0,1.1,255,BlackRockClanOrcRunnerSkin,,,1,0
566,63,0,0,0.9,255,TarantulaSkinBrown,,,1,0
567,16,0,0,1.1,255,HumanThiefSkin_var6,,,1,0
568,11,0,0,1.2,255,GrellSkinBlue,,,0,0
569,45,0,0,1.1,255,GhoulSkinBlue,,,1,0
570,45,0,0,1.1,255,GhoulSkinRed,,,1,0
571,45,0,0,1.4,255,GhoulSkinWhite,,,1,0
574,44,0,0,1.1,255,WargenSkinWhite,,,1,0
575,16,0,0,1.05,255,HumanThiefSkin_var1,,,1,0
576,16,0,0,1.05,255,HumanThiefSkin_var5,,,1,0
578,105,0,0,1.2,255,HumanMaleWarriorMediumSkinDark,,,1,0
580,11,0,0,1.4,255,GrellSkinRed,,,0,0
584,74,0,0,0.95,255,HumanMalePeasantskinblack,,,1,0
585,88,0,0,1.17,255,HumanMalePeasantSkindark,,,1,0
586,74,0,0,0.9,255,HumanMalePeasantLightSkin,,,1,0
588,128,0,0,1,255,PirateCrewman01,,,1,0
589,111,0,0,10,255,ChickenSkinBlack,,,0,0
590,116,0,0,1.1,255,TrollSkinJungleBloodScalpCaster,,,1,0
591,117,0,0,1.3,255,TrollSkinJungleBloodScalpBoss,,,1,0
592,119,0,0,1.2,255,TrollSkinJungleBloodScalpMelee,,,1,0
593,117,0,0,1.4,255,TrollSkinJungleSplitSkullBoss,,,1,0
597,32,0,0,1.3,255,OgreSkin1Green,OgreSkin2Green,,3,0
598,82,0,0,0.8,255,TigerSkinRed,,,1,0
599,82,0,0,1,255,TigerSkinBlack,,,1,0
601,1,0,0,0.75,255,BasiliskSkinRed,BasiliskCrystalSkin,,-1,0
603,123,0,0,1.5,255,ShadowHideGnollFighterSkin,,,1,0
604,43,0,0,0.6,255,WolfSkinTimber,WolfSkinTimberAlpha,,1,0
605,42,0,0,0.8,255,TrollSkinArcticFrostManeScout,,,1,0
606,41,0,0,0.6,255,TroglodyteSkinPurple,,,1,0
607,66,0,0,0.6,255,BoarSkinBlue,,,0,0
608,33,33,0,0.9,255,OgreMageSkin1Blue,OgreMageSkin2Blue,,3,0
609,123,0,0,1.3,255,RedRidgeGnollFighterSkin,,,1,0
4,4,0,0,1,255,,,,1,0
13,13,0,0,1,255,,,,1,0
14,14,0,0,1,255,,,,1,0
15,15,0,0,1,255,,,,1,0
16,16,0,0,0,255,,,,1,0
17,17,0,0,0,255,,,,1,0
18,18,0,0,1,255,,,,1,0
19,19,0,0,0,255,,,,1,0
20,20,0,0,1,255,,,,1,0
21,22,0,0,1,255,HumanMaleCitizenLow,,,1,0
22,22,0,0,1,255,HumanMaleCitizenLow,,,1,0
23,23,0,0,1,255,,,,1,0
26,26,26,0,1,255,koboldskinNormal,,,0,0
30,30,0,0,0.6,255,MineSpiderSkinSteel,,,1,0
31,31,0,0,1,255,Sahauginskin,,,1,0
33,33,0,0,1,255,OgreMageSkin1,OgreMageSkin2,,3,0
38,38,0,0,1,255,TallStriderSkinTurquoise,,,1,0
39,39,0,0,1,255,,,,4,0
40,40,0,0,1,255,TitanMaleSkin01,TitanMaleSkin02,,3,0
42,42,0,0,1,255,TrollSkinJungleBloodScalpMelee,,,1,0
46,46,0,0,1,255,werewolfskin,,,1,0
49,49,0,0,1,255,,,,1,0
50,50,0,0,1,255,,,,1,0
51,51,0,0,1,255,,,,1,0
52,52,0,0,1,255,,,,1,0
53,53,0,0,1,255,,,,1,0
54,54,0,0,1,255,,,,1,0
55,55,0,0,1,255,,,,1,0
56,56,0,0,1,255,,,,1,0
57,57,0,0,1,255,,,,1,0
58,58,0,0,1,255,,,,1,0
59,59,0,0,1.35,255,,,,1,0
60,60,0,0,1,255,,,,1,0
62,62,0,0,1,255,HydraSkinBlue,,,3,0
64,64,0,0,1,255,,,,1,0
65,65,0,0,1,255,,,,1,0
67,67,0,0,1,255,AncientProtectorGreen,,,3,0
68,68,0,0,1,255,BalrogSkinBlue,BalrogWingBlue,,1,0
69,69,0,0,1,255,RockElementalSkinBrown,,,1,0
71,71,0,0,1,255,HarvestGolemSkinBrown,HarvestGolemBitsBrown,,1,0
72,72,0,0,1,255,,,,1,0
73,73,0,0,1,255,,,,1,0
74,22,0,0,1,255,HumanMaleCitizenLow,,,1,0
79,79,0,0,1,255,HumanMaleKidSkinPeach,,,1,0
80,80,0,0,1,255,HumanFemaleKidfarmdress,,,1,0
86,22,0,0,1,255,HumanMaleCitizenLow,,,1,0
87,22,0,0,1,255,HumanMaleCitizenLow,,,1,0
88,22,0,0,1,255,HumanMaleCitizenLow,,,1,0
89,89,0,0,1,255,HumanMalePeasantLightSkin,HumanMalePeasantLogs,,1,0
91,91,0,0,1,255,SilithidTankSkinViolet,,,1,0
92,92,0,0,1,255,SilithidFlyerSkinPurple,,,1,0
93,93,0,0,1,255,HumanFemaleMerchant01_GreenApron,,,1,0
94,94,0,0,1,255,HumanFemaleFarmer_Bluedress,,,1,0
95,95,0,0,1,255,HumanFemaleMerchant03Skin1,,,1,0
96,96,0,0,1,255,,,,1,0
97,97,0,0,1,255,HumanFemalePeasant_BlackDress,,,1,0
98,98,0,0,1,255,HumanFemaleWarriorHeavy_SkinLight,,,1,0
99,99,0,0,1,255,HumanFemaleWarriorLight_Skin01,,,1,0
100,100,0,0,1,255,HumanFemaleWarriorMedium_SkinBronze,,,1,0
101,22,0,0,1,255,HumanMaleCitizenLow,,,1,0
102,102,0,0,1,255,HumanMaleFarmerSkin01,,,1,0
103,103,0,0,1,255,HumanMaleMerchant03Skin1,,,1,0
104,104,0,0,1,255,HumanMaleWarriorHeavy_Skin01,,,1,0
105,105,0,0,1,255,HumanMaleWarriorMediumSkinDark,,,1,0
106,22,0,0,1,255,HumanMaleCitizenLow,,,1,0
107,107,0,0,1,255,HumanMaleWarriorLight_Skin01,,,1,0
108,108,0,0,1,255,HumanMaleCaster_SkinMage,,,1,0
109,109,0,0,1,255,HumanFemaleCaster_SkinPriest,,,1,0
110,110,0,0,1.5,255,WaterElementalSkin,,,1,0
112,112,0,0,1,255,BlackRockClanOrcWarriorSkin,,,1,0
113,113,0,0,1,255,BlackRockClanOrcRunnerSkin,,,1,0
115,53,0,23,1,255,DwarfMaleWarriorLightSkin2,,,1,0
123,123,0,0,1,255,,,,1,0
125,125,0,0,1,255,HumanMaleMarshalBlonde,,,1,0
126,22,0,0,1,255,HumanMaleCitizenLow,,,1,0
127,127,0,0,1,255,PirateCaptain01,,,1,0
128,128,0,0,1,255,PirateCrewman02,,,1,0
129,129,0,0,1,255,Swashbuckler02,,,1,0
130,130,0,0,1,255,DreadLordSkin,DreadLordWingSkin,,1,0
134,134,0,0,1.3,255,squirrel,,,0,0
135,67,0,0,1,255,AncientProtectorGreen,,,3,0
137,45,0,0,1,255,GhoulSkinGrey,,,1,0
138,40,0,0,1,255,TitanMaleSkin01,TitanMaleSkin02,,3,0
139,26,26,0,1,255,koboldskinNormal,,,0,0
140,39,0,0,1,255,TitanFemaleSkinBronze1,TitanFemaleSkinBronze2,,4,0
142,5,0,0,1,255,DarkHoundSkin,,,1,0
143,47,0,0,1,255,DragonSpawnSkin,DragonSpawnBodySkin,,-1,0
145,8,0,0,1,255,FurbolgSkinBrown,FurbolgStuffBrown,,1,0
146,9,0,0,1,255,GhostSkin,,,-1,0
148,12,0,0,1,255,HarpyAqua,,,1,0
149,16,0,0,1,255,HumanThiefSkin,,,1,0
150,25,0,0,1,255,KeeperOfTheGroveSkin,KeeperLeaves2,,1,0
151,28,0,0,1,255,LavaSpiderSkin,,,1,0
152,29,0,0,1,255,LostOne_Skin,LostOne_Skullbag,,1,0
154,32,0,0,1,255,OgreSkin1Green,OgreSkin2Green,,3,0
157,36,0,0,1,255,AurokkSkin,,,1,0
158,70,0,0,1,255,SkeletonSkin,,,1,0
159,37,0,0,1,255,SuccubusSkinViolet,,,1,0
160,41,0,0,1,255,TroglodyteSkinNormal,,,1,0
161,43,0,0,1,255,WolfSkinCoyote,WolfSkinCoyoteAlpha,,1,0
162,93,0,0,1,255,HumanFemaleMerchant01_RedApron,,,1,0
163,26,26,0,1,255,koboldskinAlbino,,,0,0
164,126,0,0,1,255,HumanMaleGuard,,,1,0
165,43,0,0,1,255,WolfSkinTimber,WolfSkinTimberAlpha,,1,0
166,105,0,0,1,255,HumanMaleWarriorMediumSkinDark,,,1,0
167,42,0,0,1,255,TrollSkin,,,1,0
168,2,0,0,1,255,BogBeastSkinGreen,BogBeastSkinGreenAlpha,,1,0
169,24,0,0,1,255,InfernalSkin,,,1,0
170,35,0,0,1,255,SeaGiantSkin01,SeaGiantSkin02,,4,0
171,69,0,0,1,255,RockElementalSkinBrown,,,1,0
172,3,0,0,1,255,CentaurSkin,,,1,0
173,107,0,0,1,255,HumanMaleWarriorLight_Skin01,,,1,0
174,10,0,0,1.1,255,RiverPawGnollWhelpSkin,,,1,0
175,123,0,0,1,255,RiverPawGnollFighterSkin,,,1,0
176,50,0,469,1,255,HumanFemaleWarriorLight_Skin01,,,1,0
177,47,0,0,1,255,DragonSpawnSkinBronze,DragonSpawnBodySkinBronze,,-1,0
178,38,0,0,1,255,TallStriderSkinBrown,,,1,0
179,27,0,0,1,255,KotoBeastSkinBrown,,,3,0
180,34,0,0,0.6,255,RaptorSkinOrange,,,1,0
181,47,0,0,1,255,DragonSpawnSkinGreen,DragonSpawnBodySkinGreen,,-1,0
182,47,0,0,1,255,DragonSpawnSkinWhite,DragonSpawnBodySkinWhite,,-1,0
184,16,0,0,1,255,HumanThiefSkin_var2,,,1,0
186,99,0,0,1,255,HumanFemaleWarriorLight_Skin01,,,1,0
188,31,0,0,1.1,255,SahauginskinBlue,,,1,0
190,108,0,0,1,255,HumanMaleCaster_SkinPriest,,,1,0
191,19,0,0,1,255,,,,1,0
193,66,0,0,1,255,BoarSkinIvory,,,0,0
194,42,0,0,1,255,TrollSkinGreen,,,1,0
195,42,0,0,1,255,TrollSkinArcticFrostManeScout,,,1,0
196,47,0,0,1,255,DragonSpawnSkinBlue,DragonSpawnBodySkinBlue,,-1,0
197,125,0,0,1,255,HumanMaleMarshalBlonde,,,1,0
198,108,0,0,1,255,HumanMaleCaster_SkinMage,,,1,0
200,70,0,0,0.9,255,SkeletonSkinDarkTeal,,,1,0
201,70,0,0,1,255,SkeletonSkinGreen,,,1,0
202,44,0,0,1,255,WargenSkinBrown,,,1,0
203,44,0,0,1,255,WargenSkinBlack,,,1,0
204,122,0,0,1,255,RiverPawGnollCasterSkin,,,1,0
207,217,0,0,1.5,255,RidingDireWolfSkinDarkBlack,DireWolfSkinDarkBlackAlpha,,1,0
208,16,0,0,1,255,HumanThiefSkin_var1,,,1,0
210,16,0,0,1,255,HumanThiefSkin_var3,,,1,0
211,102,0,0,1,255,HumanMaleFarmerSkin02,,,1,0
212,105,0,0,1,255,HumanMaleWarriorMediumSkinLight,,,1,0
213,97,0,0,1,255,HumanFemalePeasant_BlueDress,,,1,0
214,102,0,0,1,255,HumanMaleFarmerSkin01,,,1,0
215,94,0,0,1,255,HumanFemaleFarmer_Browndress,,,1,0
218,22,0,0,1,255,HumanMaleCitizenLow,,,1,0
221,79,0,0,1,255,HumanMaleKidSkinOlive,,,1,0
224,100,0,0,1,255,HumanFemaleWarriorMedium_SkinBronze,,,1,0
225,96,0,0,1,255,HumanFemaleMerchant02,,,1,0
226,107,0,0,1,255,HumanMaleWarriorLight_Skin02,,,1,0
227,103,0,0,1,255,HumanMaleMerchant03Skin1,,,1,0
228,96,0,0,1,255,HumanFemaleMerchant01,,,1,0
229,65,0,0,1,255,HorseSkinBrown,,,1,0
231,16,0,0,1,255,HumanThiefSkin_var6,,,1,0
232,97,0,0,1,255,HumanFemalePeasant_BlackDress,,,1,0
235,65,0,0,1,255,HorseSkinEvil,,,1,0
236,65,0,0,1,255,HorseSkinWhite,,,1,0
237,65,0,0,1,255,HorseSkinPalamino,,,1,0
238,65,0,0,1,255,HorseSkinPinto,,,1,0
239,65,0,0,1,255,HorseSkinBlack,,,1,0
240,112,0,0,1,255,BlackRockClanOrcWarriorSkin,,,1,0
242,101,0,0,1,255,HumanMaleMerchant02Skin2,,,1,0
243,17,0,0,1,255,HumanMaleBlacksmith,,,1,0
244,113,0,0,1,255,BlackRockClanOrcRunnerSkin,,,1,0
245,76,0,0,1,255,FrenzySkinBlue,,,1,0
246,73,0,0,1,255,DireWolfSkinReddishBrown,DireWolfSkinReddishBrownAlpha,,1,0
247,217,0,0,1.5,255,RidingDireWolfSkinDarkBrown,DireWolfSkinBrownAlpha,,1,0
251,79,0,0,1,255,HumanMaleKidSkinPeach,,,1,0
252,80,0,0,1,255,HumanFemaleKidfarmdress,,,1,0
257,80,0,0,1,255,HumanFemaleKiddirtydress,,,1,0
258,109,0,0,1,255,HumanFemaleCaster_SkinPriest,,,1,0
262,79,0,0,1,255,HumanMaleKidSkinBrown,,,1,0
263,108,0,0,1.1,255,HumanMaleCaster_SkinWarlock,,,1,0
1154,42,0,0,1.1,255,TrollSkinJungleBloodScalpScout,,,1,0
1155,42,0,0,1.2,255,TrollSkinJungleBloodScalpMelee,,,1,0
1156,42,0,0,1.2,255,TrollSkinJungleBloodScalpCaster,,,1,0
1157,30,0,0,1,255,MineSpiderSkinCave,,,1,0
1158,72,0,0,1,255,,,,1,0
1159,72,0,0,0.5,255,HarvestStage2Chest,HarvestStage2Torso,HarvestStage2Joint1,1,0
1160,30,0,0,5,255,MineSpiderSkinCave,,,1,0
1161,69,0,0,0.8,255,RockElementalSkinBrown,,,1,0
1162,69,0,0,1.75,255,RockElementalSkinTechno,,,1,0
1163,40,0,0,1,255,TitanMaleSkinGold1,TitanMaleSkinGold2,,3,0
1164,43,0,0,1.3,255,WolfSkinCoyote,WolfSkinCoyoteAlpha,,1,0
1165,39,39,0,1,255,TitanFemaleSkinBronze1,TitanFemaleSkinBronze2,,4,0
1166,217,0,0,1.5,255,RidingDireWolfSkinLightBlue,DireWolfSkinLightBlueAlpha,,1,0
1167,66,0,0,1.5,255,BoarSkinIvory,,,0,0
