ID,PrecastKit,CastKit,ImpactKit,StateKit,ChannelKit,HasMissile,MissileModel,MissilePathType,MissileDestinationAttachment,MissileSound,HasAreaEffect,AreaModel,AreaKit,AnimEventSoundID,WeaponTrailRed,WeaponTrailGreen,WeaponTrailBlue,WeaponTrailAlpha,WeaponTrailFadeoutRate,WeaponTrailDuration
36,124,321,282,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
37,223,224,62,292,0,0,0,0,1,0,0,293,0,0,-1,-1,-1,-1,0,1000
38,345,181,0,66,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
39,0,324,437,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,96,8,500
40,17,47,0,69,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
41,193,191,70,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,96,8,500
42,0,468,83,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
43,30,38,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
44,0,75,158,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
45,36,37,53,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
46,60,61,76,235,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
47,0,81,373,108,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
48,64,65,78,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
49,0,84,85,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
50,0,86,90,0,0,0,0,0,1,0,0,0,0,0,-1,96,-1,96,0,400
51,0,0,0,409,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
52,0,91,89,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
53,92,92,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
54,0,93,85,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
55,0,324,82,33,0,0,0,0,1,0,0,22,0,0,-1,-1,-1,-1,0,1000
56,0,0,0,69,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
57,99,270,98,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
58,100,183,101,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
59,102,103,24,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
60,104,105,24,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
61,195,203,24,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
62,109,110,112,111,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
63,99,270,431,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
64,114,118,219,0,0,1,151,0,1,3015,0,0,0,0,-1,-1,-1,-1,0,1000
65,0,116,115,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
66,0,0,122,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
67,30,38,286,0,0,1,365,0,1,3011,0,0,0,0,-1,-1,-1,-1,0,1000
68,266,267,126,360,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
69,0,127,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
70,114,118,0,535,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
71,217,218,304,0,0,0,0,0,1,3015,0,0,0,0,-1,-1,-1,-1,0,1000
72,266,425,130,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
73,131,132,0,136,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
74,137,138,0,0,729,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
75,140,141,142,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
76,99,270,146,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
77,99,96,147,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
78,99,270,148,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
79,99,96,149,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
80,99,270,150,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
81,99,96,151,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
82,99,270,152,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
83,99,96,153,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
84,0,0,0,33,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
85,43,67,82,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
86,99,270,347,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
87,114,118,0,27,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
88,159,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
89,0,0,0,0,0,1,188,0,1,0,0,1,0,0,-1,-1,-1,-1,0,1000
90,0,162,133,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
91,64,0,0,0,0,0,0,0,1,0,0,0,0,1142,-1,-1,-1,-1,0,1000
92,163,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
93,166,0,0,0,0,0,0,0,1,0,0,0,0,1143,-1,-1,-1,-1,0,1000
94,106,47,18,0,0,1,32,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
95,169,47,18,0,0,1,32,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
96,170,47,18,0,0,1,32,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
97,124,316,317,0,0,0,157,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
98,171,172,0,0,0,0,0,0,1,3223,0,0,0,0,-1,-1,-1,-1,0,1000
99,0,0,70,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
100,173,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
101,0,0,0,247,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
102,159,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
103,0,173,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
104,176,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
105,177,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
106,0,178,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
107,0,179,362,0,0,0,0,0,1,1454,0,0,0,0,-1,-1,-1,-1,0,1000
108,0,179,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
109,0,180,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
110,0,182,815,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
111,0,0,145,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
112,0,182,82,349,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
113,0,86,90,33,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
114,198,206,215,0,0,1,233,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
115,31,160,18,108,108,0,0,0,1,0,0,172,0,0,-1,-1,-1,-1,0,1000
116,194,202,0,125,0,0,231,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
117,196,204,214,0,0,1,232,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
118,200,208,216,0,0,1,234,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
119,12,11,0,108,0,0,0,0,1,0,0,22,0,0,-1,-1,-1,-1,0,1000
120,184,119,121,0,0,0,224,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
121,0,0,220,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
122,217,218,54,0,0,0,157,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
123,30,38,213,0,0,1,237,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
124,194,203,222,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
125,338,224,318,0,718,0,0,0,1,0,1,328,700,0,-1,-1,-1,-1,0,1000
126,186,329,211,0,0,1,225,0,1,3012,0,0,0,0,-1,-1,-1,-1,0,1000
127,302,302,0,303,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
128,184,119,291,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
129,187,188,210,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
130,217,218,227,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
131,0,267,230,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
132,184,119,228,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
133,67,0,82,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
134,99,270,231,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
135,99,270,232,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
136,196,204,214,0,0,1,232,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
137,217,218,0,325,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
138,398,275,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
139,114,118,0,288,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
140,217,493,310,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
141,60,61,273,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
142,345,181,319,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
143,0,38,728,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
144,196,204,214,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
145,223,356,348,349,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
146,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
147,0,237,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
148,238,239,213,0,0,1,258,0,2,0,1,257,0,0,-1,-1,-1,-1,0,1000
149,0,0,0,242,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
150,114,118,0,243,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
151,114,118,0,244,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
152,186,189,456,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
153,0,0,251,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
154,99,417,0,252,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
155,0,253,330,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
156,159,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
157,60,61,249,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
158,0,267,254,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
159,439,256,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
160,0,750,831,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
161,403,260,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
162,171,172,0,245,0,1,224,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
163,0,341,0,262,342,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
164,0,265,0,814,284,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
165,0,265,264,0,473,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
166,0,268,290,33,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
167,0,269,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
168,217,218,271,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
169,217,218,272,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
170,0,279,0,301,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
171,280,281,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
172,17,47,220,69,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
173,124,72,283,0,0,1,157,0,1,3087,0,0,0,0,-1,-1,-1,-1,0,1000
174,0,279,121,298,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
175,137,138,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
176,307,308,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
177,0,341,0,293,402,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
178,0,367,295,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
179,114,418,0,297,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
180,518,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
181,765,766,306,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
182,217,218,0,340,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
183,114,118,311,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
184,0,0,0,312,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
185,114,118,313,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
186,266,267,315,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
187,345,476,320,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
188,31,160,0,322,323,0,0,0,1,0,0,172,0,0,-1,-1,-1,-1,0,1000
189,0,182,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
190,0,327,328,0,0,0,151,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
191,305,294,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
192,345,181,0,332,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
193,99,270,333,0,0,0,2,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
194,99,337,442,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
195,171,172,497,221,0,1,362,2,2,0,1,257,0,0,-1,-1,-1,-1,0,1000
196,345,181,339,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
197,0,352,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
198,171,172,145,0,0,1,188,2,1,0,1,257,0,0,-1,-1,-1,-1,0,1000
199,0,279,0,343,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
200,0,81,0,344,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
201,345,181,0,346,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
202,238,239,0,0,0,1,256,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
203,0,0,240,0,0,0,258,0,1,0,0,257,0,0,-1,-1,-1,-1,0,1000
204,100,183,347,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,1000
205,0,492,348,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,1000
206,0,0,145,0,0,0,188,2,0,0,1,257,0,0,-1,-1,-1,-1,0,1000
207,0,0,240,235,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,1000
208,0,74,348,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,1000
209,0,350,749,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,1000
210,0,351,693,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,1000
211,99,270,353,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,1000
212,0,181,542,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,1000
213,0,356,441,349,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,1000
214,345,181,357,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,1000
215,358,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,1000
216,345,181,359,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,1000
217,345,181,361,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,1000
218,345,181,0,363,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,1000
219,0,366,507,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,1000
220,36,37,365,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,1000
221,0,352,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,1000
222,0,368,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,1000
223,0,0,0,370,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,1000
224,161,167,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
225,372,172,0,0,0,1,188,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
226,372,172,0,0,0,1,151,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
227,0,0,507,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,1000
228,372,172,0,0,0,1,224,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
229,372,172,0,0,0,1,259,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
230,0,0,0,0,0,1,362,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
231,7,164,0,285,0,1,363,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
232,345,181,371,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
233,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
235,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,0,379,0,825,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
237,380,0,371,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
238,30,38,213,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
239,266,267,381,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
240,0,382,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,1000
241,345,181,336,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
242,60,61,383,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
243,380,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
244,0,385,121,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
245,386,387,282,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
246,0,388,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,1000
247,0,389,694,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,1000
248,80,110,390,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
249,0,392,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
250,0,394,393,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
251,0,396,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
252,397,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
253,0,399,423,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,96,8,500
254,416,416,401,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
255,0,404,0,312,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
256,0,407,0,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,0,411,422,27,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
258,345,181,0,0,0,0,0,0,1,0,1,437,736,0,-1,-1,-1,-1,0,1000
259,197,209,0,0,717,0,0,0,1,0,1,398,609,0,-1,-1,-1,-1,0,1000
260,0,414,415,0,0,1,365,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
261,0,414,255,0,0,0,0,0,1,0,1,591,0,0,-1,-1,-1,-1,0,1000
262,0,730,0,0,729,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
263,266,267,420,0,0,0,0,0,1,0,1,0,0,0,-1,-1,-1,-1,0,1000
264,0,352,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
265,0,0,421,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
266,0,411,423,33,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
267,171,424,76,235,0,1,188,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
268,266,267,419,0,0,1,405,0,1,3012,0,0,0,0,-1,-1,-1,-1,0,1000
269,266,267,419,0,0,1,406,0,1,3012,0,0,0,0,-1,-1,-1,-1,0,1000
270,266,267,419,0,0,1,407,0,1,3012,0,0,0,0,-1,-1,-1,-1,0,1000
271,266,267,419,0,0,1,408,0,1,3012,0,0,0,0,-1,-1,-1,-1,0,1000
272,30,38,286,0,0,1,365,2,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
273,0,356,348,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,1000
274,345,181,56,426,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
275,427,270,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
276,0,0,428,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
277,0,429,0,814,430,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
278,99,270,433,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
279,217,218,0,434,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
280,99,270,435,436,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
281,0,438,0,247,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
282,0,0,348,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
283,171,172,0,0,0,1,258,0,1,0,0,0,0,0,0,0,0,0,0,0
284,266,267,440,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
285,99,270,442,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
286,443,444,531,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
287,171,172,0,288,0,1,243,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
288,0,0,446,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
289,60,61,447,235,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
290,60,61,448,0,0,0,0,0,1,0,0,0,0,0,-1,-1,-1,-1,0,1000
