ID,ModelName[0],ModelName[1],ModelTexture[0],ModelTexture[1],InventoryIcon,GroundModel,GeosetGroup[0],GeosetGroup[1],GeosetGroup[2],GeosetGroup[3],Flags,SpellVisualID,GroupSoundIndex,ItemSize,HelmetGeosetVisID,Texture[0],Texture[1],Texture[2],Texture[3],Texture[4],Texture[5],Texture[6],Texture[7],ItemVisual
252,,,,,INV_Belt_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Generic_DwWr_01_Belt_LU,,,0
253,,,,,INV_Boots_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,,Generic_DwWr_01_Boot_LL,Generic_DwWr_01_Boot_FO,0
256,,,,,INV_Belt_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Generic_DwPa_01_Belt_LU,,,0
257,,,,,INV_Boots_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,,Generic_DwPa_01_Boot_LL,Generic_DwPa_01_Boot_FO,0
261,,,,,INV_Boots_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,,Generic_DwHu_01_Boot_LL,Generic_DwHu_01_Boot_FO,0
267,,,,,INV_Boots_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,,,Generic_HuAs_01_Boot_FO,0
275,,,,,INV_Belt_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Generic_HuPr_01_Belt_LU,,,0
276,,,,,INV_Boots_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,,Generic_HuPr_01_Boot_LL,Generic_HuPr_01_Boot_FO,0
281,,,,,INV_Belt_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Generic_HuWr_01_Belt_LU,,,0
282,,,,,INV_Boots_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,,Generic_HuWr_01_Boot_LL,Generic_HuWr_01_Boot_FO,0
292,,,,,INV_Potion_08,GOPurplePotion.mdl,0,0,0,0,0,0,17,3,0,,,,,,,,,0
293,,,,,INV_Belt_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Generic_OrWk_01_Belt_LU,,,0
295,,,,,INV_Boots_02,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,,,Generic_OrWk_01_Boot_FO,0
297,,,,,INV_Belt_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Generic_OrRu_01_Belt_LU,,,0
301,,,,,INV_Belt_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Generic_OrHu_01_Belt_LU,,,0
302,,,,,INV_Boots_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,,Generic_OrHu_01_Boot_LL,Generic_OrHu_01_Boot_FO,0
308,,,,,INV_Misc_Food_01,GOCheese.mdl,0,0,0,0,0,0,15,3,0,,,,,,,,,0
310,,,,,INV_Belt_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Generic_OrSh_01_Belt_LU,,,0
311,,,,,INV_Boots_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,,Generic_OrSh_01_Boot_LL,Generic_OrSh_01_Boot_FO,0
314,,,,,INV_Belt_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Generic_TaSh_01_Belt_LU,,,0
317,,,,,INV_Belt_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Generic_HuPa_01_Belt_LU,,,0
318,,,,,INV_Boots_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,,Generic_HuPa_01_Boot_LL,Generic_HuPa_01_Boot_FO,0
326,,,,,INV_Belt_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Generic_TaRu_01_Belt_LU,,,0
329,,,,,INV_Belt_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Generic_TaWr_01_Belt_LU,,,0
332,,,,,INV_Belt_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Generic_TaHu_01_Belt_LU,,,0
336,,,,,INV_Belt_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Generic_OrAs_01_Belt_LU,,,0
337,,,,,INV_Boots_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,,,Generic_OrAs_01_Boot_FO,0
362,,,,,INV_Misc_Bag_01,,0,0,0,0,0,0,18,3,0,,,,,,,,,0
365,,,,,INV_Pants_02,GOCloth01.mdl,0,1,0,0,0,0,7,3,0,,,,,,Generic_DwRu_01_Pants_LU,Generic_DwPrRu_01_Pants_LL,,0
368,,,,,INV_Pants_02,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Generic_DwPr_01_Pants_LU,Generic_DwPr_01_Pants_LL,,0
369,,,,,INV_Shirt_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,Generic_DwPr_01_Sleeve_AU,,,Generic_DwPr_01_Chest_TU,Generic_DwPr_01_Chest_TL,,,,0
370,,,,,INV_Pants_02,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Generic_DwWr_01_Pants_LU,Generic_DwWr_01_Pant_LL,,0
371,,,,,INV_Shirt_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,Generic_DwWr_01_Sleeve_AU,,,Generic_DwWr_01_Chest_TU,Generic_DwWr_01_Chest_TL,,,,0
372,,,,,INV_Pants_02,GOCloth01.mdl,0,1,0,0,0,0,7,3,0,,,,,,Generic_DwPa_01_Pants_LU,Generic_DwPa_01_Pants_LL,,0
373,,,,,INV_Shirt_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,Generic_DwPa_01_Sleeve_AU,,,Generic_DwPa_01_Chest_TU,Generic_DwPa_01_Chest_TL,,,,0
374,,,,,INV_Pants_02,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Generic_DwHu_01_Pants_LU,Generic_DwHu_01_Pants_LL,,0
376,,,,,INV_Pants_02,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Generic_HuAs_01_Pants_LU,Generic_HuAs_01_Pant_LL,,0
378,,,,,INV_Pants_02,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Generic_HuPr_01_Pants_LU,Generic_HuPr_01_Pant_LL,,0
380,,,,,INV_Pants_02,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Generic_HuWr_01_Pants_LU,Generic_HuWr_01_Pant_LL,,0
381,,,,,INV_Shirt_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,Generic_HuWr_01_Sleeve_AU,,,Generic_HuWr_01_Chest_TU,Generic_HuWr_01_Chest_TL,,,,0
383,,,,,INV_Shirt_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,Generic_OrRu_01_Chest_TU,Generic_OrRu_01_Chest_TL,,,,0
384,,,,,INV_Pants_02,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Generic_OrHu_01_Pants_LU,Generic_OrHu_01_Pants_LL,,0
385,,,,,INV_Shirt_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,Generic_OrHu_01_Chest_TU,Generic_OrHu_01_Chest_TL,,,,0
386,,,,,INV_Pants_02,GOCloth01.mdl,0,1,0,0,0,0,7,3,0,,,,,,Generic_OrSh_01_Pants_LU,Generic_OrSh_01_Pants_LL,,0
387,,,,,INV_Shirt_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,Generic_OrSh_01_Sleeve_AU,,,Generic_OrSh_01_Chest_TU,Generic_OrSh_01_Chest_TL,,,,0
388,,,,,INV_Pants_02,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Generic_TaSh_01_Pants_LU,Generic_TaSh_01_Pants_LL,,0
389,,,,,INV_Shirt_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,Generic_TaSh_01_Sleeve_AU,,,Generic_TaSh_01_Chest_TU,Generic_TaSh_01_Chest_TL,,,,0
390,,,,,INV_Pants_02,GOCloth01.mdl,0,1,0,0,0,0,7,3,0,,,,,,Generic_HuPa_01_Pants_LU,Generic_HuPa_01_Pant_LL,,0
391,,,,,INV_Shirt_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,Generic_HuPa_01_Sleeve_AU,,,Generic_HuPa_01_Chest_TU,Generic_HuPa_01_Chest_TL,,,,0
392,,,,,INV_Pants_02,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Generic_TaRu_01_Pants_LU,Generic_TaRu_01_Pants_LL,,0
393,,,,,INV_Shirt_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,Generic_TaRu_01_Sleeve_AU,,,Generic_TaRu_01_Chest_TU,Generic_TaRu_01_Chest_TL,,,,0
394,,,,,INV_Pants_02,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Generic_TaWr_01_Pants_LU,Generic_TaWr_01_Pants_LL,,0
395,,,,,INV_Shirt_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,Generic_TaWr_01_Sleeve_AU,,,Generic_TaWr_01_Chest_TU,Generic_TaWr_01_Chest_TL,,,,0
396,,,,,INV_Pants_02,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Generic_TaHu_01_Pants_LU,Generic_TaHu_01_Pants_LL,,0
397,,,,,INV_Shirt_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,Generic_TaHu_01_Chest_TU,Generic_TaHu_01_Chest_TL,,,,0
398,,,,,INV_Pants_02,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Generic_OrAs_01_Pants_LU,Generic_OrAs_01_Pants_LL,,0
412,,,,,INV_Pants_02,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Generic_OrWr_01_Pants_LU,Generic_OrWr_01_Pants_LL,,0
453,Axe_1H_Flint_A_01.mdl,,Axe_1H_Flint_A_01Brown,,INV_Axe_01,GOAxe01.mdl,0,0,0,0,0,0,8,3,0,,,,,,,,,0
472,Stave_2H_Long_A_01.mdl,,Stave_2H_Long_A_01Teal,,INV_Staff_08,GOStaff01.mdl,0,0,0,0,0,0,13,3,0,,,,,,,,,0
510,,,,,INV_Gauntlets_04,GOChain01.mdl,1,0,0,0,0,0,11,3,0,,Mail_B_01_Glove_AL,Mail_B_01_Glove_HA,,,,,,0
555,,,,,INV_Misc_MonsterScales_02,GOMeat.mdl,0,0,0,0,0,0,0,3,0,,,,,,,,,0
557,,,,,INV_Misc_Bowl_01,GOMeat.mdl,0,0,0,0,0,0,15,3,0,,,,,,,,,0
563,Sword_2H_Claymore_A_01.mdl,,Sword_2H_Claymore_A_01_V01,,INV_Sword_08,GOSword01.mdl,0,0,0,0,0,0,9,3,0,,,,,,,,,0
568,,,,,INV_Misc_MonsterScales_03,GOYellowPotion.mdl,0,0,0,0,0,0,16,3,0,,,,,,,,,0
581,,,,,INV_Misc_Ale_01,GOCheese.mdl,0,0,0,0,0,0,15,3,0,,,,,,,,,0
609,,,,,INV_Jewelry_Amulet_05,GOYellowPotion.mdl,0,0,0,0,0,0,0,3,0,,,,,,,,,0
624,,,,,INV_Misc_MonsterSpiderCarapace_01,GOMeat.mdl,0,0,0,0,0,0,0,3,0,,,,,,,,,0
634,,,,,INV_Scroll_04,,0,0,0,0,0,0,19,3,0,,,,,,,,,0
679,Sword_1H_Short_A_01.mdl,,Sword_1H_Short_A_01Blue,,INV_Sword_04,GOSword01.mdl,0,0,0,0,0,0,8,3,0,,,,,,,,,0
683,,,,,INV_Pants_02,GOLeather01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Leather_B_01_Pant_LU,Leather_B_01_Pant_LL,,0
684,,,,,INV_Chest_Wolf,GOLeather01.mdl,0,0,0,0,0,0,7,3,0,,,,Leather_B_01_Chest_TU,Leather_B_01_Chest_TL,,,,0
685,,,,,INV_Pants_03,GOChain01.mdl,0,0,0,0,0,0,11,3,0,,,,,,Mail_A_02_Pant_LU,Mail_A_02_Pant_LL,,0
687,,,,,INV_Pants_03,GOChain01.mdl,0,0,0,0,0,0,11,3,0,,,,,,Mail_A_01_Pant_LU,Mail_A_01_Pant_LL,,0
691,,,,,INV_Pants_02,GOLeather01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Leather_B_02_Pant_LU,Leather_B_02_Pant_LL,,0
697,,,,,INV_Pants_03,GOChain01.mdl,0,0,0,0,0,0,11,3,0,,,,,,Mail_B_01_Pant_LU,Mail_B_01_Pant_LL,,0
703,,,,,INV_Boots_Wolf,GOLeather01.mdl,3,0,0,0,0,0,7,3,0,,,,,,,Leather_A_01_Boot_LL,Leather_A_01_Boot_FO,0
704,,,,,INV_Pants_Wolf,GOLeather01.mdl,0,0,0,0,0,0,11,3,0,,,,,,Leather_A_01_Pant_LU,Leather_A_01_Pant_LL,,0
729,Sword_2H_Korean_C_01.mdl,,Sword_2H_Korean_C_01_V01,,INV_Sword_08,GOSword01.mdl,0,0,0,0,0,0,9,3,0,,,,,,,,,0
782,Axe_2H_Battle_B_01.mdl,,Axe_2H_Battle_B_01,,INV_Axe_04,GOAxe01.mdl,0,0,0,0,0,0,9,3,0,,,,,,,,,0
811,,,,,INV_Scroll_03,,0,0,0,0,0,0,20,3,0,,,,,,,,,0
825,,,,,INV_Boots_03,GOLeather01.mdl,1,0,0,0,0,0,7,3,0,,,,,,,Leather_A_02_Boot_LL,Generic_HuPr_01_Boot_FO,0
845,,,,,INV_Boots_09,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,,Cloth_R_02_Boot_LL,Cloth_R_02_Boot_FO,0
859,Sword_1H_Machete_A_01.mdl,,Sword_1H_Machete_A_01_V01,,INV_Sword_04,GOSword01.mdl,0,0,0,0,0,0,8,3,0,,,,,,,,,0
860,Mace_1H_Flanged_B_01.mdl,,Mace_1H_Flanged_B_01_V01,,INV_Mace_01,GOBlunt01.mdl,0,0,0,0,0,0,8,3,0,,,,,,,,,0
861,Mace_1H_Spiked_A_01.mdl,,Mace_1H_Spiked_A_01_V01,,INV_Mace_01,GOBlunt01.mdl,0,0,0,0,0,0,8,3,0,,,,,,,,,0
862,Sword_1H_Long_B_01.mdl,,Sword_1H_Long_B_01_V01,,INV_Sword_04,GOSword01.mdl,0,0,0,0,0,0,8,3,0,,,,,,,,,0
869,Polearm_2H_Bladed_C_01.mdl,,Polearm_2H_Bladed_C_01,,INV_Spear_06,GOStaff01.mdl,0,0,0,0,0,0,9,3,0,,,,,,,,,0
878,Stave_2H_Long_A_01.mdl,,Stave_2H_Long_A_01Teal,,INV_Staff_02,GOStaff01.mdl,0,0,0,0,0,0,13,3,0,,,,,,,,,0
883,Stave_2H_Long_A_01.mdl,,Stave_2H_Long_A_01Teal,,INV_Staff_06,GOStaff01.mdl,0,0,0,0,0,0,13,3,0,,,,,,,,,0
896,,,,,INV_Jewelry_Ring_01,,0,0,0,0,0,0,0,3,0,,,,,,,,,0
898,,,,,INV_Jewelry_Talisman_02,,0,0,0,0,0,0,0,3,0,,,,,,,,,0
918,,,,,INV_Misc_Book_09,GOApple.mdl,0,0,0,0,0,0,0,3,0,,,,,,,,,0
920,,,,,INV_Misc_Eye_01,GOApple.mdl,0,0,0,0,0,0,0,3,0,,,,,,,,,0
924,,,,,INV_Scroll_03,GOApple.mdl,0,0,0,0,0,0,20,3,0,,,,,,,,,0
925,,,,,INV_Misc_Bag_01,GOApple.mdl,0,0,0,0,0,0,23,3,0,,,,,,,,,0
926,,,,,INV_Potion_01,GOApple.mdl,0,0,0,0,0,0,17,3,0,,,,,,,,,0
928,,,,,INV_Misc_Branch_01,GOApple.mdl,0,0,0,0,0,0,12,3,0,,,,,,,,,0
929,,,,,INV_TradeskillItem_03,GOApple.mdl,0,0,0,0,0,0,13,3,0,,,,,,,,,0
932,,,,,INV_Banner_02,,1,0,0,0,0,0,7,3,0,,,,Lordaeron_A_01_Chest_TU,Lordaeron_A_01_Chest_TL,Lordaeron_A_01_Chest_LU,,,0
936,,,,,INV_Robe_02,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,,,,0
940,,,,,INV_Misc_MonsterClaw_04,GOYellowPotion.mdl,0,0,0,0,0,0,0,3,0,,,,,,,,,0
941,,,,,INV_Misc_Root_01,GOYellowPotion.mdl,0,0,0,0,0,0,0,3,0,,,,,,,,,0
942,,,,,INV_Jewelry_Talisman_03,GOYellowPotion.mdl,0,0,0,0,0,0,0,3,0,,,,,,,,,0
943,,,,,INV_Misc_Igot_01,GOYellowPotion.mdl,0,0,0,0,0,0,0,3,0,,,,,,,,,0
944,,,,,INV_Misc_MonsterHead_03,GOYellowPotion.mdl,0,0,0,0,0,0,0,3,0,,,,,,,,,0
945,,,,,INV_Boots_09,GOLeather01.mdl,0,0,0,0,0,0,0,3,0,,,,,,,Leather_B_01_Boot_LL,Leather_B_01_Boot_FO,0
946,,,,,INV_Misc_Rune_01,GOYellowPotion.mdl,0,0,0,0,0,0,0,3,0,,,,,,,,,0
954,,,,,INV_Chest_Chain,GOChain01.mdl,0,0,0,0,0,0,11,3,0,,,,Mail_A_02_Chest_TU,Mail_A_02_Chest_TL,,,,0
956,,,,,INV_Misc_Horn_03,GOYellowPotion.mdl,0,0,0,0,0,0,0,3,0,,,,,,,,,0
959,,,,,INV_Misc_MonsterFang_01,GOYellowPotion.mdl,0,0,0,0,0,0,16,3,0,,,,,,,,,0
961,,,,,INV_Misc_Orb_04,GOYellowPotion.mdl,0,0,0,0,0,0,15,3,0,,,,,,,,,0
963,,,,,INV_Jewelry_Ring_03,GOYellowPotion.mdl,0,0,0,0,0,0,14,3,0,,,,,,,,,0
964,,,,,INV_Jewelry_Talisman_04,GOYellowPotion.mdl,0,0,0,0,0,0,0,3,0,,,,,,,,,0
972,,,,,INV_Gauntlets_05,GOLeather01.mdl,0,0,0,0,0,0,7,3,0,,Leather_A_01_Glove_AL,Leather_A_01_Glove_HA,,,,,,0
976,,,,,INV_Gauntlets_04,GOChain01.mdl,0,0,0,0,0,0,11,3,0,,Mail_A_01_Glove_AL,Mail_A_01_Glove_HA,,,,,,0
977,,,,,INV_Chest_Chain,GOChain01.mdl,0,0,0,0,0,0,11,3,0,,,,Mail_A_01_Chest_TU,Mail_A_01_Chest_TL,,,,0
981,,,,,INV_Misc_Bag_02,GOYellowPotion.mdl,0,0,0,0,0,0,18,3,0,,,,,,,,,0
983,,,,,INV_Potion_09,GOYellowPotion.mdl,0,0,0,0,0,0,17,3,0,,,,,,,,,0
989,,,,,INV_Chest_Wolf,GOLeather01.mdl,0,0,0,0,0,0,7,3,0,,,,Leather_B_02_Chest_TU,Leather_B_02_Chest_TL,,,,0
992,,,,,INV_Scroll_01,GORedPotion.mdl,0,0,0,0,0,0,19,3,0,,,,,,,,,0
993,,,,,INV_Misc_Food_06,GOCheese.mdl,0,0,0,0,0,0,15,3,0,,,,,,,,,0
994,,,,,INV_Misc_Food_07,GOCheese.mdl,0,0,0,0,0,0,15,3,0,,,,,,,,,0
999,,,,,INV_Misc_Ale_01,GOYellowPotion.mdl,0,0,0,0,0,0,13,3,0,,,,,,,,,0
1006,,,,,INV_Jewelry_Ring_02,GOYellowPotion.mdl,0,0,0,0,0,0,7,3,0,,,,,,,,,0
1007,,,,,INV_Misc_Net_01,GOYellowPotion.mdl,0,0,0,0,0,0,16,3,0,,,,,,,,,0
1011,,,,,INV_Gauntlets_05,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,Cloth_R_02_Glove_AL,HARobeLightGlove01,,,,,,0
1012,,,,,INV_Jewelry_Amulet_02,GOApple.mdl,0,0,0,0,0,0,0,3,0,,,,,,,,,0
1013,,,,,INV_Scroll_02,GOYellowPotion.mdl,0,0,0,0,0,0,19,3,0,,,,,,,,,0
1017,,,,,INV_Gauntlets_05,GOLeather01.mdl,1,0,0,0,0,0,7,3,0,,Leather_B_01_Bracer_AL,Leather_B_01_Glove_HA,,,,,,0
1019,,,,,INV_Chest_Chain,GOChain01.mdl,0,0,0,0,0,0,11,3,0,Mail_B_01_Sleeve_AU,,,Mail_B_01_Chest_TU,Mail_B_01_Chest_TL,,,,0
1020,,,,,INV_Boots_01,GOChain01.mdl,1,0,0,0,0,0,11,3,0,,,,,,,Mail_B_01_Boot_LL,Mail_B_01_Boot_FO,0
1022,Hammer_1H_War_D_01.mdl,,Hammer_1H_War_D_01_V01,,INV_Hammer_04,GOBlunt01.mdl,0,0,0,0,0,0,8,3,0,,,,,,,,,0
1025,,,,,INV_Misc_Bag_05,GOYellowPotion.mdl,0,0,0,0,0,0,18,3,0,,,,,,,,,0
1026,,,,,INV_Potion_09,GORedPotion.mdl,0,0,0,0,0,0,17,3,0,,,,,,,,,0
1028,,,,,INV_Jewelry_Ring_02,GOYellowPotion.mdl,0,0,0,0,0,0,0,3,0,,Leather_A_02_Bracer_AL,,,,,,,0
1032,Sword_1H_Long_B_01.mdl,,Sword_1H_Long_B_01_V01,,INV_Sword_05,GOSword01.mdl,0,0,0,0,0,0,8,3,0,,,,,,,,,0
1037,,,,,INV_Scroll_08,,0,0,0,0,0,0,19,3,0,,,,,,,,,0
1040,,,,,INV_Misc_Idol_03,GOYellowPotion.mdl,0,0,0,0,0,0,15,3,0,,,,,,,,,0
1041,,,,,INV_Misc_Food_10,GOMeat.mdl,0,0,0,0,0,0,15,3,0,,,,,,,,,0
1045,Club_1H_Torch_A_01.mdl,,Club_1H_Torch_A_01,,INV_Sword_09,GOYellowPotion.mdl,0,0,0,0,0,0,8,3,0,,,,,,,,,0
1046,,,,,INV_Jewelry_Ring_01,GOYellowPotion.mdl,0,0,0,0,0,0,8,3,0,,,,,,,,,0
1054,,,,,INV_Mask_02,GOYellowPotion.mdl,0,0,0,0,0,0,0,3,0,,,,,,,,,0
1057,LShoulder_Leather_A_01.mdl,RShoulder_Leather_A_01.mdl,Shoulder_Leather_A_01Brown,Shoulder_Leather_A_01Brown,INV_Shoulder_08,GOLeather01.mdl,0,0,0,0,0,0,7,3,0,,,,,,,,,0
1058,LShoulder_Leather_A_01.mdl,RShoulder_Leather_A_01.mdl,Shoulder_Leather_A_01Tan,Shoulder_Leather_A_01Tan,INV_Shoulder_08,GOLeather01.mdl,0,0,0,0,0,0,7,3,0,,,,,,,,,0
1060,LShoulder_Plate_D_03.mdl,,Shoulder_Plate_D_03,,INV_Shoulder_02,GOPlate01.mdl,0,0,0,0,0,0,7,3,0,,,,,,,,,0
1063,,,,,INV_Gauntlets_04,GOYellowPotion.mdl,0,0,0,0,0,0,7,3,0,,Cloth_R_01_Glove_AL,Cloth_R_01_Glove_HA,,,,,,0
1068,LShoulder_Mail_C_01.mdl,RShoulder_Mail_C_01.mdl,Shoulder_Mail_C_01Silver,Shoulder_Mail_C_01Silver,INV_Shoulder_02,GOChain01.mdl,0,0,0,0,0,0,7,3,0,,,,,,,,,0
1069,,,,,INV_Scroll_01,GOApple.mdl,0,0,0,0,0,0,0,3,0,,,,,,,,,0
1080,,,,,INV_Chest_Fur.tga,GOLeather01.mdl,0,0,0,0,0,0,7,3,0,Leather_D_01_Black_Sleeve_AU,,,Leather_D_01_Black_Chest_TU,Leather_D_01_Black_Chest_TL,,,,0
1083,Hammer_1H_War_D_01.mdl,,Hammer_1H_War_D_01_V01,,INV_Hammer_03,GOBlunt01.mdl,0,0,0,0,0,0,8,3,0,,,,,,,,,0
1087,,,,,INV_Misc_Food_05,GOCheese.mdl,0,0,0,0,0,0,15,3,0,,,,,,,,,0
1090,Stave_2H_Long_A_01.mdl,,Stave_2H_Long_A_01Teal,,INV_Staff_04,GOStaff01.mdl,0,0,0,0,0,0,13,3,0,,,,,,,,,0
1092,Stave_2H_Long_A_01.mdl,,Stave_2H_Long_A_01Teal,,INV_Staff_07,GOStaff01.mdl,0,0,0,0,0,0,13,3,0,,,,,,,,,0
1093,,,,,INV_Scroll_07,,0,0,0,0,0,0,20,3,0,,,,,,,,,0
1095,,,,,INV_Ammo_Arrow_01,GOSword01.mdl,0,0,0,0,0,0,12,3,0,,,,,,,,,0
1096,,,,,INV_Scroll_04,GOYellowPotion.mdl,0,0,0,0,0,0,20,3,0,,,,,,,,,0
1097,,,,,INV_Scroll_05,GOYellowPotion.mdl,0,0,0,0,0,0,15,3,0,,,,,,,,,0
1098,,,,,INV_Shirt_01,,0,0,0,0,0,0,0,3,0,,,,,,,,,0
1102,,,,,INV_Scroll_03,GOYellowPotion.mdl,0,0,0,0,0,0,20,3,0,,,,,,,,,0
1103,,,,,INV_Misc_Book_07,GOYellowPotion.mdl,0,0,0,0,0,0,19,3,0,,,,,,,,,0
1107,,,,,INV_Belt_01,GOCloth01.mdl,0,0,0,0,0,0,7,3,0,,,,,,Leather_D_01_Belt_LU,,,0
1115,Club_1H_Spiked_A_01.mdl,,Club_1H_Spiked_A_01_V01,,INV_Mace_01,GOBlunt01.mdl,0,0,0,0,0,0,8,3,0,,,,,,,,,0
1116,,,,,INV_Misc_Food_16,GOYellowPotion.mdl,0,0,0,0,0,0,15,3,0,,,,,,,,,0
1117,,,,,INV_Misc_Food_14,GOMeat.mdl,0,0,0,0,0,0,0,3,0,,,,,,,,,0
1118,,,,,INV_Misc_Food_16,,0,0,0,0,0,0,0,3,0,,,,,,,,,0
1119,,,,,INV_Misc_Candle_01,GOApple.mdl,0,0,0,0,0,0,0,3,0,,,,,,,,,0
