ID,School,Category,CastUI,Attributes,AttributesEx,ShapeshiftMask,Targets,TargetCreatureType,RequiresSpellFocus,CasterAuraState,TargetAuraState,CastingTimeIndex,RecoveryTime,CategoryRecoveryTime,InterruptFlags,AuraInterruptFlags,ChannelInterruptFlags,ProcFlags,ProcChance,ProcCharges,MaxLevel,BaseLevel,SpellLevel,DurationIndex,PowerType,ManaCost,ManaCostPerLevel,ManaPerSecond,ManaPerSecondPerLevel,RangeIndex,Speed,ModalNextSpell,Totem[0],Totem[1],Reagent[0],Reagent[1],Reagent[2],Reagent[3],Reagent[4],Reagent[5],Reagent[6],Reagent[7],ReagentCount[0],ReagentCount[1],ReagentCount[2],ReagentCount[3],ReagentCount[4],ReagentCount[5],ReagentCount[6],ReagentCount[7],EquippedItemClass,EquippedItemSubclass,Effect[0],Effect[1],Effect[2],EffectDieSides[0],EffectDieSides[1],EffectDieSides[2],EffectBaseDice[0],EffectBaseDice[1],EffectBaseDice[2],EffectDicePerLevel[0],EffectDicePerLevel[1],EffectDicePerLevel[2],EffectRealPointsPerLevel[0],EffectRealPointsPerLevel[1],EffectRealPointsPerLevel[2],EffectBasePoints[0],EffectBasePoints[1],EffectBasePoints[2],ImplicitTargetA[0],ImplicitTargetA[1],ImplicitTargetA[2],ImplicitTargetB[0],ImplicitTargetB[1],ImplicitTargetB[2],EffectRadiusIndex[0],EffectRadiusIndex[1],EffectRadiusIndex[2],EffectAura[0],EffectAura[1],EffectAura[2],EffectAuraPeriod[0],EffectAuraPeriod[1],EffectAuraPeriod[2],EffectAmplitude[0],EffectAmplitude[1],EffectAmplitude[2],EffectChainTargets[0],EffectChainTargets[1],EffectChainTargets[2],EffectItemType[0],EffectItemType[1],EffectItemType[2],EffectMiscValue[0],EffectMiscValue[1],EffectMiscValue[2],EffectTriggerSpell[0],EffectTriggerSpell[1],EffectTriggerSpell[2],SpellVisualID,SpellIconID,ActiveIconID,SpellPriority,Name_lang,NameSubtext_lang,Description_lang,ManaCostPct,StartRecoveryCategory,StartRecoveryTime
15,0,0,0,0,0,0,128,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,9,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,Leech (TEST),,,0,0,0
16,5,0,0,256,0,0,0,0,0,0,0,14,30000,0,13,2,0,0,0,0,1,0,1,8,0,56,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,98,0,50,Fear (NYI),,,0,0,0
17,1,56,0,327680,0,0,0,0,0,0,0,1,0,4000,31,0,0,0,0,0,11,6,6,3,0,35,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6,0,0,1,0,0,1,0,0,0,0,0,1,0,0,44,0,0,21,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,784,566,0,50,Holy Word: Shield,,,0,0,0
18,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,1,0,50,Heal Self (TEST),,,0,0,0
19,0,0,0,208,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,384,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,50,SWORDSPECIAL (DND),,,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,8,0,0,1000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,Super Food (TEST),,,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,Major Heal Self (TEST),,,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,6,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,0,50,Stun,,,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,11,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,Bind Self (TEST),,,0,0,0
27,0,0,0,0,0,0,32,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1,3,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,12,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,1,0,50,Goldshire Portal,,,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,5,0,0,13,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,1,0,50,Teleport Goldshire,,,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,5,0,0,13,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,1,0,50,Teleport Westfall,,,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,5,0,0,13,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,1,0,50,Teleport Duskwood,,,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,5,0,0,13,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,1,0,50,Teleport Elwynn,,,0,0,0
43,0,0,0,262160,0,0,0,0,0,0,0,1,600000,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,86,0,50,Berserk,,,0,0,0
45,0,32,0,262160,0,0,0,0,0,0,0,4,0,60000,0,0,0,0,0,0,0,0,45,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,22,0,0,15,0,0,8,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,50,0,50,War Stomp,,,0,0,0
47,0,44,0,16,0,0,0,0,0,0,0,1,0,300000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,0,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,50,Sprint (TEST),,,0,0,0
49,4,0,0,0,0,0,256,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,10,0,0,11,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,79,0,50,Healing Touch (TEST),,,0,0,0
50,3,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,1,0,1,0,0,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,Zone Recall (OLD),,,0,0,0
53,0,0,0,328724,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,0,3,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32896,58,80,0,1,1,0,1,1,0,0,0,0,0,0,0,7,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,243,0,50,Backstab,,,0,0,0
56,0,32,0,262160,0,0,0,0,0,0,0,1,0,60000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,zzOLDCrushing Blow,,,0,0,0
58,0,0,0,0,0,0,128,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2,0,0,6,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,Magic Missile (TEST),,,0,0,0
59,0,0,0,18,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,50,Normal bow shot (TEST),,,0,0,0
60,0,0,0,18,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,10,0,0,1,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,50,Long bow shot (TEST),,,0,0,0
61,0,0,0,18,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,10,0,0,1,0,0,0,0,0,0,0,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,50,Really Long bow shot (TEST),,,0,0,0
65,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,9,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-3,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,30,0,50,Haste,,,0,0,0
66,3,0,0,271647488,256,0,0,0,0,0,0,14,0,0,31,7,0,0,0,0,0,26,26,5,0,110,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,99,0,0,1,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,331,0,50,Lesser Invisibility,,,0,0,0
67,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,Eagle Scout (TEST),,,0,0,0
68,5,1,0,0,0,0,0,0,0,0,0,2,10000,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,2,0,0,12,0,0,2,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,Editor Test Spell,,,0,0,0
71,0,47,0,327696,268435458,0,0,0,0,0,0,1,0,1000,0,0,0,0,0,0,0,10,10,21,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,44,276,0,50,Defensive Stance,,,0,0,0
72,0,88,0,327696,134218240,131072,0,0,0,0,0,1,0,5000,8,0,0,0,0,0,0,10,10,1,1,100,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,96,68,2,0,1,1,0,1,1,0,0,0,0,0,0,0,3,14,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,280,0,50,Shield Bash,,,0,0,0
75,0,55,0,327696,0,0,0,0,0,0,0,1,0,300000,0,0,0,0,0,0,0,13,99,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-51,0,0,1,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,50,zzOLDRapid Fire,,,0,0,0
76,0,65,0,327700,134217728,65536,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,12,99,0,1,100,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33267,58,0,0,1,0,0,1,0,0,0,0,0,0,0,0,23,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,563,0,50,zzOLDRiposte,,,0,0,0
77,0,0,0,262160,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,Turtle's Shell,,,0,0,0
78,0,0,0,327700,134217728,65536,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,150,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33267,58,0,0,1,0,0,1,0,0,0,0,0,0,0,0,14,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,26,0,50,Strike,,,0,0,0
81,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,20,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,30,0,50,Dodge,,,0,0,0
84,0,0,0,262160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,48,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,6,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,50,zzOLDConcussion,,,0,0,0
85,0,65,0,263184,0,0,0,0,0,0,0,1,0,30000,0,0,0,0,0,0,0,0,99,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,48,6,0,6,1,0,1,1,0,1,0,0,0,0,0,0,-7,0,-7,6,0,6,0,0,0,0,0,0,29,0,29,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,39,42,0,50,zzOLDCrippling Blow,,,0,0,0
87,0,40,0,263188,0,0,0,0,0,0,0,1,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,354,58,0,0,1,0,0,1,0,0,0,0,0,0,0,0,11,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,23,0,50,zzOLDTwo-Hand Strike,,,0,0,0
89,5,0,0,-1073676288,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,16,99,1,0,20,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,6,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,96,0,50,zzOLDCripple,,,0,0,0
91,0,65,0,263184,0,0,0,0,0,0,0,1,0,30000,0,0,0,0,0,0,0,4,4,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,0,0,1,0,0,1,0,0,0,0,0,-1,0,0,-11,0,0,6,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,23,0,50,Savage Assault,,,0,0,0
94,1,0,0,327680,0,0,0,0,0,0,0,1,0,0,8,0,0,8,100,0,0,24,24,5,0,75,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,9,0,0,21,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,306,0,50,Seal of Wisdom,,,0,0,0
