ID,Effect[0],Effect[1],Effect[2],EffectPointsMin[0],EffectPointsMin[1],EffectPointsMin[2],EffectPointsMax[0],EffectPointsMax[1],EffectPointsMax[2],EffectArg[0],EffectArg[1],EffectArg[2],Name_lang[0],ItemVisual
161,3,0,0,0,0,0,0,0,0,7531,0,0,Two-Handed Axe Skill +2,0
162,3,0,0,0,0,0,0,0,0,7550,0,0,Two-Handed Axe Skill +3,0
163,3,0,0,0,0,0,0,0,0,7551,0,0,Two-Handed Axe Skill +4,0
164,3,0,0,0,0,0,0,0,0,7552,0,0,Two-Handed Axe Skill +5,0
165,3,0,0,0,0,0,0,0,0,7553,0,0,Two-Handed Axe Skill +6,0
166,3,0,0,0,0,0,0,0,0,7554,0,0,Two-Handed Axe Skill +7,0
167,3,0,0,0,0,0,0,0,0,7534,0,0,Dagger Skill +1,0
168,3,0,0,0,0,0,0,0,0,7573,0,0,Dagger Skill +2,0
169,3,0,0,0,0,0,0,0,0,7574,0,0,Dagger Skill +3,0
170,3,0,0,0,0,0,0,0,0,7575,0,0,Dagger Skill +4,0
171,3,0,0,0,0,0,0,0,0,7576,0,0,Dagger Skill +5,0
172,3,0,0,0,0,0,0,0,0,7577,0,0,Dagger Skill +6,0
173,3,0,0,0,0,0,0,0,0,7578,0,0,Dagger Skill +7,0
174,3,0,0,0,0,0,0,0,0,7536,0,0,Gun Skill +1,0
175,3,0,0,0,0,0,0,0,0,7579,0,0,Gun Skill +2,0
176,3,0,0,0,0,0,0,0,0,7580,0,0,Gun Skill +3,0
177,3,0,0,0,0,0,0,0,0,7581,0,0,Gun Skill +4,0
178,3,0,0,0,0,0,0,0,0,7582,0,0,Gun Skill +5,0
179,3,0,0,0,0,0,0,0,0,7583,0,0,Gun Skill +6,0
180,3,0,0,0,0,0,0,0,0,7584,0,0,Gun Skill +7,0
181,3,0,0,0,0,0,0,0,0,7535,0,0,Bow Skill +1,0
182,3,0,0,0,0,0,0,0,0,7567,0,0,Bow Skill +2,0
183,3,0,0,0,0,0,0,0,0,7568,0,0,Bow Skill +3,0
184,3,0,0,0,0,0,0,0,0,7569,0,0,Bow Skill +4,0
185,3,0,0,0,0,0,0,0,0,7570,0,0,Bow Skill +5,0
186,3,0,0,0,0,0,0,0,0,7571,0,0,Bow Skill +6,0
187,3,0,0,0,0,0,0,0,0,7572,0,0,Bow Skill +7,0
188,3,0,0,0,0,0,0,0,0,7590,0,0,Beast Slaying +2,0
189,3,0,0,0,0,0,0,0,0,7591,0,0,Beast Slaying +4,0
190,3,0,0,0,0,0,0,0,0,7592,0,0,Beast Slay +6,0
191,3,0,0,0,0,0,0,0,0,7593,0,0,Beast Slaying +8,0
192,3,0,0,0,0,0,0,0,0,7594,0,0,Beast Slaying +10,0
193,3,0,0,0,0,0,0,0,0,7595,0,0,Beast Slaying +12,0
194,3,0,0,0,0,0,0,0,0,7596,0,0,Beast Slaying +14,0
195,3,0,0,0,0,0,0,0,0,7597,0,0,Critical Hit +1%,0
196,3,0,0,0,0,0,0,0,0,7598,0,0,Critical Hit +2%,0
197,3,0,0,0,0,0,0,0,0,7599,0,0,Critical Hit +3%,0
198,3,0,0,0,0,0,0,0,0,7600,0,0,Critical Hit +4%,0
199,3,0,0,0,0,0,0,0,0,7601,0,0,10% On Get Hit: Shadow Bolt (10 Damage),0
200,3,0,0,0,0,0,0,0,0,7614,0,0,10% On Get Hit: Shadow Bolt (20 Damage),0
201,3,0,0,0,0,0,0,0,0,7615,0,0,10% On Get Hit: Shadow Bolt (30 Damage),0
202,3,0,0,0,0,0,0,0,0,7616,0,0,10% On Get Hit: Shadow Bolt (40 Damage),0
203,3,0,0,0,0,0,0,0,0,7617,0,0,10% On Get Hit: Shadow Bolt (50 Damage),0
204,3,0,0,0,0,0,0,0,0,7618,0,0,10% On Get Hit: Shadow Bolt (60 Damage),0
205,3,0,0,0,0,0,0,0,0,7619,0,0,10% On Get Hit: Shadow Bolt (70 Damage),0
206,3,0,0,0,0,0,0,0,0,7675,0,0,Increases Holy Effects +2,0
207,3,0,0,0,0,0,0,0,0,7676,0,0,Increases Holy Effects +4,0
208,3,0,0,0,0,0,0,0,0,7677,0,0,Increases Holy Effects +6,0
209,3,0,0,0,0,0,0,0,0,7678,0,0,Increases Holy Effects +8,0
210,3,0,0,0,0,0,0,0,0,7679,0,0,Increases Holy Effects +10,0
211,3,0,0,0,0,0,0,0,0,7680,0,0,Increases Holy Effects +12,0
212,3,0,0,0,0,0,0,0,0,7681,0,0,Increases Holy Effects +14,0
213,3,0,0,0,0,0,0,0,0,7683,0,0,Increase Fire Effects +2,0
214,3,0,0,0,0,0,0,0,0,7684,0,0,Increases Fire Effects +4,0
215,3,0,0,0,0,0,0,0,0,7685,0,0,Increases Fire Effects +6,0
216,3,0,0,0,0,0,0,0,0,7686,0,0,Increases Fire Effects +8,0
217,3,0,0,0,0,0,0,0,0,7687,0,0,Increases Fire Effects +10,0
218,3,0,0,0,0,0,0,0,0,7688,0,0,Increases Fire Damage +12,0
219,3,0,0,0,0,0,0,0,0,7689,0,0,Increases Fire Damage +14,0
220,3,0,0,0,0,0,0,0,0,7690,0,0,Increases Nature Effects +2,0
221,3,0,0,0,0,0,0,0,0,7691,0,0,Increases Nature Effects +4,0
222,3,0,0,0,0,0,0,0,0,7692,0,0,Increases Nature Effects +6,0
223,3,0,0,0,0,0,0,0,0,7693,0,0,Increases Nature Effects +8,0
224,3,0,0,0,0,0,0,0,0,7694,0,0,Increases Nature Effects +10,0
225,3,0,0,0,0,0,0,0,0,7695,0,0,Increases Nature Effects +12,0
226,3,0,0,0,0,0,0,0,0,7696,0,0,Increases Nature Effects +14,0
227,3,0,0,0,0,0,0,0,0,7697,0,0,Increases Frost Effects +2,0
228,3,0,0,0,0,0,0,0,0,7698,0,0,Increases Frost Effects +4,0
229,3,0,0,0,0,0,0,0,0,7699,0,0,Increases Frost Effects +6,0
230,3,0,0,0,0,0,0,0,0,7700,0,0,Increases Frost Effects +8,0
231,3,0,0,0,0,0,0,0,0,7701,0,0,Increases Frost Effects +10,0
232,3,0,0,0,0,0,0,0,0,7702,0,0,Increases Frost Effects +12,0
233,3,0,0,0,0,0,0,0,0,7703,0,0,Increases Frost Effects +14,0
234,3,0,0,0,0,0,0,0,0,7704,0,0,Increases Shadow Effects +2,0
235,3,0,0,0,0,0,0,0,0,7705,0,0,Increases Shadow Effects +4,0
236,3,0,0,0,0,0,0,0,0,7706,0,0,Increases Shadow Effects +6,0
237,3,0,0,0,0,0,0,0,0,7707,0,0,Increases Shadow Effects +8,0
238,3,0,0,0,0,0,0,0,0,7708,0,0,Increases Shadow Effects +10,0
239,3,0,0,0,0,0,0,0,0,7710,0,0,Increases Shadow Effects +12,0
240,3,0,0,0,0,0,0,0,0,7709,0,0,Increases Shadow Effects +14,0
241,2,0,0,2,0,0,2,0,0,0,0,0,+2 Weapon Damage,0
242,3,0,0,0,0,0,0,0,0,7747,0,0,Health +20,0
243,3,0,0,0,0,0,0,0,0,7456,0,0,Spirit +1,0
244,3,0,0,0,0,0,0,0,0,7768,0,0,Intellect +4,0
245,4,0,0,5,0,0,5,0,0,0,0,0,Armor +5,0
246,3,0,0,0,0,0,0,0,0,7773,0,0,Mana +20,0
247,3,0,0,0,0,0,0,0,0,7778,0,0,Agility +1,0
248,3,0,0,0,0,0,0,0,0,7780,0,0,Strength +1,0
249,3,0,0,0,0,0,0,0,0,7784,0,0,Beastslaying +2,0
250,2,0,0,1,0,0,1,0,0,0,0,0,+1 Weapon Damage,0
251,3,0,0,0,0,0,0,0,0,7792,0,0,Intellect +1,0
252,3,0,0,0,0,0,0,0,0,7847,0,0,Spirit +6,0
253,3,0,0,0,0,0,0,0,0,7849,0,0,Absorbtion (50),0
254,3,0,0,0,0,0,0,0,0,7850,0,0,Health +30,0
255,3,0,0,0,0,0,0,0,0,7851,0,0,Spirit +2,0
256,3,0,0,0,0,0,0,0,0,7852,0,0,Resist Fire +8,0
257,4,0,0,10,0,0,10,0,0,0,0,0,Armor +10,0
