ID,Name,RaceID,Sex
148,Marden,4,0
138,Thornhand,4,0
137,Terrorblade,4,0
136,Illidan,4,0
135,Malfurion,4,0
134,Stormrage,4,0
133,Nandieb,4,0
132,Dazlith,4,0
131,Ashroot,4,0
121,Hellbourne,4,0
120,Gholbine,4,0
119,Flameseeker,4,0
118,Firebrand,4,0
117,Andenar,4,0
116,Soferedas,4,0
115,Celeborn,4,0
114,Galadrim,4,0
113,Kurt,4,0
112,Alfruend,4,0
111,Gilgaden,4,0
110,Aethoras,4,0
109,Glorfindel,4,0
108,Pathorias,4,0
107,Arondas,4,0
106,Gilthaniel,4,0
104,Solastaran,4,0
50,Sylvanas,4,1
51,Vereesa,4,1
52,Alleria,4,1
53,Somand,4,1
54,Anthis,4,1
55,Nara,4,1
56,Cyndia,4,1
57,Amora,4,1
58,Keldindra,4,1
59,Sarassar,4,1
60,Velathis,4,1
61,Lauranthalassa,4,1
62,Laurana,4,1
63,Galadriel,4,1
64,Andariel,4,1
65,Laranassa,4,1
66,Clarindrela,4,1
67,Tarindrella,4,1
68,Theredris,4,1
69,Azshara,4,1
70,Aszune,4,1
71,Chillwind,4,1
72,Anara,4,1
73,Feathermoon,4,1
74,Shandris,4,1
75,Moonfang,4,1
76,Delas,4,1
77,Moonray,4,1
78,Felore,4,1
79,Moonsinger,4,1
80,Mora,4,1
81,Nightshade,4,1
82,Adora,4,1
83,Nuada,4,1
84,Saberfang,4,1
85,Theta,4,1
86,Snowscar,4,1
87,Tygra,4,1
88,Stardragon,4,1
89,Kera,4,1
90,Starsong,4,1
91,Kathris,4,1
92,Whisperwind,4,1
93,Mave,4,1
94,Whisperwind,4,1
95,Tyrande,4,1
96,Whitemane,4,1
97,Mira,4,1
430,Calis,5,0
433,Corpsemonger,5,0
434,Defacarr,5,0
432,Coldreaver,5,0
431,ChoNammoth,5,0
435,Din,5,0
437,KelThuzad,5,0
446,Ras,5,0
445,Ras,5,0
444,Rak,5,0
443,Rage,5,0
442,Putridius,5,0
441,Ordin,5,0
440,Nerzhul,5,0
439,Morbent,5,0
438,Miasmus,5,0
449,Venim,5,0
448,Teron,5,0
447,Rotgut,5,0
436,Kalinaj,5,0
408,Janice,5,1
411,Janice,5,1
412,Gertrude,5,1
410,Melanie,5,1
409,Morganna,5,1
413,Scylla,5,1
415,Andora,5,1
429,Thalissia,5,1
428,Nord,5,1
427,Jamalah,5,1
426,Jada,5,1
425,Kathris,5,1
424,Serena,5,1
423,Sanguinia,5,1
422,Valeria,5,1
421,Sersi,5,1
420,Joan,5,1
419,Mary,5,1
418,Katherine,5,1
417,Alexandra,5,1
416,Selevis,5,1
414,Maleficent,5,1
347,Cairne,6,0
350,Kam,6,0
351,Durn,6,0
349,Tigor,6,0
348,Grok,6,0
352,Malar,6,0
354,Kel,6,0
367,Baine,6,0
366,Mesha,6,0
365,Karass,6,0
364,Bandal,6,0
363,Dornek,6,0
362,Malgren,6,0
361,Forgren,6,0
360,Grumm,6,0
359,Apach,6,0
358,Mokos,6,0
357,Tam,6,0
356,Marn,6,0
355,Mull,6,0
353,Taur,6,0
327,Moga,6,1
330,Braga,6,1
331,Paila,6,1
329,Barada,6,1
328,Misha,6,1
332,Rosha,6,1
334,Amaya,6,1
343,Padwar,6,1
342,Bogorah,6,1
341,Daldieb,6,1
340,Ishne,6,1
339,Porash,6,1
338,Bandwe,6,1
337,Jinga,6,1
336,Steress,6,1
335,Amber,6,1
346,Mara,6,1
345,Fawnee,6,1
344,Loraine,6,1
333,Buldress,6,1
175,Ben,7,0
178,Andy,7,0
179,Parg,7,0
177,Kevin,7,0
176,Lor,7,0
180,Blayne,7,0
182,Phil,7,0
191,Screwdinger,7,0
190,Gasket,7,0
189,Wrench,7,0
188,Torque,7,0
187,Driver,7,0
186,Rocket,7,0
185,Flange,7,0
184,Grubber,7,0
183,Tink,7,0
194,Hammer,7,0
193,Flathead,7,0
192,Socket,7,0
181,Fred,7,0
154,Lara,7,1
155,Ped,7,1
156,Midge,7,1
157,Gidget,7,1
158,Sandy,7,1
159,Selma,7,1
160,Faye,7,1
161,Donna,7,1
162,Nellie,7,1
163,Sandra,7,1
164,Margie,7,1
165,Penelope,7,1
166,Dora,7,1
167,Jenny,7,1
168,Squeak,7,1
169,Pip,7,1
170,Buns,7,1
171,Happy,7,1
172,Pepper,7,1
174,Madge,7,1
387,Alar,8,0
392,Zuljin,8,0
394,Zul,8,0
403,Zebrah,8,0
402,Gishah,8,0
401,Dessak,8,0
400,Tobah,8,0
399,Zingiss,8,0
398,Tazz,8,0
397,Zing,8,0
396,Rathalas,8,0
395,Tazzdingo,8,0
407,Reave,8,0
406,Bishina,8,0
405,Zero,8,0
404,Nezzak,8,0
393,ZulSorah,8,0
391,ZebGoro,8,0
388,Heartkiller,8,0
389,MalJin,8,0
390,ZulAraj,8,0
368,Zora,8,1
369,Zuel,8,1
370,Malia,8,1
371,Rainda,8,1
372,Parax,8,1
373,Mandi,8,1
374,Clypsa,8,1
375,Cassiopea,8,1
376,Hectae,8,1
377,Zurah,8,1
378,Debria,8,1
379,Jezpala,8,1
380,Mariz,8,1
381,Khandia,8,1
382,Branda,8,1
383,Lortunda,8,1
384,Zumwa,8,1
385,Zeeria,8,1
386,Daylis,8,1
