ID,AreaNumber,ContinentID,ParentAreaNum,AreaBit,Flags,SoundProviderPref,SoundProviderPrefUnderwater,MIDIAmbience,MIDIAmbienceUnderwater,ZoneMusic,IntroSound,IntroPriority,ExplorationLevel,AreaName_lang
303,720922,0,720896,10,0,0,11,0,25,0,0,0,-1,Shell Beach
305,1638419,0,1638400,2,0,0,11,0,25,0,0,0,-1,North Tide's Run
306,1638420,0,1638400,2,0,0,11,0,25,0,0,0,-1,South Tide's Run
307,786433,0,786432,11,0,0,11,44,25,1,0,0,-1,The Overlook Cliffs
309,917511,0,917504,13,0,0,11,0,25,0,0,0,24,Ironbeard's Tomb
310,720923,0,720896,10,0,0,11,0,25,0,0,0,-1,Crystalvein Mine
312,720925,0,720896,10,0,0,11,0,25,0,0,0,-1,Janeiro's Point
314,851970,0,851968,12,0,0,11,0,25,0,0,0,33,Go'Shek Farm
316,851972,0,851968,12,0,0,11,0,25,0,0,0,35,Boulderfist Hall
318,851974,0,851968,12,0,0,11,0,25,0,0,0,-1,Drywhisker Gorge
320,851976,0,851968,12,0,0,11,0,25,0,0,0,30,Refuge Pointe
321,851977,0,851968,12,0,0,11,37,25,8,0,0,30,Hammerfall
323,851979,0,851968,12,0,0,11,0,25,0,0,0,-1,O'Breen's Camp
324,851980,0,851968,12,0,0,11,0,25,0,0,0,36,Stromgarde Keep
325,851981,0,851968,12,0,0,11,0,25,0,0,0,-1,The Tower of Arathor
326,851982,0,851968,12,0,0,11,0,25,0,0,0,-1,The Sanctum
327,851983,0,851968,12,0,0,11,37,25,8,0,0,-1,Faldir's Cove
330,2359296,0,0,2,0,0,11,0,25,0,0,0,-1,Thandol Span
331,524288,1,0,2,0,0,11,35,25,11,0,0,-1,Ashenvale
332,589824,1,0,2,0,0,11,10,25,9,0,0,-1,The Great Sea
333,851985,0,851968,12,0,0,11,0,25,0,0,0,38,Circle of East Binding
334,851986,0,851968,12,0,0,11,0,25,0,0,0,38,Circle of West Binding
335,851987,0,851968,12,0,0,11,0,25,0,0,0,38,Circle of Inner Binding
336,851988,0,851968,12,0,0,11,0,25,0,0,0,38,Circle of Outer Binding
337,1114113,0,1114112,16,0,0,11,47,25,7,0,0,-1,Apocryphan's Rest
340,1114116,0,1114112,16,0,0,11,0,25,0,0,0,-1,Kargath
341,1114117,0,1114112,16,0,0,11,0,25,0,0,0,-1,Camp Kosh
342,1114118,0,1114112,16,0,0,11,0,25,0,0,0,-1,Camp Boff
343,1114119,0,1114112,16,0,0,11,0,25,0,0,0,-1,Camp Wurg
344,1114120,0,1114112,16,0,0,11,0,25,0,0,0,-1,Camp Cagg
345,1114121,0,1114112,16,0,0,11,47,25,7,0,0,-1,Agmond's End
346,1114122,0,1114112,16,0,0,11,0,25,0,0,0,-1,Hammertoe's Digsite
347,1114123,0,1114112,16,0,0,11,0,25,0,0,0,-1,Dustbelch Grotto
348,786434,0,786432,11,0,0,11,44,25,1,0,0,-1,Aerie Peak
349,786435,0,786432,11,0,0,11,44,25,1,0,0,-1,Wildhammer Keep
350,786436,0,786432,11,0,0,11,44,25,1,0,0,-1,Quel'Danil Lodge
351,786437,0,786432,11,0,0,11,44,25,1,0,0,-1,Skulk Rock
352,786438,0,786432,11,0,0,11,44,25,1,0,0,-1,Zun'watha
353,786439,0,786432,11,0,0,11,44,25,1,0,0,-1,Shadra'Alor
356,786442,0,786432,11,0,0,11,44,25,1,0,0,-1,Seradane
357,655360,1,0,2,0,0,11,0,25,3,0,0,-1,Feralas
358,458759,1,458752,2,0,0,11,45,25,9,0,0,4,Brambleblade Ravine
359,65537,1,65536,23,0,0,11,46,25,7,0,0,25,Bael Modan
360,458760,1,458752,2,0,0,11,10,25,9,0,0,-1,The Venture Co. Mine
361,720896,1,0,2,0,0,11,35,25,2,0,0,-1,Felwood
362,131073,1,131072,24,0,0,11,47,25,9,0,0,5,Razor Hill
363,131074,1,131072,24,0,0,11,47,25,9,0,0,-1,Valley of Trials
364,131075,1,131072,24,0,0,11,47,25,9,0,0,-1,The Den
365,131076,1,131072,24,0,0,11,47,25,9,0,0,-1,Burning Blade Coven
366,131077,1,131072,24,0,0,11,47,25,9,0,0,-1,Kolkar Crag
367,131078,1,131072,24,0,0,11,47,25,9,0,0,6,Sen'jin Village
368,131079,1,131072,24,0,0,11,17,25,9,0,0,7,Echo Isles
369,131080,1,131072,24,0,0,11,47,25,9,0,0,9,Thunder Ridge
370,131081,1,131072,24,0,0,11,47,25,9,0,0,-1,Drygulch Ravine
372,131083,1,131072,24,0,0,11,47,25,9,0,0,6,Tiragarde Keep
373,131084,1,131072,24,0,0,11,47,25,9,0,0,6,Scuttle Coast
374,131085,1,131072,24,0,0,11,93,25,9,0,0,-1,Bladefist Bay
375,131086,1,131072,24,0,0,11,47,25,9,0,0,-1,Deadeye Shore
377,786432,1,0,2,0,0,11,93,25,9,0,0,9,Southfury River
378,65538,1,65536,23,0,0,11,46,25,7,0,0,10,Camp Taurajo
379,65539,1,65536,23,0,0,11,46,25,7,0,0,10,Far Watch Post
380,65540,1,65536,23,0,0,11,46,25,7,0,0,15,The Crossroads
381,65541,1,65536,23,0,0,11,46,25,0,0,0,-1,Boulder Load Mine
383,65543,1,65536,23,0,0,11,0,25,0,0,0,14,The Dry Hills
384,65544,1,65536,23,0,0,11,30,25,9,0,0,-1,Dreadmist Peak
385,65545,1,65536,23,0,0,11,0,25,0,0,0,-1,Northwatch Hold
386,65546,1,65536,23,0,0,11,46,25,7,0,0,12,The Forgotten Pools
388,65548,1,65536,23,0,0,11,46,25,7,0,0,15,The Stagnant Oasis
390,65550,1,65536,23,0,0,11,0,25,0,0,0,20,Field of Giants
391,65551,1,65536,23,0,0,11,0,25,0,0,0,12,The Merchant Coast
392,65552,1,65536,23,0,0,11,46,25,7,0,0,15,Ratchet
393,131087,1,131072,24,0,0,11,47,25,9,0,0,0,Darkspear Strand
394,2424832,0,0,2,0,0,11,0,25,0,0,0,-1,Darrowmere Lake
395,2424833,0,2424832,2,0,0,11,0,25,0,0,0,-1,Caer Darrow
396,458761,1,458752,2,0,0,11,45,25,9,0,0,6,Winterhoof Water Well
397,458762,1,458752,2,0,0,11,45,25,9,0,0,7,Thunderhorn Water Well
1,1048576,0,0,15,1,0,11,16,25,8,0,0,-1,Dun Morogh
2,196611,0,196608,2,0,0,11,10,25,9,0,0,-1,Longshore
3,1114112,0,0,16,0,0,11,47,25,7,0,0,-1,Badlands
4,131072,0,0,1,0,0,11,72,25,7,0,0,-1,Blasted Lands
7,720897,0,720896,10,0,0,11,17,25,3,0,0,-1,Blackwater Cove
8,458752,0,0,6,0,0,11,34,25,3,0,0,-1,Swamp of Sorrows
9,393218,0,393216,5,0,0,11,9,25,1,0,0,0,Northshire Valley
12,393216,0,0,5,0,0,11,9,25,1,0,0,-1,Elwynn Forest
14,131072,1,0,24,0,0,11,47,25,9,0,0,-1,Durotar
15,196608,1,0,25,0,0,11,34,25,3,0,0,-1,Dustwallow Marsh
16,262144,1,0,26,0,0,11,0,25,0,0,0,-1,Aszhara
17,65536,1,0,23,0,0,11,46,25,7,0,0,-1,The Barrens
18,393220,0,393216,5,0,0,11,9,25,1,0,0,-1,Crystal Lake
20,196610,0,196608,2,0,0,11,10,25,9,0,0,-1,Moonbrook
21,1376256,0,0,20,0,0,11,0,25,0,0,0,-1,Kul Tiras
23,393223,0,393216,5,0,0,11,9,25,0,0,0,-1,Northshire River
24,393224,0,393216,5,0,0,11,9,25,1,0,0,0,Northshire Abbey
25,1179648,0,0,17,0,0,11,30,25,10,0,0,-1,Blackrock Mountain
28,1245184,0,0,18,0,0,11,41,25,10,0,0,-1,Western Plaguelands
30,655360,0,0,9,0,0,11,0,25,0,0,0,-1,Nine
32,262147,0,262144,3,0,0,11,14,25,2,0,0,-1,The Cemetary
33,720896,0,0,10,0,0,11,17,25,3,0,0,-1,Stranglethorn Vale
34,393222,0,393216,5,0,0,11,9,25,1,0,0,8,Echo Ridge Mine
35,720901,0,720896,10,0,0,11,17,25,3,0,0,-1,Booty Bay
36,1310720,0,0,19,0,0,11,40,25,1,0,0,-1,Alterac Mountains
37,720899,0,720896,10,0,0,11,17,25,3,0,0,-1,Lake Nazferiti
38,983040,0,0,14,0,0,11,44,25,1,0,0,-1,Loch Modan
40,196608,0,0,2,0,0,11,10,25,9,0,0,-1,Westfall
42,262145,0,262144,3,0,0,11,14,25,2,0,0,-1,Darkshire
43,720898,0,720896,10,0,0,11,17,25,3,0,0,-1,Wild Shore
44,524288,0,0,7,0,0,11,15,25,1,0,0,-1,Redridge Mountains
45,851968,0,0,12,0,0,11,37,25,8,0,0,-1,Arathi Highlands
46,589824,0,0,8,0,0,11,30,25,10,0,0,-1,Burning Steppes
47,786432,0,0,11,0,0,11,44,25,1,0,0,-1,The Hinterlands
49,1441793,0,1441792,21,0,0,11,0,25,0,0,0,-1,Dead Man's Hole
51,1507328,0,0,2,0,0,11,30,25,10,0,0,-1,Searing Gorge
53,393228,0,393216,5,0,0,11,9,25,1,0,0,-1,Thieves Camp
55,393230,0,393216,5,0,0,11,9,25,17,2541,1,-1,Valley of Heroes
56,393231,0,393216,5,0,0,11,9,25,1,0,0,6,Hero's Vigil
57,393232,0,393216,5,0,0,11,9,25,1,0,0,5,Fargodeep Mine
59,393233,0,393216,5,0,0,11,9,25,1,0,0,-1,Northshire Vineyards
61,393235,0,393216,5,0,0,11,9,25,1,0,0,-1,Thunder Falls
62,393236,0,393216,5,0,0,11,9,25,1,0,0,8,Brackwell Pumpkin Patch
63,393237,0,393216,5,0,0,11,9,25,1,0,0,6,The Stonefield Farm
64,393238,0,393216,5,0,0,11,9,25,1,0,0,6,The Maclure Vineyards
65,0,0,0,0,0,0,11,0,25,0,0,0,-1,***On Map Dungeon***
66,0,1,0,0,0,0,11,0,25,0,0,0,-1,***On Map Dungeon***
67,0,17,0,0,0,0,11,0,25,0,0,0,-1,***On Map Dungeon***
69,524290,0,524288,7,0,0,11,15,25,1,0,0,-1,Lakeshire
70,524291,0,524288,7,0,0,11,15,25,1,0,0,-1,Stonewatch
72,131073,0,131072,1,0,0,11,10,25,7,0,0,-1,Dark Portal
73,131074,0,131072,1,0,0,11,0,25,7,0,0,-1,Demonic Stronghold
74,458753,0,458752,6,0,0,11,34,25,0,0,0,-1,Pool of Tears
75,458754,0,458752,6,0,0,11,34,25,0,0,0,-1,Stonard
76,458755,0,458752,6,0,0,11,34,25,0,0,0,-1,Fallow Sanctuary
77,1048577,0,1048576,15,0,0,11,55,25,8,0,0,0,Anvilmar
80,393239,0,393216,5,0,0,11,49,25,17,2523,0,-1,Stormwind City
82,1441797,0,1441792,21,0,0,11,1,25,0,0,0,-1,Jeff NW Quadrant
83,1441798,0,1441792,21,0,0,11,2,25,0,0,0,-1,Jeff SE Quadrant
84,1441799,0,1441792,21,0,0,11,0,25,0,0,0,-1,Jeff SW Quadrant
85,1572864,0,0,2,0,0,11,36,25,2,1098149477,0,-1,Tirisfal Glades
86,393240,0,393216,5,0,0,11,9,25,1,0,0,-1,Stone Cairn Lake
88,393242,0,393216,5,0,0,11,9,25,1,0,0,6,Eastvale Logging Camp
89,393243,0,393216,5,0,0,11,9,25,1,0,0,-1,Mirror Lake Orchard
91,393244,0,393216,5,0,0,11,9,25,1,0,0,8,Tower of Azora
94,262149,0,262144,3,0,0,11,14,25,2,0,0,-1,Raven Hill
95,524293,0,524288,7,0,0,11,15,25,1,0,0,-1,Redridge Canyons
96,524294,0,524288,7,0,0,11,15,25,1,0,0,-1,Tower of Ilgalar
97,524295,0,524288,7,0,0,11,15,25,1,0,0,-1,Alther's Mill
98,524296,0,524288,7,0,0,11,15,25,1,0,0,-1,Rethban Caverns
99,720902,0,720896,10,0,0,11,17,25,3,0,0,-1,Rebel Camp
101,720904,0,720896,10,0,0,11,17,25,3,0,0,-1,Kurzen's Compound
103,720906,0,720896,10,0,0,11,17,25,3,0,0,-1,Ruins of Zul'Mamwe
104,720907,0,720896,10,0,0,11,17,25,3,0,0,-1,The Vile Reef
105,720908,0,720896,10,0,0,11,17,25,3,0,0,-1,Mosh'Ogg Ogre Mound
106,720909,0,720896,10,0,0,11,17,25,3,0,0,-1,The Stockpile
107,196612,0,196608,2,0,0,11,10,25,9,0,0,-1,Saldean's Farm
108,196613,0,196608,2,0,0,11,10,25,9,0,0,-1,Sentinel Hill
109,196614,0,196608,2,0,0,11,10,25,9,0,0,-1,Furlbrow's Pumpkin Farm
111,196616,0,196608,2,0,0,11,10,25,9,0,0,-1,Jangolode Mine
115,196620,0,196608,2,0,0,11,10,25,9,0,0,-1,Westfall Lighthouse
116,458756,0,458752,6,0,0,11,34,25,0,0,0,-1,Misty Valley
118,917505,0,917504,13,0,0,11,38,25,3,0,0,22,Whelgar's Excavation Site
121,262150,0,262144,3,0,0,11,14,25,15,0,0,-1,Tranquil Gardens Cemetery
122,720911,0,720896,10,0,0,11,17,25,3,0,0,-1,Zuuldaia Ruins
123,720912,0,720896,10,0,0,11,17,25,3,0,0,-1,Bal'lal Ruins
125,720914,0,720896,10,0,0,11,17,25,3,0,0,-1,Kal'ai Ruins
126,720915,0,720896,10,0,0,11,17,25,3,0,0,-1,Tkashi Ruins
127,720916,0,720896,10,0,0,11,17,25,3,0,0,-1,Balia'mah Ruins
128,720917,0,720896,10,0,0,11,17,25,3,0,0,-1,Ziata'jai Ruins
129,720918,0,720896,10,0,0,11,17,25,3,0,0,-1,Mizjah Ruins
130,1638400,0,0,2,0,0,11,39,25,2,0,0,-1,Silverpine Forest
131,1048578,0,1048576,15,0,0,11,16,25,8,0,0,5,Kharanos
132,1048579,0,1048576,15,0,0,11,16,25,0,0,0,-1,Coldridge Valley
133,1048580,0,1048576,15,0,0,11,16,25,8,0,0,10,Gnomeregan
134,1048581,0,1048576,15,0,0,11,16,25,8,0,0,10,Gol'Bolar Quarry
135,1048582,0,1048576,15,0,0,11,16,25,8,0,0,0,Frostmane Hold
136,1048583,0,1048576,15,0,0,11,0,25,0,0,0,-1,The Grizzled Den
137,1048584,0,1048576,15,0,0,11,16,25,8,0,0,7,Brewnall Village
138,1048585,0,1048576,15,0,0,11,16,25,8,0,0,0,Misty Pine Refuge
139,1703936,0,0,2,0,0,11,41,25,10,0,0,-1,Eastern Plaguelands
141,327680,1,0,2,0,0,11,35,25,11,0,0,-1,Teldrassil
142,983041,0,983040,14,0,0,11,44,25,1,0,0,15,Ironband's Excavation Site
143,983042,0,983040,14,0,0,11,44,25,1,0,0,18,Mo'grosh Stronghold
144,983043,0,983040,14,0,0,11,44,25,1,0,0,10,Thelsamar
145,983044,0,983040,14,0,0,11,44,25,1,0,0,18,Algaz Gate
146,983045,0,983040,14,0,0,11,44,25,1,0,0,15,Stonewrought Dam
147,983046,0,983040,14,0,0,11,44,25,1,0,0,15,The Farstrider Lodge
148,393216,1,0,2,0,0,11,33,25,11,0,0,-1,Darkshore
149,983047,0,983040,14,0,0,11,44,25,1,0,0,12,Silver Stream Mine
150,917507,0,917504,13,0,0,11,38,25,3,0,0,20,Menethil Harbor
152,1572865,0,1572864,2,0,0,11,36,25,2,0,0,-1,The Bulwark
154,1572867,0,1572864,2,0,0,11,36,25,15,0,0,-1,Deathknell
155,1572868,0,1572864,2,0,0,11,36,25,2,0,0,-1,Night Web's Hollow
156,1572869,0,1572864,2,0,0,11,36,25,2,0,0,6,Solliden Farmstead
157,1572870,0,1572864,2,0,0,11,36,25,15,0,0,8,Agamand Mills
158,1572871,0,1572864,2,0,0,11,56,25,15,0,0,-1,Agamand Family Crypt
159,1572872,0,1572864,2,0,0,11,36,25,15,0,0,5,Brill
160,1572873,0,1572864,2,0,0,11,36,25,2,0,0,25,Whispering Gardens
161,1572874,0,1572864,2,0,0,11,36,25,2,0,0,-1,Terrace of Repose
162,1572875,0,1572864,2,0,0,11,36,25,2,0,0,7,Brightwater Lake
163,1572876,0,1572864,2,0,0,11,36,25,2,0,0,-1,Gunther's Retreat
164,1572877,0,1572864,2,0,0,11,36,25,2,0,0,7,Garren's Haunt
165,1572878,0,1572864,2,0,0,11,36,25,15,0,0,-1,Balnir Farmstead
166,1572879,0,1572864,2,0,0,11,36,25,2,0,0,5,Cold Hearth Manor
167,1572880,0,1572864,2,0,0,11,36,25,2,0,0,-1,Crusader Outpost
168,1572881,0,1572864,2,0,0,11,36,25,2,0,0,8,The North Coast
170,1835008,0,0,2,0,0,11,36,25,2,0,0,-1,Lordamere Lake
172,1638401,0,1638400,2,0,0,11,39,25,2,0,0,18,Fenris Isle
187,327682,1,327680,2,0,0,11,35,25,11,0,0,-1,Darnassus
189,1048586,0,1048576,15,0,0,11,16,25,8,0,0,5,Steelgrill's Depot
190,1245185,0,1245184,18,0,0,11,0,25,0,0,0,-1,Hearthglenn
192,1245187,0,1245184,18,0,0,11,0,25,0,0,0,-1,Northridge Lumber Camp
193,1245188,0,1245184,18,0,0,11,0,25,15,0,0,-1,Ruins of Anderhol
195,1245190,0,1245184,18,0,0,11,0,25,0,0,0,-1,School of Necromancy
197,1245192,0,1245184,18,0,0,11,0,25,15,0,0,-1,Sorrow Hill
198,1245193,0,1245184,18,0,0,11,0,25,0,0,0,-1,The Weeping Cave
199,1245194,0,1245184,18,0,0,11,0,25,0,0,0,-1,Felstone Field
200,1245195,0,1245184,18,0,0,11,0,25,0,0,0,-1,Dalson's Tears
201,1245196,0,1245184,18,0,0,11,0,25,0,0,0,-1,Gahrron's Withering
202,1245197,0,1245184,18,0,0,11,41,25,10,0,0,-1,The Writhing Haunt
203,1245198,0,1245184,18,0,0,11,0,25,0,0,0,-1,Mardenholde Keep
204,1638402,0,1638400,2,0,0,11,39,25,2,0,0,15,Pyrewood Village
205,917508,0,917504,13,0,0,11,38,25,0,0,0,28,Dun Modr
206,65536,36,0,2,0,0,11,72,25,9,0,0,-1,Westfall
207,131072,36,0,2,0,0,11,10,25,9,0,0,-1,The Great Sea
208,196608,36,0,2,0,0,11,0,25,0,0,0,-1,Ironclad Cove
209,65536,33,0,2,0,0,11,0,25,0,0,0,-1,Shadowfang
210,0,36,0,0,0,0,11,0,25,0,0,0,-1,***On Map Dungeon***
211,1048587,0,1048576,15,0,0,11,16,25,8,0,0,0,Iceflow Lake
212,1048588,0,1048576,15,0,0,11,16,25,8,0,0,8,Helm's Bed Lake
213,1638403,0,1638400,2,0,0,11,39,25,2,0,0,-1,Deep Elem Mine
214,1900544,0,0,2,0,0,11,10,25,9,0,0,-1,The Great Sea
215,458752,1,0,2,0,0,11,45,25,9,0,0,-1,Mulgore
219,196621,0,196608,2,0,0,11,72,25,9,0,0,-1,Alexston Farmstead
221,458754,1,458752,2,0,0,11,45,25,9,0,0,-1,Camp Narache
222,458755,1,458752,2,0,0,11,45,25,9,0,0,5,Bloodhoof Village
223,458756,1,458752,2,0,0,11,45,25,9,0,0,-1,Stonebull Lake
224,458757,1,458752,2,0,0,11,45,25,9,0,0,-1,Ravaged Caravan
225,458758,1,458752,2,0,0,11,45,25,9,0,0,9,Red Rocks
227,1638405,0,1638400,2,0,0,11,39,25,2,0,0,11,Valgan's Field
228,1638406,0,1638400,2,0,0,11,39,25,15,0,0,10,The Sepulcher
229,1638407,0,1638400,2,0,0,11,0,25,0,0,0,-1,Olsen's Farthing
230,1638408,0,1638400,2,0,0,11,0,25,0,0,0,18,The Greymane Wall
231,1638409,0,1638400,2,0,0,11,39,25,2,0,0,-1,Beren's Peril
232,1638410,0,1638400,2,0,0,11,39,25,2,0,0,-1,The Dawning Isles
233,1638411,0,1638400,2,0,0,11,39,25,2,0,0,15,Ambermill
236,1638414,0,1638400,2,0,0,11,0,25,0,0,0,16,Shadowfang Keep
237,1638415,0,1638400,2,0,0,11,39,25,2,0,0,-1,The Decrepit Ferry
240,1638418,0,1638400,2,0,0,11,39,25,2,0,0,-1,The Dead Field
241,262151,0,262144,3,0,0,11,0,25,0,0,0,-1,The Rotting Orchard
242,262152,0,262144,3,0,0,11,0,25,0,0,0,-1,Brightwood Grove
243,262153,0,262144,3,0,0,11,0,25,0,0,0,-1,Forlorn Rowe
244,262154,0,262144,3,0,0,11,0,25,0,0,0,-1,The Whipple Estate
246,1507329,0,1507328,2,0,0,11,30,25,10,0,0,-1,The Cauldron
247,1507330,0,1507328,2,0,0,11,0,25,0,0,0,-1,Grimesilt Dig Site
656,1245185,1,1245184,2,0,0,0,0,0,0,0,0,0,Lake Elune'ara
657,458758,0,458752,6,0,0,0,0,0,0,0,0,0,The Harborage
676,65536,150,0,2,0,0,0,0,0,0,0,0,0,Outland
696,327696,1,327680,2,0,0,0,0,0,0,0,0,0,Craftsmen's Terrace
697,327697,1,327680,2,0,0,0,0,0,0,0,0,0,Tradesmen's Terrace
698,327698,1,327680,2,0,0,0,0,0,0,0,0,0,The Temple Gardens
699,327699,1,327680,2,0,0,0,0,0,0,0,0,0,Temple of Elune
700,327700,1,327680,2,0,0,0,0,0,0,0,0,0,Cenarion Enclave
701,327701,1,327680,2,0,0,0,0,0,0,0,0,0,Warrior's Terrace
702,327702,1,327680,2,0,0,0,0,0,0,0,0,0,Rut'theran Village
721,65536,90,0,2,0,0,0,0,0,0,0,0,0,Gnomeragon
398,458763,1,458752,2,0,0,11,45,25,9,0,0,8,Wildmane Water Well
400,851968,1,0,2,0,0,11,43,25,9,0,0,-1,Thousand Needles
401,65553,1,65536,23,0,0,11,46,25,7,0,0,-1,The Tidus Stair
404,458765,1,458752,2,0,0,11,45,25,9,0,0,8,Bael'Dun Digsite
405,917504,1,0,2,0,0,11,113,25,7,0,0,-1,Desolace
406,983040,1,0,2,0,0,11,43,25,7,0,0,-1,Stonetalon Mountains
407,131088,1,131072,24,0,0,11,51,25,14,0,1,-1,Orgrimmar
408,2490368,0,0,2,0,0,11,0,25,0,0,0,-1,Gillijim's Isle
409,2555904,0,0,2,0,0,11,0,25,0,0,0,-1,Island of Doctor Lapidis
410,131089,1,131072,24,0,0,11,47,25,9,0,0,8,Razorwind Canyon
411,524289,1,524288,2,0,0,11,35,25,15,0,0,-1,Bathran's Haunt
413,524291,1,524288,2,0,0,11,0,25,0,0,0,-1,Maestra's Post
414,524292,1,524288,2,0,0,11,0,25,0,0,0,20,The Zoram Strand
415,524293,1,524288,2,0,0,11,35,25,11,0,0,20,Astranaar
416,524294,1,524288,2,0,0,11,35,25,11,0,0,23,The Shrine of Aessina
417,524295,1,524288,2,0,0,11,0,25,0,0,0,25,Fire Scar Shrine
418,524296,1,524288,2,0,0,11,0,25,0,0,0,23,The Ruins of Stardust
419,524297,1,524288,2,0,0,11,0,25,0,0,0,-1,The Howling Vale
420,524298,1,524288,2,0,0,11,0,25,0,0,0,-1,Silverwind Refuge
421,524299,1,524288,2,0,0,11,0,25,0,0,0,25,Mystral Lake
422,524300,1,524288,2,0,0,11,0,25,0,0,0,26,Fallen Sky Lake
424,524302,1,524288,2,0,0,11,0,25,0,0,0,22,Iris Lake
426,524304,1,524288,2,0,0,11,0,25,0,0,0,-1,Raynewood Retreat
427,524305,1,524288,2,0,0,11,0,25,0,0,0,-1,The Shady Nook
430,524308,1,524288,2,0,0,11,0,25,0,0,0,28,Satyrnaar
432,524310,1,524288,2,0,0,11,0,25,0,0,0,30,The Dor'Danil Barrow Den
433,524311,1,524288,2,0,0,11,0,25,0,0,0,-1,Falfarren River
435,524313,1,524288,2,0,0,11,33,25,11,0,0,-1,Demon Fall Canyon
436,524314,1,524288,2,0,0,11,0,25,0,0,0,-1,Demon Fall Ridge
438,524316,1,524288,2,0,0,11,0,25,0,0,0,-1,Bough Shadow
439,851969,1,851968,2,0,0,11,43,25,9,0,0,35,The Shimmering Flats
440,1048576,1,0,2,0,0,11,10,25,7,0,0,-1,Tanaris
441,524317,1,524288,2,0,0,11,0,25,0,0,0,-1,Lake Falathim
442,393217,1,393216,2,0,0,11,33,25,11,0,0,-1,Auberdine
443,393218,1,393216,2,0,0,11,33,25,11,0,0,-1,Ruins of Mathystra
444,393219,1,393216,2,0,0,11,0,25,0,0,0,-1,Tower of Althalaxx
445,393220,1,393216,2,0,0,11,33,25,11,0,0,-1,Cliffspring Falls
446,393221,1,393216,2,0,0,11,33,25,11,0,0,-1,Bashal'Aran
