ID,ItemID[0],ItemID[1],ItemID[2],ItemID[3],ItemID[4],ItemID[5],ItemID[6],ItemID[7],ItemID[8],ItemID[9],ItemID[10],ItemID[11],ItemID[12],ItemID[13],ItemID[14],ItemID[15],ItemID[16],ItemID[17],ItemID[18],ItemID[19],ItemID[20],ItemID[21],ItemID[22],ItemID[23],PetDisplayID,ClassID,SexID,OutfitID,PetFamilyID,RaceID
27,6125,139,0,2361,6948,4540,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6
29,154,153,6948,36,4604,159,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6
30,6125,139,140,25,2362,4604,0,6948,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
31,2092,2105,120,121,4604,0,2947,6948,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5
32,6144,53,52,36,4604,159,51,0,6948,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5
33,6129,1396,59,2092,0,4604,159,6948,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5
34,6140,1395,6096,35,55,4604,159,0,6948,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5
35,6116,1395,6096,35,55,0,159,4540,6948,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3
36,45,43,44,6948,2361,159,2070,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1
37,49,47,48,2947,2092,2070,0,6948,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1
38,6098,52,53,51,36,159,2070,0,6948,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1
39,56,1395,55,35,6096,2070,159,0,6948,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1
40,57,6097,1396,2092,59,0,4604,159,6948,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,1
41,6125,139,140,6948,12282,0,117,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
42,127,6126,6127,159,37,6948,2101,2504,117,2512,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2
43,2105,120,121,3111,2092,117,0,6948,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2
45,154,153,6948,0,36,117,159,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,2
46,6129,1396,59,2092,6948,117,159,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,2
47,38,39,40,0,12282,6948,117,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3
48,6117,6118,43,0,2361,4540,159,6948,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3
49,148,147,129,0,37,159,2102,2508,2516,117,6948,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3
50,6098,53,52,51,36,159,4540,0,6948,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,3
52,6116,1395,6096,35,55,0,159,4540,6948,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,3
53,25,6120,6121,6122,2362,117,0,6948,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4
54,2092,148,147,129,159,2504,2101,2512,117,0,6948,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,4
55,2092,49,48,47,4540,0,2947,6948,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,4
56,36,6119,52,51,53,2070,159,0,6948,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,4
58,6125,139,140,25,2362,4604,0,6948,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5
59,2092,2105,120,121,4604,0,2947,6948,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,5
60,6144,53,52,36,4604,159,51,0,6948,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,5
61,6140,1395,6096,35,55,4604,159,0,6948,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,5
62,6129,1396,59,2092,0,4604,159,6948,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,5
63,6125,139,0,2361,6948,4540,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6
64,127,6126,6948,37,159,2508,2102,2516,117,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,6
66,154,153,6948,36,4604,159,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,6
79,45,43,44,6948,2361,159,2070,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
284,35,6139,6124,159,0,4536,6948,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,6
285,35,6139,6124,159,0,4536,6948,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,6
286,3661,6123,6124,159,4536,0,6948,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,4
287,3661,6123,6124,159,4536,0,6948,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,4
288,2092,49,48,47,0,4540,3111,6948,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3
289,2092,49,48,47,0,4540,3111,6948,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3
291,38,39,40,0,25,2362,117,6948,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7
292,37,117,6125,139,2362,0,3111,6948,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8
293,49,48,47,0,2092,2947,117,6948,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7
294,56,1395,6096,55,0,35,4536,159,6948,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,7
295,57,6097,1396,59,2092,159,4604,0,6948,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,7
296,2092,117,6136,6137,6138,0,3111,6948,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8
297,37,4604,2101,2512,2504,6126,127,159,0,6948,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8
298,36,4540,159,6144,53,52,0,6948,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8
300,36,117,159,6134,6135,0,6948,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8
304,49,48,47,0,2092,2947,117,6948,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,7
306,56,1395,6096,55,0,35,4536,159,6948,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,7
308,57,6097,1396,59,2092,159,4604,0,6948,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,7
309,2092,117,6136,6137,6138,0,3111,6948,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,8
310,37,4604,2101,2512,2504,6126,127,159,0,6948,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,8
311,36,4540,159,6144,53,52,0,6948,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,8
312,36,117,159,6134,6135,0,6948,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,8
314,38,39,40,0,25,2362,117,6948,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7
316,37,117,6125,139,2362,0,3111,6948,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8
317,6140,1395,6096,55,35,117,159,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8
318,6140,1395,6096,55,35,117,159,0,6948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,8
