ID,Text_lang
349,You pick your nose and show it to %s.
351,"With a finger deep in one nostril, you pass the time."
354,%s takes one look at %s and panics.
356,You take one look at %s and panic.
359,%s peers at %s searchingly.
361,You peer at %s searchingly.
363,"You peer around, searchingly."
367,%s drops to his knees and pleads in desperation.
233,%s glares angrily at %s.
234,%s glares angrily at you.
639,%s pounces on top of you.
640,You pounce on top of %s.
642,You pounce out from the shadows.
644,%s lavishes praise upon you.
647,You praise the Light.
648,%s purrs at %s.
651,%s purrs like a kitten.
652,You purr like a kitten.
653,%s is puzzled by %s.
661,%s raises his hand in the air.
665,%s raises her hand in the air.
668,You let %s know that you are ready!
669,%s lets everyone know that he is ready!
673,%s shimmies before %s.
682,You shiver in your boots. Chilling!
683,%s shivers in her boots. Chilling!
686,You shoo %s away. Be gone pest!
701,%s sniffs you.
729,%s teases %s.
174,You dance with %s.
160,You cry.
187,%s begins to eat in front of %s.
188,%s begins to eat rations in front of you.
191,You begin to eat.
295,%s blows you a kiss.
298,You blow a kiss into the wind.
304,%s laughs at %s.
305,%s laughs at you.
371,%s points at you.
374,You point over yonder.
390,You roar with bestial vigor.  So fierce!
400,You make a rude gesture.
437,%s shies away from you.
797,%s looks down upon %s with pity.
799,You look down upon %s with pity.
801,%s pities those around her.
804,%s growls menacingly at you.
806,%s growls menacingly.
807,You growl menacingly.
809,%s barks at you.
811,%s barks. Woof woof!
817,%s is scared of %s.
818,%s is scared of you.
819,You are scared of %s.
820,%s is scared!
821,You are scared!
822,%s flops about helplessly around %s.
823,%s flops about helplessly around you.
824,You flop about helplessly around %s.
825,%s flops about helplessly.
826,You flop about helplessly.
831,You feel the love.
833,%s moos at you. Mooooooooooo.
834,You moo at %s. Mooooooooooo.
836,Mooooooooooo.
440,You are so shy!
443,You sigh at %s.
448,%s falls asleep. Zzzzzzz.
490,%s questions %s.
499,You tap your foot.  Hurry up already!
501,%s taps her foot as she waits for you.
506,%s thanks everyone.
508,%s threatens %s with the wrath of doom.
511,%s threatens everyone with the wrath of doom.
514,%s lets you know that he is tired.
518,%s lets %s know that she is tired.
522,%s basks in the glory of victory with you.
529,%s waves.
536,%s whines pathetically at %s.
538,You whine pathetically at %s.
544,%s lets forth a sharp whistle.
552,%s yawns sleepily at you.
556,%s boggles at %s.
561,%s tries to calm %s down.
568,You let %s know that you are cold.
579,%s cuddles up against %s.
582,%s needs cuddling.
310,%s lies down before you.
373,%s points over yonder.
378,%s pokes his belly and giggles.
383,You say a prayer for %s.
388,You roar with bestial vigor at %s.  So fierce!
399,%s makes a rude gesture.
407,%s scratches you.  How catty!
413,%s thinks you are a sexy devil.
418,%s shakes his rear at %s.
423,%s shakes her rear at %s.
432,%s shrugs at you.  Who knows?
441,%s sighs at %s.
445,"You let out a long, drawn-out sigh."
453,%s bares his teeth and snarls.
460,You spit on %s.
468,%s is suprised by %s's actions.
485,%s talks excitedly with %s.
694,%s slaps herself across the face. Ouch!
700,%s sniffs %s.
702,You sniff %s.
704,You sniff the air around you.
705,%s sniffs the air around her.
714,"You soothe %s. There, there...things will be ok."
718,"%s smells you. Wow, someone stinks!"
730,%s teases you.
731,You tease %s.
732,%s is such a tease.
733,You are such a tease.
737,%s is so thirsty. Can anyone spare a drink?
739,%s lets %s know she is thirsty. Spare a drink?
743,You veto %s's motion.
746,%s snickers at %s.
748,You snicker at %s.
750,You quietly snicker to yourself.
751,%s quietly snickers to herself.
752,%s tickles %s.  Hee hee!
34,%s beckons %s over.
50,Blood oozes from %s's wounds.
51,Blood oozes from your wounds.
54,You blink at %s.
59,You blush at %s.
86,%s bows down graciously.
87,You bow down graciously.
30,%s is so bashful...too bashful to get your attention.
31,You are so bashful...too bashful to get %s's attention.
40,%s begs you.  How pathetic.
47,You bite %s.  Ouch!
69,%s is terribly bored with you.
71,%s is overcome with boredom.  Oh the drudgery!
74,%s bounces up and down in front of you.
75,You bounce up and down in front of %s.
89,%s burps rudely in your face.
95,You wave goodbye to %s.  Farewell!
98,%s cackles maniacally at %s.
99,%s cackles maniacally at you.
113,%s chuckles at %s.
317,%s needs a massage!
463,%s stares %s down.
465,You stare %s down.
472,You are so surprised!
476,%s surrenders to his opponents.
480,%s wants to talk things over with you.
491,%s questions you.
615,%s licks her lips.
755,%s wants to be tickled.  Hee hee!
104,%s cheers at you.
106,%s cheers!
107,You cheer!
111,"With arms flapping, %s struts around.  Cluck, Cluck, Chicken!"
134,%s coughs at you.
135,You cough at %s.
140,You cower in fear at the sight of %s.
758,%s plays the world's smallest violin for you.
763,%s smiles at you.
765,%s smiles.
766,You smile.
779,%s makes a rude gesture at you.
781,%s makes a rude gesture.
171,You curtsey.
172,%s dances with %s.
225,You gaze eagerly at %s.
402,%s salutes you with respect.
504,%s thanks you.
505,You thank %s.
594,%s thinks everyone around her is a son of a motherless ogre.
526,%s waves at %s.
528,You wave at %s.
531,%s welcomes %s.
533,You welcome %s.
543,You whistle at %s.
545,You let forth a sharp whistle.
366,You plead with %s.
370,%s points at %s.
154,%s cringes in fear.
155,You cringe in fear.
161,%s is curious what %s is up to.
163,You are curious what %s is up to.
165,You express your curiosity to those around you.
166,%s expresses her curiosity to everyone.
169,You curtsey before %s.
170,%s curtsies.
178,%s raises a drink to you.  Cheers!
179,You raise a drink to %s.  Cheers!
182,%s looks at %s and begins to drool.
183,%s looks at you and begins to drool.
192,%s eyes %s up and down.
193,%s eyes you up and down.
194,You eye %s up and down.
213,%s frowns with disappointment at %s.
565,You remain calm.
566,%s lets %s know that he is cold.
569,%s lets everyone know that he is cold.
570,You let everyone know that you are cold.
571,%s lets %s know that she is cold.
575,%s comforts you.
576,You comfort %s.
577,%s needs comforting.
585,%s ducks behind you.
586,You duck behind %s.
587,%s ducks for cover.
596,%s introduces himself to you.
599,You introduce yourself to everyone.
600,%s introduces herself to %s.
827,%s loves %s.
828,%s loves you.
829,You love %s.
830,%s feels the love.
837,%s commends %s on a job well done.
839,You commend %s on a job well done.
840,%s commends everyone on a job well done.
584,%s ducks behind %s.
598,%s introduces himself to everyone.
609,%s lets you know that she was just kidding!
619,%s is listening!
627,%s wants you to know that she is hopelessly lost.
638,%s pounces on top of %s.
20,%s apologizes to you.  Sorry!
24,%s applauds at %s.  Bravo!
29,%s is so bashful...too bashful to get %s's attention.
38,You beckon everyone over to you.
44,%s begs everyone around her.  How pathetic.
56,You blink your eyes.
62,%s bonks %s on the noggin.  Doh!
65,%s bonks his own noggin.  Doh!
67,%s bonks her own noggin.  Doh!
77,You bounce up and down.
82,You let everyone know you'll be right back.
92,You let out a loud belch.
105,You cheer at %s.
114,%s chuckles at you.
130,You congratulate %s.
133,%s coughs at %s.
143,%s cracks his knuckles while staring at %s.
146,%s cracks his knuckles.
148,%s cracks her knuckles while staring at %s.
742,%s vetoes your motion.
618,You listen intently to %s.
620,You are listening!
621,%s wants %s to know that he is hopelessly lost.
635,You ponder %s's actions.
636,%s ponders the situation.
654,%s puzzled by you. What are you doing?
655,You are puzzled by %s.
657,You are puzzled. What's going on here?
658,%s looks at %s and raises his hand in the air.
662,You raise your hand in the air.
663,%s looks at %s and raises her hand in the air.
666,%s lets %s know that he is ready!
687,%s shoos the measly pests away.
688,You shoo the measly pests away.
691,You slap %s across the face. Ouch!
692,%s slaps himself across the face. Ouch!
695,%s smirks slyly at %s.
696,%s smirks slyly at you.
698,A sly smirk spreads across %s's face.
699,A sly smirk spreads across your face.
709,%s snubs all of the lowly peons around him.
710,You snub all of the lowly peons around you.
712,"%s soothes %s. There, there...things will be ok."
713,"%s soothes you. There, there...things will be ok."
716,You need to be soothed.
724,%s makes a taunting gesture at you. Bring it!
727,You taunt everyone around you. Bring it fools!
728,%s taunts everyone around her. Bring it fools!
735,%s lets you know he is thirsty. Spare a drink?
736,You let %s know you are thirsty. Spare a drink?
741,%s vetoes %s's motion.
299,%s kneels before %s.
303,You kneel down.
311,You lie down before %s.
314,%s massages %s's shoulders.
320,%s moans suggestively at you.
323,You moan suggestively.
369,%s drops to her knees and plead in desperation.
220,You gasp at %s.
223,%s gazes eagerly at %s.
224,%s gazes eagerly at you.
227,You gaze off into the distance.
229,%s giggles at you.
230,You giggle at %s.
643,%s lavishes praise upon %s.
649,%s purrs at you.
660,You look at %s and raise your hand.
675,You shimmy before %s.
678,%s shivers beside %s. Chilling!
689,%s slaps %s across the face. Ouch!
707,%s snubs you.
715,%s needs to be soothed.
725,You make a taunting gesture at %s. Bring it!
738,You are so thirsty. Can anyone spare a drink?
747,%s snickers at you.
28,You applaud.  Bravo!
45,%s bites %s.  Ouch!
58,%s blushes at you.
80,You let %s know you'll be right back.
41,You beg %s.  How pathetic.
70,You are terribly bored with %s.
90,You burp rudely in %s's face.
102,You cackle maniacally at the situation.
475,You surrender before %s.  Such is the agony of defeat...
492,You question %s.
756,You want to be tickled.  Hee hee!
112,"With arms flapping, you strut around.  Cluck, Cluck, Chicken!"
810,You bark at %s
757,%s plays the world's smallest violin for %s.
759,You play the world's smallest violin for %s.
777,%s lets %s know that she is ready!
838,%s commends you on a job well done.
841,You commend everyone on a job well done.
749,%s quietly snickers to himself.
754,You tickle %s.  Hee hee!
93,%s waves goodbye to %s.  Farewell!
100,You cackle maniacally at %s.
318,You need a massage!
469,%s is suprised by your actions.
479,%s wants to talk things over with %s.
484,%s talks to herself since no one else seems interested.
103,%s cheers at %s!
108,"With arms flapping, %s struts around %s.  Cluck, Cluck, Chicken!"
138,%s cowers in fear at the sight of %s.
764,You smile at %s.
778,%s makes a rude gesture at %s.
782,You make a rude gesture.
116,%s lets out a hearty chuckle.
122,You clap excitedly.
136,%s lets out a hacking cough.
145,You crack your knuckles while staring at %s.
167,%s curtsies before %s.
185,A tendril of drool runs down %s's lip.
203,%s fidgets impatiently while waiting for you.
241,%s gloats over everyone's misfortune.
249,%s grins at you wickedly.
256,%s begins to groan.
260,You grovel before %s like a subservient peon.
265,You take one look at %s and let out a guffaw!
274,%s is very happy with %s!
286,You hug %s.
300,%s kneels before you.
316,You massage %s's shoulders.
489,You talk excitedly with everyone.
515,You let %s know that you are tired.
520,%s lets everyone know that she is tired.
525,You bask in the glory of victory.
549,%s begins to work.
613,%s licks his lips.
623,You want %s to know that you are hopelessly lost.
2,%s agrees with you.
7,%s is amazed by you!
12,%s raises his fist in anger at you.
18,%s raises her fist in anger.
23,You apologize to everyone.  Sorry!
35,%s beckons you over.
43,You beg everyone around you. How pathetic.
60,%s blushes.
196,You cross your eyes.
205,%s fidgets.
212,%s flexes her muscles.  Oooooh so strong!
237,You glare angrily.
245,You greet %s warmly.
257,You begin to groan.
259,%s grovels before you like a subservient peon.
262,"You grovel on the ground, wallowing in subservience."
266,%s lets out a boisterous guffaw!
271,%s hails everyone around him.
284,%s hugs %s.
301,You kneel before %s.
315,%s massages your shoulders.
321,You moan suggestively at %s.
326,You drop your trousers and moon %s.
344,You nod at %s.
350,%s passes the time with a finger deep in one nostril.
357,%s runs around in a frenzied state of panic.
362,"%s peers around, searchingly."
368,You drop to your knees and plead in desperation.
547,%s works with you.
667,%s lets you know that he is ready!
548,You work with %s.
564,%s remains calm.
124,%s looks at you with a confused look.
153,You cringe away from %s.
164,%s expresses his curiosity to everyone.
189,You begin to eat in front of %s.
208,%s flexes at you.  Oooooh so strong!
624,%s is hopelessly lost.
625,You are hopelessly lost.
626,%s wants %s to know that she is hopelessly lost.
629,%s mocks your foolishness.
593,You think everyone around you is a son of a motherless ogre.
542,%s whistles at you.
156,%s cries on %s's shoulder.
210,%s flexes his muscles.  Oooooh so strong!
306,You laugh at %s.
386,%s roars with bestial vigor at %s.  So fierce!
800,%s pities those around him.
805,You growl menacingly at %s.
589,%s thinks %s is the son of a motherless ogre.
590,%s thinks you are the son of a motherless ogre.
595,%s introduces himself to %s.
832,%s moos at %s. Mooooooooooo.
835,%s moos. Mooooooooooo.
398,You make a rude gesture at %s.
406,%s scratches %s.  How catty!
408,You scratch %s.  How catty!
410,"You scratch yourself.  Ah, much better!"
451,%s bares his teeth and snarls at you.
454,You bare your teeth and snarl.
456,%s bares her teeth and snarls at you.
459,%s spits on you.
467,You stare off into the distance.
500,%s taps her foot as she waits for %s.
502,%s taps her foot.  Hurry up already!
510,You threaten %s with the wrath of doom.
512,You threaten everyone with the wrath of doom.
539,%s whines pathetically.
341,"You clearly state, NO."
401,%s salutes %s with respect.
527,%s waves at you.
541,%s whistles at %s.
377,You poke %s.  Hey!
384,%s prays to the Gods.
391,%s rolls on the floor laughing at %s.
393,You roll on the floor laughing at %s.
409,"%s scratches himself.  Ah, much better!"
421,%s shakes his rear.
434,%s shrugs.  Who knows?
444,"%s lets out a long, drawn-out sigh."
461,%s spits on the ground.
477,You surrender to your opponents.
493,%s wants to know the meaning of life.
498,%s taps his foot.  Hurry up already!
507,You thank everyone around you.
516,%s lets everyone know that he is tired.
524,%s basks in the glory of victory.
553,You yawn sleepily at %s.
557,%s boggles at you.
563,You try to calm %s down.
567,%s lets you know that he is cold.
578,You need to be comforted.
588,You duck for cover.
591,You think %s is the son of a motherless ogre.
604,%s lets you know that he was just kidding!
605,You let %s know that you were just kidding!
632,You mock life and all it stands for.
5,You agree.
11,%s raises his fist in anger at %s.
19,%s apologizes to %s.  Sorry!
33,You are bashful.
670,You let everyone know that you are ready!
671,%s lets you know that she is ready!
672,%s lets everyone know that she is ready!
680,You shiver beside %s. Chilling!
681,%s shivers in his boots. Chilling!
684,%s shoos %s away. Be gone pest!
685,%s shoos you away. Be gone pest!
641,%s pounces out from the shadows.
646,%s praises the Light.
650,You purr at %s.
656,%s is puzzled. What's going on here?
664,%s looks at you and raises her hand.
674,%s shimmies before you.
677,You shimmy before the masses.
679,%s shivers beside you. Chilling!
690,%s slaps you across the face. Ouch!
697,You smirk slyly at %s.
706,%s snubs %s.
711,%s snubs all of the lowly peons around her.
721,"You smell the air around you. Wow, someone stinks!"
48,%s looks around for someone to bite.
734,%s lets %s know he is thirsty. Spare a drink?
740,%s lets you know she is thirsty. Spare a drink?
581,You cuddle up against %s.
66,You bonk yourself on the noggin.  Doh!
85,You bow before %s.
101,%s cackles maniacally at the situation.
558,You boggle at %s.
173,%s dances with you.
157,%s cries on your shoulder.
207,%s flexes at %s.  Oooooh so strong!
296,You blow a kiss to %s.
372,You point at %s.
389,%s roars with bestial vigor.  So fierce!
436,%s shies away from %s.
798,%s looks down upon you with pity.
802,You pity those around you.
808,%s barks at %s.
64,You bonk %s on the noggin.  Doh!
78,"%s will be right back.  Sit tight, %s."
97,You wave goodbye to everyone.  Farewell!
110,"With arms flapping, you strut around %s.  Cluck, Cluck, Chicken!"
126,%s is hopelessly confused.
132,You congratulate everyone around you.
144,%s cracks his knuckles while staring at you.
158,You cry on %s's shoulder.
176,You burst into dance.
184,You look at %s and begin to drool.
247,You greet everyone warmly.
276,You are very happy with %s!
218,%s gasps at %s.
219,%s gasps at you.
200,%s farts loudly.  Whew...what stinks?
812,You bark. Woof woof!
281,You greet %s with a hearty hello!
283,You greet everyone with a hearty hello!
288,You need a hug!
289,%s is hungry.  Maybe %s has some food...
291,You are hungry.  Maybe %s has some food...
417,%s is too sexy for her tunic...so sexy it hurts.
431,%s shrugs at %s.  Who knows?
433,You shrug at %s.  Who knows?
435,You shrug.  Who knows?
452,You bare your teeth and snarl at %s.
473,%s surrenders before %s.  Such is the agony of defeat...
495,%s taps his foot as he waits for %s.
497,You tap your foot as you wait for %s.
328,You drop your trousers and moon everyone.
340,"%s clearly states, NO."
352,%s picks her nose and shows it to %s.
360,%s peers at you searchingly.
197,%s brushes up against %s and farts loudly.
198,%s brushes up against you and farts loudly.
201,You fart loudly.  Whew...what stinks?
202,%s fidgets impatiently while waiting for %s.
204,You fidget impatiently while waiting for %s.
214,%s frowns with disappointment at you.
119,%s claps excitedly for you.
180,%s raises a drink in the air before chugging it down.  Cheers!
215,You frown with disappointment at %s.
232,You giggle.
240,You gloat over %s's misfortune.
272,You hail those around you.
275,%s is very happy with you!
279,%s greets %s with a hearty hello!
602,%s introduces herself to everyone.
603,%s lets %s know that he was just kidding!
606,%s was just kidding!
607,You were just kidding!
608,%s lets %s know that she was just kidding!
617,%s listens intently to you.
630,You mock the foolishness of %s.
631,%s mocks life and all it stands for.
634,%s ponders your actions.
717,"%s smells %s. Wow, someone stinks!"
719,"You smell %s. Wow, someone stinks!"
720,"%s smells the air around him. Wow, someone stinks!"
723,%s makes a taunting gesture at %s. Bring it!
745,You veto the motion on the floor.
333,"In quiet contemplation, %s mourns your death."
335,"In quiet contemplation, %s mourns the loss of the dead."
338,%s tells you NO.  Not going to happen.
235,You glare angrily at %s.
238,%s gloats over %s's misfortune.
239,%s gloats over your misfortune.
242,You gloat over everyone's misfortune.
645,You lavish praise upon %s.
659,%s looks at you and raises his hand.
676,%s shimmies before the masses.
693,You slap yourself across the face. Ouch!
708,You snub %s.
722,"%s smells the air around her. Wow, someone stinks!"
744,%s vetoes the motion on the floor.
753,%s tickles you.  Hee hee!
46,%s bites you.  Ouch!
79,%s will be right back.  Sit tight.
42,%s begs everyone around him.  How pathetic.
94,%s waves goodbye to you.  Farewell!
464,%s stares you down.
483,You talk to yourself since no one else seems interested.
139,%s cowers in fear at the sight of you.
760,%s begins to play the world's smallest violin.
761,You begin to play the world's smallest violin.
762,%s smiles at %s.
780,You make a rude gesture at %s.
226,%s gazes off into the distance.
532,%s welcomes you.
703,%s sniffs the air around him.
211,You flex your muscles.  Oooooh so strong!
397,%s makes a rude gesture at you.
803,%s growls menacingly at %.
412,%s thinks %s is a sexy devil.
415,%s is too sexy for his tunic...so sexy it hurts.
416,You're too sexy for your tunic...so sexy it hurts.
420,You shake your rear at %s.
422,You shake your rear.
424,%s shakes her rear at you.
428,You shout at %s.
470,You are suprised by %s's actions.
474,%s surrenders before you.  Such is the agony of defeat...
482,%s talks to himself since no one else seems interested.
488,%s talks excitedly with everyone.
726,%s taunts everyone around him. Bring it fools!
244,%s greets you warmly.
250,You grin wickedly at %s.
251,%s grins wickedly.
254,%s looks at you and groans.
255,You look at %s and groan.
263,%s takes one look at %s and lets out a guffaw!
270,You hail %s.
282,%s greets everyone with a hearty hello!
290,%s is hungry.  Maybe you have some food...
332,"In quiet contemplation, %s mourns the death of %s."
336,"In quiet contemplation, you mourn the loss of the dead."
337,%s tells %s NO.  Not going to happen.
342,%s nods at %s.
355,%s takes one look at you and panics.
365,%s pleads with you.
382,%s says a prayer for you.
394,%s rolls on the floor laughing.
395,You roll on the floor laughing.
