ID,ContinentID,Pos[0],Pos[1],Pos[2],Radius,Box_length,Box_width,Box_height,Box_yaw
84,0,16449.9,16393.2,69.4444,15,0,0,0,0
78,0,-11208.5,1685.34,25.7612,7,0,0,0,0
71,0,-10645.9,1179.06,48.1781,27,0,0,0,0
45,0,2924.38,-798.429,161.611,8,0,0,0,0
2253,0,1689.6,-2274.05,66.0309,35,0,0,0,0
2252,0,1689.29,-2273.79,65.8641,30,0,0,0,0
2251,0,1479.27,-1862.58,60.5499,35,0,0,0,0
2247,0,1738.05,-1183.37,66.3937,35,0,0,0,0
844,0,-10487.3,-3256.87,39.8964,30,0,0,0,0
803,0,-3668.34,-823.839,9.89915,12,0,0,0,0
802,0,-3752.81,-851.558,10.1153,20,0,0,0,0
1646,0,-907.865,-3534.24,83.7878,30,0,0,0,0
742,1,-405.311,-2645.29,111.972,30,0,0,0,0
942,1,-4950.65,-1625.14,-3.0157,25,0,0,0,0
943,1,-4950.74,-1595.14,-3.0157,25,0,0,0,0
1022,1,-180.561,-227.184,26.0116,35,0,0,0,0
1726,1,-7286.01,-2125.06,-272.114,12,0,0,0,0
1729,1,-7395.19,-1735.68,-279.763,12,0,0,0,0
982,1,-2372.51,-1991.64,120.975,35,0,0,0,0
1732,1,-7509.58,-1946.56,-270.537,12,0,0,0,0
1731,1,-7463.35,-1957.64,-272.532,12,0,0,0,0
1730,1,-7449.9,-2111.57,-271.766,12,0,0,0,0
1728,1,-7170.02,-1852.79,-272.988,12,0,0,0,0
1632,1,-8799.19,-4115.16,-199.999,70,0,0,0,0
1062,1,-4775.1,-3751.63,54.3836,20,0,0,0,0
1024,1,-4370.83,3289.15,23.7823,35,0,0,0,0
944,1,-4950.65,-1567.1,-3.0157,25,0,0,0,0
1727,1,-7208.42,-2027.09,-271.74,12,0,0,0,0
722,1,-2366.7,-345.983,-1.29313,30,0,0,0,0
716,1,6410.01,527.035,14.0578,32,0,0,0,0
715,1,9809.05,959.188,1315.35,32,0,0,0,0
527,1,9947.48,2630.04,1318.6,10,0,0,0,0
442,1,-4666.52,-2536.82,86.9671,10,0,0,0,0
422,1,-93.1614,1691.15,89.0649,20,0,0,0,0
303,1,-4058.75,-2732.54,35.3301,10,0,0,0,0
302,1,-3463.26,-4123.13,17.1043,8,0,0,0,0
257,1,7201.81,-853.457,6.19655,12,0,0,0,0
246,1,-4932.53,-1596.05,84.8157,20,0,0,0,0
244,1,-4456.7,-1655.99,86.1095,8,0,0,0,0
239,1,3469.43,847.62,5.36476,12,0,0,0,0
238,1,6876.28,-486.029,40.1436,65,0,0,0,0
237,1,4504.31,32.3296,86.4913,80,0,0,0,0
236,1,4643.38,145.349,57.9047,50,0,0,0,0
235,1,4554.65,146.354,59.5027,70,0,0,0,0
234,1,4641.19,55.3801,66.6307,60,0,0,0,0
233,1,4916.99,328.43,36.7678,50,0,0,0,0
232,1,5980.17,330.669,21.7655,40,0,0,0,0
231,1,5996.56,365.21,21.8661,40,0,0,0,0
230,1,6744.98,41.1164,47.6041,13,0,0,0,0
228,1,-753.596,-2212.78,21.5403,13,0,0,0,0
225,1,4558.36,421.446,33.7425,50,0,0,0,0
224,1,4605.57,385.158,31.4827,25,0,0,0,0
223,1,4508.17,373.376,32.5125,40,0,0,0,0
220,1,10675.2,1857.45,1324.17,14,0,0,0,0
219,1,9556.24,1654.77,1299.49,14,0,0,0,0
218,1,9859.09,588.761,1300.61,14,0,0,0,0
217,1,10708.8,762.092,1321.37,14,0,0,0,0
216,1,90.1003,-1943.44,79.4727,9,0,0,0,0
205,1,-1895.78,-1109.04,86.183,15,0,0,0,0
522,1,-1679.3,-4328.96,2.58591,4,0,0,0,0
2213,1,5893.32,-4054.83,596.322,2,0,0,0,0
2211,1,6107.62,-4181.6,852.322,2,0,0,0,0
1388,1,4277.58,-6296,95.5764,20,0,0,0,0
1387,1,4260.73,-6273.64,90.2289,20,0,0,0,0
1023,1,-7164.87,-3844.47,13.903,20,0,0,0,0
924,1,-6773.49,-2889.77,15.1063,20,0,0,0,0
717,1,2756.64,-423.057,119.387,32,0,0,0,0
709,1,-3615.49,-4467.34,24.3141,30,0,0,0,0
2287,1,6687.99,-4670.07,723.891,20,0,0,0,0
2286,1,-5474.6,-2459.31,103.73,20,0,0,0,0
2266,1,245.587,1251.99,210.145,40,0,0,0,0
2230,1,1822.88,-4433.85,-14.9487,14,0,0,0,0
1025,1,-4458.9287,243.41493,64.61357,35,0,0,0,0
843,1,341.42,-4684.7,30.9493,30,0,0,0,0
1966,1,4988.97,547.002,5.37929,11,0,0,0,0
542,1,8799.41,969.787,30.2409,10,0,0,0,0
2267,1,-1596.16,3145.26,67.8338,30,0,0,0,0
2208,1,5587.02,-784.025,335.822,23,0,0,0,0
2206,1,5483.9,-749.881,334.621,30,0,0,0,0
2207,1,5552.09,-683.813,335.25,25,0,0,0,0
1906,1,6818.56,-391.735,40.123,50,0,0,0,0
2107,1,5017.54,-4548.85,853.106,50,0,0,0,0
1766,1,-7308.7134,-2001.4731,-272.4505,12,0,0,0,0
1740,1,-7874.18,-1806.3,-271.459,12,0,0,0,0
1739,1,-7895.29,-1623.62,-269.707,12,0,0,0,0
1738,1,-7952.2,-1792.01,-272.893,12,0,0,0,0
1737,1,-7612.56,-1930.87,-271.828,12,0,0,0,0
1736,1,-7768.61,-1957.63,-272.126,12,0,0,0,0
1735,1,-7748.9,-1721.14,-271.909,12,0,0,0,0
1734,1,-7594.12,-1771.62,-273.612,12,0,0,0,0
1733,1,-7516.87,-1829.76,-272.647,12,0,0,0,0
1667,1,-3464.71,-4120.93,17.0987,9,0,0,0,0
1631,1,-8280.79,-4025.14,-181.059,70,0,0,0,0
743,1,-1051.44,-3653.81,31.1352,30,0,0,0,0
60,24,47.6135,-28.9462,-8.81759,7,0,0,0,0
81,28,-259.24698,137.75117,36.568306,7,0,0,0,0
83,28,254.5694,-4.322051,6.486521,8,0,0,0,0
95,30,-409.82812,-802.7708,-13.246962,9,0,0,0,0
179,33,-240.345,2075.75,74.5311,30,0,0,0,0
256,33,-189.006,2145.69,97.3899,7,0,0,0,0
255,33,-223.399,2101.97,97.3899,5,0,0,0,0
254,33,-236.47,2202.42,97.3452,5,0,0,0,0
183,33,-170.243,2091.14,94.538,30,0,0,0,0
184,33,-157.851,2113.58,92.6388,30,0,0,0,0
185,33,-160.016,2128.91,91.2199,25,0,0,0,0
194,33,-230.953,2105.06,79.7533,5,0,0,0,0
186,33,-168.41,2151.03,87.2201,15,0,0,0,0
182,33,-271.198,2144.93,59.6435,29,0,0,0,0
181,33,-269.245,2181.57,63.5169,30,0,0,0,0
503,34,39.3741,0.803469,-12.7883,8,0,0,0,0
109,35,-0.90042,16.443,-14.236,7,0,0,0,0
119,36,-14.3628,-393.38,64.5605,6,0,0,0,0
121,36,-110.76,-1009.19,34.8044,7,0,0,0,0
226,43,-172.181,138.98,-66.6471,12,0,0,0,0
242,47,1936.39,1534.47,86.8769,8,0,0,0,0
262,47,2019.73,2004.6,61.6874,15,0,0,0,0
462,47,2107.72,1823.77,79.9696,10,0,0,0,0
463,47,2165.75,1944.75,61.4635,15,0,0,0,0
762,48,-842.076,-472.462,-34.0656,10,0,0,0,0
259,48,-148.633,121.08,-33.4141,12,0,0,0,0
283,48,-527.658,321.109,-50.2584,20,0,0,0,0
882,70,-213.72,370.607,-35.3887,10,0,0,0,0
822,70,-234.444,319.127,-47.5885,20,0,0,0,0
288,70,-228.193,34.1602,-39.2339,10,0,0,0,0
1105,90,-377.056,44.05,-156.483,15,0,0,0,0
322,90,-312.205,-4.63256,-148.657,14,0,0,0,0
525,90,-717.868,1.37207,-241.293,12,0,0,0,0
1326,109,-467.521,95.3083,-105,7,0,0,0,0
1306,109,-496.854,42.6929,-91.1318,25,0,0,0,0
448,109,-300,99,-127,13,0,0,0,0
444,129,2593.94,1124.64,56.179,11,0,0,0,0
602,189,1687.57,1040.09,20.9829,8,0,0,0,0
606,189,1608.65,-308.97,20.7824,8,0,0,0,0
604,189,853.679,1308.1,19.6714,8,0,0,0,0
608,189,253.601,-196.804,21.0385,8,0,0,0,0
962,209,1909.27,1015.11,11.5155,10,0,0,0,0
1447,209,1811.05,700.976,15.294,20,0,0,0,0
922,209,1190.35,840.587,13.4342,20,0,0,0,0
1470,229,73.5083,-215.044,52.3869,10,0,0,0,0
2068,229,25.9285,-299.325,24.1095,0,20,20,20,0
2067,229,26.4583,-522.471,110.943,15,0,0,0,0
2066,229,75.2622,-547.679,110.928,30,0,0,0,0
1946,229,70.86113,-409.0138,64.34772,10,0,0,0,0
2026,229,153.763,-419.833,110.472,20,0,0,0,0
2046,229,102.43,-319.167,65.4635,10,0,0,0,0
1987,229,109.375,-417.294,64.3477,10,0,0,0,0
1986,229,91.0854,-408.374,64.3477,10,0,0,0,0
1628,229,-78.5819,-401.395,38.9428,20,0,0,0,0
1472,230,456.969,48.368,-65.2753,12,0,0,0,0
1526,230,596.432,-188.498,-50,8,0,0,0,0
1786,230,690.518,-280.052,-43.1969,7,0,0,0,0
1827,230,1380.15,-554.604,-89.643,20,0,0,0,0
1686,230,319.974,-215.185,-77.9542,10,0,0,0,0
1828,230,497.399,13.2319,-70.1372,10,0,0,0,0
1590,230,376.106,-191.242,-70.5449,10,0,0,0,0
1826,230,471.142,-9.34378,-69.7993,10,0,0,0,0
1746,230,411.617,-201.646,-65.1446,10,0,0,0,0
1926,230,845.911,-317.369,-50.2868,10,0,0,0,0
1064,249,29.2427,-22.1812,10.5272,30,0,0,0,0
1629,269,-2061.12,6635.97,-144.596,70,0,0,0,0
1626,269,3122.2,2324.64,-129.32,70,0,0,0,0
2209,329,3665.11,-3164.96,127.224,10,0,0,0,0
2210,329,3663.95,-3164.27,127.361,10,0,0,0,0
2187,329,3673.6,-3633.87,139.943,5,0,0,0,0
2221,329,3584.78,-3632.05,142.118,10,9.778,17.94,27.92,0
2166,369,76.027,10.5043,-4.29659,0,9.417,19,20.64,0
2171,369,80.1633,2490.88,-1.85693,10,0,0,0,0
2226,389,2.42645,0.206209,-13.322,0,30.72,12.22,25.56,0
2228,389,0.797643,-8.23429,-15.5288,0,2,2,2,0
