ID,Text,Language
134,어미강간,1
135,어미따먹자,1
136,어미쑤시자,1
138,엄창,1
139,에미,1
140,에비,1
142,염 병 할,1
143,염 병할,1
146,염병 할,1
147,염병할,1
150,엿 먹 어 라,1
151,엿 먹 어라,1
152,엿먹 어 라,1
153,엿먹 어라,1
154,엿먹어 라,1
155,엿먹어라,1
156,영자개새끼,1
157,영자새끼,1
158,영자씨발놈,1
159,오 르 가 즘,1
160,오르가즘,1
161,왕버지,1
162,왕자지,1
163,왕잠지,1
164,왕털버지,1
165,왕털보지,1
166,왕털자지,1
167,왕털잠지,1
168,요 년,1
169,요년,1
170,우미쑤셔,1
175,유두빨어,1
176,유두핥어,1
177,유두핧어,1
180,유방 만져,1
181,유방 빨아,1
182,유방 조물락,1
183,유방 주물럭,1
184,유방 쪼물딱,1
185,유방 쪼물럭,1
186,유방 핧아,1
187,유방 핧어,1
188,유방만져,1
189,유방빨아,1
190,유방조물락,1
191,유방주물럭,1
192,유방쪼물딱,1
193,유방쪼물럭,1
194,유방핥아,1
195,유방핥어,1
196,유방핧아,1
197,유방핧어,1
199,육갑,1
201,인민공화국,1
202,자 기 핧 아,1
203,자 기 핧아,1
205,자 지 빨 아,1
206,자 지 빨 어,1
207,자 지 빨아,1
208,자 지 빨어,1
209,자 지 털,1
210,자 지 핧 어,1
211,자 지 핧어,1
212,자 지털,1
213,자기 핧 아,1
214,자기 핧아,1
215,자기핥아,1
216,자기핧 아,1
217,자기핧아,1
219,자지 구녕,1
220,자지 구멍,1
221,자지 꽂아,1
222,자지 빨 아,1
223,자지 빨 어,1
224,자지 빨아,1
225,자지 빨어,1
226,자지 쑤셔,1
227,자지 짤라,1
228,자지 털,1
229,자지 핧 어,1
230,자지 핧어,1
231,자지구녕,1
232,자지구멍,1
233,자지꽂아,1
234,자지넣자,1
235,자지뜨더,1
236,자지뜯어,1
237,자지박어,1
238,자지빨 아,1
239,자지빨 어,1
240,자지빨아,1
241,자지빨아줘,1
242,자지빨어,1
243,자지쑤셔,1
244,자지쓰레기,1
245,자지정개,1
246,자지짤라,1
247,자지털,1
248,자지핥아,1
249,자지핥아줘,1
250,자지핥어,1
251,자지핧 어,1
252,자지핧아,1
253,자지핧아줘,1
254,자지핧어,1
255,작은보지,1
258,잠지뚫어,1
259,잠지물마셔,1
260,잠지털,1
261,잠짓물마셔,1
265,잡것,1
266,잡년,1
267,잡놈,1
268,잡쓰레그,1
269,잡쓰레기,1
270,저 년,1
271,저년,1
274,젓 같 내,1
275,젓 같내,1
277,젓 냄 새,1
278,젓 대가리,1
280,젓 마무리,1
281,젓 만 이,1
282,젓 만이,1
285,젓가튼쉐이,1
286,젓같 내,1
287,젓같내,1
288,젓까,1
289,젓냄새,1
290,젓대가리,1
291,젓떠,1
292,젓마무리,1
293,젓만 이,1
294,젓만이,1
295,젓물,1
296,젓물 냄새,1
297,젓물냄새,1
298,젓밥,1
299,정액마셔,1
300,정액먹어,1
301,정액발사,1
302,정액짜,1
303,정액핥아,1
304,정액핧아,1
305,정자마셔,1
306,정자먹어,1
307,정자핥아,1
308,정자핧아,1
309,젖 탱 이,1
310,젖 탱이,1
311,젖까,1
312,젖탱 이,1
313,젖탱이,1
316,조개넓은년,1
317,조개따조,1
319,조개마셔줘,1
321,조개벌려조,1
323,조개보지,1
324,조개속물,1
325,조개쑤셔줘,1
327,조개핥아줘,1
328,조개핧아줘,1
330,조또,1
331,조선인민공화국,1
333,족 같 내,1
334,족 같내,1
336,족 까 내,1
337,족 까내,1
338,족같 내,1
339,족같내,1
340,족까,1
341,족까 내,1
342,족까내,1
349,좀 마 니,1
350,좀 마니,1
352,좀 쓰레기,1
353,좀마 니,1
354,좀마니,1
355,좀물,1
356,좀쓰레기,1
357,좁빠라라,1
358,좃,1
359,좃 간 년,1
360,좃 간년,1
361,좃 까,1
362,좃 깟 네,1
363,좃 깟네,1
364,좃 냄새,1
365,좃 넘,1
366,좃 대가리,1
367,좃 도,1
368,좃 또,1
369,좃 마무리,1
370,좃 만 아,1
371,좃 만 이,1
372,좃 만아,1
373,좃 만이,1
374,좃 물,1
375,좃 부 랄,1
376,좃 부랄,1
377,좃 빠 네,1
378,좃 빠네,1
379,좃가튼뇬,1
380,좃간 년,1
381,좃간년,1
382,좃까,1
383,좃까리,1
384,좃깟 네,1
385,좃깟네,1
386,좃냄새,1
387,좃넘,1
388,좃대가리,1
389,좃도,1
390,좃또,1
391,좃마무리,1
392,좃만 아,1
393,좃만 이,1
394,좃만아,1
395,좃만이,1
396,좃만한것,1
397,좃만한쉐이,1
398,좃물,1
399,좃물 냄새,1
400,좃물냄새,1
401,좃보지,1
402,좃부 랄,1
403,좃부랄,1
404,좃빠 네,1
405,좃빠구리,1
406,좃빠네,1
407,좃빠라라,1
408,좃털,1
409,좆,1
410,좆 같 은 놈,1
411,좆 같 은 새 끼,1
412,좆 같 은놈,1
413,좆 까,1
414,좆 까 라,1
415,좆 까라,1
416,좆 나,1
417,좆 년,1
418,좆 도,1
419,좆 만 아,1
420,좆 만 한 년,1
421,좆 만 한 놈,1
422,좆 만 한 새 끼,1
423,좆 만 한년,1
424,좆 만 한놈,1
425,좆 만아,1
426,좆 먹 어,1
427,좆 먹어,1
428,좆 물,1
429,좆 밥,1
430,좆 빨 아,1
431,좆 빨아,1
432,좆 새 끼,1
433,좆 새끼,1
434,좆 털,1
435,좆같 은 놈,1
436,좆같 은 새 끼,1
437,좆같 은 새끼,1
438,좆같 은놈,1
439,좆같 은새끼,1
440,좆같은 놈,1
441,좆같은 새 끼,1
442,좆같은 새끼,1
443,좆같은놈,1
444,좆같은새 끼,1
445,좆같은새끼,1
446,좆까,1
447,좆까 라,1
448,좆까라,1
449,좆나,1
450,좆년,1
451,좆도,1
452,좆만 아,1
453,좆만 한 년,1
454,좆만 한 놈,1
455,좆만 한 새 끼,1
456,좆만 한 새끼,1
457,좆만 한년,1
458,좆만 한놈,1
459,좆만 한새끼,1
460,좆만아,1
461,좆만한 년,1
462,좆만한 놈,1
463,좆만한 새 끼,1
464,좆만한 새끼,1
465,좆만한년,1
466,좆만한놈,1
467,좆만한새 끼,1
468,좆만한새끼,1
469,좆먹 어,1
470,좆먹어,1
471,좆물,1
472,좆밥,1
473,좆빨 아,1
474,좆빨아,1
475,좆새 끼,1
476,좆새끼,1
477,좆털,1
478,좋 만 한 것,1
479,좋 만 한것,1
480,좋만 한 것,1
481,좋만 한것,1
482,좋만한 것,1
483,좋만한것,1
484,주 글 년,1
485,주 글년,1
486,주 길 년,1
487,주 길년,1
488,주글 년,1
489,주글년,1
490,주길 년,1
491,주길년,1
494,쥐랄,1
496,지 럴,1
497,지 뢀,1
498,지랄,1
499,지럴,1
500,지뢀,1
501,짱께,1
502,쪼 다 새 끼,1
503,쪼 다 새끼,1
504,쪼다 새 끼,1
505,쪼다 새끼,1
506,쪼다새 끼,1
507,쪼다새끼,1
508,쪽바리,1
512,창녀,1
513,창녀버지,1
514,처드셈,1
515,쳐드셈,1
516,쳐쑤셔박어,1
517,촌씨브라리,1
518,촌씨브랑이,1
519,촌씨브랭이,1
520,코쟁이,1
521,코카인,1
522,크 리 토 리 스,1
523,크리 토 리 스,1
524,크리 토 리스,1
525,크리 토리스,1
526,크리토 리 스,1
527,크리토 리스,1
528,크리토리 스,1
529,크리토리스,1
530,큰보지,1
531,클 리 토 리 스,1
532,클리 토 리 스,1
533,클리 토 리스,1
534,클리 토리스,1
535,클리토 리 스,1
536,클리토 리스,1
537,클리토리 스,1
538,클리토리스,1
539,페 니 스,1
540,페 니스,1
541,페니 스,1
542,페니스,1
543,항문 쑤셔,1
544,항문수셔,1
545,항문쑤셔,1
546,허 벌 보 지,1
547,허 벌 보지,1
548,허 벌 자 지,1
549,허 벌 자지,1
550,허버리년,1
551,허벌 보 지,1
552,허벌 보지,1
553,허벌 자 지,1
554,허벌 자지,1
555,허벌년,1
556,허벌보 지,1
557,허벌보지,1
558,허벌자 지,1
559,허벌자식,1
560,허벌자지,1
561,헐 렁 보 지,1
562,헐 렁 보지,1
563,헐렁 보 지,1
564,헐렁 보지,1
565,\<fagg[aeiouy]t,0
566,\<pillowbiter,0
567,\<poohstab,0
568,\<cunnilingus\>,0
572,\<dildo\>,0
575,\<heeb\>,0
576,\<kike\>,0
577,\<mudshark,0
578,\<mooley\>,0
579,\<nig+a,0
581,\<jap\>,0
582,feltch,0
583,\<homos\>,0
584,\<tittie,0
586,\<tits\>,0
587,\<slamhound,0
588,\<gutterslut\>,0
589,\<cumguz,0
590,\<injun\>,0
592,\<gooch\>,0
596,bong,0
598,\<pothead,0
599,shit,0
600,\<twat\>,0
601,\<assface\>,0
604,\<nosecandy\>,0
607,\<towelhead\>,0
608,\<fudgepacker\>,0
609,\<assmaster\>,0
610,\<ejaculate\>,0
611,\<milf\>,0
612,\<rumprang,0
613,\<spic\>,0
614,\<spick,0
616,wetback,0
618,\<queef,0
619,\<nig\>,0
620,fagg[aeiouy]t\>,0
621,\<rapist\>,0
622,\<gook\>,0
623,\<polesmok,0
624,\<cracksmoker,0
625,\<jism\>,0
626,\<dingleberry\>,0
627,\<mooncricket,0
628,\<assman\>,0
629,\<spearchuck,0
630,\<hardon\>,0
631,\<stiffy\>,0
632,\<cumstain,0
633,\<dunecoon\>,0
634,\<buttfloss\>,0
635,\<peckertracks\>,0
638,\<cornhole\>,0
639,\<wop\>,0
641,\<cock\>,0
643,\<asspound,0
644,\<buttboy,0
645,\<sploog,0
646,\<meatsword\>,0
647,\<skinbat,0
648,헐렁보 지,1
649,헐렁보지,1
650,혀로보지핥이기,1
651,혀로보지핧기,1
652,호 냥 년,1
653,호 냥년,1
655,호 로 새 끼,1
656,호 로 새끼,1
657,호 로 자 슥,1
658,호 로 자 식,1
659,호 로 자슥,1
660,호 로 자식,1
661,호 루 자 슥,1
662,호 루 자슥,1
663,호냥 년,1
664,호냥년,1
666,호로 새 끼,1
667,호로 새끼,1
668,호로 자 슥,1
669,호로 자 식,1
670,호로 자슥,1
671,호로 자식,1
672,호로새 끼,1
673,호로새끼,1
674,호로자 슥,1
675,호로자 식,1
676,호로자슥,1
677,호로자식,1
678,호루 자 슥,1
679,호루 자슥,1
680,호루자 슥,1
681,호루자슥,1
682,화냥년,1
683,후 라 덜 넘,1
684,후 라 덜넘,1
686,후라 덜 넘,1
687,후라 덜넘,1
688,후라덜 넘,1
689,후라덜넘,1
690,후장,1
691,후장 꽂아,1
692,후장 뚫어,1
693,후장꽂아,1
694,후장뚫어,1
695,히로뽕,0
696,\<asshole,0
697,\<zipperhead\>,0
698,\<porchmonk,0
699,\<junglebunny\>,0
700,\<jizz\>,0
701,\<gizz\>,0
702,\<cooze\>,0
703,\<cumming\>,0
704,\<boner\>,0
705,\<homo\>,0
706,\<buttpirate,0
707,\<titty,0
709,\<poostab,0
710,18년,0
711,18놈,0
712,18새 끼,0
713,18새끼,0
714,fuck,0
715,\<kkk\>,0
716,\<nazi,0
717,\<ass\>,0
718,bia?ts?ch,0
720,\<clit,0
721,\<cum\>,0
722,\<cunt,0
724,\<nig+er,0
725,penis\>,0
729,whore,0
731,ㅈㄹ,0
732,가슴 만져,1
733,가슴 빨아,1
734,가슴 빨어,1
735,가슴 조물락,1
736,가슴 주물럭,1
737,가슴 쪼물딱,1
738,가슴 쪼물락,1
739,가슴 핧아,1
740,가슴 핧어,1
741,가슴만져,1
742,가슴빨아,1
743,가슴빨어,1
744,가슴조물락,1
745,가슴주물럭,1
746,가슴쪼물딱,1
747,가슴쪼물락,1
748,가슴핥아,1
749,가슴핥어,1
750,가슴핧아,1
751,가슴핧어,1
753,강간,1
754,강간한다,1
755,개 가 튼 년,1
756,개 가 튼 뇬,1
757,개 가 튼년,1
758,개 가 튼뇬,1
759,개 같 은 년,1
760,개 같 은년,1
761,개 걸 레,1
762,개 걸레,1
763,개 고 치,1
764,개 고치,1
765,개 너 미,1
766,개 너미,1
769,개 라 슥,1
770,개 보 지,1
771,개 보지,1
772,개 부 달,1
773,개 부 랄,1
774,개 부달,1
775,개 부랄,1
776,개 불 랄,1
777,개 불랄,1
778,개 새 끼,1
779,개 새끼,1
780,개 씨 발,1
781,개 씨 블,1
782,개 씨발넘,1
783,개 씨발자슥,1
784,개 자 지,1
785,개 자지,1
786,개 좆,1
787,개 지 랄,1
788,개 후 라 년,1
789,개 후 라 들 놈,1
790,개 후 라 새 끼,1
791,개 후 라년,1
792,개가 튼 년,1
793,개가 튼 뇬,1
794,개가 튼년,1
795,개가 튼뇬,1
796,개가튼 년,1
797,개가튼 뇬,1
798,개가튼년,1
799,개가튼뇬,1
800,개같 은 년,1
801,개같 은년,1
802,개같은 년,1
803,개같은년,1
804,개걸 레,1
805,개걸레,1
806,개고 치,1
807,개고치,1
808,개너 미,1
809,개너미,1
810,개년,1
811,개놈,1
812,개라슥,1
813,개보 지,1
814,개보지,1
815,개보지년,1
816,개부 달,1
817,개부 랄,1
818,개부달,1
819,개부랄,1
820,개불 랄,1
821,개불랄,1
822,개붕알,1
823,개새 끼,1
824,개새끼,1
825,개색기,1
826,개색끼,1
827,개색히,1
828,개쓰래기,1
829,개쓰레기,1
830,개씁년,1
831,개씁블,1
832,개씁자지,1
833,개씨발,1
834,개씨발넘,1
835,개씨발자슥,1
836,개씨블,1
837,개자 지,1
838,개자슥,1
839,개자지,1
840,개작두넘,1
841,개작두년,1
842,개잡년,1
843,개잡지랄,1
844,개젓가튼넘,1
845,개좆,1
846,개지랄,1
847,개지랄넘,1
848,개지랄놈,1
849,개후 라 년,1
850,개후 라 들 놈,1
851,개후 라 들놈,1
852,개후 라 새 끼,1
853,개후 라 새끼,1
854,개후 라년,1
855,개후 라들놈,1
856,개후 라새끼,1
857,개후라 년,1
858,개후라 들 놈,1
859,개후라 들놈,1
860,개후라 새 끼,1
861,개후라 새끼,1
862,개후라년,1
863,개후라들 놈,1
864,개후라들놈,1
865,개후라새 끼,1
866,개후라새끼,1
867,걔잡년,1
868,걔잡지랄,1
869,거 시 기,1
870,거 시기,1
871,거시 기,1
872,거시기,1
873,걸 레 같 은 년,1
874,걸래년,1
875,걸레 같 은 년,1
876,걸레 같 은년,1
877,걸레 같은년,1
878,걸레같 은 년,1
879,걸레같 은년,1
880,걸레같은 년,1
881,걸레같은년,1
882,걸레년,1
883,걸레핀년,1
884,게부럴,1
885,게지랄놈,1
887,귀두,1
888,김일성,1
889,김정일,1
890,깨 쌔 끼,1
891,깨 쌔끼,1
892,깨쌔 끼,1
893,깨쌔끼,1
898,난자마셔,1
899,난자먹어,1
900,난자핥아,1
901,난자핧아,1
902,내 씨 발,1
903,내 씨발,1
904,내꺼빨아,1
905,내꺼핥아,1
906,내꺼핧아,1
907,내미랄,1
908,내버지,1
909,내씨 발,1
910,내씨발,1
911,내자지,1
912,내잠지,1
913,내조지,1
914,너 거 애 비,1
915,너 거 애비,1
916,너거 애 비,1
917,너거 애비,1
918,너거애 비,1
919,너거애비,1
920,누나강간,1
938,느 그 매,1
939,느 그매,1
940,느그 매,1
941,느그매,1
958,니 기 미,1
959,니 기미,1
961,니 미 랄,1
962,니 미 럴,1
963,니 미랄,1
964,니 미럴,1
965,니 애 미,1
966,니 애미,1
967,니기 미,1
968,니기미,1
972,니미 랄,1
973,니미 럴,1
974,니미랄,1
975,니미럴,1
976,니씨브랄,1
977,니아범,1
978,니애 미,1
979,니애미,1
980,니애비,1
981,니에미,1
982,니에비,1
987,니할애비,1
1001,닳은년,1
1002,대 가 리,1
1003,대 가리,1
1004,대가 리,1
1005,대가리,1
1006,덜은새끼,1
1008,돈새끼,1
1010,돌은넘,1
1011,돌은년,1
1012,돌은새끼,1
1013,동생강간,1
1014,뒷 치 기,1
1015,뒷치 기,1
1018,딸 딸 이,1
1019,딸 딸이,1
1020,딸딸 이,1
1021,딸딸이,1
1022,또 라 이,1
1023,또 라이,1
1024,또라 이,1
1025,또라이,1
1027,띠 발 뇬,1
1028,띠 발뇬,1
1030,띠 블 넘,1
1031,띠 블넘,1
1033,띠발 뇬,1
1034,띠발뇬,1
1036,띠블 넘,1
1037,띠블넘,1
1039,막간년,1
1040,막대쑤셔줘,1
1041,막대핥아줘,1
1042,막대핧아줘,1
1043,말자지,1
1044,맛간년,1
1045,맛없는년,1
1046,맛이간년,1
1047,망 나 니,1
1048,망 나니,1
1049,망나 니,1
1051,미 친 넘,1
1052,미 친 년,1
1053,미 친 놈,1
1054,미 친 눔,1
1055,미 친 새 끼,1
1056,미 친 새끼,1
1057,미 친넘,1
1058,미 친년,1
1059,미 친놈,1
1060,미 친눔,1
1061,미 티 넘,1
1062,미 틴 것,1
1063,미친 넘,1
1064,미친 년,1
1065,미친 놈,1
1066,미친 눔,1
1067,미친 새 끼,1
1068,미친 새끼,1
1069,미친구녕,1
1070,미친구멍,1
1071,미친넘,1
1072,미친년,1
1073,미친놈,1
1074,미친눔,1
1075,미친새 끼,1
1076,미친새끼,1
1077,미친쉐이,1
1078,미친씨부랄,1
1079,미틴것,1
1080,미틴넘,1
1081,바주카자지,1
1084,백 보 지,1
1085,백 보지,1
1086,백보 지,1
1087,백보지,1
1088,버따리자지,1
1089,버지 구녕,1
1090,버지 구멍,1
1091,버지 냄새,1
1092,버지 뚫어,1
1093,버지 벌려,1
1094,버지 쑤셔,1
1095,버지구녕,1
1096,버지구멍,1
1097,버지냄새,1
1098,버지따먹기,1
1099,버지뚫어,1
1100,버지뜨더,1
1101,버지물마셔,1
1102,버지벌려,1
1103,버지벌료,1
1104,버지빨아,1
1105,버지빨어,1
1106,버지썰어,1
1107,버지쑤셔,1
1108,버지털,1
1109,버지핥아,1
1110,버지핧아,1
1111,버짓 물,1
1112,버짓물,1
1113,버짓물마셔,1
1114,벌 창 같 은 년,1
1115,벌창 같 은 년,1
1116,벌창 같 은년,1
1117,벌창 같은년,1
1118,벌창같 은 년,1
1119,벌창같 은년,1
1120,벌창같은 년,1
1121,벌창같은년,1
1125,병 신 세 리,1
1126,병 신 세리,1
1127,병 신 셰 리,1
1128,병 신 셰리,1
1132,병신 세 리,1
1133,병신 세리,1
1134,병신 셰 리,1
1135,병신 셰리,1
1136,병신세 리,1
1137,병신세리,1
1138,병신셰 리,1
1139,병신셰리,1
1140,병신씨발,1
1142,보 지 녀,1
1143,보 지 물,1
1144,보 지 빨 아,1
1145,보 지 빨 어,1
1146,보 지 빨아,1
1147,보 지 빨어,1
1148,보 지 털,1
1149,보 지 틀 래 기,1
1150,보 지 핧 아,1
1151,보 지 핧 어,1
1152,보 지 핧아,1
1153,보 지 핧어,1
1154,보 지녀,1
1155,보 지물,1
1156,보 지털,1
1157,보 짓 물,1
1158,보 짓물,1
1160,보지 구녕,1
1161,보지 구멍,1
1162,보지 녀,1
1163,보지 물,1
1164,보지 벌려,1
1165,보지 벌리,1
1166,보지 벌리자,1
1167,보지 빨 아,1
1168,보지 빨 어,1
1169,보지 빨아,1
1170,보지 빨어,1
1171,보지 털,1
1172,보지 털뽑아,1
1173,보지 틀 래 기,1
1174,보지 틀 래기,1
1175,보지 틀래기,1
1176,보지 핧 아,1
1177,보지 핧 어,1
1178,보지 핧아,1
1179,보지 핧어,1
1180,보지구녕,1
1181,보지구멍,1
1182,보지녀,1
1183,보지따먹기,1
1184,보지뚫어,1
1185,보지뜨더,1
1186,보지머리박기,1
1187,보지물,1
1188,보지물마셔,1
1189,보지박어,1
1190,보지벌려,1
1191,보지벌료,1
1192,보지벌리,1
1193,보지벌리자,1
1194,보지보지,1
1195,보지빨 아,1
1196,보지빨 어,1
1197,보지빨아,1
1198,보지빨어,1
1199,보지에자지껴,1
1200,보지에자지너,1
1201,보지자지,1
1202,보지정액,1
1203,보지쥐어짜,1
1204,보지찌져,1
1205,보지찢어,1
1206,보지털,1
1207,보지털뽑아,1
1208,보지털어,1
1209,보지틀 래 기,1
1210,보지틀 래기,1
1211,보지틀래 기,1
1212,보지틀래기,1
1213,보지핥아,1
1214,보지핥아줘,1
1215,보지핥어,1
1216,보지핧 아,1
1217,보지핧 어,1
1218,보지핧아,1
1219,보지핧아줘,1
1220,보지핧어,1
1221,보짓 물,1
1222,보짓물,1
1223,보짓물마셔,1
1226,북조선,1
1240,빙신쉐이,1
1241,빠 구 리,1
1242,빠 구리,1
1243,빠가십새,1
1244,빠가씹새,1
1245,빠구 리,1
1246,빠구리,1
1247,빠굴이,1
1249,뻑큐,1
1250,사 까 시,1
1251,사 까시,1
1252,사까 시,1
1253,사까시,1
1257,성 교 해,1
1258,성 폭 행,1
1259,성 폭행,1
1261,성교 하자,1
1262,성교하자,1
1263,성교해,1
1264,성폭 행,1
1265,성폭행,1
1267,섹스,1
1268,섹스하자,1
1269,섹스해,1
1270,소자지,1
1273,쉬밸년,1
1275,시 발 년,1
1276,시 발 놈,1
1277,시 발 새 끼,1
1278,시 발 새끼,1
1279,시 발년,1
1280,시 발놈,1
1281,시 방 새,1
1282,시 방새,1
1283,시 팔 넘,1
1284,시 팔 년,1
1285,시 팔 놈,1
1286,시 팔 새 끼,1
1287,시 팔 새끼,1
1288,시 팔넘,1
1289,시 팔년,1
1290,시 팔놈,1
1291,시댕이,1
1293,시발 년,1
1294,시발 놈,1
1295,시발 새 끼,1
1296,시발 새끼,1
1297,시발년,1
1298,시발놈,1
1299,시발새 끼,1
1300,시발새끼,1
1301,시방 새,1
1302,시방새,1
1303,시팍새끼,1
1304,시팔 넘,1
1305,시팔 년,1
1306,시팔 놈,1
1307,시팔 새 끼,1
1308,시팔 새끼,1
1309,시팔넘,1
1310,시팔년,1
1311,시팔놈,1
1312,시팔새 끼,1
1313,시팔새끼,1
1316,십 세 이,1
1317,십 세이,1
1318,십 셰 리,1
1319,십 셰리,1
1321,십 팔 새 끼,1
1322,십 팔 새끼,1
1324,십버지,1
1325,십부랄,1
1326,십부럴,1
1328,십세 이,1
1329,십세이,1
1330,십셰 리,1
1331,십셰리,1
1332,십자석,1
1333,십자슥,1
1334,십지랄,1
1335,십창녀,1
1337,십탱구리,1
1338,십탱굴이,1
1339,십팔 새 끼,1
1340,십팔 새끼,1
1341,십팔새 끼,1
1342,십팔새끼,1
1343,싸 가 지,1
1344,싸 가지,1
1345,싸가 지,1
1346,싸가지,1
1349,쌍 보 지,1
1350,쌍 보지,1
1351,쌍 쌍 보 지,1
1352,쌍 쌍 보지,1
1353,쌍년,1
1354,쌍놈,1
1355,쌍보 지,1
1356,쌍보지,1
1357,쌍쌍 보 지,1
1358,쌍쌍 보지,1
1359,쌍쌍보 지,1
1360,쌍쌍보지,1
1365,쌕쓰,1
1367,썅년,1
1368,쓰 바 새 끼,1
1369,쓰 바 새끼,1
1372,쓰바 새 끼,1
1373,쓰바 새끼,1
1374,쓰바새 끼,1
1375,쓰바새끼,1
1378,쓰브랄쉽세,1
1382,씨 발 년,1
1383,씨 발 롬,1
1384,씨 발년,1
1385,씨 발롬,1
1386,씨 뱅 가 리,1
1387,씨 뱅 가리,1
1389,씨 부 랄,1
1390,씨 부랄,1
1391,씨 불 알,1
1392,씨 불알,1
1394,씨 섹 끼,1
1395,씨 섹끼,1
1396,씨 파 넘,1
1397,씨 파넘,1
1399,씨 퐁 넘,1
1400,씨 퐁 뇬,1
1401,씨 퐁 보 지,1
1402,씨 퐁 보지,1
1481,\<africoon\>,0
1482,\<aidsbearer\>,0
1487,\<analcumdrip\>,0
1488,\<analdoctor\>,0
1489,\<aperape\>,0
1491,\<assbandit\>,0
1492,\<assbasher\>,0
1495,\<asshunter\>,0
1496,\<asskiss,0
1498,\<asslick,0
1505,\<assram,0
1509,\<assrape,0
1518,\<biotch\>,0
1520,\<blackanese\>,0
1522,\<blaxican\>,0
1523,\<blowjob\>,0
1524,\<blueball\>,0
1527,\<bonch\>,0
1529,\<boners\>,0
1532,nig+a\>,0
1533,\<bullshirt\>,0
1536,\<buttbang\>,0
1540,\<buttfucker,0
1541,\<buttlick,0
1545,\<buttmonkey\>,0
1546,\<buttmunch,0
1549,\<buttnugget,0
1552,\<buttslam,0
1553,\<buttstain\>,0
1554,\<cameljockey\>,0
1555,\<cann[aio]bis\>,0
1557,\<carpetmuncher,0
1558,\<cheapwhore\>,0
1559,\<chinawhite\>,0
1561,\<chinko\>,0
1563,\<choad\>,0
1565,\<circlejerk\>,0
1566,\<circumcise\>,0
1574,\<cocaine\>,0
1576,\<cocksucker\>,0
1582,\<coon\>,0
1586,\<cracka\>,0
1587,\<crackerass,0
1588,\<crackpipe,0
1591,\<creamtits\>,0
1592,\<crystalmeth\>,0
1594,\<cumboy,0
1596,\<cumbubble,0
1598,\<cumbucket\>,0
1599,\<cumcatcher,0
1601,\<cumdumpster,0
1603,\<cumeater\>,0
1606,\<cumm\>,0
1608,\<cumonmyface\>,0
1609,\<cums\>,0
1610,\<cumshooter,0
1612,\<cumshot,0
1613,\<cumslot,0
1634,\<dankhoe\>,0
1637,\<danknugg,0
1642,\<hashish\>,0
1645,\<heroin\>,0
1650,\<holywanker\>,0
1653,\<honkey\>,0
1655,\<hornytauren\>,0
1657,\<hotslut\>,0
1661,\<hymen\>,0
1679,\<jackoff\>,0
1681,\<kikes\>,0
