ID,SkillID,RaceMask,ClassMask,Flags,MinLevel,SkillTierID,SkillCostIndex
98,374,511,64,16,0,0,0
96,375,511,64,16,0,0,0
30,393,511,1503,32,0,161,0
145,413,511,68,0,40,0,0
146,413,511,3,0,0,0,0
147,414,511,1103,0,0,0,0
148,415,511,1503,0,0,0,0
155,416,511,2,64,0,0,1
271,416,511,400,64,0,0,2
151,416,511,1,64,0,0,0
158,416,511,1088,64,0,0,1
159,416,511,12,64,0,0,1
175,418,511,1,256,0,0,0
270,418,511,72,256,0,0,1
186,418,511,144,256,0,0,1
178,418,511,2,256,0,0,0
183,418,511,1284,256,0,0,1
189,419,511,12,512,0,0,2
193,419,511,144,512,0,0,0
266,419,511,64,512,0,0,1
265,419,511,256,512,0,0,0
200,419,511,1,512,0,0,2
198,419,511,2,512,0,0,1
191,419,511,1024,512,0,0,1
204,420,511,1026,1024,0,0,1
205,420,511,272,1024,0,0,0
203,420,511,13,1024,0,0,2
268,420,511,128,1024,0,0,0
269,420,511,64,1024,0,0,1
246,433,511,67,0,0,0,0
272,453,511,3,0,0,0,0
330,473,511,1101,2,0,0,0
381,493,8,1535,36,0,0,0
403,515,511,1503,0,0,0,0
445,533,128,1503,0,0,181,0
446,533,95,1503,0,0,182,0
461,553,64,1503,0,0,181,0
501,553,4,1503,0,0,182,0
463,554,16,1503,0,0,181,0
464,554,207,1503,0,0,182,0
521,573,511,1024,16,0,0,0
522,574,511,1024,16,0,0,0
541,593,511,256,16,0,0,0
544,594,511,2,16,0,0,0
581,613,511,16,16,0,0,0
601,633,511,8,16,0,0,0
