ID,Name,FileName,SpecialAttachPoint,AreaEffectSize
211,Holy Precast Uber Base,Spells\Holy_Precast_Uber_Base.mdx,4,1
212,Fire ImpactDD High Chest,Spells\Fire_ImpactDD_High_Chest.mdx,0,0
213,Fire ImpactDD High Base,Spells\Fire_ImpactDD_High_Base.mdx,0,1
214,Ice ImpactDD Med Chest,Spells\Ice_ImpactDD_Med_Chest.mdx,4,1
215,Swipe Caster,Spells\SwipeCaster.mdx,4,1
216,Ice ImpactDD Uber Chest,Spells\Ice_ImpactDD_Uber_Chest.mdx,0,1
217,Fire ImpactDD Low Chest,Spells\Fire_ImpactDD_Low_Chest.mdx,0,1
218,Fire ImpactDD Med Chest,Spells\Fire_ImpactDD_Med_Chest.mdx,0,1
219,Fire ImpactDD Uber Base,Spells\Fire_ImpactDD_Uber_Base.mdx,0,1
220,Fire ImpactDD Uber Chest,Spells\Fire_ImpactDD_Uber_Chest.mdx,0,1
221,Ice Precast High Head,Spells\Ice_Precast_High_Head.mdx,10,1
222,Holy ImpactDD High Base,Spells\Holy_ImpactDD_High_Base.mdx,10,1
223,DeathCoil Impact Chest,Spells\DeathCoil_Impact_Chest.mdx,0,1
224,Holy Missile Low,Spells\Holy_Missile_Low.mdx,10,1
225,Holy Missile Med,Spells\Holy_Missile_Med.mdx,10,1
226,Holy Missile High,Spells\Holy_Missile_High.mdx,0,1
227,Holy Missile Uber,Spells\Holy_Missile_Uber.mdx,10,1
228,BloodyExplosion,Spells\BloodyExplosion.mdx,10,1
229,Flamestrike ImpactDD Med Base,Spells\FlameStrike_ImpactDD_Med_Base.mdx,0,1
230,Poison ImpactDot Med Chest,Spells\Poison_ImpactDot_Med_Chest.mdx,10,1
231,Ice Missile Low,Spells\Ice_Missile_Low.mdx,10,1
232,Ice Missile Med,Spells\Ice_Missile_Med.mdx,0,1
233,Ice Missile High,Spells\Frostbolt.mdx,0,1
234,Ice Missile Uber,Spells\Ice_Missile_Uber.mdx,0,1
235,zzOLD__Ice ImpactDOT Low Base,Spells\Ice_ImpactDOT_Low.mdx,10,1
236,Poison StateDot Med Base,Spells\Poison_ImpactDot_Med_Base.mdx,10,1
237,FireStrike Missile Low,Spells\FireStrike_Missile_Low.mdx,0,0
238,FrostArmor Low Head,Spells\FrostArmor_Low_Head.mdx,10,1
239,Shadow ImpactBuff Base,Spells\Shadow_ImpactBuff_Base.mdx,10,1
240,Dispel Low Base,Spells\Dispel_Low_Base.mdx,10,1
241,DemonArmor Impact Head,Spells\DemonArmor_Impact_Head.mdx,10,1
242,Item - Potion Healing,Spells\PotionA_SpellObject.mdx,0,1
243,PotionB SpellObject,Spells\PotionB_SpellObject.mdx,0,1
244,HolyLight Low Head,Spells\HolyLight_Low_Head.mdx,10,1
245,LayonHands Low Chest,Spells\LayonHands_Low_Chest.mdx,10,1
246,LayonHands Low Head,Spells\LayonHands_Low_Head.mdx,10,1
247,HolyWordHeal Base,Spells\HolyWordHeal_Base.mdx,10,1
248,Greater Heal Low Base,Spells\GreaterHeal_Low_Base.mdx,10,1
249,Heal Low Base,Spells\Heal_Low_Base.mdx,10,1
251,Corruption State Base,Spells\Corruption_ImpactDot_Med_Base.mdx,10,1
252,Fire DOT State Chest,Spells\Fire_DOT_State_Chest.mdx,10,1
253,Nullify base,Spells\Nullify_base.mdx,10,1
254,ChainsofIce Low Base,Spells\ChainsofIce_Low_Base.mdx,4,1
255,Sleep State Head,Spells\Sleep_State_Head.mdx,10,1
256,Dynamite Lit,Spells\DynamiteA_SpellObject.mdx,10,1
257,Bomb Explosion,Spells\Bomb_ExplosionA.mdx,4,1
258,Dynamite Missile,Spells\DynamiteA_Missile.mdx,10,1
259,Frost Bolt Missile,Spells\Frostbolt.mdx,0,1
260,SealofMight Low Base,Spells\SealofMight_Low_Base.mdx,10,1
261,BurningSpirit Impact Base,Spells\BurningSpirit_Impact_Base.mdx,0,1
262,DivineShield Low Chest,Spells\DivineShield_Low_Chest.mdx,10,1
263,DivineShield Low Base,Spells\DivineShield_Low_Base.mdx,10,1
264,BurningIntellect Impact Base,Spells\BurningIntellect_Impact_Base.mdx,10,1
265,ArcaneIntellect Impact Base,Spells\ArcaneIntellect_Impact_Base.mdx,0,1
266,Taunt Head,Spells\Taunt_Head.mdx,0,1
267,Conjure Item,Spells\ConjureItem.mdx,0,0
268,Devotion Aura Base,Spells\DevotionAura_Base.mdx,0,1
269,Conjure Item Cast,Spells\ConjureItemCast.mdx,4,1
270,Soul Funnel Impact Chest,Spells\SoulFunnel_Impact_Chest.mdx,0,1
271,Mana Funnel Impact Chest,Spells\ManaFunnel_Impact_Chest.mdx,0,1
272,Magic PreCast Hand,Spells\Magic_PreCast_Hand.mdx,4,1
273,Rake,Spells\Rake.mdx,0,1
274,Anti-Shadow Impact Base,Spells\AntiShadow_Impact_Base.mdx,0,1
276,Bestow Disease Impact Chest,Spells\BestowDisease_Impact_Chest.mdx,0,1
277,Create Soulstone Cast,Spells\CreateSoulstone_Cast.mdx,0,1
278,RetributionAura Base,Spells\RetributionAura_Base.mdx,0,1
279,Resurrection Low Base,Spells\Resurrection_Low_Base.mdx,0,0
280,Polymorph Impact,Spells\Polymorph_Impact.mdx,4,1
281,LightningBolt Impact Chest,Spells\LightningBolt_Impact_Chest.mdx,0,1
282,Frost Nova Area,Spells\Frost_Nova_area.mdx,4,1
284,Frost Nova state,Spells\Frost_Nova_state.mdx,4,1
285,Immolate State,Spells\Immolate_State.mdx,10,1
286,Maul Impact,Spells\MaulImpact.mdx,0,1
287,Fire Precast Hand,Spells\Fire_Precast_Hand.mdx,0,0
288,Fire Cast Hand,Spells\Fire_Cast_Hand.mdx,0,0
289,Harm Undead Aura Base,Spells\HarmUndeadAura_Base.mdx,0,1
290,Maul Cast Base,Spells\MaulCasterBase.mdx,0,1
291,Nature Precast Chest,Spells\Nature_Precast_Chest.mdx,0,0
292,Flamestrike Area,Spells\Flamestrike_Area.mdx,0,1
293,Lightning Cast Hand,Spells\Lightning_Cast_Hand.mdx,0,0
294,HolySmite Low Chest,Spells\HolySmite_Low_Chest.mdx,0,1
296,LightningShield State Base,Spells\LightningShield_State_Base.mdx,0,0
297,Immolate State Base,Spells\Immolate_State_Base.mdx,0,1
298,Life Tap State Chest,Spells\Lifetap_State_Chest.mdx,0,1
299,Smash Impact Chest,Spells\Smash_Impact_Chest.mdx,0,0
300,ShadowWordDominate Chest,Spells\ShadowWordDominate_Chest.mdx,0,1
301,ShadowWordSilence Breath,Spells\ShadowWordSilence_Breath.mdx,0,1
303,Anti-Magic PreCast Hand,Spells\AntiMagic_PreCast_Hand.mdx,0,1
304,Anti-Magic State Base,Spells\AntiMagic_State_Base.mdx,0,1
305,ShadowWordPain Chest,Spells\ShadowWordPain_Chest.mdx,0,1
306,Magic Unlock,Spells\MagicUnlock.mdx,4,1
307,Dark Ritual PreCast Base,Spells\DarkRitual_PreCast_Base.mdx,0,1
308,ShadowWordFumble Head,Spells\ShadowWordFumble_Head.mdx,0,1
309,Detect Invisibility Impact Base,Spells\DetectInvis_Impact_Base.mdx,0,1
310,Detect Invisibility Impact Head,Spells\DetectInvis_Impact_Head.mdx,0,1
311,CurseofWeakness Head,Spells\CurseofWeakness_Head.mdx,0,1
312,CurseofFrailty Head,Spells\CurseofFrailty_Head.mdx,0,1
313,RemoveCurse Base,Spells\RemoveCurse_Base.mdx,0,1
314,NullifyDisease Base,Spells\NullifyDisease_Base.mdx,0,1
315,NullifyPoison Base,Spells\NullifyPoison_Base.mdx,0,1
320,RighteousFury Chest,Spells\RighteousFury_Chest.mdx,0,1
714,Fire Nova Area,Spells\FireNova_Area.mdx,0,0
715,Fire Nova State,Spells\FireNova_State.mdx,0,1
716,Grounding Totem Impact,Spells\GroundingTotem_Impact.mdx,0,0
321,MoltenBlast Impact Chest,Spells\MoltenBlast_Impact_Chest.mdx,0,0
322,zzOLD_Slice and Dice,Particles\SliceDice_Impact_Chest.mdx,10,1
323,Swipe Impact,Spells\SwipeImpact.mdx,0,1
325,Faerie Fire Head State,Spells\FaerieFire.mdx,0,1
326,HolyProtection Chest,Spells\HolyProtection_Chest.mdx,0,1
328,LightningStorm Cloud State,Spells\LightningStorm_Cloud_State.mdx,0,1
330,Shock Missile,Spells\Shock_Missile.mdx,10,1
331,Shock Impact Chest,Spells\Shock_Impact_Chest.mdx,0,0
332,Chainlightning Impact Chest,Spells\ChainLightning_Impact_Chest.mdx,0,0
333,PrayerofHealing Chest,Spells\PrayerofHealing_Chest.mdx,0,1
334,Spirit Armor Impact Head,Spells\SpiritArmor_Impact_Head.mdx,0,0
335,Anti-Holy Impact Base,Spells\AntiHoly_Impact_Base.mdx,0,1
336,RighteousnessAura Base,Spells\RighteousnessAura_Base.mdx,0,1
337,BeastRageCaster,Spells\BeastRageCaster.mdx,0,1
339,BeastRage State Head,Spells\BeastRageState.mdx,0,1
340,Basic Strike,Spells\BasicStrike.mdx,0,1
341,Thorns Base,Spells\Thorns_Base.mdx,0,1
342,Thorns Low Chest,Spells\Thorns_Low_Chest.mdx,0,1
343,Taunt Cast Base,Spells\Taunt_Cast.mdx,0,1
1442,MindBlast Head,Spells\MindBlast_Head.mdx,0,1
345,ChallengingShout Cast Base,Spells\ChallengingShout_Cast_Base.mdx,0,1
346,InnerFire Base,Spells\InnerFire_Base.mdx,0,1
347,Learn Impact Base,Spells\Learn_Impact_Base.mdx,0,1
348,Mark of the Beast Impact Head,Spells\MarkofBeast_Impact_Head.mdx,0,1
349,ThunderClap Cast Base,Spells\ThunderClap_Cast_Base.mdx,4,0
350,Purge Impact Chest,Spells\Purge_Impact_Chest.mdx,0,0
351,Unyielding Will Impact Chest,Spells\Unyielding_Will_Impact_Chest.mdx,0,1
354,Undying Strength Impact Chest,Spells\Undying_Strength_Impact_Chest.mdx,0,1
355,Cyclone State,Spells\Cyclone_State.mdx,0,1
356,Slowing Strike Cast Hand,Spells\SlowingStrike_Cast_Hand.mdx,0,0
357,Slowing Strike Impact Chest,Spells\SlowingStrike_Impact_Chest.mdx,0,0
358,Slowing Strike Impact Base,Spells\SlowingStrike_Impact_Base.mdx,0,0
360,Astral Recall Impact Base,Spells\Astral_Recall_Impact_Base.mdx,0,0
361,Whirlwind Base,Spells\Whirlwind_State_Base.mdx,0,0
362,Arrow Fire,Item\ObjectComponents\Ammo\ArrowFireFlight_01.mdx,0,0
363,Arrow Ice,Item\ObjectComponents\Ammo\ArrowIceFlight_01.mdx,0,0
365,Fireball Missile Low,Spells\Fireball_Missile_Low.mdx,0,1
367,Invisibility Impact Chest,Spells\Invisibility_Impact_Chest.mdx,0,1
368,Recklessness Impact Chest,Spells\Recklessness_Impact_Chest.mdx,0,0
370,CounterSpell Impact Chest,Spells\CounterSpell_Impact_Chest.mdx,0,1
371,ShadowProtection Chest,Spells\ShadowProtection_Chest.mdx,0,0
372,ProtectionFromNature Chest,Spells\ProtectionFromNature_Chest.mdx,0,0
373,ProtectionFromFire Chest,Spells\ProtectionFromFire_Chest.mdx,0,0
374,ResistFrost Chest,Spells\ResistFrost_Chest.mdx,0,0
375,BattleShout Cast Base,Spells\BattleShout_Cast_Base.mdx,0,0
376,IntimidatingShout Cast Base,Spells\IntimidatingShout_Cast_Base.mdx,0,0
377,DemoralizingShout Cast Base,Spells\DemoralizingShout_Cast_Base.mdx,0,0
378,Strike Cast Base,Spells\Strike_Cast_Chest.mdx,0,0
379,FinishingBlow Impact Chest,Spells\Feint_Impact_Chest.mdx,0,0
380,SinisterStrike Base Cast,Spells\SinisterStrike_Base_Cast.mdx,0,0
381,Kick Impact Chest,Spells\Kick_Chest_Impact.mdx,0,1
389,Vanish Cast Base,Spells\Vanish_Cast_Base.mdx,0,0
392,Magic Cast Hand,Spells\Magic_Cast_Hand.mdx,0,1
393,Item - Bread,Spells\Item_Bread.mdx,0,0
394,BackStab Impact Chest,Spells\BackStab_Impact_Chest.mdx,0,1
396,BackStab Cast Base,Spells\BackStab_Cast_Base.mdx,0,1
397,Gouge Precast State Hand,Spells\Gouge_Precast_State_Hand.mdx,0,0
398,Blizzard Impact Base,Spells\Blizzard_Impact_Base.mdx,0,0
399,Arcane Missile,Spells\Arcane_Missile.mdx,0,0
401,Arcane Impact Chest,Spells\Magic_Impact_Chest.mdx,0,0
402,Sap Impact Head,Spells\Sap_Impact_Chest.mdx,0,1
403,Sap Cast Base,Spells\Sap_Cast_Base.mdx,0,1
404,Cheap Shot Impact,Spells\CheapShot_Impact_Chest.mdx,0,0
405,Arcane Missile Lvl 1,Spells\Arcane_Missile_Lvl1.mdx,0,0
406,Arcane Missile Lvl 2,Spells\Arcane_Missile_Lvl2.mdx,0,0
407,Arcane Missile Lvl 3,Spells\Arcane_Missile_Lvl3.mdx,0,0
408,Arcane Missile Lvl 4,Spells\Arcane_Missile_Lvl4.mdx,0,0
409,Polymorph Impact Base,Spells\Polymorph_Impact_Base.mdx,0,0
410,HolyLight Impact Head,Spells\HolyLight_Impact_Head.mdx,0,0
411,Totem Cleansing SpellObject,Spells\TotemB_SpellObject.mdx,0,0
412,HolyWord Fortitude Impact Base,Spells\HolyWord_Fortitude_Impact_Base.mdx,0,0
413,ShadowWordBefuddle Head,Spells\ShadowWordBefuddle_Head.mdx,0,0
414,Renew Base,Spells\Renew_Base.mdx,0,0
415,Renew Chest,Spells\Renew_Chest.mdx,0,0
416,Strike Impact Chest,Spells\Strike_Impact_Chest.mdx,0,1
417,Item - Tankard,Spells\TankardA_SpellObject.mdx,0,0
420,Flamestrike Impact Base,Spells\Flamestrike_Impact_Base.mdx,4,1
421,Ice Cast Low Hand,Spells\Ice_Precast_Low_Hand.mdx,0,1
422,MageArmor Impact Head,Spells\MageArmor_Impact_Head.mdx,0,0
423,Lesser Heal Impact Base,Spells\LesserHeal_Base.mdx,0,0
424,FireShieldFinal Impact Head,Spells\FireShieldFinal_Impact_Head.mdx,0,0
425,FireWard Impact Chest,Spells\FireWard_Impact_Chest.mdx,0,0
426,FrostWard Impact Chest,Spells\FrostWard_Impact_Chest.mdx,0,0
427,Seal Of Might Impact Base,Spells\SealOfMight_Impact_Base.mdx,0,0
428,Seal Of Wrath Impact Base,Spells\SealOfWrath_Impact_Base.mdx,0,0
429,Seal Of Fury Impact Base,Spells\SealOfFury_Impact_Base.mdx,0,1
430,Seal Of Salvation Impact Base,Spells\SealOfSalvation_Impact_Base.mdx,0,0
431,Seal Of Wisdom Impact Base,Spells\SealOfWisdom_Impact_Base.mdx,0,0
432,Seal Of Protection Impact Base,Spells\SealOfProtection_Impact_Base.mdx,0,0
433,MoltenBlast Missile Lvl2,Spells\MoltenBlast_Missile_Lvl2.mdx,0,0
434,MoltenBlast Missile lvl3,Spells\MoltenBlast_Missile_Lvl3.mdx,0,0
435,Healing Aura Base,Spells\HealingAura_Base.mdx,0,1
436,Mind Rot Head Impact,Spells\MindRot_Head.mdx,0,0
437,FarSight Impact Base,Spells\FarSight_Impact_Base.mdx,0,0
1624,Flamestrike Impact,Spells\Flamestrike_Impact.mdx,0,1
1643,Cleave Cast Base,Spells\Cleave_Cast_Base.mdx,0,1
1646,HARDCODED PetLoyalty Down Head,spells\loyaltydown_impact_head.mdx,1,1
438,Purify Base,Spells\Purify_Base.mdx,0,0
439,Turn Undead Cast,Spells\TurnUndead_Impact.mdx,0,0
440,Flare Cast Base,Spells\Flare_Cast_Base.mdx,0,0
441,Resistance Aura Base,Spells\ResistanceAura_Base.mdx,0,1
442,Fist Of Justice Cast,Spells\FistOfJustice_Cast_Base.mdx,0,0
444,Fist of justice Impact chest,Spells\FistOfJustice_Impact_Chest.mdx,0,1
445,Exorcism Impact Chest,Spells\Exorcism_Impact_Chest.mdx,0,0
446,Purge New Impact Chest,Spells\Purge_New_Impact_Chest.mdx,0,0
447,Holy Ward Impact,Spells\HolyWard_Impact_Chest.mdx,0,0
448,Rain Of Fire Impact Base,Spells\RainOfFire_Impact_Base.mdx,0,0
449,Fire Resistance Impact Base,Spells\FireResistance_Impact_Base.mdx,0,0
450,Nature Resistance Impact Base,Spells\NatureResistance_Impact_Base.mdx,0,1
451,ArcaneSpirit Impact Base,Spells\ArcaneSpirit_Impact_Base.mdx,0,0
452,Fear Impact Head,Spells\Fear_Impact_Chest.mdx,0,0
453,Fear State,Spells\Fear_State_Head.mdx,0,0
454,Cleanse Base,Spells\Clense_Base.mdx,0,0
455,BloodBoil_Impact_Chest.mdx,Spells\BloodBoil_Impact_Chest.mdx,0,0
456,Curse Of Tongues Impact Chest,Spells\CurseOfTongues_Impact.mdx,0,0
457,Curse Of Tongues State Chest,Spells\CurseOfTongues_State_Chest.mdx,0,0
458,Cleave Impact Chest,Spells\Cleave_Impact_Chest.mdx,0,1
459,Shadow Ward Impact Chest,Spells\ShadowWard_Impact_Chest.mdx,0,1
460,Shield Wall Impact Base,Spells\ShieldWall_Impact_Base.mdx,0,0
461,SpellBreak Cast Base,Spells\SpellBreak_Cast_Base.mdx,0,0
462,Cripple State Base,Spells\Cripple_State_Base.mdx,0,1
463,Balance Of Nature Impact Base,Spells\BalanceOfNature_Impact_Base.mdx,0,1
464,Demon Breath Impact Head,Spells\DemonBreath_Impact_Head.mdx,0,0
465,Fireworks Red Dots,Spells\Fireworks_Red_01.mdx,4,0
466,Pathfind Cast Head,Spells\Pathfind_Cast_Head.mdx,0,1
467,ManaInfuse State Base,Spells\ManaInfuse_Base.mdx,0,0
468,Waterbreathing Impact Base,Spells\Waterbreathing_Impact_Base.mdx,0,0
469,BeastSoothe State Head,Spells\BeastSoothe_State_Head.mdx,0,0
470,Pestilence Impact Chest,Spells\Pestilence_Impact_Chest.mdx,0,0
474,Cripple Impact Base,Spells\Cripple_Impact_Base.mdx,0,1
475,MarkofWild Impact Head,Spells\MarkofWild_Impact_Head.mdx,0,1
476,BurningSpirit Impact Head,Spells\BurningSpirit_Impact_Head.mdx,0,0
477,Spell Object : Smithing Hammer,Spells\SpellObject_SmithingHammer.mdx,0,0
478,Disarm Impact Chest,Spells\Disarm_Impact_Chest.mdx,0,0
479,Sunder Impact Chest,Spells\Sunder_Impact_Chest.mdx,0,0
480,SavageBlow Impact Chest,Spells\SavageBlow_Impact_Chest.mdx,0,0
481,DecisiveStrike Impact Chest,Spells\DecisiveStrike_Impact_Chest.mdx,0,0
482,Beast Call Impact Head,Spells\BeastCall_Impact_Head.mdx,0,0
502,FireBlast Impact Chest,Spells\FireBlast_Impact_Chest.mdx,0,0
503,Fireball Missile High,Spells\Fireball_Missile_High.mdx,0,0
522,Maim Impact Chest,Spells\Maim_Impact_Chest.mdx,0,0
523,Shot: Fire Missile,Spells\FireShot_Missile.mdx,0,0
524,Shot: Frost Missile,Spells\FrostShot_Missile.mdx,0,0
525,Shot: Blinding Missile,Spells\BlindingShot_Missile.mdx,0,0
526,Blinding Shot Impact Chest,Spells\BlindingShot_Impact.mdx,0,0
527,Multi Shot Impact Chest,Spells\MultiShot_Impact.mdx,0,0
528,Shot: Multi Missile,Spells\MultiShot_Missile.mdx,0,0
529,Maul Cast Bears,Spells\Maul.mdx,11,1
534,Combat Blood Spurt Back Small Red,Particles\BloodSpurts\BloodSpurt.mdx,10,1
535,Combat Blood Spurt Back Small Green,Particles\BloodSpurts\BloodSpurtGreen.mdx,10,1
532,Combat Blood Spurt Front Small Black,Particles\BloodSpurts\BloodSpurtBlack.mdx,11,1
533,Combat Blood Spurt Front Large Black,Particles\BloodSpurts\BloodSpurtBlackLarge.mdx,11,1
536,Combat Blood Spurt Back Small Black,Particles\BloodSpurts\BloodSpurtBlack.mdx,10,1
537,Combat Blood Spurt Back Large Green,Particles\BloodSpurts\BloodSpurtGreenLarge.mdx,10,1
538,Combat Blood Spurt Back Large Black,Particles\BloodSpurts\BloodSpurtBlackLarge.mdx,10,1
539,Curse of Mannoroth Impact Head,Spells\CurseofMannoroth_Head.mdx,0,1
540,ShadowStrike Impact Chest,Spells\ShadowStrike_Impact_Chest.mdx,0,1
542,Sap State Head,Spells\Sap_State_Head.mdx,0,1
543,Demoralizing Shout Impact Head,Spells\DemoralizingShout_Impact_Head.mdx,0,0
544,Intimidating Shout Impact Head,Spells\IntimidatingShout_Impact_Head.mdx,0,0
545,Ribbon Trail,Spells\RibbonTrail.mdx,0,0
546,Sprint Cast Base,Spells\Sprint_Cast_Base.mdx,0,0
547,Inner Rage Impact Chest,Spells\InnerRage_Impact_Chest.mdx,0,0
