"ID","Directory","InstanceType","MapName_enUS","MapName_enGB","MapName_koKR","MapName_frFR","MapName_deDE","MapName_enCN","MapName_zhCN","MapName_enTW","MapName_Mask","MinLevel","MaxLevel","MaxPlayers","Field08","Field09","Field10","AreaTableID","MapDescription0_enUS","MapDescription0_enGB","MapDescription0_koKR","MapDescription0_frFR","MapDescription0_deDE","MapDescription0_enCN","MapDescription0_zhCN","MapDescription0_enTW","MapDescription0_Mask","MapDescription1_enUS","MapDescription1_enGB","MapDescription1_koKR","MapDescription1_frFR","MapDescription1_deDE","MapDescription1_enCN","MapDescription1_zhCN","MapDescription1_enTW","MapDescription1_Mask","LoadingScreenID","RaidOffset","Field16","MinimapIconScale"
"529","PVPZone04","1","Arathi Basin","","","","","","","","2031678","21","60","25","-1","0","0","3358","The Arathi Basin is one of the main staging points of war between the Humans and the Forsaken in Azeroth. The League of Arathor seek to reclaim lost lands for their benefactors in Stormwind, while the Defilers – elite troopers under the watchful eye of Varimathras – seek to sever the vital connection between the Humans and their Dwarven allies to the south.","","","","","","","","2031678","The Arathi Basin is one of the main staging points of war between the Humans and the Forsaken in Azeroth. The League of Arathor seek to reclaim lost lands for their benefactors in Stormwind, while the Defilers – elite troopers under the watchful eye of Varimathras – seek to sever the vital connection between the Humans and their Dwarven allies to the south.","","","","","","","","2031678","183","10","1","1067450368"
"30","PVPZone01","1","Alterac Valley","","","","","","","","2031678","51","60","40","-1","1060991140","1051595899","0","Hidden within the Alterac Mountains, Alterac Valley is the home of Thrall’s own clan of orcs, the Frostwolves. The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches, and links to their ancestral past. The territorial Frostwolves, unwilling to suffer the dwarven incursion, have rallied an army… an army eager for righteous slaughter.","","","","","","","","2031678","Hidden within the Alterac Mountains, Alterac Valley is the home of Thrall’s own clan of orcs, the Frostwolves. The Stormpike dwarves have established a foothold in the valley and seek to plumb its depths for riches, and links to their ancestral past. The territorial Frostwolves, unwilling to suffer the dwarven incursion, have rallied an army… an army eager for righteous slaughter.","","","","","","","","2031678","104","0","0","1065353216"
"429","DireMaul","0","Dire Maul","","","","","","","","2031678","0","0","0","-1","0","0","2557","","","","","","","","","2031644","","","","","","","","","2031644","82","0","1","1065353216"
"489","PVPZone03","1","Warsong Gulch","","","","","","","","2031678","10","60","10","-1","0","0","3277","A valley bordering Ashenvale Forest and the Barrens, Warsong Gulch hosts a constant battle between the Horde and the Alliance. Orcs use their Warsong Mill to cut lumber reaped from Ashenvale, provoking the night elves of Silverwing Hold. Eager to aid their allies, members of every race in Azeroth rush to the Gulch to lend sword, or spell, to the conflict.","","","","","","","","2031678","A valley bordering Ashenvale Forest and the Barrens, Warsong Gulch hosts a constant battle between the Horde and the Alliance. Orcs use their Warsong Mill to cut lumber reaped from Ashenvale, provoking the night elves of Silverwing Hold. Eager to aid their allies, members of every race in Azeroth rush to the Gulch to lend sword, or spell, to the conflict.","","","","","","","","2031678","122","10","1","1065353216"
"169","EmeraldDream","0","Emerald Dream","","","","","","","","2031678","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","0","0","1","1065353216"
"209","TanarisInstance","0","Zul'farrak","","","","","","","","2031678","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","146","0","1","1065353216"
"309","Zul'gurub","0","Zul'gurub","","","","","","","","2031678","0","0","0","-1","0","0","1977","","","","","","","","","2031644","","","","","","","","","2031644","161","0","1","1065353216"
"329","Stratholme","0","Stratholme","","","","","","","","2031678","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","101","0","1","1065353216"
"369","DeeprunTram","0","Deeprun Tram","","","","","","","","2031678","0","0","0","-1","0","0","2257","","","","","","","","","2031644","","","","","","","","","2031644","4","0","1","1065353216"
"389","OrgrimmarInstance","0","OrgrimmarInstance","","","","","","","","2031678","0","0","0","-1","0","0","2437","","","","","","","","","2031644","","","","","","","","","2031644","3","0","1","1065353216"
"0","Azeroth","0","Eastern Kingdoms","","","","","","","","2031678","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031676","4","0","1","1065353216"
"1","Kalimdor","0","Kalimdor","","","","","","","","8323134","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","3","0","1","1065353216"
"13","test","0","Testing","","","","","","","","8323134","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","0","0","1","1065353216"
"25","ScottTest","0","Scott Test","","","","","","","","8323134","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","0","0","1","1065353216"
"29","Test","0","CashTest","","","","","","","","8323134","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","0","0","1","1065353216"
"33","Shadowfang","0","Shadowfang","","","","","","","","8323134","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","42","0","1","1065353216"
"34","StormwindJail","0","StormwindJail","","","","","","","","8323134","0","0","0","-1","0","0","717","","","","","","","","","2031644","","","","","","","","","2031644","23","0","1","1065353216"
"35","StormwindPrison","0","StormwindPrison","","","","","","","","8323134","0","0","0","-1","0","0","717","","","","","","","","","2031644","","","","","","","","","2031644","23","0","1","1065353216"
"36","DeadminesInstance","0","DeadminesInstance","","","","","","","","8323134","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","142","0","1","1065353216"
"37","PVPZone02","1","Azshara Crater","","","","","","","","2031646","10","20","30","0","-978778112","-986431488","0","Crush the Alliance!","","","","","","","","2031678","Defend yourself from the onslaught of the Horde!","","","","","","","","2031679","25","0","1","1065353216"
"42","Collin","0","Collin's Test","","","","","","","","8323134","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","0","0","1","1065353216"
"43","WailingCaverns","0","WailingCavernsInstance","","","","","","","","8323134","0","0","0","-1","0","0","718","","","","","","","","","2031644","","","","","","","","","2031644","143","0","1","1065353216"
"44","Monastery","0","MonasteryInterior","","","","","","","","8323134","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","42","0","1","1065353216"
"47","RazorfenKraulInstance","0","RazorfenKraul","","","","","","","","8323134","0","0","0","-1","0","0","0","","","","","","","","","2031644","","","","","","","","","2031644","25","0","1","1065353216"
