ID,Type[0],Type[1],Type[2],Type[3],Index[0],Index[1],Index[2],Index[3],Skill[0],Skill[1],Skill[2],Skill[3],Action[0],Action[1],Action[2],Action[3]
49,2,0,0,0,2,0,0,0,185,0,0,0,0,0,0,0
50,2,0,0,0,2,0,0,0,205,0,0,0,0,0,0,0
51,2,0,0,0,2,0,0,0,195,0,0,0,0,0,0,0
52,1,2,0,0,3745,1,0,0,0,175,0,0,0,0,0,0
53,1,0,0,0,3930,0,0,0,0,0,0,0,0,0,0,0
54,1,0,0,0,4027,0,0,0,0,0,0,0,0,0,0,0
55,0,2,0,0,0,4,0,0,0,200,0,0,0,0,0,0
56,0,2,2,0,0,5,7,0,0,0,0,0,0,0,0,0
57,0,2,2,0,0,5,6,0,0,0,0,0,0,0,0,0
58,1,0,0,0,4529,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2,2,2,0,1,5,6,0,75,0,0,0,1,0,0,0
61,2,2,2,0,1,5,6,0,100,0,0,0,1,0,0,0
62,2,2,2,0,1,5,6,0,125,0,0,0,1,0,0,0
63,1,0,0,0,4639,0,0,0,0,0,0,0,0,0,0,0
65,1,0,0,0,4750,0,0,0,0,0,0,0,0,0,0,0
67,1,0,0,0,4640,0,0,0,0,0,0,0,0,0,0,0
68,1,2,0,0,4882,1,0,0,0,100,0,0,0,0,0,0
69,1,0,0,0,4986,0,0,0,0,0,0,0,0,0,0,0
70,1,0,0,0,5020,0,0,0,0,0,0,0,0,0,0,0
71,1,0,0,0,5021,0,0,0,0,0,0,0,0,0,0,0
72,1,0,0,0,5059,0,0,0,0,0,0,0,0,0,0,0
73,1,0,0,0,5068,0,0,0,0,0,0,0,0,0,0,0
75,1,0,0,0,5165,0,0,0,0,0,0,0,0,0,0,0
76,1,0,0,0,5185,0,0,0,0,0,0,0,0,0,0,0
77,0,2,2,0,0,10,11,0,0,0,0,0,0,0,2,0
80,1,0,0,0,5338,0,0,0,0,0,0,0,0,0,0,0
81,0,2,2,0,0,10,11,0,0,0,0,0,0,0,2,0
82,2,2,2,0,1,10,11,0,50,0,0,0,1,0,2,0
83,1,0,0,0,5397,0,0,0,0,0,0,0,0,0,0,0
84,1,0,0,0,5396,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
86,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0
88,2,2,0,0,1,10,0,0,50,0,0,0,1,0,0,0
89,1,2,2,0,5475,5,6,0,0,0,0,0,0,0,0,0
90,1,0,0,0,5521,0,0,0,0,0,0,0,0,0,0,0
91,1,0,0,0,5384,0,0,0,0,0,0,0,0,0,0,0
92,1,0,0,0,6893,0,0,0,0,0,0,0,0,0,0,0
93,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0
94,1,0,0,0,5687,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1,2,0,0,5851,1,0,0,0,160,0,0,0,0,0,0
98,1,0,0,0,5868,0,0,0,0,0,0,0,0,0,0,0
99,0,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0
119,1,0,0,0,5916,0,0,0,0,0,0,0,0,0,0,0
139,1,0,0,0,5937,0,0,0,0,0,0,0,0,0,0,0
159,1,0,0,0,6074,0,0,0,0,0,0,0,0,0,0,0
179,0,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0
199,1,1,0,0,6208,6207,0,0,0,0,0,0,0,3,0,0
200,1,1,0,0,6210,6209,0,0,0,0,0,0,0,3,0,0
202,2,2,0,0,1,10,0,0,1,0,0,0,1,0,0,0
203,2,2,2,0,1,10,11,0,1,0,0,0,1,0,2,0
