ID,SkillID,RaceMask,ClassMask,Flags,MinLevel,SkillTierID,SkillCostIndex
34,273,511,4,0,0,0,0
21,293,511,3,4,40,24,0
46,313,64,1503,0,0,0,0
47,313,447,1503,32,0,21,0
52,315,128,1503,0,0,0,0
53,315,383,1503,32,0,21,0
281,333,511,1503,32,0,41,0
104,353,511,256,18,0,0,0
102,354,511,256,16,0,0,0
101,355,511,256,16,0,0,0
27,356,511,1503,32,0,23,0
95,373,511,64,16,0,0,0
98,374,511,64,16,0,0,0
96,375,511,64,16,0,0,0
30,393,511,1503,32,0,161,0
145,413,511,68,4,40,24,0
146,413,511,3,0,0,0,0
147,414,511,1103,0,0,0,0
148,415,511,1503,0,0,0,0
155,416,511,2,64,0,0,1
159,416,511,12,64,0,0,1
158,416,511,1088,64,0,0,1
151,416,511,1,64,0,0,0
271,416,511,400,64,0,0,2
175,418,511,1,256,0,0,0
178,418,511,2,256,0,0,0
183,418,511,1284,256,0,0,1
186,418,511,144,256,0,0,1
270,418,511,72,256,0,0,1
189,419,511,12,512,0,0,2
191,419,511,1024,512,0,0,1
198,419,511,2,512,0,0,1
200,419,511,1,512,0,0,2
265,419,511,256,512,0,0,0
266,419,511,64,512,0,0,1
193,419,511,144,512,0,0,0
204,420,511,1026,1024,0,0,1
269,420,511,64,1024,0,0,1
268,420,511,128,1024,0,0,0
203,420,511,13,1024,0,0,2
205,420,511,272,1024,0,0,0
246,433,511,3,0,0,0,0
248,434,511,79,0,0,0,0
272,453,511,3,0,0,0,0
330,473,511,77,36,0,22,0
331,473,511,1024,36,0,121,0
381,493,8,1535,36,0,0,0
401,513,511,1503,32,0,141,0
402,514,511,1503,32,0,142,0
403,515,511,1503,0,0,0,0
404,516,511,1503,32,0,143,0
405,517,511,1503,32,0,143,0
406,518,511,1503,32,0,143,0
407,519,511,1503,32,0,143,0
445,533,128,1503,32,0,181,0
446,533,95,1503,32,0,182,0
501,553,4,1503,32,0,182,0
461,553,64,1503,32,0,181,0
464,554,207,1503,32,0,182,0
463,554,16,1503,32,0,181,0
