ID,AnimStartTime,EndConditionParam,EndConditionDelay,Speed,OverrideConfigFlags,ParentAnimKitID,AnimID,AnimKitConfigID,SegmentFlags,BlendInTimeMs,BlendOutTimeMs,OrderIndex,StartCondition,StartConditionParam,EndCondition,ForcedVariation,LoopToSegmentIndex,StartConditionDelay
162,0,0,0,1,0,182,0,162,0,0,0,0,0,0,1,0,-1,0
163,0,0,0,1,262144,183,0,162,0,0,0,0,0,0,0,0,-1,0
164,0,0,0,1,524288,183,0,162,0,0,0,1,2,0,1,0,-1,0
165,0,0,0,1,8192,184,202,163,0,0,0,0,0,0,1,0,-1,0
166,0,0,0,1,0,185,201,163,0,0,0,0,0,0,0,0,-1,0
167,0,0,0,1,8192,185,202,163,0,0,0,1,2,0,1,0,-1,0
168,0,0,0,1,0,186,127,165,0,0,0,0,0,0,0,0,-1,0
169,0,0,0,1,0,186,224,164,0,0,0,1,0,0,0,0,-1,0
181,0,0,0,1,0,201,127,181,0,0,0,0,0,0,0,0,-1,0
182,0,0,0,1,0,202,188,182,0,0,0,0,0,0,1,0,-1,0
183,0,0,0,1,0,203,50,182,0,0,0,0,0,0,0,0,-1,0
185,0,0,0,1,4096,204,189,405,0,0,0,0,0,0,0,0,-1,0
186,0,0,0,1,0,205,0,183,0,0,0,0,0,0,0,0,-1,0
187,0,0,0,1,0,206,0,184,32,0,0,0,0,0,1,0,-1,0
201,0,0,0,1,0,221,0,201,0,0,0,0,0,0,0,0,-1,0
202,0,0,0,1,8192,221,0,201,32,0,0,1,2,0,1,0,-1,0
203,0,0,0,1,0,222,0,202,0,0,0,0,0,0,0,0,-1,0
204,0,0,0,1,8192,222,0,202,32,0,0,1,2,0,1,0,1,0
205,0,0,0,1,0,223,0,203,0,0,0,0,0,0,0,0,-1,0
206,0,0,0,1,8192,223,0,203,32,0,0,1,2,0,1,0,-1,0
207,0,0,0,1,0,224,0,202,0,0,0,0,0,0,0,0,-1,0
208,0,0,0,1,8192,224,0,202,32,0,0,1,2,0,1,0,-1,0
209,0,0,0,1,0,224,0,241,0,0,0,2,0,0,0,0,-1,0
210,0,0,0,1,8192,224,0,241,32,0,0,3,2,2,1,0,-1,0
211,0,0,0,1,0,225,0,221,0,0,0,0,0,0,0,0,-1,0
212,0,0,0,1,0,226,0,222,0,0,0,0,0,0,0,0,-1,0
213,0,0,0,1,0,227,0,223,32,0,0,0,0,0,1,0,-1,0
214,0,0,0,1,0,228,0,224,32,0,0,0,0,0,1,0,-1,0
221,0,0,0,1,0,241,0,261,1,0,0,0,0,0,0,0,-1,0
222,0,0,0,1,0,241,464,262,0,0,0,1,2,0,0,0,-1,0
241,0,0,0,1,0,261,0,281,0,0,0,0,0,0,0,0,-1,0
261,0,0,0,1,0,281,0,301,0,0,0,0,0,0,0,0,-1,0
281,0,0,0,1,65536,301,0,321,32,0,0,0,0,0,1,0,-1,0
1870,0,0,0,1,0,1194,0,594,0,0,0,0,0,0,0,0,-1,0
1902,0,0,0,1,0,1206,0,597,32,0,0,0,0,0,1,0,-1,0
1903,0,0,0,1,0,1207,0,596,0,0,0,0,0,0,0,0,-1,0
2201,0,0,0,1,0,1349,0,261,1,0,0,0,0,0,0,0,-1,0
2202,0,0,0,1,0,1349,464,661,0,0,0,1,2,0,0,0,-1,0
2218,0,0,0,1,0,1357,0,663,0,0,0,0,0,0,0,0,-1,0
2219,0,0,0,1,0,1358,0,662,32,0,0,0,0,0,1,0,-1,0
2220,0,0,0,1,0,1359,0,597,32,0,0,0,0,0,1,0,-1,0
2221,0,0,0,1,0,1360,0,596,0,0,0,0,0,0,0,0,-1,0
2588,0,0,0,1,0,1576,149,685,0,0,0,0,0,0,1,0,-1,0
2589,0,0,0,1,0,1577,145,687,1280,0,0,0,0,0,0,0,-1,0
2598,0,0,0,1,0,1584,0,689,0,0,0,0,0,0,0,0,-1,0
2599,0,0,0,1,0,1585,148,688,0,0,0,0,0,0,0,0,-1,0
2603,0,0,0,1,0,1589,157,690,0,0,0,0,0,0,0,0,-1,0
2604,0,0,0,1,0,1590,147,685,0,0,0,0,0,0,1,0,-1,0
2605,0,0,0,1,0,1591,151,685,0,0,0,0,0,0,1,0,-1,0
2606,0,0,0,1,0,1592,146,688,0,0,0,0,0,0,0,0,-1,0
2607,0,0,0,1,0,1593,150,688,0,0,0,0,0,0,0,0,-1,0
2608,0,0,0,1,0,1594,152,688,0,0,0,0,0,0,0,0,-1,0
3072,0,0,0,1,0,1823,0,343,0,0,0,0,0,0,0,0,-1,0
3073,0,0,0,1,0,1823,158,343,0,0,0,1,2,0,1,0,-1,0
3074,0,0,0,1,0,1824,159,343,0,0,0,0,0,0,0,0,-1,0
3227,0,0,0,1,0,1893,157,690,0,0,0,0,0,0,1,0,-1,0
3642,0,0,0,1,73728,2094,0,707,32,0,0,0,0,0,1,0,-1,0
7515,0,0,0,1,0,4113,157,759,16,0,0,0,0,0,1,0,-1,0
8291,0,0,0,1,0,4536,0,102,3874,0,0,0,0,0,1,0,-1,0
8292,0,0,0,1,0,4537,0,102,3874,0,0,0,0,0,1,1,-1,0
8293,0,0,0,1,0,4538,0,102,3874,0,0,0,0,0,1,2,-1,0
8294,0,0,0,1,0,4539,0,102,3874,0,0,0,0,0,1,3,-1,0
9672,0,0,0,1,8192,5102,0,815,0,0,0,0,0,0,0,0,0,0
9676,0,0,0,1,8192,5104,0,816,0,0,0,0,0,0,0,0,0,0
17544,0,0,0,1,0,9179,0,901,0,0,0,0,0,0,0,0,-1,0
18618,0,0,0,1,0,9773,0,893,0,0,0,0,0,0,0,0,-1,0
22393,0,0,0,1,0,11806,0,1017,256,250,0,0,0,0,1,0,0,0
25165,0,0,0,1,65536,13191,0,21,2,0,0,0,0,0,0,0,-1,0
25166,0,0,0,1,8192,13191,0,21,34,0,0,1,2,0,1,0,-1,0
