ID,Flags,ModelName,SizeClass,ModelScale,BloodID,FootprintTextureID,FootprintTextureLength,FootprintTextureWidth,FootprintParticleScale,FoleyMaterialID,FootstepShakeSize,DeathThudShakeSize,SoundID,CollisionWidth,CollisionHeight
18,2,Creature\HUMLMagicSmith\HUMLMagicSmith.mdx,1,1,1,-1,18,12,1,0,0,0,18,2.7E-44,3E-45
19,2,Creature\HUMLMerchant\HUMLMerchant.mdx,1,1,1,-1,18,12,1,0,0,0,19,2.8E-44,3E-45
20,2,Creature\HUMLUpperCitizen\HUMLUpperCitizen.mdx,1,1,1,-1,18,12,1,0,0,0,20,3E-44,3E-45
21,2,Creature\HUMNGuardBig\HUMNGuardBig.mdx,1,1,1,-1,18,12,1,0,0,0,21,3.1E-44,3E-45
22,2,Creature\HUMSCitizenMid\HUMSCitizenMid.mdx,1,1,1,-1,18,12,1,0,0,0,22,3.2E-44,3E-45
23,2,Creature\HUMSMerchant\HUMSMerchant.mdx,1,1,1,-1,18,12,1,0,0,0,23,3.4E-44,3E-45
24,2,Creature\Infernal\Infernal.mdx,1,1,1,-1,18,12,1,0,0,0,24,3.5E-44,3E-45
25,2,Creature\KeeperOfTheGrove\KeeperOfTheGrove.mdx,1,1,1,6,18,12,1,0,0,0,25,3.6E-44,3E-45
26,2,Creature\Kobold\Kobold.mdx,0,1,1,-1,18,12,1,0,0,0,26,3.8E-44,0
27,0,Creature\Kodobeast\KodoBeast.mdx,3,1,1,1,18,12,1,0,1,10,27,3.9E-44,3E-45
28,2,Creature\LavaSpider\LavaSpider.mdx,1,1,1,-1,18,12,1,0,0,0,28,4E-44,3E-45
29,2,Creature\LostOne\LostOne.mdx,1,1,1,-1,18,12,1,0,0,0,29,4.2E-44,3E-45
30,2,Creature\MineSpider\MineSpider.mdx,1,1,2,-1,18,12,1,0,0,0,30,4.3E-44,3E-45
31,2,Creature\Murloc\Murloc.mdx,1,1,1,-1,18,12,1,0,0,0,31,4.5E-44,3E-45
32,2,Creature\Ogre\Ogre.mdx,3,1,1,-1,18,12,1,0,0,0,32,4.6E-44,3E-45
33,2,Creature\OgreMage\OgreMage.mdx,3,1,1,-1,18,12,1,0,0,0,33,4.8E-44,3E-45
34,2,Creature\Raptor\Raptor.mdx,1,1,1,-1,18,12,1,0,0,0,34,4.9E-44,3E-45
35,2,Creature\SeaGiant\SeaGiant.mdx,4,1,1,-1,18,12,1,0,0,0,35,5E-44,3E-45
36,2,Creature\Silithid\Silithid.mdx,1,1,1,-1,18,12,1,0,0,0,36,5.2E-44,3E-45
37,2,Creature\Succubus\Succubus.mdx,1,1,1,-1,18,12,1,0,0,0,37,5.3E-44,3E-45
38,2,Creature\Tallstrider\TallStrider.mdx,1,1,1,-1,18,12,1,0,0,0,38,5.5E-44,3E-45
39,2,Creature\TitanFemale\TitanFemale.mdx,4,1,1,-1,18,12,1,0,0,0,39,5.6E-44,3E-45
40,2,Creature\TitanMale\TitanMale.mdx,3,1,1,1,18,12,1,0,2,12,40,5.7E-44,3E-45
41,2,Creature\Troglodyte\Troglodyte.mdx,1,1,1,4,18,12,1,0,0,0,41,5.9E-44,3E-45
42,2,Creature\Troll\Troll.mdx,1,1,1,1,18,12,1,0,0,0,42,6E-44,0
43,0,Creature\Wolf\Wolf.mdx,1,1,1,7,9,6,1,0,0,0,43,6.2E-44,3E-45
44,2,Creature\Worgen\Worgen.mdx,1,1,1,-1,18,12,1,0,0,0,44,6.3E-44,3E-45
45,2,Creature\Ghoul\Ghoul.mdx,1,1,2,1,18,12,1,0,0,0,45,6.4E-44,3E-45
46,2,Creature\Werewolf\Werewolf.mdx,1,1,1,-1,18,12,1,0,0,0,46,6.6E-44,3E-45
47,2,Creature\DragonSpawn\DragonSpawn.mdx,1,1,1,-1,18,12,1,0,0,0,47,6.7E-44,3E-45
48,2,Creature\Troll\ForestTroll.mdx,1,1,1,0,18,12,1,0,0,0,48,6.9E-44,6E-45
49,4,Character\Human\Male\HumanMale.mdx,1,1,1,1,12,10,1,0,0,0,49,7E-44,6E-45
50,4,Character\Human\Female\HumanFemale.mdx,1,1,1,1,12,10,1,0,0,0,50,7.1E-44,6E-45
51,4,Character\Orc\Male\OrcMale.mdx,1,1,1,1,14,14,1,0,0,0,51,7.3E-44,6E-45
52,4,Character\Orc\Female\OrcFemale.mdx,1,1,1,1,12,11,1,0,0,0,52,7.4E-44,6E-45
53,4,Character\Dwarf\Male\DwarfMale.mdx,1,1,1,1,12,10,1,0,0,0,53,7.6E-44,6E-45
54,4,Character\Dwarf\Female\DwarfFemale.mdx,1,1,1,1,12,10,1,0,0,0,54,7.7E-44,6E-45
55,4,Character\NightElf\Male\NightElfMale.mdx,1,1,1,1,12,10,1,0,0,0,55,7.8E-44,6E-45
56,4,Character\NightElf\Female\NightElfFemale.mdx,1,1,1,1,12,10,1,0,0,0,56,8E-44,6E-45
57,4,Character\Scourge\Male\ScourgeMale.mdx,1,1,2,1,12,10,1,0,0,0,57,8.1E-44,6E-45
58,4,Character\Scourge\Female\ScourgeFemale.mdx,1,1,2,1,12,10,1,0,0,0,58,8.3E-44,6E-45
59,4,Character\Tauren\Male\TaurenMale.mdx,1,1,1,3,22,16,2,0,0,0,59,8.4E-44,6E-45
60,4,Character\Tauren\Female\TaurenFemale.mdx,1,1,1,3,20,14,2,0,0,0,60,8.5E-44,3E-45
61,2,Creature\CarrionBird\CarrionBird.mdx,0,1,1,1,18,12,1,0,0,0,61,8.7E-44,3E-45
62,2,Creature\Hydra\Hydra.mdx,3,1,1,1,18,12,1,0,0,0,62,8.8E-44,3E-45
63,2,Creature\Tarantula\Tarantula.mdx,1,1,1,1,18,12,1,0,0,0,63,9E-44,3E-45
64,2,SoundTest.mdx,1,1,1,1,18,12,1,0,0,0,64,9.1E-44,0
65,0,Creature\Horse\Horse.mdx,1,1,1,6,18,12,1,0,0,0,65,9.2E-44,0
66,0,Creature\Boar\Boar.mdx,0,1,1,3,9,6,1,0,0,0,66,9.4E-44,0
67,0,Creature\AncientProtector\AncientProtector.mdx,3,1,2,3,18,12,1,0,1,11,67,9.5E-44,0
68,0,Creature\DoomGuard\DoomGuard.mdx,1,1,1,3,18,12,1,0,0,0,68,9.7E-44,0
69,0,Creature\ElementalEarth\ElementalEarth.mdx,1,1,1,3,18,12,1,0,0,0,69,9.8E-44,0
70,0,Creature\Skeleton\Skeleton.mdx,1,1,1,1,18,12,1,0,0,0,70,1E-43,0
71,0,Creature\GolemHarvest\GolemHarvest.mdx,1,1,3,1,18,12,1,0,0,0,71,1.01E-43,0
72,0,Creature\GolemHarvestStage2\GolemHarvestStage2.mdx,1,1,3,1,18,12,1,0,0,0,72,1.02E-43,0
73,0,Creature\DireWolf\DireWolf.mdx,1,1,1,7,24,18,1,0,0,0,73,1.04E-43,0
74,0,Creature\HumanMalePeasant\HumanMalePeasant.mdx,1,1,1,4,12,10,1,0,0,0,74,1.05E-43,1E-45
75,1,Creature\WindSerpent\WindSerpent.mdx,1,1,1,5,18,12,1,0,0,0,75,1.06E-43,0
76,0,Creature\Frenzy\Frenzy.mdx,1,1,1,-1,18,12,1,0,0,0,76,1.08E-43,0
77,0,Creature\Dryad\Dryad.mdx,1,1,1,6,18,12,1,0,0,0,77,1.1E-43,0
78,0,Creature\Satyr\Satyr.mdx,1,1,1,3,18,12,1,0,0,0,78,1.11E-43,0
79,0,Creature\HumanMaleKid\HumanMaleKid.mdx,1,1,1,4,18,12,1,0,0,0,79,1.12E-43,0
80,0,Creature\HumanFemaleKid\HumanFemaleKid.mdx,1,1,1,4,18,12,1,0,0,0,80,1.14E-43,0
81,0,Creature\Slime\Slime.mdx,1,1,1,-1,18,12,1,0,0,0,81,1.15E-43,0
82,0,Creature\Tiger\Tiger.mdx,1,1,1,7,18,12,1,0,0,0,82,1.16E-43,0
83,0,Creature\bear\Bear.mdx,1,1,1,7,18,12,1,0,0,0,83,1.18E-43,0
84,0,Creature\GolemStone\GolemStone.mdx,1,1,1,-1,18,12,1,0,0,0,84,1.19E-43,0
85,0,Creature\Wyvern\Wyvern.mdx,1,1,1,-1,18,12,1,0,0,0,85,1.2E-43,0
86,0,Creature\HumanMalePeasant\HumanMalePeasantAxe.mdx,1,1,1,1,18,12,1,0,0,0,86,1.22E-43,0
87,0,Creature\HumanMalePeasant\HumanMalePeasantGold.mdx,1,1,1,1,18,12,1,0,0,0,87,1.23E-43,0
88,0,Creature\HumanMalePeasant\HumanMalePeasantPick.mdx,1,1,1,1,18,12,1,0,0,0,88,1.25E-43,0
89,0,Creature\HumanMalePeasant\HumanMalePeasantWood.mdx,1,1,1,1,18,12,1,0,0,0,89,1.26E-43,0
90,0,Creature\Hippogryph\Hippogryph.mdx,2,1,1,-1,18,12,1,0,0,0,90,1.28E-43,0
91,0,Creature\SilithidTank\SilithidTank.mdx,1,1,1,5,18,12,1,0,0,0,91,1.29E-43,0
92,0,Creature\Silithidwasp\SilithidWasp.mdx,1,1,1,-1,18,12,1,0,0,0,92,1.3E-43,0
93,0,Creature\HumanFemaleBlacksmith\HumanFemaleBlacksmith.mdx,1,1,1,1,18,12,1,0,0,0,93,1.32E-43,0
94,0,Creature\HumanFemaleFarmer\HumanFemaleFarmer.mdx,1,1,1,1,18,12,1,0,0,0,94,1.33E-43,0
95,0,Creature\HumanFemaleMerchantFat\HumanFemaleMerchantFat.mdx,1,1,1,1,18,12,1,0,0,0,95,1.35E-43,0
96,0,Creature\HumanFemaleMerchantThin\HumanFemaleMerchantThin.mdx,1,1,1,1,18,12,1,0,0,0,96,1.36E-43,0
97,0,Creature\HumanFemalePeasant\HumanFemalePeasant.mdx,1,1,1,1,18,12,1,0,0,0,97,1.37E-43,0
98,0,Creature\HumanFemaleWarriorHeavy\HumanFemaleWarriorHeavy.mdx,1,1,1,1,18,12,1,0,0,0,98,1.39E-43,0
99,0,Creature\HumanFemaleWarriorLight\HumanFemaleWarriorLight.mdx,1,1,1,1,18,12,1,0,0,0,99,1.4E-43,0
100,0,Creature\HumanFemaleWarriorMedium\HumanFemaleWarriorMedium.mdx,1,1,1,1,18,12,1,0,0,0,100,1.42E-43,0
101,0,Creature\HumanMaleBlacksmith\HumanMaleBlacksmith.mdx,1,1,1,1,18,12,1,0,0,0,101,1.43E-43,0
102,0,Creature\HumanMaleFarmer\HumanMaleFarmer.mdx,1,1,1,1,18,12,1,0,0,0,102,1.44E-43,0
103,0,Creature\HumanMaleNoble\HumanMaleNoble.mdx,1,1,1,1,18,12,1,0,0,0,103,2.38E-43,1E-45
170,1,Creature\snake\snake.mdx,1,1,1,1,0,0,0,0,0,0,168,2.4E-43,4E-45
171,3,Creature\Wolf\Wolf_ghost.mdx,1,1,-1,7,18,12,1,0,0,0,169,2.41E-43,0
172,0,Creature\Lobstrok\Lobstrok.mdx,2,1,1,1,18,12,1,0,0,0,170,2.42E-43,3E-45
173,2,Creature\SeaTurtle\SeaTurtle.mdx,1,1,1,1,18,12,1,0,0,0,171,2.44E-43,0
174,0,Creature\SkeletonMage\SkeletonMage.mdx,1,1,-1,-1,18,12,1,0,0,0,172,2.45E-43,1E-45
175,1,Creature\FaerieDragon\FaerieDragon.mdx,1,1,1,-1,18,12,1,0,0,0,173,2.47E-43,0
176,0,Creature\Goblin\GoblinShredder.mdx,1,1,-1,1,18,12,1,0,0,0,174,2.48E-43,4E-45
177,3,Creature\FaerieDragon\FaerieDragon_Ghost.mdx,1,1,-1,-1,18,12,1,0,0,0,175,2.5E-43,0
178,0,Creature\cockroach\Cockroach.mdx,0,1,-1,-1,4,3,1,0,0,0,176,2.52E-43,0
180,0,Creature\bear\Bear.mdx,1,1,1,1,18,12,1,0,3,12,83,2.54E-43,0
181,0,Creature\Spells\StasisTotem.mdx,1,1,-1,-1,18,12,1,0,0,0,177,2.55E-43,6E-45
182,4,Character\Gnome\Male\GnomeMale.mdx,1,1,1,1,12,10,1,0,0,0,294,2.56E-43,6E-45
183,4,Character\Gnome\Female\GnomeFemale.mdx,1,1,1,1,12,10,1,0,0,0,295,2.59E-43,6E-45
185,4,Character\Troll\Male\TrollMale.mdx,1,1,1,1,12,10,1,0,0,0,296,2.6E-43,6E-45
186,4,Character\Troll\Female\TrollFemale.mdx,1,1,1,1,12,10,1,0,0,0,297,2.62E-43,0
187,0,Creature\AncientOfLore\AncientofLore.mdx,4,1,-1,1,18,12,1,0,11,2,178,2.63E-43,0
188,0,Creature\AncientOfWar\AncientofWar.mdx,4,1,-1,1,18,12,1,0,2,11,179,2.66E-43,0
190,0,Creature\Spells\Serpent_Totem.mdx,1,1,-1,-1,0,0,0,0,0,0,180,2.68E-43,0
191,0,Creature\ThunderLizard\ThunderLizard.mdx,3,1,1,7,18,12,1,0,0,0,181,2.69E-43,0
192,0,Creature\Hyena\Hyena.mdx,1,1,1,7,18,12,1,0,0,0,182,2.7E-43,0
193,0,Creature\Shark\Shark.mdx,1,1,1,-1,0,0,0,0,0,0,183,2.72E-43,0
194,0,Creature\Stag\Stag.mdx,1,1,1,6,18,12,1,0,0,0,184,2.73E-43,0
195,0,Creature\MountedKnight\MountedKnight.mdx,1,1,1,6,0,0,0,0,0,0,185,2.75E-43,4E-45
196,3,Creature\DwarfMaleWarriorLight\DwarfMaleWarriorLight_Ghost.mdx,1,1,-1,1,0,0,0,0,0,0,115,2.76E-43,0
197,0,Creature\Gazelle\Gazelle.mdx,1,1,1,3,0,0,0,0,0,0,186,2.77E-43,0
198,0,Creature\giraffe\Giraffe.mdx,1,1,1,3,0,0,0,0,0,0,187,2.79E-43,4E-45
199,3,Creature\Spells\MonsterLure01.mdx,1,1,-1,-1,18,12,1,0,0,0,188,1.46E-43,0
104,0,Creature\HumanMaleWarriorHeavy\HumanMaleWarriorHeavy.mdx,1,1,1,1,18,12,1,0,0,0,104,1.47E-43,0
105,0,Creature\HumanMaleWarriorMedium\HumanMaleWarriorMedium.mdx,1,1,1,1,18,12,1,0,0,0,105,1.49E-43,0
106,0,Creature\HumanMaleWizard\HumanMaleWizard.mdx,1,1,1,1,18,12,1,0,0,0,106,1.5E-43,0
107,0,Creature\HumanMaleWarriorLight\HumanMaleWarriorLight.mdx,1,1,1,1,18,12,1,0,0,0,107,1.51E-43,0
108,0,Creature\HumanMaleCaster\HumanMaleCaster.mdx,1,1,1,1,18,12,1,0,0,0,108,1.53E-43,0
109,0,Creature\HumanFemaleCaster\HumanFemaleCaster.mdx,1,1,1,1,18,12,1,0,0,0,109,1.54E-43,0
110,0,Creature\WaterElemental\WaterElemental.mdx,1,1,1,-1,18,12,1,0,0,0,110,1.56E-43,0
111,0,Creature\Chicken\Chicken.mdx,0,1,1,5,18,12,1,0,0,0,111,1.57E-43,0
112,0,Creature\OrcMaleWarriorLight\OrcMaleWarriorLight.mdx,1,1,1,1,18,12,1,0,0,0,112,1.58E-43,0
113,0,Creature\OrcMaleMerchantLight\OrcMaleMerchantLight.mdx,1,1,1,1,18,12,1,0,0,0,113,1.6E-43,0
114,0,Creature\Rabbit\Rabbit.mdx,0,1,1,7,4,3,1,0,0,0,114,1.61E-43,0
115,0,Creature\DwarfMaleWarriorLight\DwarfMaleWarriorLight.mdx,1,1,1,1,18,12,1,0,0,0,115,1.63E-43,0
116,0,Creature\Troll\TrollJungleCaster.mdx,1,1,-1,4,18,12,1,0,0,0,116,1.64E-43,0
117,0,Creature\Troll\TrollJungleBoss.mdx,1,1,-1,4,18,12,1,0,0,0,117,1.65E-43,0
118,0,Creature\Troll\TrollWhelp.mdx,1,1,-1,4,18,12,1,0,0,0,118,1.67E-43,0
119,0,Creature\Troll\TrollMelee.mdx,1,1,-1,4,18,12,1,0,0,0,119,1.68E-43,0
120,0,Creature\Troll\TrollForestBoss.mdx,1,1,-1,4,18,12,1,0,0,0,120,1.7E-43,0
121,0,Creature\Troll\TrollForestCaster.mdx,1,1,-1,4,18,12,1,0,0,0,121,1.71E-43,0
122,0,Creature\GnollCaster\GnollCaster.mdx,1,1,-1,7,18,12,1,0,0,0,122,1.72E-43,0
123,0,Creature\GnollMelee\GnollMelee.mdx,1,1,-1,7,18,12,1,0,0,0,123,1.74E-43,0
124,0,Creature\Deer\Deer.mdx,1,1,-1,3,18,12,1,0,0,0,124,1.75E-43,0
125,0,Creature\HumanMaleMarshal\HumanMaleMarshal.mdx,1,1,-1,1,18,12,1,0,0,0,125,1.77E-43,0
126,0,Creature\HumanMaleGuard\HumanMaleGuard.mdx,1,1,-1,1,18,12,1,0,0,0,126,1.78E-43,0
127,0,Creature\HumanMalePirateCaptain\HumanMalePirateCaptain.mdx,1,1,-1,1,18,12,1,0,0,0,127,1.8E-43,0
128,0,Creature\HumanMalePirateCrewman\HumanMalePirateCrewman.mdx,1,1,-1,4,18,12,1,0,0,0,128,1.81E-43,0
129,0,Creature\HumanMalePirateSwashbuckler\HumanMalePirateSwashbuckler.mdx,1,1,-1,1,18,12,1,0,0,0,129,1.82E-43,0
130,0,Creature\Dreadlord\DreadLord.mdx,1,1,-1,3,18,12,1,0,0,0,130,1.84E-43,0
131,0,Creature\Gnome\Gnome.mdx,1,1,-1,1,18,12,1,0,0,0,131,1.85E-43,0
132,0,Creature\Crab\Crab.mdx,0,1,-1,5,18,12,1,0,0,0,132,1.86E-43,0
133,0,Creature\threshadon\Threshadon.mdx,1,1,-1,-1,18,12,1,0,0,0,133,1.88E-43,0
134,0,Creature\Squirrel\Squirrel.mdx,0,1,-1,7,9,6,1,0,0,0,134,1.9E-43,0
136,0,Creature\Gorilla\Gorilla.mdx,0,1,1,4,18,12,1,0,0,0,135,1.92E-43,3E-45
137,2,Creature\Crocodile\Crocodile.mdx,0,1,-1,5,18,12,1,0,0,0,136,1.95E-43,0
139,0,Creature\Felhound\FelHound.mdx,0,1,1,5,16.2,10.8,1,0,0,0,138,1.96E-43,0
140,0,Creature\Sheep\Sheep.mdx,0,1,1,3,18,12,1,0,0,0,139,1.98E-43,0
141,0,Creature\Ent\Ent.mdx,0,1,2,5,18,12,1,0,0,0,140,1.99E-43,4E-45
142,3,Creature\Frog\Frog.mdx,0,1,-1,4,18,12,1,0,0,0,141,2E-43,0
143,0,Creature\Horse\Horse.mdx,0,1,-1,6,18,12,1,0,0,0,65,2.02E-43,4E-45
144,3,Creature\Banshee\Banshee.mdx,0,1,-1,4,18,12,1,0,0,0,142,2.03E-43,0
145,0,Creature\Quillboar\QuillBoar.mdx,0,1,-1,3,18,12,1,0,0,0,143,2.05E-43,0
146,0,Creature\Wendigo\Wendigo.mdx,0,1,1,-1,18,12,1,0,0,0,144,2.06E-43,0
147,0,Creature\Gryphon\Gryphon.mdx,2,1,1,-1,18,12,1,0,0,0,145,2.07E-43,3E-45
148,2,Creature\SteamTank\IronForgeSteamTankWolf.mdx,0,1,-1,5,18,12,1,0,0,0,146,2.09E-43,0
149,0,Creature\GolemHarvestStage2\GolemHarvestStage2.mdx,0,1,-1,1,0,0,0,0,0,0,147,2.1E-43,0
150,0,Creature\TempDeathGuard\DeathGuard.mdx,1,1,1,1,18,12,1,0,0,0,148,2.12E-43,0
151,0,Creature\TempScarletCrusaderLight\ScarletCrusaderLight.mdx,1,1,1,1,18,12,1,0,0,0,149,2.13E-43,0
152,0,Creature\TempScarletCrusaderHeavy\ScarletCrusaderHeavy.mdx,1,1,1,1,18,12,1,0,0,0,150,2.17E-43,0
155,0,Creature\Cow\Cow.mdx,1,1,1,-1,18,12,1,0,0,0,153,2.19E-43,0
156,0,Creature\FleshGolem\FleshGolem.mdx,2,1,-1,-1,18,12,1,0,0,0,154,2.2E-43,0
157,0,Creature\DraeneiBattleguard\DraeneiBattleguard.mdx,1,1,1,-1,18,12,1,0,0,0,155,2.21E-43,0
158,0,Creature\DraeneiGladiator\DraeneiGladiator.mdx,1,1,1,-1,18,12,1,0,0,0,156,2.23E-43,0
159,0,Creature\DraeneiProphet\DraeneiProphet.mdx,1,1,-1,-1,18,12,1,0,0,0,157,2.24E-43,4E-45
160,3,Creature\FireElemental\FireElemental.mdx,1,1,-1,-1,18,12,1,0,0,0,158,2.26E-43,0
161,0,Creature\PrarieDog\PrarieDog.mdx,1,1,1,7,18,12,1,0,0,0,159,2.27E-43,0
162,0,Creature\VoidWalker\VoidWalker.mdx,1,1,2,1,18,12,1,0,0,0,162,2.28E-43,0
163,0,Creature\OrcMaleWarriorHeavy\OrcMaleWarriorHeavy.mdx,1,1,1,1,18,12,1,0,0,0,163,2.3E-43,0
164,0,Creature\Goblin\Goblin.mdx,1,1,2,-1,18,12,1,0,0,0,164,2.31E-43,0
165,0,Creature\Rat\Rat.mdx,1,1,1,5,18,12,1,0,0,0,165,2.33E-43,4E-45
166,3,Creature\HumanMalePirateCrewman\HumanMalePirateCrewman.mdx,1,1,-1,4,18,12,1,0,0,0,128,2.34E-43,0
167,0,Creature\Zombie\ZombieArm.mdx,1,1,2,1,18,12,1,0,0,0,166,2.35E-43,0
168,0,Creature\Zombie\Zombie.mdx,1,1,2,1,18,12,1,0,0,0,167,2.37E-43,0
169,0,Creature\HumanMalePirateCaptain\HumanMalePirateCaptain.mdx,1,1,-1,-1,18,12,1,0,0,0,127,2.82E-43,0
201,0,Creature\FelBat\FelBat.mdx,1,1,1,-1,18,12,1,0,0,0,189,2.83E-43,0
202,0,Creature\Spells\HealingTotem.mdx,1,1,-1,-1,0,0,0,0,0,0,190,2.84E-43,0
203,0,Creature\Dragon\Dragon.mdx,4,1,1,5,18,12,1,0,3,12,191,2.86E-43,0
204,0,Creature\TitanMale\TitanMale_Ghost.mdx,1,1,-1,4,0,0,0,0,0,0,192,2.87E-43,0
205,0,Creature\MountainGiant\MountainGiant.mdx,3,1,-1,1,18,12,1,0,3,12,193,2.89E-43,0
206,0,Creature\SeaGiant\SeaGiant.mdx,1,1,-1,1,0,0,0,0,3,12,35,2.9E-43,4E-45
207,3,Creature\Wisp\Wisp.mdx,1,1,-1,-1,18,12,1,0,0,0,194,2.93E-43,0
209,0,Creature\Hippogryph\Hippogryph.mdx,1,1,1,-1,18,12,1,0,0,0,90,2.94E-43,0
210,0,Creature\Lion\Lion.mdx,1,1,1,7,18,12,1,0,0,0,196,2.97E-43,0
212,0,Creature\Unicorn\Unicorn.mdx,1,1,1,6,18,12,1,0,0,0,197,2.98E-43,0
213,0,Creature\DruidBear\DruidBear.mdx,1,1,1,7,18,12,1,0,0,0,83,3E-43,0
214,0,Creature\DruidBear\DruidBearTauren.mdx,1,1,1,7,18,12,1,0,0,0,83,3.01E-43,0
215,0,Creature\Nightmare\Nightmare.mdx,1,1,1,6,18,12,1,0,0,0,65,3.03E-43,0
