ID,RaceID,ClassID,SexID,OutfitID,ItemID[0],ItemID[1],ItemID[2],ItemID[3],ItemID[4],ItemID[5],ItemID[6],ItemID[7],ItemID[8],ItemID[9],ItemID[10],ItemID[11],ItemID[12],ItemID[13],ItemID[14],ItemID[15],ItemID[16],ItemID[17],ItemID[18],ItemID[19],ItemID[20],ItemID[21],ItemID[22],ItemID[23],DisplayItemID[0],DisplayItemID[1],DisplayItemID[2],DisplayItemID[3],DisplayItemID[4],DisplayItemID[5],DisplayItemID[6],DisplayItemID[7],DisplayItemID[8],DisplayItemID[9],DisplayItemID[10],DisplayItemID[11],DisplayItemID[12],DisplayItemID[13],DisplayItemID[14],DisplayItemID[15],DisplayItemID[16],DisplayItemID[17],DisplayItemID[18],DisplayItemID[19],DisplayItemID[20],DisplayItemID[21],DisplayItemID[22],DisplayItemID[23],InventoryType[0],InventoryType[1],InventoryType[2],InventoryType[3],InventoryType[4],InventoryType[5],InventoryType[6],InventoryType[7],InventoryType[8],InventoryType[9],InventoryType[10],InventoryType[11],InventoryType[12],InventoryType[13],InventoryType[14],InventoryType[15],InventoryType[16],InventoryType[17],InventoryType[18],InventoryType[19],InventoryType[20],InventoryType[21],InventoryType[22],InventoryType[23]
10,1,8,0,0,56,1395,55,35,6096,2070,159,0,6948,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12647,9924,9929,472,2163,6353,18084,-1,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,7,8,17,4,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,1,8,1,0,56,1395,55,35,6096,2070,159,0,6948,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12647,9924,9929,472,2163,6353,18084,-1,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,7,8,17,4,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,1,9,0,0,57,6097,1396,2092,59,0,4604,159,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12645,2470,3260,6442,3261,-1,15852,18084,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,4,7,13,8,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
40,1,9,1,0,57,6097,1396,2092,59,0,4604,159,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12645,2470,3260,6442,3261,-1,15852,18084,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,4,7,13,8,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,2,1,0,0,6125,139,140,6948,12282,0,117,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9995,9988,9992,6418,22291,-1,2473,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,7,8,0,17,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
41,2,1,1,0,6125,139,140,6948,12282,0,117,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9995,9988,9992,6418,22291,-1,2473,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,7,8,0,17,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,2,3,0,0,127,6126,6127,159,37,6948,2101,2504,117,2512,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9996,10002,10003,18084,14029,6418,21328,8106,2473,5996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,7,8,0,21,0,18,15,0,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
42,2,3,1,0,127,6126,6127,159,37,6948,2101,2504,117,2512,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9996,10002,10003,18084,14029,6418,21328,8106,2473,5996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,7,8,0,21,0,18,15,0,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,2,4,0,0,2105,120,121,25861,2092,117,0,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10005,10006,10008,20777,6442,2473,-1,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,7,8,25,13,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
43,2,4,1,0,2105,120,121,25861,2092,117,0,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10005,10006,10008,20777,6442,2473,-1,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,7,8,25,13,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
354,2,6,0,0,34652,34655,34659,34650,34661,34653,34649,34651,34656,34648,34657,34658,38145,38145,38145,38145,38147,-1,-1,-1,-1,-1,-1,-1,49736,49876,49738,49735,49742,49740,49731,49737,49732,49734,6539,963,1282,1282,1282,1282,963,-1,-1,-1,-1,-1,-1,-1,1,3,16,5,17,9,10,6,7,8,2,11,18,18,18,18,11,-1,-1,-1,-1,-1,-1,-1
355,2,6,1,0,34652,34655,34659,34650,34661,34653,34649,34651,34656,34648,34657,34658,38145,38145,38145,38145,38147,-1,-1,-1,-1,-1,-1,-1,49736,49876,49738,49735,49742,49740,49731,49737,49732,49734,6539,963,1282,1282,1282,1282,963,-1,-1,-1,-1,-1,-1,-1,1,3,16,5,17,9,10,6,7,8,2,11,18,18,18,18,11,-1,-1,-1,-1,-1,-1,-1
19,2,7,0,0,154,153,6948,0,36,117,159,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10058,10050,6418,-1,5194,2473,18084,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,7,0,-1,21,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
45,2,7,1,0,154,153,6948,0,36,117,159,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10058,10050,6418,-1,5194,2473,18084,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,7,0,-1,21,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,2,9,0,0,6129,1396,59,2092,6948,117,159,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12646,3260,3261,6442,6418,2473,18084,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,7,8,13,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
46,2,9,1,0,6129,1396,59,2092,6948,117,159,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12646,3260,3261,6442,6418,2473,18084,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,7,8,13,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,3,1,0,0,38,39,40,0,12282,6948,117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9891,9892,10141,-1,22291,6418,2473,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,7,8,-1,17,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
47,3,1,1,0,38,39,40,0,12282,6948,117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9891,9892,10141,-1,22291,6418,2473,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,7,8,-1,17,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,3,2,0,0,6117,6118,43,0,2361,4540,159,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9972,9974,9938,-1,8690,6399,18084,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,7,8,-1,17,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
48,3,2,1,0,6117,6118,43,0,2361,4540,159,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9972,9974,9938,-1,8690,6399,18084,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,7,8,-1,17,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,3,3,0,0,148,147,129,0,37,159,2102,2508,2516,117,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9976,9975,9977,-1,14029,18084,1816,6606,5998,2473,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,7,8,-1,21,0,18,26,24,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
49,3,3,1,0,148,147,129,0,37,159,2102,2508,2516,117,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9976,9975,9977,-1,14029,18084,1816,6606,5998,2473,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,7,8,-1,21,0,18,26,24,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
288,3,4,0,0,2092,49,48,47,0,4540,25861,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6442,9906,9913,9915,-1,6399,20777,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,4,7,8,-1,0,25,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
289,3,4,1,0,2092,49,48,47,0,4540,25861,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6442,9906,9913,9915,-1,6399,20777,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,4,7,8,-1,0,25,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,3,5,0,0,6098,53,52,51,36,159,4540,0,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12679,9944,9945,9946,5194,18084,6399,-1,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,4,7,8,21,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
50,3,5,1,0,6098,53,52,51,36,159,4540,0,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12679,9944,9945,9946,5194,18084,6399,-1,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,4,7,8,21,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
356,3,6,0,0,34652,34655,34659,34650,34661,34653,34649,34651,34656,34648,34657,34658,38145,38145,38145,38145,38147,-1,-1,-1,-1,-1,-1,-1,49736,49876,49738,49735,49742,49740,49731,49737,49732,49734,6539,963,1282,1282,1282,1282,963,-1,-1,-1,-1,-1,-1,-1,1,3,16,5,17,9,10,6,7,8,2,11,18,18,18,18,11,-1,-1,-1,-1,-1,-1,-1
357,3,6,1,0,34652,34655,34659,34650,34661,34653,34649,34651,34656,34648,34657,34658,38145,38145,38145,38145,38147,-1,-1,-1,-1,-1,-1,-1,49736,49876,49738,49735,49742,49740,49731,49737,49732,49734,6539,963,1282,1282,1282,1282,963,-1,-1,-1,-1,-1,-1,-1,1,3,16,5,17,9,10,6,7,8,2,11,18,18,18,18,11,-1,-1,-1,-1,-1,-1,-1
35,3,8,0,0,6116,1395,6096,35,55,0,159,4540,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12648,9924,2163,472,9929,-1,18084,6399,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,7,4,17,8,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
52,3,8,1,0,6116,1395,6096,35,55,0,159,4540,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12648,9924,2163,472,9929,-1,18084,6399,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,7,4,17,8,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,4,1,0,0,25,6120,6121,6122,2362,117,0,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1542,9983,9984,9985,18730,2473,-1,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,4,7,8,14,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
53,4,1,1,0,25,6120,6121,6122,2362,117,0,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1542,9983,9984,9985,18730,2473,-1,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,4,7,8,14,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,4,3,0,0,2092,148,147,129,159,2504,2101,2512,117,0,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6442,9976,9975,9977,18084,8106,21328,5996,2473,-1,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,4,7,8,0,15,18,24,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
54,4,3,1,0,2092,148,147,129,159,2504,2101,2512,117,0,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6442,9976,9975,9977,18084,8106,21328,5996,2473,-1,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,4,7,8,0,15,18,24,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,4,4,0,0,2092,49,48,47,4540,0,28979,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6442,9906,9913,9915,6399,-1,40187,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,4,7,8,0,-1,25,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
55,4,4,1,0,2092,49,48,47,4540,0,28979,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6442,9906,9913,9915,6399,-1,40187,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,4,7,8,0,-1,25,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,4,5,0,0,36,6119,52,51,53,2070,159,0,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5194,12681,9945,9946,9944,6353,18084,-1,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,20,7,8,4,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
56,4,5,1,0,36,6119,52,51,53,2070,159,0,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5194,12681,9945,9946,9944,6353,18084,-1,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,20,7,8,4,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
358,4,6,0,0,34652,34655,34659,34650,34661,34653,34649,34651,34656,34648,34657,34658,38145,38145,38145,38145,38147,-1,-1,-1,-1,-1,-1,-1,49736,49876,49738,49735,49742,49740,49731,49737,49732,49734,6539,963,1282,1282,1282,1282,963,-1,-1,-1,-1,-1,-1,-1,1,3,16,5,17,9,10,6,7,8,2,11,18,18,18,18,11,-1,-1,-1,-1,-1,-1,-1
359,4,6,1,0,34652,34655,34659,34650,34661,34653,34649,34651,34656,34648,34657,34658,38145,38145,38145,38145,38147,-1,-1,-1,-1,-1,-1,-1,49736,49876,49738,49735,49742,49740,49731,49737,49732,49734,6539,963,1282,1282,1282,1282,963,-1,-1,-1,-1,-1,-1,-1,1,3,16,5,17,9,10,6,7,8,2,11,18,18,18,18,11,-1,-1,-1,-1,-1,-1,-1
286,4,11,0,0,3661,6123,6124,159,4536,0,6948,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18530,12683,9987,18084,6410,-1,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,20,7,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
287,4,11,1,0,3661,6123,6124,159,4536,0,6948,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18530,12683,9987,18084,6410,-1,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,20,7,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,5,1,0,0,6125,139,140,25,2362,4604,0,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9995,9988,9992,1542,18730,15852,-1,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,7,8,21,14,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
58,5,1,1,0,6125,139,140,25,2362,4604,0,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9995,9988,9992,1542,18730,15852,-1,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,7,8,21,14,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,5,4,0,0,2092,2105,120,121,4604,0,25861,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6442,10005,10006,10008,15852,-1,20777,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,4,7,8,0,-1,25,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
59,5,4,1,0,2092,2105,120,121,4604,0,25861,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6442,10005,10006,10008,15852,-1,20777,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,4,7,8,0,-1,25,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
32,5,5,0,0,6144,53,52,36,4604,159,51,0,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12680,9944,9945,5194,15852,18084,9946,-1,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,4,7,21,0,0,8,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
60,5,5,1,0,6144,53,52,36,4604,159,51,0,6948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12680,9944,9945,5194,15852,18084,9946,-1,6418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,4,7,21,0,0,8,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
360,5,6,0,0,34652,34655,34659,34650,34661,34653,34649,34651,34656,34648,34657,34658,38145,38145,38145,38145,38147,-1,-1,-1,-1,-1,-1,-1,49736,49876,49738,49735,49742,49740,49731,49737,49732,49734,6539,963,1282,1282,1282,1282,963,-1,-1,-1,-1,-1,-1,-1,1,3,16,5,17,9,10,6,7,8,2,11,18,18,18,18,11,-1,-1,-1,-1,-1,-1,-1
361,5,6,1,0,34652,34655,34659,34650,34661,34653,34649,34651,34656,34648,34657,34658,38145,38145,38145,38145,38147,-1,-1,-1,-1,-1,-1,-1,49736,49876,49738,49735,49742,49740,49731,49737,49732,49734,6539,963,1282,1282,1282,1282,963,-1,-1,-1,-1,-1,-1,-1,1,3,16,5,17,9,10,6,7,8,2,11,18,18,18,18,11,-1,-1,-1,-1,-1,-1,-1
