ID,Achievement_ID,Type,Asset_ID,Quantity,Start_event,Start_asset,Fail_event,Fail_asset,Description_lang[0],Description_lang[1],Description_lang[2],Description_lang[3],Description_lang[4],Description_lang[5],Description_lang[6],Description_lang[7],Description_lang[8],Description_lang[9],Description_lang[10],Description_lang[11],Description_lang[12],Description_lang[13],Description_lang[14],Description_lang[15],Description_lang_mask
17,2,3,7,20,0,0,0,0,Level to 20 as a Shaman. [PH],,,,,,,,,,,,,,,,16711752
18,2,3,8,20,0,0,0,0,Level to 20 as a Mage. [PH],,,,,,,,,,,,,,,,16711752
19,2,3,9,20,0,0,0,0,Level to 20 as a Warlock. [PH],,,,,,,,,,,,,,,,16711752
20,2,3,11,20,0,0,0,0,Level to 20 as a Druid. [PH],,,,,,,,,,,,,,,,16711752
21,3,4,0,80,0,0,0,0,Level to 80 as Alliance. [PH],,,,,,,,,,,,,,,,16711752
22,3,4,1,80,0,0,0,0,Level to 80 as Horde. [PH],,,,,,,,,,,,,,,,16711752
23,4,3,1,80,0,0,0,0,Level to 80 as a Warrior. [PH],,,,,,,,,,,,,,,,16711752
24,4,3,2,80,0,0,0,0,Level to 80 as a Paladin. [PH],,,,,,,,,,,,,,,,16711752
25,4,3,3,80,0,0,0,0,Level to 80 as a Hunter. [PH],,,,,,,,,,,,,,,,16711752
26,4,3,4,80,0,0,0,0,Level to 80 as a Rogue. [PH],,,,,,,,,,,,,,,,16711752
27,4,3,5,80,0,0,0,0,Level to 80 as a Priest. [PH],,,,,,,,,,,,,,,,16711752
28,4,3,6,80,0,0,0,0,Level to 80 as a Death Knight. [PH],,,,,,,,,,,,,,,,16711752
29,4,3,7,80,0,0,0,0,Level to 80 as a Shaman. [PH],,,,,,,,,,,,,,,,16711752
30,4,3,8,80,0,0,0,0,Level to 80 as a Mage. [PH],,,,,,,,,,,,,,,,16711752
31,4,3,9,80,0,0,0,0,Level to 80 as a Warlock. [PH],,,,,,,,,,,,,,,,16711752
32,4,3,11,80,0,0,0,0,Level to 80 as a Druid. [PH],,,,,,,,,,,,,,,,16711752
33,5,5,0,15,1,1,1,0,Level to 15 without dying. [PH],,,,,,,,,,,,,,,,16711752
34,6,5,0,10,0,0,0,0,Reach level 10. [PH],,,,,,,,,,,,,,,,16711752
35,7,5,0,20,0,0,0,0,Reach level 20. [PH],,,,,,,,,,,,,,,,16711752
36,8,5,0,30,0,0,0,0,Reach level 30. [PH],,,,,,,,,,,,,,,,16711752
37,9,5,0,40,0,0,0,0,Reach level 40. [PH],,,,,,,,,,,,,,,,16711752
38,10,5,0,50,0,0,0,0,Reach level 50. [PH],,,,,,,,,,,,,,,,16711752
39,11,5,0,60,0,0,0,0,Reach level 60. [PH],,,,,,,,,,,,,,,,16711752
40,12,5,0,70,0,0,0,0,Reach level 70. [PH],,,,,,,,,,,,,,,,16711752
41,13,5,0,80,0,0,0,0,Reach level 80. [PH],,,,,,,,,,,,,,,,16711752
42,14,5,0,55,0,0,0,0,Reach level 55. [PH],,,,,,,,,,,,,,,,16711752
43,15,6,0,10,0,0,0,0,Collect 10 flavor pets. [PH],,,,,,,,,,,,,,,,16711752
44,16,7,162,400,0,0,0,0,Reach 400 unarmed skill. [PH],,,,,,,,,,,,,,,,16711752
45,17,7,173,400,0,0,0,0,Reach 400 daggers skill. [PH],,,,,,,,,,,,,,,,16711752
46,18,7,55,400,0,0,0,0,Reach 400 two-handed sword skill. [PH],,,,,,,,,,,,,,,,16711752
47,19,7,44,400,0,0,0,0,Reach 400 axes. [PH],,,,,,,,,,,,,,,,16711752
48,20,7,172,400,0,0,0,0,Reach 400 two-handed axes. [PH],,,,,,,,,,,,,,,,16711752
49,21,7,54,400,0,0,0,0,Reach 400 maces. [PH],,,,,,,,,,,,,,,,16711752
50,22,7,160,400,0,0,0,0,Reach 400 two-handed maces. [PH],,,,,,,,,,,,,,,,16711752
51,23,7,229,400,0,0,0,0,Reach 400 polearms. [PH],,,,,,,,,,,,,,,,16711752
52,24,7,136,400,0,0,0,0,Reach 400 staves. [PH],,,,,,,,,,,,,,,,16711752
53,25,7,46,400,0,0,0,0,Reach 400 gun. [PH],,,,,,,,,,,,,,,,16711752
54,26,7,226,400,0,0,0,0,Reach 400 Crossbow. [PH],,,,,,,,,,,,,,,,16711752
55,27,7,45,400,0,0,0,0,Reach 400 Bow. [PH],,,,,,,,,,,,,,,,16711752
56,28,7,228,400,0,0,0,0,Reach 400 wand. [PH],,,,,,,,,,,,,,,,16711752
57,29,7,43,400,0,0,0,0,Reach 400 sword. [PH],,,,,,,,,,,,,,,,16711752
58,30,8,16,1,0,0,0,0,Achieve level unarmed to 400. [PH],,,,,,,,,,,,,,,,16711752
59,30,8,17,1,0,0,0,0,Achieve level daggers to 400. [PH],,,,,,,,,,,,,,,,16711752
60,30,8,18,1,0,0,0,0,Achieve level two-handed swords to 400. [PH],,,,,,,,,,,,,,,,16711752
61,30,8,19,1,0,0,0,0,Achieve level axes to 400. [PH],,,,,,,,,,,,,,,,16711752
62,30,8,20,1,0,0,0,0,Achieve level two-handed axes to 400. [PH],,,,,,,,,,,,,,,,16711752
63,30,8,21,1,0,0,0,0,Achieve level maces to 400. [PH],,,,,,,,,,,,,,,,16711752
64,30,8,22,1,0,0,0,0,Achieve level two-handed maces to 400. [PH],,,,,,,,,,,,,,,,16711752
65,30,8,23,1,0,0,0,0,Achieve level polearms to 400. [PH],,,,,,,,,,,,,,,,16711752
66,30,8,24,1,0,0,0,0,Achieve level staves to 400. [PH],,,,,,,,,,,,,,,,16711752
67,30,8,25,1,0,0,0,0,Achieve level guns to 400. [PH],,,,,,,,,,,,,,,,16711752
68,30,8,26,1,0,0,0,0,Achieve level crossbows to 400. [PH],,,,,,,,,,,,,,,,16711752
69,30,8,27,1,0,0,0,0,Achieve level bows to 400. [PH],,,,,,,,,,,,,,,,16711752
70,30,8,28,1,0,0,0,0,Achieve level wands to 400. [PH],,,,,,,,,,,,,,,,16711752
71,30,8,29,1,0,0,0,0,Achieve level swords to 400. [PH],,,,,,,,,,,,,,,,16711752
72,31,10,0,5,2,0,2,0,Do a daily quest every day. [PH],,,,,,,,,,,,,,,,16711752
73,32,9,0,2000,0,0,0,0,"Complete 2,000 Quests. [PH]",,,,,,,,,,,,,,,,16711752
74,33,11,3537,10,0,0,0,0,Complete 10 Borean Tundra quests. [PH],,,,,,,,,,,,,,,,16711752
75,34,11,495,10,0,0,0,0,Complete 10 Howling Fjord quests. [PH],,,,,,,,,,,,,,,,16711752
76,35,11,65,10,0,0,0,0,Complete 10 Dragonblight quests. [PH],,,,,,,,,,,,,,,,16711752
77,36,11,66,10,0,0,0,0,Complete 10 Zul'Drak Quests. [PH],,,,,,,,,,,,,,,,16711752
78,37,11,394,10,0,0,0,0,Complete 10 Grizzly Hills Quests. [PH],,,,,,,,,,,,,,,,16711752
79,38,11,67,10,0,0,0,0,Complete 10 Storm Peaks Quests. [PH],,,,,,,,,,,,,,,,16711752
80,39,11,3711,10,0,0,0,0,Complete 10 Scholozar Basin quests. [PH],,,,,,,,,,,,,,,,16711752
81,40,11,210,10,0,0,0,0,Complete 10 Icecrown Glacier quests. [PH],,,,,,,,,,,,,,,,16711752
82,41,8,33,1,0,0,0,0,Complete 10 Borean Tundra quests. [PH],,,,,,,,,,,,,,,,16711752
83,41,8,34,1,0,0,0,0,Complete 10 Howling Fjord quests. [PH],,,,,,,,,,,,,,,,16711752
84,41,8,35,1,0,0,0,0,Complete 10 Dragonblight quests. [PH],,,,,,,,,,,,,,,,16711752
85,41,8,36,1,0,0,0,0,Complete 10 Zul'Drak Quests. [PH],,,,,,,,,,,,,,,,16711752
86,41,8,37,1,0,0,0,0,Complete 10 Grizzly Hills Quests. [PH],,,,,,,,,,,,,,,,16711752
87,41,8,38,1,0,0,0,0,Complete 10 Storm Peaks Quests. [PH],,,,,,,,,,,,,,,,16711752
88,41,8,39,1,0,0,0,0,Complete 10 Scholozar Basin quests. [PH],,,,,,,,,,,,,,,,16711752
89,41,8,40,1,0,0,0,0,Complete 10 Icecrown Glacier quests. [PH],,,,,,,,,,,,,,,,16711752
90,42,12,0,1,0,0,0,0,Explore Azeroth. [PH],,,,,,,,,,,,,,,,16711744
91,43,12,1,1,0,0,0,0,Explore Kalimdor. [PH],,,,,,,,,,,,,,,,16711744
92,44,12,530,1,0,0,0,0,Explore Outland. [PH],,,,,,,,,,,,,,,,16711744
93,45,12,571,1,0,0,0,0,Explore Northrend. [PH],,,,,,,,,,,,,,,,16711744
94,46,8,42,1,0,0,0,0,Explore Azeroth. [PH],,,,,,,,,,,,,,,,16711744
95,46,8,43,1,0,0,0,0,Explore Kalimdor. [PH],,,,,,,,,,,,,,,,16711744
96,46,8,44,1,0,0,0,0,Explore Outland. [PH],,,,,,,,,,,,,,,,16711744
97,46,8,45,1,0,0,0,0,Explore Northrend. [PH],,,,,,,,,,,,,,,,16711744
