ID,Faction,Instance_ID,Supercedes,Title_lang[0],Title_lang[1],Title_lang[2],Title_lang[3],Title_lang[4],Title_lang[5],Title_lang[6],Title_lang[7],Title_lang[8],Title_lang[9],Title_lang[10],Title_lang[11],Title_lang[12],Title_lang[13],Title_lang[14],Title_lang[15],Title_lang_mask,Description_lang[0],Description_lang[1],Description_lang[2],Description_lang[3],Description_lang[4],Description_lang[5],Description_lang[6],Description_lang[7],Description_lang[8],Description_lang[9],Description_lang[10],Description_lang[11],Description_lang[12],Description_lang[13],Description_lang[14],Description_lang[15],Description_lang_mask,Category,Points,Ui_order,Flags,IconID,Reward_lang[0],Reward_lang[1],Reward_lang[2],Reward_lang[3],Reward_lang[4],Reward_lang[5],Reward_lang[6],Reward_lang[7],Reward_lang[8],Reward_lang[9],Reward_lang[10],Reward_lang[11],Reward_lang[12],Reward_lang[13],Reward_lang[14],Reward_lang[15],Reward_lang_mask,Minimum_criteria,Shares_criteria
218,-1,30,0,Alterac Valley Victory,,,,,,,,,,,,,,,,16711750,Win Alterac Valley.,,,,,,,,,,,,,,,,16711750,14801,5,1,0,2839,,,,,,,,,,,,,,,,,16711748,0,0
208,-1,566,0,Eye of the Storm Victory,,,,,,,,,,,,,,,,16711750,Win Eye of the Storm.,,,,,,,,,,,,,,,,16711750,14803,5,1,0,1931,,,,,,,,,,,,,,,,,16711748,0,0
397,-1,-1,0,Step Into The Arena,,,,,,,,,,,,,,,,16711750,Win a ranked arena match.,,,,,,,,,,,,,,,,16711750,165,10,1,0,368,,,,,,,,,,,,,,,,,16711748,0,0
238,-1,-1,0,An Honorable Kill,,,,,,,,,,,,,,,,16711782,Achieve an honorable kill.,,,,,,,,,,,,,,,,16711782,95,5,1,0,2896,,,,,,,,,,,,,,,,,16711748,0,0
377,-1,-1,0,Total factions at Exalted,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16711775,147,0,1,1,4,,,,,,,,,,,,,,,,,16711748,0,0
328,-1,-1,0,Total gold acquired,,,,,,,,,,,,,,,,16711790,,,,,,,,,,,,,,,,,16711775,140,0,1,1,4,,,,,,,,,,,,,,,,,16711748,0,0
273,-1,-1,0,On Metzen!,,,,,,,,,,,,,,,,16711748,Save Metzen the Reindeer.,,,,,,,,,,,,,,,,16711748,156,5,1,0,2784,,,,,,,,,,,,,,,,,16711748,1,0
647,-1,543,0,Hellfire Ramparts,,,,,,,,,,,,,,,,16712038,Defeat the leaders of Hellfire Ramparts.,,,,,,,,,,,,,,,,16711748,14805,5,1,0,2770,,,,,,,,,,,,,,,,,16711748,0,0
629,-1,389,0,Ragefire Chasm,,,,,,,,,,,,,,,,16712006,Kill Taragaman the Hungerer.,,,,,,,,,,,,,,,,16711748,14808,5,1,0,1983,,,,,,,,,,,,,,,,,16711748,0,0
839,-1,-1,0,Battlegrounds played,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,4294967295,153,0,1,1,1,,,,,,,,,,,,,,,,,16711748,0,0
829,-1,-1,0,Largest heal received,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16715844,142,0,1,0,1,,,,,,,,,,,,,,,,,16711748,0,0
837,-1,-1,0,Arenas won,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16715844,152,0,1,1,1,,,,,,,,,,,,,,,,,16711748,0,0
796,-1,-1,0,Resurrected by priests,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16715844,127,0,1,0,1,,,,,,,,,,,,,,,,,16711748,0,0
788,-1,-1,0,Number of groups formed,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16715844,149,0,1,0,1,,,,,,,,,,,,,,,,,16711748,0,0
384,-1,-1,0,Most killing blows in one Battleground,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16711775,137,0,1,1,4,,,,,,,,,,,,,,,,,16711748,0,0
1068,-1,542,0,Keli'dan the Breaker kills (The Blood Furnace),,,,,,,,,,,,,,,,16711680,,,,,,,,,,,,,,,,,16711680,14822,5,1,1,541,,,,,,,,,,,,,,,,,16711680,0,0
1091,-1,36,0,Edwin VanCleef kills (Deadmines),,,,,,,,,,,,,,,,16711680,,,,,,,,,,,,,,,,,16711680,14821,5,1,1,2692,,,,,,,,,,,,,,,,,16711680,0,0
1058,-1,-1,0,Total kills that grant experience or honor,,,,,,,,,,,,,,,,16711680,,,,,,,,,,,,,,,,,16711680,128,0,1,1,1,,,,,,,,,,,,,,,,,16711680,0,0
1057,-1,-1,0,Deaths in 2v2,,,,,,,,,,,,,,,,16711680,,,,,,,,,,,,,,,,,16711680,123,0,1,1,1,,,,,,,,,,,,,,,,,16711680,0,0
1156,-1,-1,0,Test Pets Chared Criteria <NYI>,,,,,,,,,,,,,,,,8323072,Please don't delete this.  I will do it shortly.,,,,,,,,,,,,,,,,8323072,81,0,1,0,1,,,,,,,,,,,,,,,,,8323072,0,1016
1149,-1,-1,0,Total talent tree respecs,,,,,,,,,,,,,,,,8323072,,,,,,,,,,,,,,,,,8323072,130,0,1,1,1,,,,,,,,,,,,,,,,,8323072,0,0
90,-1,-1,0,Number of Guilds,,,,,,,,,,,,,,,,16711788,,,,,,,,,,,,,,,,,16711756,150,0,1,1,0,,,,,,,,,,,,,,,,,16711748,0,0
131,-1,-1,0,Journeyman in First Aid,,,,,,,,,,,,,,,,16711782,Become a journeyman in first aid.,,,,,,,,,,,,,,,,16711782,172,5,1,0,504,,,,,,,,,,,,,,,,,16711748,0,0
42,-1,-1,0,Explore Eastern Kingdoms,,,,,,,,,,,,,,,,16711750,Explore the regions of Eastern Kingdoms.,,,,,,,,,,,,,,,,16711750,97,25,1,0,2762,,,,,,,,,,,,,,,,,16711748,0,0
805,-1,-1,0,Highest attribute,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16715844,143,0,1,1,1,,,,,,,,,,,,,,,,,16711748,0,0
344,-1,-1,0,Bandages used,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16711775,145,0,1,9,4,,,,,,,,,,,,,,,,,16711748,0,0
972,-1,-1,0,Trick or Treat!,,,,,,,,,,,,,,,,16711748,Receive a handful of a candy from one of the candy buckets located in an inn.,,,,,,,,,,,,,,,,16711748,158,5,1,0,2652,,,,,,,,,,,,,,,,,16711748,0,0
477,-1,574,0,Utgarde Keep,,,,,,,,,,,,,,,,16712006,Kill all of the bosses in Utgrade Keep.,,,,,,,,,,,,,,,,16711748,14806,5,1,0,2813,,,,,,,,,,,,,,,,,16711748,0,0
932,-1,-1,0,Total 5-player dungeons entered,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16715844,14807,0,1,1,1,,,,,,,,,,,,,,,,,16711748,0,0
776,-1,-1,0,Explore Elwynn Forest,,,,,,,,,,,,,,,,16711750,"Explore Elwynn Forest, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,16711748,14777,5,1,0,1491,,,,,,,,,,,,,,,,,16711748,0,0
1184,-1,-1,0,Strange Brew,,,,,,,,,,,,,,,,0,Drink 15 of the Brewfest beers listed below.,,,,,,,,,,,,,,,,0,162,5,1,0,1780,,,,,,,,,,,,,,,,,0,0,0
263,-1,-1,0,Ice the Frost Lord,,,,,,,,,,,,,,,,8323072,Slay Ahune in the Slave Pens.,,,,,,,,,,,,,,,,16711748,161,5,1,0,94,,,,,,,,,,,,,,,,,16711748,0,0
935,-1,-1,0,Kel'Thuzad attempts,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16715844,14823,0,1,0,1,,,,,,,,,,,,,,,,,16711748,0,0
588,1,-1,0,Total Honorable Kills,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16715844,136,0,1,1,1,,,,,,,,,,,,,,,,,16711748,0,0
335,-1,-1,0,Most epic items owned at one time,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16711775,191,0,1,1,4,,,,,,,,,,,,,,,,,16711748,0,0
360,-1,-1,0,Max number of friends,,,,,,,,,,,,,,,,16711790,,,,,,,,,,,,,,,,,16711775,148,0,1,1,4,,,,,,,,,,,,,,,,,16711748,0,0
321,-1,-1,0,Total dungeon deaths,,,,,,,,,,,,,,,,16711790,,,,,,,,,,,,,,,,,16711775,125,0,1,1,4,,,,,,,,,,,,,,,,,16711748,0,0
862,-1,-1,0,Explore Hellfire Peninsula,,,,,,,,,,,,,,,,16711750,"Explore  Hellfire Peninsula, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,16711748,14779,5,1,0,184,,,,,,,,,,,,,,,,,16711748,0,0
728,-1,-1,0,Explore Durotar,,,,,,,,,,,,,,,,16711750,"Explore Durotar, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,16711748,14778,5,1,0,1490,,,,,,,,,,,,,,,,,16711748,0,0
522,-1,-1,0,Somebody Likes Me,,,,,,,,,,,,,,,,16711748,Raise a reputation to Exalted.,,,,,,,,,,,,,,,,16711748,201,5,1,0,1879,,,,,,,,,,,,,,,,,16711748,0,0
548,-1,-1,0,Max distance fallen without dying,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16711748,134,0,1,1,1,,,,,,,,,,,,,,,,,16711748,0,0
281,-1,-1,0,Current alchemy skill,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16711756,173,0,1,1,1,,,,,,,,,,,,,,,,,16711748,0,0
260,-1,-1,0,Heartmender,,,,,,,,,,,,,,,,16711744,Mend 20 broken hearts with Unbestowed Friendship Bracelets.,,,,,,,,,,,,,,,,16711748,187,5,1,0,1853,,,,,,,,,,,,,,,,,16711748,0,0
248,-1,-1,0,Sunday's Finest,,,,,,,,,,,,,,,,8323072,Discover the White Tuxedo Shirt and Black Tuxedo Pants by opening brightly colored eggs during the Noble Garden celebration.,,,,,,,,,,,,,,,,16711684,159,5,1,0,2316,,,,,,,,,,,,,,,,,16711748,0,0
232,-1,-1,0,Darkmoon Dealer <PH> <nyi>,,,,,,,,,,,,,,,,16711748,Complete a Darkmoon Deck.,,,,,,,,,,,,,,,,16711750,157,10,1,0,4,,,,,,,,,,,,,,,,,16711748,0,0
126,-1,-1,0,Journeyman Fisherman,,,,,,,,,,,,,,,,16711750,Become a journeyman fisherman.,,,,,,,,,,,,,,,,16711750,171,5,1,0,580,,,,,,,,,,,,,,,,,16711748,0,0
116,-1,-1,0,Professional Journeyman,,,,,,,,,,,,,,,,16711748,Become a journeyman in a profession.,,,,,,,,,,,,,,,,16711750,169,5,1,0,2846,,,,,,,,,,,,,,,,,16711748,1,0
107,-1,-1,0,Enemy creatures killed,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16711748,135,0,1,1,4,,,,,,,,,,,,,,,,,16711748,0,0
98,-1,-1,0,Quests completed,,,,,,,,,,,,,,,,16712038,,,,,,,,,,,,,,,,,16711756,133,0,1,1,0,,,,,,,,,,,,,,,,,16711748,0,0
154,-1,529,0,Arathi Basin Victory,,,,,,,,,,,,,,,,16711750,Win Arathi Basin.,,,,,,,,,,,,,,,,16711750,14802,5,1,0,1156,,,,,,,,,,,,,,,,,16711748,0,0
57,-1,30,0,Deaths in Alterac Valley,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16711748,124,0,1,1,1,,,,,,,,,,,,,,,,,16711748,0,0
167,-1,489,166,Warsong Gulch Veteran,,,,,,,,,,,,,,,,16711750,Complete 100 victories in Warsong Gulch.,,,,,,,,,,,,,,,,16711750,14804,10,2,0,2835,,,,,,,,,,,,,,,,,16711748,0,0
177,-1,-1,0,Highest enchanting skill,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16711775,176,0,2,1,4,,,,,,,,,,,,,,,,,16711748,0,0
288,-1,-1,0,Out With It,,,,,,,,,,,,,,,,16711684,Eat so many tricky treats that you get an upset tummy.,,,,,,,,,,,,,,,,16711748,158,5,2,0,97,,,,,,,,,,,,,,,,,16711748,0,0
91,-1,-1,0,Time spent in longest Guild,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16711756,150,0,2,1,0,,,,,,,,,,,,,,,,,16711748,0,0
1125,-1,-1,0,Bandage used most,,,,,,,,,,,,,,,,8323072,,,,,,,,,,,,,,,,,8323072,145,0,2,17,4,,,,,,,,,,,,,,,,,8323072,0,0
1107,-1,-1,0,Deaths in 3v3,,,,,,,,,,,,,,,,16711680,,,,,,,,,,,,,,,,,16711680,123,0,2,1,1,,,,,,,,,,,,,,,,,16711680,0,0
1069,-1,557,0,Nexus-Prince Shaffar kills (Mana Tombs),,,,,,,,,,,,,,,,16711680,,,,,,,,,,,,,,,,,16711680,14822,5,2,1,1677,,,,,,,,,,,,,,,,,16711680,0,0
1092,-1,33,0,Archmage Arugal kills (Shadowfang Keep),,,,,,,,,,,,,,,,16711680,,,,,,,,,,,,,,,,,16711680,14821,5,2,1,2126,,,,,,,,,,,,,,,,,16711680,0,0
1103,-1,-1,0,Total 5-player dungeons completed (final boss killed),,,,,,,,,,,,,,,,16711680,,,,,,,,,,,,,,,,,16711680,14807,0,2,1,1,,,,,,,,,,,,,,,,,16711680,0,0
927,-1,-1,0,Most epics worn at one time,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,4294967295,191,0,2,1,1,,,,,,,,,,,,,,,,,16711748,0,0
95,-1,-1,0,Average quests completed per day,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16711756,133,0,2,1,0,,,,,,,,,,,,,,,,,16711748,0,0
122,-1,-1,121,Expert Cook,,,,,,,,,,,,,,,,16712006,Become an expert cook.,,,,,,,,,,,,,,,,16711750,170,5,2,0,1467,,,,,,,,,,,,,,,,,16711748,0,0
1022,1,-1,0,Flame Warden of Eastern Kingdoms,,,,,,,,,,,,,,,,16711748,Honor the flames of Eastern Kingdoms.,,,,,,,,,,,,,,,,16711748,161,5,2,0,1923,,,,,,,,,,,,,,,,,16711684,0,0
954,-1,-1,0,What is a Feat of Strength?,,,,,,,,,,,,,,,,16711716,"A Feat of Strength is an accomplishment that players will find either very difficult if not impossible to earn. Worth no points, Feats of Strength are a collection of past glories on Azeroth.",,,,,,,,,,,,,,,,16711684,81,0,2,0,1833,,,,,,,,,,,,,,,,,16711748,0,0
936,-1,-1,0,Kel'Thuzad kills,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16715844,14823,0,2,0,1,,,,,,,,,,,,,,,,,16711748,0,0
1185,-1,-1,0,The Brewfest Diet,,,,,,,,,,,,,,,,0,Eat 8 of the Brewfest foods listed below.,,,,,,,,,,,,,,,,0,162,5,2,0,2996,,,,,,,,,,,,,,,,,0,0,0
789,-1,-1,0,Number of 40-person groups,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16715844,149,0,2,0,1,,,,,,,,,,,,,,,,,16711748,0,0
127,-1,-1,126,Expert Fisherman,,,,,,,,,,,,,,,,16711778,Become an expert fisherman.,,,,,,,,,,,,,,,,16711778,171,5,2,0,580,,,,,,,,,,,,,,,,,16711748,0,0
863,-1,-1,0,Explore Zangarmarsh,,,,,,,,,,,,,,,,16711750,"Explore Zangarmarsh, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,16711748,14779,5,2,0,2878,,,,,,,,,,,,,,,,,16711748,0,0
731,-1,-1,116,Professional Expert,,,,,,,,,,,,,,,,16711746,Become an expert in a profession.,,,,,,,,,,,,,,,,16711746,169,5,2,0,2846,,,,,,,,,,,,,,,,,16711748,1,0
627,-1,-1,0,Explore Dun Morogh,,,,,,,,,,,,,,,,16711750,"Explore Dun Morogh, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,16711748,14777,5,2,0,1489,,,,,,,,,,,,,,,,,16711748,0,0
59,-1,529,0,Deaths in Arathi Basin,,,,,,,,,,,,,,,,16711750,,,,,,,,,,,,,,,,,16711680,124,0,2,1,1,,,,,,,,,,,,,,,,,16711748,0,0
7,-1,-1,6,Level 20,,,,,,,,,,,,,,,,16711750,Reach level 20.,,,,,,,,,,,,,,,,16711750,92,5,2,4,2970,,,,,,,,,,,,,,,,,16711748,0,0
349,-1,-1,0,Flight paths taken,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16711775,134,0,2,1,4,,,,,,,,,,,,,,,,,16711748,0,0
628,-1,36,0,Deadmines,,,,,,,,,,,,,,,,16712006,Kill Edwin VanCleef.,,,,,,,,,,,,,,,,16712004,14808,5,2,0,2692,,,,,,,,,,,,,,,,,16711748,0,0
751,1,-1,0,Deaths in Ulduar,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16715844,125,0,2,1,1,,,,,,,,,,,,,,,,,16711748,0,0
132,-1,-1,131,Expert in First Aid,,,,,,,,,,,,,,,,16711782,Become an expert in first aid.,,,,,,,,,,,,,,,,16711782,172,5,2,0,504,,,,,,,,,,,,,,,,,16711748,0,0
840,-1,-1,0,Battlegrounds won,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,4294967295,153,0,2,1,1,,,,,,,,,,,,,,,,,16711748,0,0
513,-1,-1,238,100 Honorable Kills,,,,,,,,,,,,,,,,16711750,Get 100 honorable kills.,,,,,,,,,,,,,,,,16711748,95,5,2,0,204,,,,,,,,,,,,,,,,,16711748,0,0
594,1,-1,0,Deaths from Hogger,,,,,,,,,,,,,,,,16711778,,,,,,,,,,,,,,,,,4294967295,126,0,2,1,1,,,,,,,,,,,,,,,,,16711748,0,0
648,-1,542,0,The Blood Furnace,,,,,,,,,,,,,,,,16712038,Kill Keli'dan the Breaker.,,,,,,,,,,,,,,,,16711748,14805,5,2,0,541,,,,,,,,,,,,,,,,,16711748,0,0
830,-1,-1,0,Total healing received,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16715844,142,0,2,0,1,,,,,,,,,,,,,,,,,16711748,0,0
838,-1,-1,0,Arenas played,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16715844,152,0,2,1,1,,,,,,,,,,,,,,,,,16711748,0,0
806,-1,-1,0,Lowest attribute,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16715844,143,0,2,1,1,,,,,,,,,,,,,,,,,16711748,0,0
798,-1,-1,0,Rebirthed by druids,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16715844,127,0,2,0,1,,,,,,,,,,,,,,,,,16711748,0,0
155,-1,529,154,Arathi Basin Veteran,,,,,,,,,,,,,,,,16711748,Complete 100 victories in Arathi Basin.,,,,,,,,,,,,,,,,16711750,14802,10,2,0,1156,,,,,,,,,,,,,,,,,16711748,0,0
478,-1,576,0,The Nexus,,,,,,,,,,,,,,,,16712006,Kill all of the bosses in The Nexus.,,,,,,,,,,,,,,,,16711748,14806,5,2,0,56,,,,,,,,,,,,,,,,,16711748,0,0
276,-1,-1,0,Greatfather's Little Helper  <PH> <nyi>,,,,,,,,,,,,,,,,16711748,Wrap X Candy Canes and mail them to Y unique players.,,,,,,,,,,,,,,,,16711748,156,5,2,0,2733,,,,,,,,,,,,,,,,,16711748,0,0
249,-1,-1,0,Dressed for the Occasion,,,,,,,,,,,,,,,,16711748,Discover an Elegant Dress by opening brightly colored eggs during the Noble Garden celebration.,,,,,,,,,,,,,,,,16711748,159,5,2,0,1514,,,,,,,,,,,,,,,,,16711748,0,0
753,1,-1,0,Average gold earned per day,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16715844,140,0,2,1,1,,,,,,,,,,,,,,,,,16711748,0,0
699,-1,-1,0,World Wide Winner,,,,,,,,,,,,,,,,16711748,"Win a ranked arena match in Blade's Edge, Nagrand and the Ruins of Lordaeron.",,,,,,,,,,,,,,,,16711748,165,10,2,0,535,,,,,,,,,,,,,,,,,16711748,0,0
523,-1,-1,522,5  Exalted Reputations,,,,,,,,,,,,,,,,16711748,Raise 5 reputations to Exalted.,,,,,,,,,,,,,,,,16711748,201,5,2,0,1879,,,,,,,,,,,,,,,,,16711748,0,0
261,-1,-1,0,Flaunt It  <PH> <nyi>,,,,,,,,,,,,,,,,16711748,Woo X Guards within Y minutes.,,,,,,,,,,,,,,,,16711748,187,5,2,0,4,,,,,,,,,,,,,,,,,16711748,0,0
235,-1,-1,0,Boom! <PH> <nyi>,,,,,,,,,,,,,,,,16711748,Get shot out of the Darkmoon Cannon.,,,,,,,,,,,,,,,,16711748,157,5,2,0,4,,,,,,,,,,,,,,,,,16711748,0,0
606,-1,-1,605,5 Coins of Ancestry,,,,,,,,,,,,,,,,16711750,Receive 5 Coins of Ancestry.,,,,,,,,,,,,,,,,16711750,160,5,2,0,2717,,,,,,,,,,,,,,,,,16711748,0,0
504,-1,-1,503,100 Quests Completed,,,,,,,,,,,,,,,,16711750,Complete 100 quests.,,,,,,,,,,,,,,,,16711750,96,5,2,0,2891,,,,,,,,,,,,,,,,,16711748,0,0
378,-1,-1,0,Total factions at Revered or higher,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16711775,147,0,2,1,4,,,,,,,,,,,,,,,,,16711748,0,0
219,-1,30,218,Alterac Valley Veteran,,,,,,,,,,,,,,,,16711750,Complete 100 victories in Alterac Valley.,,,,,,,,,,,,,,,,16711750,14801,10,2,0,2839,,,,,,,,,,,,,,,,,16711748,0,0
209,-1,566,208,Eye of the Storm Veteran,,,,,,,,,,,,,,,,16711750,Complete 100 victories in Eye of the Storm.,,,,,,,,,,,,,,,,16711750,14803,10,2,0,1931,,,,,,,,,,,,,,,,,16711748,0,0
316,-1,-1,0,World Honorable kills,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16711775,154,0,2,1,4,,,,,,,,,,,,,,,,,16711748,0,0
385,-1,-1,0,World,,,,,,,,,,,,,,,,16711790,,,,,,,,,,,,,,,,,16711775,137,0,2,1,4,,,,,,,,,,,,,,,,,16711748,0,0
380,-1,-1,0,Honorable Kills made before level 60,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16711775,136,0,2,1,4,,,,,,,,,,,,,,,,,16711748,0,0
361,-1,-1,0,Number of friends,,,,,,,,,,,,,,,,16711790,,,,,,,,,,,,,,,,,16711775,148,0,2,1,4,,,,,,,,,,,,,,,,,16711748,0,0
108,-1,-1,0,Critters killed,,,,,,,,,,,,,,,,16711782,,,,,,,,,,,,,,,,,16711748,135,0,2,1,4,,,,,,,,,,,,,,,,,16711748,0,0
43,-1,-1,0,Explore Kalimdor,,,,,,,,,,,,,,,,16711750,Explore the regions of Kalimdor.,,,,,,,,,,,,,,,,16711750,97,25,2,0,2761,,,,,,,,,,,,,,,,,16711748,0,0
528,-1,-1,0,Total damage received,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16711748,141,0,2,1,1,,,,,,,,,,,,,,,,,16711748,0,0
736,-1,-1,0,Explore Mulgore,,,,,,,,,,,,,,,,16711750,"Explore Mulgore, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,16711750,14778,5,2,0,1492,,,,,,,,,,,,,,,,,16711748,0,0
87,-1,-1,0,Chat lines read,,,,,,,,,,,,,,,,16711788,,,,,,,,,,,,,,,,,16711756,151,0,2,1,0,,,,,,,,,,,,,,,,,16711748,0,0
165,-1,529,0,Arathi Basin Perfection,,,,,,,,,,,,,,,,16711750,Win Arathi Basin with a score of 2000 to 0.,,,,,,,,,,,,,,,,16711750,14802,25,3,0,2830,,,,,,,,,,,,,,,,,16711748,0,0
8,-1,-1,7,Level 30,,,,,,,,,,,,,,,,16711750,Reach level 30.,,,,,,,,,,,,,,,,16711750,92,5,3,4,2970,,,,,,,,,,,,,,,,,16711748,0,0
178,-1,-1,0,Enchanting formulae known,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16711775,176,0,3,1,4,,,,,,,,,,,,,,,,,16711748,0,0
88,-1,-1,0,Total mail received,,,,,,,,,,,,,,,,16711788,,,,,,,,,,,,,,,,,16711756,151,0,3,1,0,,,,,,,,,,,,,,,,,16711748,0,0
96,-1,-1,0,Most quests completed in a day,,,,,,,,,,,,,,,,16711780,,,,,,,,,,,,,,,,,16711756,133,0,3,1,0,,,,,,,,,,,,,,,,,16711748,0,0
199,-1,489,0,Capture the Flag,,,,,,,,,,,,,,,,16711750,Personally carry and capture the flag in Warsong Gulch.,,,,,,,,,,,,,,,,16711750,14804,5,3,0,433,,,,,,,,,,,,,,,,,16711748,0,0
