ID,SoundType,Name,File[0],File[1],File[2],File[3],File[4],File[5],File[6],File[7],File[8],File[9],Freq[0],Freq[1],Freq[2],Freq[3],Freq[4],Freq[5],Freq[6],Freq[7],Freq[8],Freq[9],DirectoryBase,VolumeFloat,Flags,MinDistance,DistanceCutoff,EAXDef
225,10,TaurenFemaleCombatExertion,TaurenFemaleFinalAttackA.wav,TaurenFemaleFinalAttackB.wav,TaurenFemaleFinalAttackC.wav,TaurenFemaleFinalAttackD.wav,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Character\PlayerExertions\TaurenFemaleFinal,1,1065353216,0,0,1083137065
227,10,TaurenFemaleCombatInjury,TaurenFemaleFinalWoundA.wav,TaurenFemaleFinalWoundB.wav,TaurenFemaleFinalWoundC.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Character\PlayerExertions\TaurenFemaleFinal,1,1065353216,0,0,1083137065
228,10,TaurenFemaleCombatInjuryCritica,TaurenFemaleFinalWoundCritA.wav,,,,,,,,,,1,0,0,1,1,1,1,1,1,1,Sound\Character\PlayerExertions\TaurenFemaleFinal,1,1065353216,0,0,1083137065
229,10,TaurenFemaleCombatDeath,TaurenFemaleFinalDeathA.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Character\PlayerExertions\TaurenFemaleFinal,1,1065353216,0,0,1083137065
230,10,TaurenFemaleCombatDeathThud,thud.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Effects,1,1065353216,0,0,1083137065
231,10,TaurenFemaleCombatStun,mTaurenFemaleStunVoxA.wav,mTaurenFemaleStunVoxB.wav,mTaurenFemaleStunVoxC.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Character\Tauren\Female,1,1065353216,0,0,1083137065
232,10,TaurenFemaleStand,mTaurenFemaleStandVoxA.wav,mTaurenFemaleStandVoxB.wav,mTaurenFemaleStandVoxC.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Character\Tauren\Female,1,1065353216,0,0,1083137065
233,6,LightWeaponNormal,mWooshSmall1.wav,mWooshSmall2.wav,mWooshSmall3.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\WeaponSwings,1,1065353216,0,0,1083137065
234,6,LightWeaponCritical,mWooshSmallCrit.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\WeaponSwings,1,1065353216,0,0,1083137065
235,6,MediumWeaponNormal,mWooshMedium1.wav,mWooshMedium2.wav,mWooshMedium3.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\WeaponSwings,1,1065353216,0,0,1083137065
236,6,MediumWeaponCritical,mWooshMediumCrit.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\WeaponSwings,1,1065353216,0,0,1083137065
237,6,HeavyWeaponNormal,mWooshLarge1.wav,mWooshLarge2.wav,mWooshLarge3.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\WeaponSwings,1,1065353216,0,0,1083137065
238,6,HeavyWeaponCritical,mWooshLargeCrit.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\WeaponSwings,0.75,1065353216,0,0,1083137065
239,7,AntarisGreeting,dAntarisGreeting.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\tempNPCSounds,1,1065353216,0,0,1083137065
240,7,AntarisParting,dAntarisParting.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\tempNPCSounds,1,1065353216,0,0,1083137065
241,7,BlastHelmGreeting,dBlasthelmGreeting.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\tempNPCSounds,1,1065353216,0,0,1083137065
242,7,BlastHelmParting,dBlasthelmParting.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\tempNPCSounds,1,1065353216,0,0,1083137065
243,7,BlastHelmQuestComplete,dBlasthelmQuestComplete.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\tempNPCSounds,1,1065353216,0,0,1083137065
244,7,HonestTomGreeting,dHonestTomHello.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\tempNPCSounds,1,1065353216,0,0,1083137065
245,7,HonestTomParting,dHonestTomGoodbye.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\tempNPCSounds,1,1065353216,0,0,1083137065
246,7,RankistGhoulFleshFeast,dRankistGhoulFeastOnYourFlesh.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\tempNPCSounds,1,1065353216,0,0,1083137065
247,7,SteelBellyGreeting,dSteelbellyHello_gruff.wav,dSteelbellyHello_not_gruff.wav,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\tempNPCSounds,1,1065353216,0,0,1083137065
248,7,SteelBellyParting,dSteelbellyGoodbye_gruff.wav,dSteelbellyGoodbye_not_gruff.wav,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\tempNPCSounds,1,1065353216,0,0,1083137065
249,7,TharynnGreeting,dTharrynHello.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\tempNPCSounds,1,1065353216,0,0,1083137065
250,7,TharynnParting,dTharrynGoodbye.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\tempNPCSounds,1,1065353216,0,0,1083137065
251,7,HaveYouComeToSlayIronBranch,dTreantSlayIronBranch.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\tempNPCSounds,1,1065353216,0,0,1083137065
252,7,ValderGreeting,dValderHello1.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\tempNPCSounds,1,1065353216,0,0,1083137065
253,7,ValderParting,dValderGoodbye1.wav,dValderGoodbye2.wav,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\tempNPCSounds,1,1065353216,0,0,1083137065
254,7,ValderExtra,dValderExtra1.wav,dValderExtra2.wav,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\tempNPCSounds,1,1065353216,0,0,1083137065
255,7,VashaumNightwitherYourBlade,dVashaumNightwitherYourBlade.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\tempNPCSounds,1,1065353216,0,0,1083137065
256,7,VerainaGreeting,dVerainaGreeting.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\tempNPCSounds,1,1065353216,0,0,1083137065
257,7,VerainaParting,dVerainaParting.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\tempNPCSounds,1,1065353216,0,0,1083137065
2,1,Reveal Map,RevealMap.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\tempSpellSounds,1,1065353216,0,0,1088505774
3,1,Invisibility Impact,Dispel_Low_Base.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1065353216,0,0,1088505774
7,1,BlizzardImpactVariations,BlizzardImpact1a.wav,BlizzardImpact1b.wav,BlizzardImpact1c.wav,BlizzardImpact1d.wav,BlizzardImpact1e.wav,BlizzardImpact1f.wav,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1065353216,0,0,1084227584
11,1,Out of Mana,EnsnareTarget.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1065353216,0,0,1088505774
13,1,FrostPrecastLoop,FrostArmorTarget1.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1065353216,0,7.17E-43,1088505774
15,1,FrostImpact,DivineShield.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1065353216,0,0,1088505774
17,1,Burning Blast_Precast,RainOfFireLoop1.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1065353216,0,0,1088505774
18,1,Burning Blast Impact,FlareTarget2.wav,FlareTarget3.wav,FlareTarget4.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1065353216,0,0,1088505774
20,1,Frost Precast,PreCastFrostMagicLow.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1065353216,0,7.17E-43,1088505774
21,1,Bolt of Ice Cast,RainOfFireTarget1.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1065353216,0,0,1088505774
22,1,Ice Blast Impact,IceBlastImpact.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1065353216,0,0,1088505774
23,1,Numb Impact,SlowTarget.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1065353216,0,0,1088505774
24,1,Engulfing_Flame_Impact,RainOfFireTarget1.wav,RainOfFireTarget2.wav,RainOfFireTarget3.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1065353216,0,0,1088505774
25,1,FireShield_Impact,DivineShield.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1065353216,0,0,1088505774
26,1,Natures_Healing_Impact,RestorationImpact.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1065353216,0,0,1088505774
27,1,Precast Nature Low,PreCastNatureMagicHigh.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1065353216,0,7.17E-43,1078774989
28,1,Battle Roar,BurningSpirit.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1065353216,0,0,1088505774
29,1,Freeze Impact,HolyBolt.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1065353216,0,0,1088505774
30,1,Call Lightning Impact,CallLightning.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1065353216,0,0,1088505774
31,1,Call Lightning Precast,PreCastNatureMagicMedium.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1065353216,0,0,1088505774
33,1,Lightning Shield,LightningShieldImpact.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1065353216,0,0,1088505774
34,1,DefendShout,BerzerkerCaster.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1065353216,0,0,1088505774
35,1,Lightning Cast,LightningShieldImpact.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1065353216,0,0,1088505774
36,1,Ice Prison,DivineShield.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1065353216,0,0,1088505774
37,1,Resurrection,Resurrection.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1065353216,0,0,1085485875
38,1,Immolate,Immolate.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1065353216,0,0,1088505774
39,1,Divine Shield,DivineShield.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1065353216,0,0,1088505774
40,1,BloodlustTarget,BloodlustTarget.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1065353216,0,0,1088505774
41,1,BarkSkin,BarkSkinTarget1.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1065353216,0,0,1088505774
42,1,ShieldBash,m1hSwordHitMetalShieldCrit.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Sword1H,1,1065353216,0,0,1088505774
44,1,Holy Bolt,HolyBolt.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1065353216,0,0,1088505774
45,1,Item - Eat,iEating1.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\UseSounds,1,1065353216,0,0,1088505774
46,1,Dismember,m2hAxeHitFleshCrit.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Axe2H,1,1065353216,0,0,1088505774
48,1,Special Physical Ability Cast,mWooshMediumCrit.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\WeaponSwings,1,1065353216,0,0,1088505774
49,1,Special Ability Impact Sound,UnarmedAttackMediumCrit.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Unarmed,1,1065353216,0,0,1088505774
50,1,Special Weapon Impact,m1hSwordHitFleshCrit.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Sword1H,1,1065353216,0,0,1088505774
51,1,FireBoltPrecast,PreCastFireHigh.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Spells,1,1065353216,0,7.17E-43,1082130432
61,2,GLUESCREENSMALLBUTTONMOUSEDOWN,iUIMainMenuButtonA.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\interface,0.7,1065353216,0,4.5E-44,1083137065
62,2,GLUESCREENSMALLBUTTONMOUSEUP,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Interface,1,1065353216,0,4.5E-44,1083137065
63,2,GLUESCREENSMALLBUTTONMOUSEOVER,MouseOverTarget.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Interface,1,1065353216,0,4.5E-44,1083137065
64,2,GLUESCREENMEDIUMBUTTONMOUSEDOWN,iUIMainMenuButtonA.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\interface,0.7,1065353216,0,4.5E-44,1083137065
65,2,GLUESCREENMEDIUMBUTTONMOUSEUP,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Interface,1,1065353216,0,4.5E-44,1083137065
66,2,GLUESCREENMEDIUMBUTTONMOUSEOVER,MouseOverTarget.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Interface,0.7,1065353216,0,4.5E-44,1083137065
67,2,GLUESCREENLARGEBUTTONMOUSEDOWN,iUIMainMenuButtonA.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\interface,1,1065353216,0,4.5E-44,1083137065
68,2,GLUESCREENLARGEBUTTONMOUSEUP,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Interface,1,1065353216,0,4.5E-44,1083137065
69,2,GLUESCREENLARGEBUTTONMOUSEOVER,MouseOverTarget.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Interface,1,1065353216,0,4.5E-44,1083137065
70,2,GLUESCREENEDITBOXKEYCLICK,UIWindowOpen.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Interface,0.7,1065353216,0,4.5E-44,1083137065
71,2,GLUECHECKBOXMOUSEDOWN,UIWindowOpen.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Interface,0.7,1065353216,0,4.5E-44,1083137065
72,2,GLUECHECKBOXMOUSEUP,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Interface,1,1065353216,0,4.5E-44,1083137065
73,2,GLUECHECKBOXMOUSEOVER,MouseOverTarget.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Interface,1,1065353216,0,4.5E-44,1083137065
74,2,GLUECHARCUSTOMIZATIONMOUSEDOWN,UIWindowOpen.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Interface,0.7,1065353216,0,4.5E-44,1083137065
133,4,Sword2H_ArmorPlate,m2hSwordHitPlate1a.wav,m2hSwordHitPlate1b.wav,m2hSwordHitPlate1c.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Sword2H,0.75,1065353216,0,0,1083137065
134,4,Sword2H_ArmorPlateCritical,m2hSwordHitPlateCrit.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Sword2H,0.75,1065353216,0,0,1083137065
135,4,Sword2H_ShieldMetal,m2hSwordHitMetalShield1a.wav,m2hSwordHitMetalShield1b.wav,m2hSwordHitMetalShield1c.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Sword2H,0.75,1065353216,0,0,1083137065
136,4,Sword2H_ShieldMetalCtitical,m2hSwordHitMetalShieldCrit.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Sword2H,0.75,1065353216,0,0,1083137065
137,4,Sword2H_ShieldWood,m2hSwordHitMetalShield1a.wav,m2hSwordHitMetalShield1b.wav,m2hSwordHitMetalShield1c.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Sword2H,0.75,1065353216,0,0,1083137065
138,4,Sword2H_ShieldWoodCritical,m2hSwordHitMetalShield1a.wav,m2hSwordHitMetalShield1b.wav,m2hSwordHitMetalShield1c.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Sword2H,0.75,1065353216,0,0,1083137065
139,4,Sword2H_WeaponMetal,m2hSwordHitMetalWeapon1a.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Sword2H,0.75,1065353216,0,0,1083137065
140,4,Sword2H_WeaponMetalCtitical,m2hSwordHitMetalWeaponCrit.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Sword2H,0.75,1065353216,0,0,1083137065
141,4,Sword2H_WeaponWood,m2hSwordHitMetalWeapon1a.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Sword2H,0.75,1065353216,0,0,1083137065
142,4,Sword2H_WeaponWoodCritical,m2hSwordHitMetalWeapon1a.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Sword2H,0.75,1065353216,0,0,1083137065
143,4,Sword1H_ArmorFlesh,m1hSwordHitFlesh1a.wav,m1hSwordHitFlesh1b.wav,m1hSwordHitFlesh1c.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Sword1H,0.75,1065353216,0,0,1083137065
144,4,Sword1H_ArmorFleshCritical,m1hSwordHitFleshCrit.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Sword1H,0.75,1065353216,0,0,1083137065
145,4,Sword1H_ArmorChain,m1hSwordHitChain1a.wav,m1hSwordHitChain1b.wav,m1hSwordHitChain1c.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Sword1H,0.75,1065353216,0,0,1083137065
146,4,Sword1H_ArmorChainCritical,m1hSwordHitChainCrit.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Sword1H,0.75,1065353216,0,0,1083137065
147,4,Sword1H_ArmorPlate,m1hSwordHitPlate1a.wav,m1hSwordHitPlate1b.wav,m1hSwordHitPlate1c.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Sword1H,0.75,1065353216,0,0,1083137065
148,4,Sword1H_ArmorPlateCritical,m1hSwordHitPlateCrit.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Sword1H,0.75,1065353216,0,0,1083137065
149,4,Sword1H_ShieldMetal,m1hSwordHitMetalShield1a.wav,m1hSwordHitMetalShield1b.wav,m1hSwordHitMetalShield1c.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Sword1H,0.75,1065353216,0,0,1083137065
150,4,Sword1H_ShieldMetalCtitical,m1hSwordHitMetalShieldCrit.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Sword1H,0.75,1065353216,0,0,1083137065
151,4,Sword1H_ShieldWood,m1hSwordHitMetalShield1a.wav,m1hSwordHitMetalShield1b.wav,m1hSwordHitMetalShield1c.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Sword1H,0.75,1065353216,0,0,1083137065
152,4,Sword1H_ShieldWoodCritical,m1hSwordHitMetalShield1a.wav,m1hSwordHitMetalShield1b.wav,m1hSwordHitMetalShield1c.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Sword1H,0.75,1065353216,0,0,1083137065
153,4,Sword1H_WeaponMetal,m1hSwordHitMetalWeapon1a.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Sword1H,0.75,1065353216,0,0,1083137065
154,4,Sword1H_WeaponMetalCtitical,m1hSwordHitMetalWeaponCrit.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Sword1H,0.75,1065353216,0,0,1083137065
155,4,Sword1H_WeaponWood,m1hSwordHitMetalWeapon1a.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Sword1H,0.75,1065353216,0,0,1083137065
156,4,Sword1H_WeaponWoodCritical,m1hSwordHitMetalWeapon1a.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Sword1H,0.75,1065353216,0,0,1083137065
157,4,Axe2H_ArmorFlesh,m2hAxeHitFlesh1a.wav,m2hAxeHitFlesh1b.wav,m2hAxeHitFlesh1c.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Axe2H,0.75,1065353216,0,0,1083137065
158,4,Axe2H_ArmorFleshCritical,m2hAxeHitFleshCrit.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Axe2H,0.75,1065353216,0,0,1083137065
159,4,Axe2H_ArmorChain,m2hAxeHitChain1a.wav,m2hAxeHitChain1b.wav,m2hAxeHitChain1c.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Axe2H,0.75,1065353216,0,0,1083137065
160,4,Axe2H_ArmorChainCritical,m2hAxeHitChainCrit.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Axe2H,0.75,1065353216,0,0,1083137065
161,4,Axe2H_ArmorPlate,m2hAxeHitPlate1a.wav,m2hAxeHitPlate1b.wav,m2hAxeHitPlate1c.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Axe2H,0.75,1065353216,0,0,1083137065
162,4,Axe2H_ArmorPlateCritical,m2hAxeHitPlateCrit.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Axe2H,0.75,1065353216,0,0,1083137065
163,4,Axe2H_ShieldMetal,m2hAxeHitMetalShield1a.wav,m2hAxeHitMetalShield1b.wav,m2hAxeHitMetalShield1c.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Axe2H,0.75,1065353216,0,0,1083137065
164,4,Axe2H_ShieldMetalCritical,m2hAxeHitMetalShieldCrit.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Axe2H,0.75,1065353216,0,0,1083137065
165,4,Axe2H_ShieldWood,m2hAxeHitMetalShield1a.wav,m2hAxeHitMetalShield1b.wav,m2hAxeHitMetalShield1c.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Axe2H,0.75,1065353216,0,0,1083137065
166,4,Axe2H_ShieldWoodCritical,m2hAxeHitMetalShield1a.wav,m2hAxeHitMetalShield1b.wav,m2hAxeHitMetalShield1c.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Axe2H,0.75,1065353216,0,0,1083137065
167,4,Axe2H_WeaponMetal,m2hAxeHitMetalWeapon1a.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Axe2H,0.75,1065353216,0,0,1083137065
168,4,Axe2H_WeaponMetalCritical,m2hAxeHitMetalWeaponCrit.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Axe2H,0.75,1065353216,0,0,1083137065
169,4,Axe2H_WeaponWood,m2hAxeHitMetalWeapon1a.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Axe2H,0.75,1065353216,0,0,1083137065
170,4,Axe2H_WeaponWoodCritical,m2hAxeHitMetalWeapon1a.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Axe2H,0.75,1065353216,0,0,1083137065
171,4,Axe1H_ArmorFlesh,m1hAxeHitFlesh1a.wav,m1hAxeHitFlesh1b.wav,m1hAxeHitFlesh1c.wav,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Axe1H,0.75,1065353216,0,0,1083137065
172,4,Axe1H_ArmorFleshCritical,m1hAxeHitFleshCrit.wav,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Item\Weapons\Axe1H,0.75,1065353216,0,0,1083137065
75,2,GLUECHARCUSTOMIZATIONMOUSEUP,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,Sound\Interface,1,1065353216,0,4.5E-44,1083137065
