ID,KitType,Anim,HeadEffect,ChestEffect,BaseEffect,LeftHandEffect,RightHandEffect,BreathEffect,SpecialEffect[0],SpecialEffect[1],SpecialEffect[2],CharacterProcedure,CharacterParam[0],CharacterParam[1],CharacterParam[2],CharacterParam[3],SoundID,ShakeID
251,1,0,149,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,0
252,2,0,-1,-1,263,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,39,0
253,0,191,-1,-1,396,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,3091,0
254,1,0,265,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1642,0
255,1,0,266,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,3216,0
256,0,133,-1,-1,-1,-1,411,-1,-1,-1,-1,-1,0,0,0,0,0,0
257,1,0,-1,-1,268,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
258,0,169,-1,-1,-1,267,267,-1,-1,-1,-1,-1,0,0,0,0,0,0
259,0,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,3216,0
260,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,3084,0
261,1,0,-1,270,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
262,2,0,-1,298,-1,-1,-1,-1,-1,-1,-1,-1,4,0,0,0,0,0
263,0,52,-1,-1,-1,270,-1,-1,-1,-1,-1,-1,5,1,0,0,0,0
264,1,0,-1,271,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
265,0,52,-1,-1,-1,271,-1,-1,-1,-1,-1,-1,3,1,0,0,2561,0
266,0,51,-1,-1,-1,272,272,-1,-1,-1,-1,-1,0,0,0,0,3136,0
267,0,53,-1,-1,-1,392,392,-1,-1,-1,-1,-1,0,0,0,0,1641,0
268,0,131,-1,-1,290,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,3223,0
269,0,213,-1,-1,273,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,48,0
270,0,53,-1,-1,-1,135,135,-1,-1,-1,-1,-1,0,0,0,0,2562,0
271,1,0,-1,-1,335,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1437,0
272,1,0,-1,-1,274,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1438,0
273,1,0,476,-1,261,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1422,0
274,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1440,0
275,0,223,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,3084,0
276,1,0,-1,276,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1501,0
277,1,0,-1,-1,278,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
278,0,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
279,0,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
280,0,129,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
281,0,31,168,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
282,1,0,-1,332,-1,-1,-1,-1,-1,-1,-1,1,74,0,2,0.5,1506,0
283,1,0,-1,281,-1,-1,-1,-1,-1,-1,-1,-1,22,22,22,22,1506,0
284,2,224,-1,-1,-1,271,-1,-1,-1,-1,-1,0,9,1,1,0,3014,0
285,2,0,-1,-1,284,-1,-1,-1,-1,-1,-1,1,7961087,0.1,0.1,1,0,0
286,1,0,-1,321,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1507,0
287,1,0,-1,-1,289,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
288,2,0,-1,276,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1501,0
289,1,0,-1,-1,292,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
290,1,0,-1,228,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
291,1,0,-1,294,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,44,0
292,2,0,-1,-1,296,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
293,2,0,-1,298,-1,-1,-1,-1,-1,-1,-1,1,1945621,0.8,0.1,0.8,0,0
294,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1485,6
295,1,0,-1,299,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1491,0
296,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
297,2,0,-1,-1,-1,-1,-1,301,-1,-1,-1,-1,0,0,0,0,2557,0
298,2,0,-1,-1,289,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
299,2,0,-1,-1,268,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1505,0
300,1,0,-1,-1,297,-1,-1,-1,-1,-1,-1,1,5906196,0,1,0,0,0
301,2,0,-1,-1,278,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
302,0,51,-1,-1,-1,303,303,-1,-1,-1,-1,-1,0,0,0,0,1500,0
303,2,0,-1,-1,304,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1500,0
304,1,0,-1,305,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,3085,0
305,0,217,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
306,1,0,-1,-1,306,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1164,0
307,0,180,-1,-1,307,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,28,0
308,0,188,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
309,1,0,-1,308,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
310,1,0,310,-1,309,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1504,0
311,1,0,311,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,3361,0
312,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,1,1,0,0,3325,0
313,1,0,312,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,3361,0
314,1,169,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
315,1,0,-1,-1,313,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,2545,0
316,0,52,-1,-1,-1,293,293,-1,-1,-1,-1,-1,7,0,0,0,2561,0
317,1,0,-1,331,-1,-1,-1,-1,-1,-1,-1,-1,2825732,1,5,0,1490,0
318,1,0,-1,-1,74,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,30,0
319,1,0,-1,-1,314,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,2545,0
320,1,0,-1,-1,315,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,2545,0
321,0,52,-1,-1,-1,293,293,-1,-1,-1,-1,0,1,1,0,0,0,0
322,2,124,-1,-1,-1,152,152,-1,-1,-1,-1,-1,0,0,0,0,0,0
323,2,131,-1,-1,268,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
324,0,56,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,16263465,20,600,100,3091,0
325,2,0,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
326,1,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
327,0,190,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
328,1,176,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
329,0,53,-1,320,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,2562,0
330,1,0,-1,394,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,48,0
331,1,0,325,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
332,2,0,325,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,2615,0
333,1,0,-1,-1,326,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,3116,0
334,2,0,-1,-1,328,-1,327,-1,-1,-1,-1,6,0,0.2,0,0,0,0
335,2,0,-1,281,74,-1,-1,-1,-1,-1,-1,-1,0.5,1,0,0,0,0
336,1,0,-1,372,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
337,0,53,-1,333,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,2562,0
338,0,51,-1,-1,-1,88,88,-1,-1,-1,-1,-1,1776411,1,0,0,31,0
339,1,0,334,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,2556,0
340,2,0,308,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,3156,0
341,0,31,-1,-1,-1,298,-1,-1,-1,-1,-1,-1,5,1,0,0,2560,0
342,2,224,-1,-1,-1,298,-1,-1,-1,-1,-1,0,5,1,1,0,3192,0
343,2,0,-1,-1,336,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
344,2,0,339,-1,-1,-1,-1,-1,-1,-1,-1,2,1.1,0,0,0,0,0
345,0,51,-1,-1,-1,146,146,-1,-1,-1,-1,-1,0,0,0,0,27,0
346,2,0,-1,342,341,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,3225,0
347,1,0,-1,-1,240,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,3258,0
348,1,215,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,3642,0
349,2,129,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,11064319,1,1,0,0,0
350,0,55,-1,-1,345,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,3222,0
351,0,55,-1,-1,377,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,3113,0
352,0,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,2552,0
353,1,0,-1,-1,346,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,3314,0
354,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
355,1,180,348,-1,307,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1488,0
356,0,53,-1,-1,349,293,293,-1,-1,-1,-1,-1,0,0,0,0,3090,3
357,1,0,-1,446,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,3316,0
358,0,223,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,0
359,1,0,-1,351,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,2544,0
360,2,0,-1,-1,158,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
361,1,0,-1,354,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,2544,0
362,1,345,-1,-1,347,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1455,0
363,2,0,-1,-1,355,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
1,0,31,1,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0
2,0,53,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,27,0
3,0,31,2,-1,-1,-1,1,-1,-1,-1,-1,-1,0,0,0,0,7,0
4,3,31,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,7,0
5,1,0,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
6,0,31,-1,-1,-1,18,18,-1,-1,-1,-1,-1,0,0,0,0,0,0
7,0,110,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1144,0
8,2,0,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
9,1,0,41,24,25,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
10,0,52,-1,-1,-1,64,64,-1,-1,-1,-1,-1,0,0,0,0,0,0
11,0,52,-1,-1,-1,63,63,-1,-1,-1,-1,-1,0,0,0,0,0,0
12,0,50,-1,-1,-1,63,63,-1,-1,-1,-1,-1,0,0,0,0,703,0
13,1,0,-1,-1,28,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,23,0
14,1,53,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
15,0,50,-1,-1,-1,30,30,-1,-1,-1,-1,-1,0,0,0,0,0,0
16,0,0,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,0,0,0,0,0,0
17,0,50,-1,-1,-1,63,63,-1,-1,-1,-1,-1,0,0,0,0,703,0
18,1,0,-1,34,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,22,0
19,0,53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,2560,0
20,0,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
21,0,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
22,1,0,-1,37,36,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
23,1,0,-1,37,36,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
24,1,0,-1,374,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,29,0
25,1,0,-1,39,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
26,1,0,-1,40,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
27,2,129,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1509,0
28,1,0,-1,230,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
30,0,50,-1,-1,-1,287,287,-1,-1,-1,-1,-1,0,0,0,0,702,0
31,0,51,-1,-1,-1,63,63,-1,-1,-1,-1,-1,0,0,0,0,703,0
32,0,50,-1,-1,-1,63,63,-1,-1,-1,-1,-1,0,0,0,0,703,0
33,2,0,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
34,1,0,23,24,25,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
35,0,50,-1,-1,-1,63,63,-1,-1,-1,-1,-1,0,0,0,0,20,0
36,0,50,-1,-1,-1,146,146,-1,-1,-1,-1,-1,0,0,0,0,27,0
37,0,52,-1,-1,-1,73,73,-1,-1,-1,-1,-1,0,0,0,0,2561,0
38,0,52,-1,-1,-1,288,288,-1,-1,-1,-1,-1,0,0,0,0,1484,0
39,0,53,-1,-1,-1,45,45,-1,-1,-1,-1,-1,0,0,0,0,0,0
40,0,50,-1,-1,-1,45,45,-1,-1,-1,-1,-1,0,0,0,0,51,0
41,0,52,-1,-1,-1,45,45,-1,-1,-1,-1,-1,0,0,0,0,51,0
42,1,0,-1,-1,371,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,3116,0
43,0,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
44,0,0,-1,634,-1,-1,-1,-1,-1,-1,-1,8,14355216,20,1000,100,3330,0
45,0,50,-1,59,61,-1,63,-1,-1,-1,-1,-1,0,0,0,0,0,0
46,0,52,-1,58,62,64,64,-1,-1,-1,-1,-1,0,0,0,0,0,0
47,0,52,-1,-1,-1,64,64,-1,-1,-1,-1,-1,0,0,0,0,675,0
48,1,0,66,24,25,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,15,0
49,1,0,68,24,25,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
50,0,50,-1,-1,65,55,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
51,0,52,-1,-1,-1,30,30,-1,-1,-1,-1,-1,0,0,0,0,676,0
52,0,50,-1,-1,211,119,119,-1,-1,-1,-1,-1,0,0,0,0,-1,0
53,1,0,-1,-1,70,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,26,0
54,1,0,-1,-1,229,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,30,0
55,2,0,-1,-1,75,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
56,1,0,-1,-1,70,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,3229,0
57,1,0,-1,-1,76,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,24,0
58,1,0,-1,154,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,18,0
59,0,52,-1,-1,67,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,21,0
60,0,51,-1,-1,-1,287,287,-1,-1,-1,-1,-1,0,0,0,0,702,0
61,0,53,-1,-1,-1,288,288,-1,-1,-1,-1,-1,0,0,0,0,1484,0
62,1,0,-1,-1,173,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,33,0
63,1,0,-1,-1,79,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
64,0,223,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1104,0
65,0,53,-1,-1,-1,73,73,-1,-1,-1,-1,-1,0,0,0,0,2560,0
66,2,0,-1,-1,80,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,2579,0
67,0,56,-1,-1,-1,153,153,-1,-1,-1,-1,-1,0,0,0,0,48,0
68,1,0,-1,214,-1,-1,-1,-1,-1,-1,-1,1,5204976,0,2,2,22,0
69,2,0,-1,-1,84,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,36,0
70,1,0,-1,-1,279,-1,-1,-1,-1,-1,-1,-1,16776960,3,5,5,37,0
71,0,50,-1,-1,-1,-1,-1,96,-1,-1,-1,-1,0,0,0,0,27,0
72,0,52,-1,-1,-1,293,293,-1,-1,-1,-1,-1,1,0,0,0,2561,0
73,2,0,54,-1,254,-1,-1,-1,-1,-1,-1,-1,9090303,0,3,1,1502,0
74,0,58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,42,0
75,0,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
76,1,0,-1,89,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,38,0
77,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,747,0
78,1,0,-1,-1,103,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,41,0
79,2,0,66,24,25,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,15,0
80,0,51,-1,-1,-1,94,94,-1,-1,-1,-1,-1,0,0,0,0,702,0
81,0,117,337,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,2560,0
82,1,0,-1,-1,323,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,49,0
83,1,125,-1,93,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,42,0
84,0,56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,34,0
85,1,0,-1,101,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,50,0
86,0,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,28,0
87,2,0,-1,462,-1,-1,-1,-1,-1,-1,-1,-1,4851315,0.8,0.1,0.8,2617,0
88,0,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,45,0
89,1,0,-1,104,92,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,46,0
90,1,0,-1,98,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,50,0
91,0,56,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,28,0
92,0,53,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
93,0,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,34,0
94,0,52,-1,-1,-1,119,119,-1,-1,-1,-1,-1,0,0,0,0,44,0
95,0,51,-1,-1,-1,135,135,-1,-1,-1,-1,-1,0,0,0,0,740,0
96,0,53,-1,-1,-1,135,135,-1,-1,-1,-1,-1,0,0,0,0,44,0
97,1,0,-1,142,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,44,0
98,1,0,-1,-1,248,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1433,0
99,0,51,-1,-1,-1,135,135,-1,-1,-1,-1,-1,0,0,0,0,740,0
100,0,51,-1,-1,-1,146,146,-1,-1,-1,-1,-1,0,0,0,0,27,0
101,1,0,-1,-1,147,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1482,0
102,0,51,-1,-1,53,63,63,-1,-1,-1,-1,-1,0,0,0,0,703,0
103,0,53,-1,59,60,64,64,-1,-1,-1,-1,-1,0,0,0,0,0,0
104,0,51,-1,-1,-1,63,63,-1,-1,-1,-1,-1,0,0,0,0,703,0
105,0,53,-1,-1,60,64,64,-1,-1,-1,-1,-1,0,0,0,0,0,0
106,0,51,-1,-1,-1,206,206,-1,-1,-1,-1,-1,0,0,0,0,1136,0
107,0,53,-1,-1,-1,64,64,-1,-1,-1,-1,-1,0,0,0,0,0,0
108,2,0,-1,-1,-1,94,94,-1,-1,-1,-1,2,1,0,0,0,28,0
109,0,51,-1,-1,95,152,152,-1,-1,-1,-1,-1,0,0,0,0,27,0
110,0,180,-1,-1,-1,102,102,-1,-1,-1,-1,-1,0,0,0,0,1484,0
111,2,0,-1,-1,-1,94,94,-1,-1,-1,-1,2,1.5,0,0,0,0,0
112,1,0,-1,-1,91,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
113,1,0,-1,142,140,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
114,0,50,-1,-1,-1,17,17,-1,-1,-1,-1,-1,0,0,0,0,745,0
115,1,0,-1,44,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,743,0
116,0,56,-1,-1,-1,153,153,-1,-1,-1,-1,-1,0,0,0,0,28,0
117,1,0,-1,149,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,743,0
118,0,52,-1,-1,-1,17,17,-1,-1,-1,-1,-1,4,0,0,0,2560,0
119,0,52,-1,-1,-1,135,135,-1,-1,-1,-1,-1,0,0,0,0,2561,0
120,0,51,-1,-1,-1,156,156,-1,-1,-1,-1,-1,0,0,0,0,26,0
121,1,0,-1,129,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1270,0
122,1,0,-1,-1,155,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
123,1,0,-1,281,74,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,30,0
124,0,50,-1,-1,-1,88,88,-1,-1,-1,-1,-1,1,0.05,0,0,3087,0
125,2,0,54,-1,254,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
126,1,0,-1,-1,158,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,3073,0
127,0,0,-1,-1,159,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
128,1,0,160,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,933,0
129,1,0,-1,161,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,938,0
130,1,0,-1,367,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,3325,0
131,0,51,-1,-1,-1,163,163,-1,-1,-1,-1,-1,0,0,0,0,27,0
132,0,53,-1,-1,-1,163,163,-1,-1,-1,-1,-1,0,0,0,0,3,0
133,1,0,-1,381,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,49,0
134,0,52,-1,-1,-1,45,45,-1,-1,-1,-1,-1,0,0,0,0,0,0
135,0,50,-1,-1,46,45,45,-1,-1,-1,-1,-1,0,0,0,0,703,0
136,2,0,-1,-1,168,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1012,0
137,0,51,-1,-1,103,170,170,-1,-1,-1,-1,-1,0,0,0,0,745,0
138,0,53,-1,-1,169,170,170,-1,-1,-1,-1,-1,5,0,0,0,2560,3
139,1,0,-1,-1,168,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1012,0
140,0,0,-1,-1,180,135,135,-1,-1,-1,-1,-1,0,0,0,0,0,0
141,0,0,-1,-1,180,135,135,-1,-1,-1,-1,-1,0,0,0,0,0,0
142,1,0,-1,181,182,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
143,0,50,-1,-1,-1,44,44,-1,-1,-1,-1,-1,0,0,0,0,0,0
144,0,50,-1,-1,-1,45,45,-1,-1,-1,-1,-1,0,0,0,0,745,0
145,1,0,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1507,0
