ID,ReputationIndex,ReputationRaceMask[0],ReputationRaceMask[1],ReputationRaceMask[2],ReputationRaceMask[3],ReputationClassMask[0],ReputationClassMask[1],ReputationClassMask[2],ReputationClassMask[3],ReputationBase[0],ReputationBase[1],ReputationBase[2],ReputationBase[3],ReputationFlags[0],ReputationFlags[1],ReputationFlags[2],ReputationFlags[3],ParentFactionID,Name_lang,Description_lang
470,9,255,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,169,Ratchet,
471,8,73,178,4,0,0,0,0,0,150,-42000,500,0,0,6,0,0,0,Wildhammer Clan,
489,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Goblin, Dark Iron Bar Patron",
509,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Horde Red Team,
510,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Horde Blue Team,
511,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Giant,
530,15,34,77,16,128,0,0,0,0,3100,-42000,500,4000,17,6,17,17,67,Darkspear Trolls,
531,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dragonflight, Bronze",
532,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dragonflight, Blue",
549,24,255,0,0,0,0,0,0,0,2999,0,0,0,4,0,0,0,0, Leatherworking - Tribal,
550,26,255,0,0,0,0,0,0,0,2999,0,0,0,4,0,0,0,0, Engineering - Goblin,
551,25,255,0,0,0,0,0,0,0,2999,0,0,0,4,0,0,0,0, Engineering - Gnome,
569,33,255,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0, Blacksmithing - Hammersmithing,
570,31,255,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0, Blacksmithing - Axesmithing,
571,32,255,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0, Blacksmithing - Swordsmithing,
572,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Troll, Vilebranch",
573,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southsea Freebooters,
574,34,255,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,Caer Darrow,
575,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Furbolg, Uncorrupted",
576,35,255,0,0,0,0,0,0,0,-3500,0,0,0,2,0,0,0,0,Timbermaw Furbolgs,
577,28,255,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,169,Everlook,
689,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dragonflight, Black - Bait",
729,41,178,77,0,0,0,0,0,0,0,-42000,0,0,16,2,0,0,0,Frostwolf Clan,
730,40,77,178,0,0,0,0,0,0,0,-42000,0,0,16,2,0,0,0,Stormpike Guard,
769,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gizlock's Dummy,
771,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gizlock,
789,43,255,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,Moro'gai,
790,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spirit Guide - Alliance,
809,44,255,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,Shen'dralar,
829,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ogre (Captain Kromcrush),
43,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basilisk,
44,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dragonflight, Green",
849,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Spirit Guide - Horde,
53,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gnome, Leper",
78,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gnoll, Mudsnout",
409,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Harpy,
3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PLAYER, Dwarf",
15,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Defias Brotherhood,
27,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Troll, Skullsplitter",
38,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ogre,
46,29,255,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0, Blacksmithing - Armorsmithing,
54,18,13,178,64,0,0,0,0,0,3100,-42000,4000,0,17,6,17,0,469,Gnomeregan Exiles,
61,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dalaran,
81,16,130,77,16,32,0,0,0,0,3100,-42000,500,4000,17,6,17,17,67,Thunder Bluff,
1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PLAYER, Human",
18,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gnoll, Shadowhide",
41,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Venture Company,
56,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Scarlet Crusade,
71,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hillsbrad Militia,
82,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Troll, Witherbark",
50,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dragonflight, Red",
609,36,255,40,0,0,479,1024,0,0,0,2000,0,0,0,0,0,0,0,Cenarion Circle,
629,37,255,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,Shatterspear Trolls,
670,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beast - Cat,
672,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beast - Crocilisk,
678,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beast - Wind Serpent,
679,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training Dummy,
709,39,255,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,Battleground Neutral,
59,4,255,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,Thorium Brotherhood,
749,42,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hydraxian Waterlords,
770,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gizlock's Charm,
869,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jaedenar,
72,19,76,178,1,0,0,0,0,0,3100,-42000,4000,0,17,6,17,0,469,Stormwind,
309,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Scorpid,
310,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beast - Bat,
311,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Titan,
329,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Taskmaster Fizzule,
349,5,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ravenholdt,
389,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gnomeregan Bug,
429,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Burning Blade,
529,13,255,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,Argent Dawn,
589,27,178,77,0,0,0,0,0,0,-42000,0,0,0,6,0,0,0,0,Wintersaber Trainers,
649,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Majordomo Executus,
669,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beast - Carrion Bird,
671,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beast - Crab,
674,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beast - Owl,
675,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beast - Scorpid,
676,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beast - Tallstrider,
677,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beast - Turtle,
750,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sulfuron Firelords,
5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PLAYER, Undead",
6,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PLAYER, Tauren ",
7,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Creature,
8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PLAYER, Gnome",
9,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PLAYER, Troll",
14,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monster,
16,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gnoll, Riverpaw",
17,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gnoll, Redridge",
20,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Undead, Scourge",
22,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beast - Spider,
23,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beast - Boar,
24,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Worgen,
25,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kobold,
26,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Troll, Bloodscalp",
28,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prey,
29,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beast - Wolf,
31,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Friendly,
33,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Troll, Frostmane",
34,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Orc, Blackrock",
35,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Villian,
36,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Victim,
37,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beast - Bear,
39,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kurzen's Mercenaries,
40,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Escortee,
45,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lost Ones,
48,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dwarf, Dark Iron",
49,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Human, Night Watch",
51,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gnoll, Mosshide",
55,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Leopard,
58,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beast - Gorilla,
60,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Naga,
62,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Forlorn Spirit,
63,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Darkhowl,
64,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grell,
65,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Furbolg,
67,12,178,77,0,0,0,0,0,0,3500,-42000,0,0,9,14,0,0,0,Horde,
69,21,69,178,8,0,0,0,0,0,3100,-42000,4000,0,17,6,17,0,469,Darnassus,
