ID,Name,Weaponflags,Bodyflags,Field_0_7_0_3694_004,Flags
113,EmoteSalute,16,264,1,3
114,KneelStart,16,256,1,0
115,KneelLoop,16,0,1,0
116,KneelEnd,16,256,1,0
117,AttackUnarmedOff,0,296,1,0
118,SpecialUnarmed,32,288,1,2
119,StealthWalk,0,65,10,4
120,StealthStand,0,1,0,0
121,Knockdown,0,384,50,10
122,EatingLoop,0,264,1,2
123,UseStandingLoop,4,256,1,2
124,ChannelCastDirected,4,256,1,2
125,ChannelCastOmni,4,256,1,2
126,Whirlwind,0,288,10,2
127,Birth,0,256,400,2
128,UseStandingStart,4,256,1,2
129,UseStandingEnd,32,256,1,2
130,CreatureSpecial,0,288,1,2
131,Drown,20,256,500,8
132,Drowned,0,256,500,8
133,FishingCast,32,256,2,2
134,FishingLoop,32,256,1,2
135,Fly,0,257,1,0
96,SitGroundDown,16,256,1,0
97,SitGround,16,256,1,0
98,SitGroundUp,16,256,1,0
143,Sprint,0,64,10,4
144,InFlight,0,0,0,0
145,Spawn,0,0,0,0
146,Close,0,0,0,0
147,Closed,0,0,0,0
148,Open,0,0,0,0
149,Opened,0,0,0,0
150,Destroy,0,0,0,0
151,Destroyed,0,0,0,0
152,Rebuild,0,0,0,0
153,Custom0,0,0,0,0
154,Custom1,0,0,0,0
155,Custom2,0,0,0,0
156,Custom3,0,0,0,0
157,Despawn,0,0,0,0
158,Hold,0,0,0,0
159,Decay,0,0,0,0
160,BowPull,0,0,0,0
161,BowRelease,0,0,0,0
162,ShipStart,0,0,0,0
139,SpellSleepDown,0,0,1,2
163,ShipMoving,0,0,0,0
140,SpellKneelStart,0,0,1,3
141,SpellKneelLoop,0,0,1,2
142,SpellKneelEnd,0,0,1,2
164,ShipStop,0,0,0,0
